Date,Close/Last,Volume,Open,High,Low
10/23/2023,$116.06,572617,$115.28,$117.49,$114.21
10/20/2023,$115.79,632322,$117.70,$117.70,$115.51
10/19/2023,$117.05,751071,$116.27,$118.89,$116.05
10/18/2023,$116.31,628261,$115.34,$117.22,$114.92
10/17/2023,$116.07,1035924,$111.71,$116.12,$111.38
10/16/2023,$111.83,504153,$110.79,$111.93,$110.115
10/13/2023,$109.57,601507,$109.81,$110.29,$109.14
10/12/2023,$109.81,850880,$111.78,$111.78,$108.60
10/11/2023,$111.82,911027,$112.23,$113.25,$111.12
10/10/2023,$112.23,1273173,$114.49,$116.12,$110.365
10/09/2023,$114.22,569048,$112.46,$114.53,$112.31
10/06/2023,$113.66,456847,$111.63,$114.445,$111.12
10/05/2023,$112.19,706734,$113.67,$114.05,$111.81
10/04/2023,$113.70,698303,$111.87,$114.03,$111.45
10/03/2023,$112.33,764144,$115.08,$115.47,$111.02
10/02/2023,$115.94,731506,$116.00,$117.50,$115.37
09/29/2023,$116.09,572070,$117.24,$117.40,$115.39
09/28/2023,$115.39,583927,$114.71,$115.885,$114.56
09/27/2023,$115.26,1074110,$114.16,$115.93,$113.955
09/26/2023,$113.43,586387,$112.05,$113.945,$111.28
09/25/2023,$113.18,601993,$111.53,$113.61,$111.53
09/22/2023,$112.14,464304,$113.52,$114.00,$111.73
09/21/2023,$112.24,604283,$114.22,$114.22,$111.88
09/20/2023,$115.07,576805,$114.72,$116.14,$114.43
09/19/2023,$114.23,622761,$114.56,$114.93,$113.63
09/18/2023,$114.72,825584,$116.81,$117.19,$114.65
09/15/2023,$113.86,987087,$115.14,$115.46,$113.255
09/14/2023,$115.04,763267,$115.11,$115.38,$114.335
09/13/2023,$114.21,525245,$117.12,$117.265,$113.93
09/12/2023,$117.41,548680,$116.24,$118.239,$116.24
09/11/2023,$116.49,649144,$117.57,$118.00,$116.095
09/08/2023,$116.95,423825,$116.59,$117.57,$115.61
09/07/2023,$116.29,742412,$116.87,$117.035,$114.925
09/06/2023,$117.67,765352,$116.58,$118.17,$116.53
09/05/2023,$117.34,783290,$117.69,$120.00,$116.08
09/01/2023,$118.33,743590,$117.43,$118.445,$116.59
08/31/2023,$116.63,805475,$116.01,$117.73,$115.26
08/30/2023,$116.19,694566,$115.95,$116.95,$115.10
08/29/2023,$115.87,778770,$113.97,$115.91,$112.88
08/28/2023,$113.79,968054,$112.33,$114.20,$112.01
08/25/2023,$111.85,570720,$113.93,$114.30,$111.36
08/24/2023,$112.49,802566,$113.58,$114.54,$112.40
08/23/2023,$113.70,1150558,$112.23,$114.86,$111.03
08/22/2023,$113.10,850162,$113.50,$114.34,$112.37
08/21/2023,$115.05,681037,$116.01,$116.385,$114.26
08/18/2023,$115.43,995591,$115.67,$117.52,$114.86
08/17/2023,$116.72,985642,$118.46,$119.38,$116.39
08/16/2023,$117.75,1112294,$119.45,$120.30,$117.60
08/15/2023,$119.63,1053753,$119.76,$121.03,$118.84
08/14/2023,$121.07,1079591,$121.15,$121.80,$119.40
08/11/2023,$121.46,1362799,$122.24,$124.81,$121.34
08/10/2023,$122.30,2068968,$123.32,$129.1119,$122.18
08/09/2023,$128.49,1224518,$129.81,$130.82,$127.245
08/08/2023,$130.15,726167,$130.00,$130.435,$128.22
08/07/2023,$131.62,823648,$132.26,$133.58,$130.96
08/04/2023,$131.74,851902,$132.68,$135.755,$131.57
08/03/2023,$132.21,671938,$131.10,$132.77,$130.32
08/02/2023,$131.48,719217,$130.60,$132.435,$129.59
08/01/2023,$131.80,526030,$130.90,$132.52,$130.51
07/31/2023,$131.33,733130,$129.34,$132.47,$129.15
07/28/2023,$127.68,589959,$128.08,$128.44,$126.94
07/27/2023,$126.47,590138,$129.12,$129.27,$125.935
07/26/2023,$128.27,585176,$127.65,$129.59,$127.59
07/25/2023,$128.15,708418,$128.52,$128.52,$126.76
07/24/2023,$128.52,555186,$125.94,$128.60,$125.735
07/21/2023,$126.16,561572,$128.05,$128.335,$125.86
07/20/2023,$127.21,512325,$128.72,$128.725,$127.06
07/19/2023,$128.60,597126,$127.95,$128.80,$126.84
07/18/2023,$128.34,701949,$125.71,$128.48,$125.465
07/17/2023,$125.99,728885,$123.81,$126.14,$122.75
07/14/2023,$125.38,602560,$127.15,$127.60,$124.67
07/13/2023,$126.68,851663,$128.82,$129.29,$126.495
07/12/2023,$129.40,1321111,$132.23,$132.66,$129.32
07/11/2023,$130.85,1053368,$129.24,$132.30,$128.77
07/10/2023,$128.75,1243287,$123.15,$129.32,$122.89
07/07/2023,$122.55,1730837,$122.09,$123.695,$121.19
07/06/2023,$123.69,2162016,$122.91,$124.11,$122.04
07/05/2023,$124.55,2870243,$122.69,$124.99,$122.31
07/03/2023,$123.69,818624,$123.40,$124.32,$122.00
06/30/2023,$123.30,664619,$123.50,$123.93,$122.30
06/29/2023,$123.11,650033,$121.80,$124.21,$121.43
06/28/2023,$122.06,788810,$121.40,$123.27,$120.96
06/27/2023,$121.50,607854,$118.90,$121.81,$118.32
06/26/2023,$118.71,684247,$119.89,$122.16,$118.65
06/23/2023,$119.62,836930,$121.12,$121.12,$119.07
06/22/2023,$122.78,727096,$123.65,$124.81,$122.58
06/21/2023,$123.65,836666,$123.50,$124.23,$122.49
06/20/2023,$123.38,1046562,$122.47,$124.33,$121.8801
06/16/2023,$123.18,992141,$123.03,$123.60,$122.44
06/15/2023,$121.47,772704,$121.00,$122.615,$120.8444
06/14/2023,$121.74,1030443,$120.49,$122.72,$120.49
