Date,Close/Last,Volume,Open,High,Low
01/26/2024,$10.78,N/A,$10.78,$10.78,$10.78
01/25/2024,$10.78,101,$10.78,$10.78,$10.78
01/24/2024,$10.76,N/A,$10.76,$10.76,$10.76
01/23/2024,$10.76,N/A,$10.76,$10.76,$10.76
01/22/2024,$10.76,524,$10.755,$10.76,$10.755
01/19/2024,$10.75,N/A,$10.75,$10.75,$10.75
01/18/2024,$10.75,25035,$10.75,$10.75,$10.75
01/17/2024,$10.73,132,$10.73,$10.73,$10.73
01/16/2024,$10.72,1588,$10.68,$10.72,$10.67
01/12/2024,$10.68,N/A,$10.68,$10.68,$10.68
01/11/2024,$10.68,N/A,$10.68,$10.68,$10.68
01/10/2024,$10.68,N/A,$10.68,$10.68,$10.68
01/09/2024,$10.68,38913,$10.67,$10.68,$10.67
01/08/2024,$10.67,1284,$10.67,$10.67,$10.67
01/05/2024,$10.67,N/A,$10.67,$10.67,$10.67
01/04/2024,$10.67,8200,$10.67,$10.67,$10.67
01/03/2024,$10.61,N/A,$10.61,$10.61,$10.61
01/02/2024,$10.61,212,$10.61,$10.61,$10.61
12/29/2023,$10.63,N/A,$10.63,$10.63,$10.63
12/28/2023,$10.63,N/A,$10.63,$10.63,$10.63
12/27/2023,$10.63,N/A,$10.63,$10.63,$10.63
12/26/2023,$10.63,1202,$10.63,$10.63,$10.63
12/22/2023,$10.63,4301,$10.65,$10.65,$10.63
12/21/2023,$10.64,201,$10.65,$10.65,$10.64
12/20/2023,$10.63,N/A,$10.63,$10.63,$10.63
12/19/2023,$10.63,635,$10.64,$10.64,$10.63
12/18/2023,$10.64,652,$10.67,$10.67,$10.64
12/15/2023,$10.63,2288,$10.631,$10.631,$10.63
12/14/2023,$10.635,2199,$10.64,$10.64,$10.63
12/13/2023,$10.64,553,$10.64,$10.64,$10.64
12/12/2023,$10.6401,N/A,$10.6401,$10.6401,$10.6401
12/11/2023,$10.6401,2241,$10.64,$10.6401,$10.64
12/08/2023,$10.6401,N/A,$10.6401,$10.6401,$10.6401
12/07/2023,$10.6401,1906,$10.66,$10.66,$10.64
12/06/2023,$10.65,N/A,$10.65,$10.65,$10.65
12/05/2023,$10.65,37098,$10.67,$10.92,$10.63
12/04/2023,$10.67,N/A,$10.67,$10.67,$10.67
12/01/2023,$10.67,23089,$10.67,$10.68,$10.60
11/30/2023,$10.60,N/A,$10.60,$10.60,$10.60
11/29/2023,$10.60,254,$10.60,$10.60,$10.60
11/28/2023,$10.68,573,$10.63,$10.68,$10.63
11/27/2023,$10.63,N/A,$10.63,$10.63,$10.63
11/24/2023,$10.63,41979,$10.63,$10.63,$10.63
11/22/2023,$10.64,6091,$10.64,$10.64,$10.64
11/21/2023,$10.64,558066,$10.68,$10.68,$10.63
11/20/2023,$10.67,N/A,$10.67,$10.67,$10.67
11/17/2023,$10.67,103,$10.67,$10.67,$10.67
11/16/2023,$10.66,294,$10.66,$10.66,$10.66
11/15/2023,$10.65,1934,$10.62,$10.65,$10.62
11/14/2023,$10.60,N/A,$10.60,$10.60,$10.60
11/13/2023,$10.60,N/A,$10.60,$10.60,$10.60
11/10/2023,$10.60,N/A,$10.60,$10.60,$10.60
11/09/2023,$10.60,N/A,$10.60,$10.60,$10.60
11/08/2023,$10.60,5185,$10.60,$10.60,$10.60
11/07/2023,$10.57,N/A,$10.57,$10.57,$10.57
11/06/2023,$10.57,N/A,$10.57,$10.57,$10.57
11/03/2023,$10.57,N/A,$10.57,$10.57,$10.57
11/02/2023,$10.57,970,$10.55,$10.57,$10.55
11/01/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/31/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/30/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/27/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/26/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/25/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/24/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/23/2023,$10.59,N/A,$10.59,$10.59,$10.59
10/20/2023,$10.59,131,$10.59,$10.59,$10.59
10/19/2023,$10.52,314,$10.59,$10.59,$10.52
10/18/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/17/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/16/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/13/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/12/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/11/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/10/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/09/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/06/2023,$10.55,5165,$10.55,$10.55,$10.55
10/05/2023,$10.55,3808,$10.55,$10.55,$10.55
10/04/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/03/2023,$10.55,N/A,$10.55,$10.55,$10.55
10/02/2023,$10.55,103,$10.55,$10.55,$10.55
09/29/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/28/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/27/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/26/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/25/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/22/2023,$10.52,N/A,$10.52,$10.52,$10.52
09/21/2023,$10.52,39113,$10.52,$10.52,$10.52
09/20/2023,$10.50,1522,$10.50,$10.50,$10.50
09/19/2023,$10.50,N/A,$10.50,$10.50,$10.50
09/18/2023,$10.50,N/A,$10.50,$10.50,$10.50
09/15/2023,$10.50,N/A,$10.50,$10.50,$10.50
09/14/2023,$10.50,107,$10.50,$10.50,$10.50
09/13/2023,$10.50,340,$10.50,$10.50,$10.50
09/12/2023,$10.50,1511,$10.4676,$10.50,$10.4676
09/11/2023,$10.47,8929,$10.45,$10.47,$10.45
09/08/2023,$10.45,3026,$10.45,$10.45,$10.45
09/07/2023,$10.44,N/A,$10.44,$10.44,$10.44
09/06/2023,$10.44,24583,$10.437,$10.47,$10.43
09/05/2023,$10.43,N/A,$10.43,$10.43,$10.43
09/01/2023,$10.43,N/A,$10.43,$10.43,$10.43
08/31/2023,$10.43,N/A,$10.43,$10.43,$10.43
08/30/2023,$10.43,496,$10.43,$10.43,$10.43
08/29/2023,$10.4502,11124,$10.45,$10.47,$10.44
08/28/2023,$10.40,10231,$10.395,$10.40,$10.395
08/25/2023,$10.39,7411,$10.385,$10.39,$10.385
08/24/2023,$10.37,4970,$10.385,$10.40,$10.37
08/23/2023,$10.38,N/A,$10.38,$10.38,$10.38
08/22/2023,$10.38,N/A,$10.38,$10.38,$10.38
08/21/2023,$10.38,7229,$10.38,$10.38,$10.38
08/18/2023,$10.3505,4319,$10.35,$10.36,$10.35
08/17/2023,$10.32,114793,$10.36,$10.3601,$10.31
08/16/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/15/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/14/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/11/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/10/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/09/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/08/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/07/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/04/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/03/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/02/2023,$10.325,N/A,$10.325,$10.325,$10.325
08/01/2023,$10.325,244,$10.325,$10.325,$10.325
07/31/2023,$10.35,N/A,$10.35,$10.35,$10.35
07/28/2023,$10.35,N/A,$10.35,$10.35,$10.35
07/27/2023,$10.35,1040,$10.35,$10.35,$10.35
07/26/2023,$10.30,N/A,$10.30,$10.30,$10.30
07/25/2023,$10.30,180,$10.30,$10.30,$10.30
07/24/2023,$10.35,N/A,$10.35,$10.35,$10.35
07/21/2023,$10.35,N/A,$10.35,$10.35,$10.35
07/20/2023,$10.35,N/A,$10.35,$10.35,$10.35
07/19/2023,$10.35,101,$10.35,$10.35,$10.35
07/18/2023,$10.3699,N/A,$10.3699,$10.3699,$10.3699
07/17/2023,$10.3699,N/A,$10.3699,$10.3699,$10.3699
07/14/2023,$10.3699,N/A,$10.3699,$10.3699,$10.3699
07/13/2023,$10.3699,N/A,$10.3699,$10.3699,$10.3699
07/12/2023,$10.3699,2129,$10.39,$10.40,$10.32
07/11/2023,$10.41,1466,$10.294,$10.57,$10.25
07/10/2023,$10.36,101,$10.36,$10.36,$10.36
07/07/2023,$10.3248,N/A,$10.3248,$10.3248,$10.3248
07/06/2023,$10.3248,N/A,$10.3248,$10.3248,$10.3248
07/05/2023,$10.3248,N/A,$10.3248,$10.3248,$10.3248
07/03/2023,$10.3248,4006,$10.34,$10.34,$10.23
06/30/2023,$10.34,224,$10.34,$10.34,$10.34
06/29/2023,$10.34,466,$10.34,$10.34,$10.34
06/28/2023,$10.34,N/A,$10.34,$10.34,$10.34
06/27/2023,$10.34,9950,$10.30,$10.34,$10.30
06/26/2023,$10.33,750,$10.37,$10.39,$10.33
06/23/2023,$10.33,786,$10.36,$10.36,$10.33
06/22/2023,$10.36,585,$10.53,$10.53,$10.36
06/21/2023,$10.37,17092,$10.39,$10.52,$10.35
06/20/2023,$10.40,8046,$10.49,$10.49,$10.32
06/16/2023,$10.49,34511,$10.62,$11.00,$10.35
06/15/2023,$10.38,25683,$10.75,$10.7563,$10.26
06/14/2023,$10.49,13400,$10.9842,$11.25,$10.2301
06/13/2023,$10.26,39428,$10.7423,$11.3563,$10.23
06/12/2023,$10.23,3736,$10.32,$10.32,$10.225
06/09/2023,$10.22,3014,$10.23,$10.24,$10.22
06/08/2023,$10.24,225,$10.26,$10.26,$10.24
06/07/2023,$10.24,34640,$10.23,$10.28,$10.22
06/06/2023,$10.22,386236,$10.25,$10.25,$10.22
06/05/2023,$10.25,700,$10.25,$10.25,$10.25
06/02/2023,$10.375,534,$11.33,$11.33,$10.375
06/01/2023,$10.3498,2017,$10.3498,$10.3498,$10.3498
05/31/2023,$10.3865,N/A,$10.3865,$10.3865,$10.3865
05/30/2023,$10.3865,14935,$10.3812,$10.51,$10.325
05/26/2023,$10.25,7529,$10.26,$10.77,$10.25
05/25/2023,$10.25,2315,$10.25,$11.29,$10.25
05/24/2023,$10.24,1507,$10.24,$10.26,$10.24
05/23/2023,$10.30,7052,$10.40,$10.41,$10.24
05/22/2023,$10.24,N/A,$10.24,$10.24,$10.24
05/19/2023,$10.24,N/A,$10.24,$10.24,$10.24
05/18/2023,$10.24,700,$10.25,$10.25,$10.24
05/17/2023,$10.22,N/A,$10.22,$10.22,$10.22
05/16/2023,$10.22,786,$10.29,$10.29,$10.22
05/15/2023,$10.22,158861,$10.30,$10.30,$10.22
05/12/2023,$10.30,8883,$10.36,$10.37,$10.30
05/11/2023,$10.39,4712,$10.38,$10.39,$10.38
05/10/2023,$10.38,1300,$10.39,$10.39,$10.38
05/09/2023,$10.39,22659,$10.40,$10.45,$10.386
05/08/2023,$10.38,2433,$10.39,$10.39,$10.38
05/05/2023,$10.39,15714,$10.39,$10.44,$10.38
05/04/2023,$10.39,1226628,$10.37,$10.41,$10.37
05/03/2023,$10.38,848,$10.37,$10.38,$10.37
05/02/2023,$10.38,67655,$10.36,$10.38,$10.36
05/01/2023,$10.36,201928,$10.35,$10.37,$10.35
04/28/2023,$10.36,154741,$10.36,$10.36,$10.36
04/27/2023,$10.35,260,$10.35,$10.35,$10.35
04/26/2023,$10.36,125,$10.36,$10.36,$10.36
04/25/2023,$10.34,102359,$10.35,$10.35,$10.34
04/24/2023,$10.34,254626,$10.34,$10.35,$10.33
04/21/2023,$10.335,3207,$10.145,$10.335,$10.145
04/20/2023,$10.33,282808,$10.34,$10.34,$10.33
04/19/2023,$10.35,N/A,$10.35,$10.35,$10.35
04/18/2023,$10.35,513,$10.35,$10.35,$10.35
04/17/2023,$10.33,N/A,$10.33,$10.33,$10.33
04/14/2023,$10.33,N/A,$10.33,$10.33,$10.33
04/13/2023,$10.33,203,$10.33,$10.33,$10.33
04/12/2023,$10.33,1615,$10.33,$10.33,$10.33
04/11/2023,$10.34,321,$10.32,$10.34,$10.32
04/10/2023,$10.32,N/A,$10.32,$10.32,$10.32
04/06/2023,$10.32,60000,$10.32,$10.32,$10.315
04/05/2023,$10.32,1221,$10.32,$10.32,$10.32
04/04/2023,$10.32,1137,$10.32,$10.32,$10.31
04/03/2023,$10.32,2995,$10.33,$10.33,$10.30
03/31/2023,$10.32,1132,$10.31,$10.33,$10.31
03/30/2023,$10.31,517253,$10.75,$10.75,$10.30
03/29/2023,$10.29,300,$10.29,$10.29,$10.29
03/28/2023,$10.30,122848,$10.30,$10.31,$10.30
03/27/2023,$10.29,2949,$10.29,$10.29,$10.29
03/24/2023,$10.30,61896,$10.275,$10.40,$10.275
03/23/2023,$10.30,12460,$10.80,$10.84,$10.2984
03/22/2023,$10.30,22693,$10.29,$10.30,$10.29
03/21/2023,$10.29,26759,$10.29,$10.29,$10.29
03/20/2023,$10.28,13517,$10.28,$10.28,$10.275
03/17/2023,$10.27,N/A,$10.27,$10.27,$10.27
03/16/2023,$10.27,50039,$10.27,$10.27,$10.27
03/15/2023,$10.27,49846,$10.27,$10.27,$10.27
03/14/2023,$10.27,502,$10.27,$10.27,$10.27
03/13/2023,$10.26,N/A,$10.26,$10.26,$10.26
03/10/2023,$10.26,N/A,$10.26,$10.26,$10.26
03/09/2023,$10.26,N/A,$10.26,$10.26,$10.26
03/08/2023,$10.26,58826,$10.26,$10.27,$10.255
03/07/2023,$10.24,N/A,$10.24,$10.24,$10.24
03/06/2023,$10.24,N/A,$10.24,$10.24,$10.24
03/03/2023,$10.24,N/A,$10.24,$10.24,$10.24
03/02/2023,$10.24,N/A,$10.24,$10.24,$10.24
03/01/2023,$10.24,909,$10.24,$10.24,$10.24
02/28/2023,$10.24,N/A,$10.24,$10.24,$10.24
02/27/2023,$10.24,N/A,$10.24,$10.24,$10.24
02/24/2023,$10.24,50077,$10.24,$10.24,$10.24
02/23/2023,$10.23,N/A,$10.23,$10.23,$10.23
02/22/2023,$10.23,N/A,$10.23,$10.23,$10.23
02/21/2023,$10.23,N/A,$10.23,$10.23,$10.23
02/17/2023,$10.23,N/A,$10.23,$10.23,$10.23
02/16/2023,$10.23,302,$10.22,$10.23,$10.22
02/15/2023,$10.23,1004,$10.235,$10.235,$10.23
02/14/2023,$10.23,101,$10.23,$10.23,$10.23
02/13/2023,$10.23,101,$10.23,$10.23,$10.23
02/10/2023,$10.23,49054,$10.23,$10.23,$10.23
02/09/2023,$10.23,50146,$10.23,$10.23,$10.23
02/08/2023,$10.21,23623,$10.21,$10.225,$10.21
02/07/2023,$10.21,555,$10.22,$10.22,$10.21
02/06/2023,$10.21,5285,$10.22,$10.22,$10.21
02/03/2023,$10.21,N/A,$10.21,$10.21,$10.21
02/02/2023,$10.21,N/A,$10.21,$10.21,$10.21
02/01/2023,$10.21,6832,$10.21,$10.21,$10.21
01/31/2023,$10.22,596760,$10.22,$10.225,$10.22
01/30/2023,$10.19,N/A,$10.19,$10.19,$10.19
01/27/2023,$10.19,N/A,$10.19,$10.19,$10.19
01/26/2023,$10.19,400973,$10.19,$10.19,$10.19
01/25/2023,$10.214,1562,$10.19,$10.214,$10.19
01/24/2023,$10.19,189537,$10.18,$10.19,$10.18
01/23/2023,$10.19,8708,$10.18,$10.19,$10.18
01/20/2023,$10.18,202,$10.18,$10.18,$10.18
01/19/2023,$10.18,2663,$10.16,$10.18,$10.16
01/18/2023,$10.165,4184,$10.15,$10.165,$10.14
01/17/2023,$10.16,1437,$10.16,$10.16,$10.16
01/13/2023,$10.14,N/A,$10.14,$10.14,$10.14
01/12/2023,$10.14,100,$10.14,$10.14,$10.14
01/11/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/10/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/09/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/06/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/05/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/04/2023,$10.11,N/A,$10.11,$10.11,$10.11
01/03/2023,$10.11,N/A,$10.11,$10.11,$10.11
12/30/2022,$10.11,600,$10.14,$10.14,$10.11
12/29/2022,$10.10,N/A,$10.10,$10.10,$10.10
12/28/2022,$10.10,N/A,$10.10,$10.10,$10.10
12/27/2022,$10.10,N/A,$10.10,$10.10,$10.10
12/23/2022,$10.10,160,$10.10,$10.10,$10.10
12/22/2022,$10.10,10004,$10.11,$10.11,$10.10
12/21/2022,$10.09,33567,$10.10,$10.10,$10.06
12/20/2022,$10.16,544,$10.16,$10.16,$10.16
12/19/2022,$10.12,1800,$10.12,$10.13,$10.12
12/16/2022,$10.07,100001,$10.07,$10.07,$10.07
12/15/2022,$10.10,700,$10.10,$10.10,$10.09
12/14/2022,$10.01,N/A,$10.01,$10.01,$10.01
12/13/2022,$10.01,N/A,$10.01,$10.01,$10.01
12/12/2022,$10.01,20761,$10.02,$10.04,$10.01
12/09/2022,$10.00,N/A,$10.00,$10.00,$10.00
12/08/2022,$10.00,N/A,$10.00,$10.00,$10.00
12/07/2022,$10.00,N/A,$10.00,$10.00,$10.00
12/06/2022,$10.00,N/A,$10.00,$10.00,$10.00
12/05/2022,$10.00,N/A,$10.00,$10.00,$10.00
12/02/2022,$10.00,17602,$10.01,$10.0106,$10.00
12/01/2022,$10.005,8227,$10.00,$10.02,$10.00
11/30/2022,$10.02,N/A,$10.02,$10.02,$10.02
11/29/2022,$10.02,3840,$10.00,$10.02,$10.00
11/28/2022,$9.99,11445,$10.00,$10.0007,$9.99
11/25/2022,$10.05,400,$10.00,$10.05,$10.00
11/23/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/22/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/21/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/18/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/17/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/16/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/15/2022,$10.00,N/A,$10.00,$10.00,$10.00
11/14/2022,$10.00,114072,$10.00,$10.00,$10.00
11/11/2022,$9.99,89635,$10.00,$10.00,$9.99
11/10/2022,$9.98,4049,$9.98,$9.98,$9.98
11/09/2022,$9.98,2402,$9.98,$9.98,$9.98
11/08/2022,$9.98,N/A,$9.98,$9.98,$9.98
11/07/2022,$9.98,172,$9.98,$9.98,$9.98
11/04/2022,$9.97,N/A,$9.97,$9.97,$9.97
11/03/2022,$9.97,N/A,$9.97,$9.97,$9.97
11/02/2022,$9.97,N/A,$9.97,$9.97,$9.97
11/01/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/31/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/28/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/27/2022,$9.97,107700,$9.97,$9.97,$9.97
10/26/2022,$9.96,N/A,$9.96,$9.96,$9.96
10/25/2022,$9.96,288205,$9.96,$9.96,$9.955
10/24/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/21/2022,$9.97,82500,$9.97,$9.97,$9.97
10/20/2022,$9.96,800,$9.96,$9.96,$9.96
10/19/2022,$9.91,N/A,$9.91,$9.91,$9.91
10/18/2022,$9.91,N/A,$9.91,$9.91,$9.91
10/17/2022,$9.91,N/A,$9.91,$9.91,$9.91
10/14/2022,$9.91,N/A,$9.91,$9.91,$9.91
10/13/2022,$9.91,44483,$9.91,$9.91,$9.91
10/12/2022,$9.90,N/A,$9.90,$9.90,$9.90
10/11/2022,$9.90,N/A,$9.90,$9.90,$9.90
10/10/2022,$9.90,15000,$9.90,$9.93,$9.90
10/07/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/06/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/05/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/04/2022,$9.97,N/A,$9.97,$9.97,$9.97
10/03/2022,$9.97,N/A,$9.97,$9.97,$9.97
09/30/2022,$9.97,N/A,$9.97,$9.97,$9.97
09/29/2022,$9.97,11205,$9.98,$9.98,$9.97
09/28/2022,$9.97,81843,$9.97,$9.97,$9.97
09/27/2022,$9.95,103059,$9.98,$9.98,$9.95
09/26/2022,$9.95,25669,$9.95,$9.95,$9.95
09/23/2022,$9.93,N/A,$9.93,$9.93,$9.93
09/22/2022,$9.93,23151,$9.93,$9.935,$9.92
09/21/2022,$9.92,9507,$9.91,$9.96,$9.89
09/20/2022,$9.89,572,$9.89,$9.89,$9.89
09/19/2022,$9.86,1456,$9.89,$9.905,$9.86
09/16/2022,$9.93,7783,$9.90,$9.93,$9.90
09/15/2022,$9.88,N/A,$9.88,$9.88,$9.88
09/14/2022,$9.88,16076,$9.86,$9.90,$9.8498
09/13/2022,$9.91,10858,$9.88,$9.935,$9.88
09/12/2022,$9.93,N/A,$9.93,$9.93,$9.93
09/09/2022,$9.93,100,$9.93,$9.93,$9.93
09/08/2022,$9.89,N/A,$9.89,$9.89,$9.89
09/07/2022,$9.89,N/A,$9.89,$9.89,$9.89
09/06/2022,$9.89,N/A,$9.89,$9.89,$9.89
09/02/2022,$9.89,N/A,$9.89,$9.89,$9.89
09/01/2022,$9.89,N/A,$9.89,$9.89,$9.89
08/31/2022,$9.89,N/A,$9.89,$9.89,$9.89
08/30/2022,$9.89,N/A,$9.89,$9.89,$9.89
08/29/2022,$9.89,469,$9.89,$9.89,$9.89
08/26/2022,$9.92,N/A,$9.92,$9.92,$9.92
08/25/2022,$9.92,102,$9.92,$9.92,$9.92
08/24/2022,$9.885,3706,$9.90,$9.90,$9.885
08/23/2022,$9.89,567,$9.89,$9.89,$9.89
08/22/2022,$9.90,50036,$9.90,$9.90,$9.90
08/19/2022,$9.90,143638,$9.90,$9.90,$9.90
08/18/2022,$9.90,105204,$9.90,$9.90,$9.90
08/17/2022,$9.90,65677,$9.90,$9.90,$9.90
08/16/2022,$9.91,179099,$9.90,$9.93,$9.90
08/15/2022,$9.90,151575,$9.90,$9.90,$9.90
08/12/2022,$9.90,159606,$9.90,$9.90,$9.90
08/11/2022,$9.90,29167,$9.90,$9.90,$9.89
08/10/2022,$9.89,5831,$9.95,$9.95,$9.89
08/09/2022,$9.93,5690,$9.90,$9.93,$9.90
08/08/2022,$9.90,1642,$9.90,$9.90,$9.90
08/05/2022,$9.90,16376,$9.90,$9.96,$9.89
08/04/2022,$9.89,30501,$9.89,$9.89,$9.89
08/03/2022,$9.90,N/A,$9.90,$9.90,$9.90
08/02/2022,$9.90,N/A,$9.90,$9.90,$9.90
08/01/2022,$9.90,N/A,$9.90,$9.90,$9.90
07/29/2022,$9.90,N/A,$9.90,$9.90,$9.90
07/28/2022,$9.90,35002,$9.89,$9.90,$9.89
07/27/2022,$9.89,4711,$9.89,$9.89,$9.89
07/26/2022,$9.90,N/A,$9.90,$9.90,$9.90
07/25/2022,$9.90,645,$9.90,$9.93,$9.90
07/22/2022,$9.87,N/A,$9.87,$9.87,$9.87
07/21/2022,$9.87,N/A,$9.87,$9.87,$9.87
07/20/2022,$9.87,81281,$9.87,$9.875,$9.87
07/19/2022,$9.86,N/A,$9.86,$9.86,$9.86
07/18/2022,$9.86,N/A,$9.86,$9.86,$9.86
07/15/2022,$9.86,10527,$10.00,$10.00,$9.84
07/14/2022,$9.84,N/A,$9.84,$9.84,$9.84
07/13/2022,$9.84,N/A,$9.84,$9.84,$9.84
07/12/2022,$9.84,N/A,$9.84,$9.84,$9.84
07/11/2022,$9.84,221,$9.84,$9.84,$9.84
07/08/2022,$10.05,N/A,$10.05,$10.05,$10.05
07/07/2022,$10.05,N/A,$10.05,$10.05,$10.05
07/06/2022,$10.05,N/A,$10.05,$10.05,$10.05
07/05/2022,$10.05,N/A,$10.05,$10.05,$10.05
07/01/2022,$10.05,N/A,$10.05,$10.05,$10.05
06/30/2022,$10.05,N/A,$10.05,$10.05,$10.05
06/29/2022,$10.05,10600,$10.00,$10.05,$9.84
06/28/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/27/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/24/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/23/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/22/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/21/2022,$9.85,6599,$9.85,$9.85,$9.85
06/17/2022,$9.92,25215,$9.90,$9.92,$9.90
06/16/2022,$9.80,2549,$9.80,$9.80,$9.80
06/15/2022,$9.84,N/A,$9.84,$9.84,$9.84
06/14/2022,$9.84,N/A,$9.84,$9.84,$9.84
06/13/2022,$9.84,603,$9.84,$9.84,$9.84
06/10/2022,$9.91,N/A,$9.91,$9.91,$9.91
06/09/2022,$9.91,N/A,$9.91,$9.91,$9.91
06/08/2022,$9.91,542,$9.91,$9.91,$9.91
06/07/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/06/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/03/2022,$9.85,N/A,$9.85,$9.85,$9.85
06/02/2022,$9.85,500000,$9.85,$9.85,$9.85
06/01/2022,$9.89,N/A,$9.89,$9.89,$9.89
05/31/2022,$9.89,500,$9.89,$9.89,$9.89
05/27/2022,$9.89,1000,$9.88,$9.89,$9.88
05/26/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/25/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/24/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/23/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/20/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/19/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/18/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/17/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/16/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/13/2022,$9.815,N/A,$9.815,$9.815,$9.815
05/12/2022,$9.815,1700,$9.79,$9.815,$9.77
05/11/2022,$9.93,1072,$9.88,$9.93,$9.88
05/10/2022,$9.88,N/A,$9.88,$9.88,$9.88
05/09/2022,$9.88,15240,$9.88,$9.88,$9.88
05/06/2022,$9.94,N/A,$9.94,$9.94,$9.94
05/05/2022,$9.94,5351,$9.88,$9.94,$9.86
05/04/2022,$9.895,58639,$9.87,$9.895,$9.86
05/03/2022,$9.87,2153,$9.88,$9.88,$9.87
05/02/2022,$9.86,N/A,$9.86,$9.86,$9.86
04/29/2022,$9.86,4757,$9.87,$9.87,$9.86
04/28/2022,$9.88,200,$9.88,$9.88,$9.88
04/27/2022,$9.90,150002,$9.90,$9.90,$9.90
04/26/2022,$9.87,N/A,$9.87,$9.87,$9.87
04/25/2022,$9.87,1506,$9.87,$9.87,$9.87
04/22/2022,$9.89,4054,$9.87,$9.89,$9.87
04/21/2022,$9.88,4638,$9.87,$9.88,$9.86
04/20/2022,$9.92,N/A,$9.92,$9.92,$9.92
04/19/2022,$9.92,7796,$9.86,$9.92,$9.86
04/18/2022,$9.87,401,$9.87,$9.87,$9.87
04/14/2022,$9.86,N/A,$9.86,$9.86,$9.86
04/13/2022,$9.86,61948,$9.88,$9.90,$9.83
04/12/2022,$9.90,100,$9.90,$9.90,$9.90
04/11/2022,$9.83,N/A,$9.83,$9.83,$9.83
