Date,Close/Last,Volume,Open,High,Low
10/20/2023,$59.80,5242376,$62.40,$62.63,$59.66
10/19/2023,$62.48,6142673,$64.05,$64.80,$62.12
10/18/2023,$62.10,10581550,$66.60,$66.7999,$62.02
10/17/2023,$68.43,4106699,$66.09,$68.89,$66.05
10/16/2023,$67.15,4419377,$66.34,$67.92,$65.2536
10/13/2023,$66.07,4777863,$67.33,$67.99,$65.33
10/12/2023,$67.77,5520789,$71.38,$71.46,$67.61
10/11/2023,$71.36,4158068,$72.98,$73.89,$71.21
10/10/2023,$72.93,4817238,$72.00,$75.45,$72.00
10/09/2023,$71.72,3386016,$70.69,$72.04,$69.3407
10/06/2023,$71.83,4698616,$68.26,$72.14,$68.22
10/05/2023,$70.04,4836640,$69.51,$70.54,$67.78
10/04/2023,$70.17,4608948,$68.84,$70.45,$67.70
10/03/2023,$68.65,4571314,$69.50,$71.2706,$68.20
10/02/2023,$70.50,4179059,$70.21,$71.99,$69.15
09/29/2023,$70.59,6355839,$69.62,$70.93,$68.484
09/28/2023,$68.08,4473941,$68.15,$68.77,$66.66
09/27/2023,$67.64,3868537,$68.23,$69.30,$67.01
09/26/2023,$67.87,4249300,$68.31,$69.2075,$67.65
09/25/2023,$68.55,4967126,$68.86,$71.50,$68.1601
09/22/2023,$69.27,5890092,$73.00,$73.20,$69.1701
09/21/2023,$71.63,7975620,$70.01,$73.3299,$70.00
09/20/2023,$71.49,4171145,$74.35,$74.905,$71.46
09/19/2023,$73.81,6020816,$74.09,$74.6508,$71.96
09/18/2023,$74.39,4815667,$75.88,$76.0199,$74.2698
09/15/2023,$76.26,4941058,$77.70,$78.2099,$75.6801
09/14/2023,$77.80,5151456,$79.14,$79.3299,$77.45
09/13/2023,$78.44,5896710,$81.28,$81.70,$78.22
09/12/2023,$81.30,7552791,$83.66,$85.7675,$81.23
09/11/2023,$84.25,8180770,$84.58,$88.42,$83.60
09/08/2023,$83.47,8516303,$83.28,$86.45,$82.10
09/07/2023,$83.62,10411030,$84.63,$86.96,$83.04
09/06/2023,$86.19,31718740,$92.89,$95.84,$83.59
09/05/2023,$83.73,6551067,$80.58,$84.16,$80.52
09/01/2023,$81.72,7170702,$81.83,$82.57,$77.80
08/31/2023,$81.20,4459070,$81.35,$82.47,$80.10
08/30/2023,$81.02,4484197,$80.00,$81.19,$78.64
08/29/2023,$80.25,4602144,$76.73,$80.31,$76.18
08/28/2023,$76.73,2777322,$77.67,$77.82,$76.05
08/25/2023,$76.95,3236854,$75.82,$77.90,$75.42
08/24/2023,$76.15,6365153,$80.38,$80.998,$75.12
08/23/2023,$80.27,4393784,$78.52,$80.8599,$77.81
08/22/2023,$78.66,3709009,$78.70,$79.4799,$76.3001
08/21/2023,$78.19,4347382,$79.10,$79.9872,$77.35
08/18/2023,$79.30,7288236,$76.00,$80.82,$75.65
08/17/2023,$77.23,6443049,$80.83,$81.10,$77.13
08/16/2023,$80.61,7040378,$82.02,$82.3499,$78.66
08/15/2023,$82.69,7246612,$81.50,$84.4399,$80.23
08/14/2023,$82.26,5496899,$78.35,$82.29,$78.28
08/11/2023,$79.26,5076932,$78.28,$80.25,$77.9063
08/10/2023,$78.83,7163334,$82.67,$83.50,$78.80
08/09/2023,$81.64,6802370,$87.12,$87.47,$81.50
08/08/2023,$86.54,6004142,$86.50,$87.20,$84.41
08/07/2023,$88.40,6591805,$86.90,$88.56,$85.28
08/04/2023,$86.35,7831780,$88.59,$89.15,$85.81
08/03/2023,$88.47,9237124,$88.89,$91.25,$87.90
08/02/2023,$91.25,12217200,$95.18,$96.35,$90.41
08/01/2023,$97.49,17967790,$95.51,$98.44,$93.7901
07/31/2023,$96.27,36249490,$91.70,$96.95,$90.99
07/28/2023,$89.61,61301770,$74.9788,$89.7099,$74.88
07/27/2023,$68.19,14177700,$73.53,$73.80,$67.70
07/26/2023,$71.47,5801886,$70.30,$72.99,$70.00
07/25/2023,$70.40,4927235,$71.99,$72.64,$70.38
07/24/2023,$71.86,4157686,$73.61,$74.2025,$71.61
07/21/2023,$73.50,7194684,$74.53,$75.50,$73.36
07/20/2023,$73.59,7490118,$75.35,$75.76,$72.67
07/19/2023,$77.30,7467021,$76.66,$79.185,$75.02
07/18/2023,$75.65,5579365,$75.45,$77.19,$74.9496
07/17/2023,$75.84,6039759,$74.27,$76.55,$72.86
07/14/2023,$74.02,7188154,$76.72,$78.86,$73.5201
07/13/2023,$76.41,6031478,$77.36,$77.50,$75.16
07/12/2023,$76.32,11709230,$78.03,$79.3899,$75.67
07/11/2023,$75.43,19693100,$69.22,$77.36,$68.30
