Date,Close/Last,Volume,Open,High,Low
10/23/2023,$34.68,2867960,$34.16,$34.72,$33.51
10/20/2023,$34.40,2421200,$34.60,$34.74,$34.01
10/19/2023,$34.74,2579038,$34.92,$35.45,$34.611
10/18/2023,$35.09,2462722,$35.67,$35.80,$34.88
10/17/2023,$35.43,4190635,$35.08,$35.79,$35.04
10/16/2023,$35.06,1998545,$35.02,$35.1599,$34.56
10/13/2023,$34.99,2707089,$35.00,$35.365,$34.82
10/12/2023,$34.85,2824475,$34.50,$34.86,$34.25
10/11/2023,$34.40,2647603,$33.60,$34.47,$33.42
10/10/2023,$34.15,3835673,$34.86,$34.98,$34.12
10/09/2023,$34.55,3802238,$33.47,$34.68,$33.47
10/06/2023,$33.03,4153749,$31.72,$33.39,$31.43
10/05/2023,$31.33,2857148,$30.07,$31.50,$30.01
10/04/2023,$30.17,3131243,$30.90,$30.95,$29.70
10/03/2023,$31.02,2766562,$30.42,$31.08,$29.97
10/02/2023,$30.44,3409738,$32.42,$32.65,$30.20
09/29/2023,$32.41,1846855,$32.73,$32.865,$32.29
09/28/2023,$32.79,2439048,$32.06,$32.845,$31.93
09/27/2023,$32.13,3008189,$31.50,$32.52,$31.371
09/26/2023,$30.87,2948256,$30.47,$31.24,$30.435
09/25/2023,$30.79,2397123,$29.95,$30.81,$29.84
09/22/2023,$30.11,2117503,$30.20,$30.38,$29.585
09/21/2023,$29.98,2062207,$30.52,$30.64,$29.85
09/20/2023,$30.40,1950821,$30.77,$31.34,$30.39
09/19/2023,$31.40,1844000,$31.86,$31.88,$31.28
09/18/2023,$31.47,2218907,$32.34,$32.34,$31.31
09/15/2023,$32.03,5386062,$32.84,$33.00,$31.835
09/14/2023,$33.26,2264924,$33.60,$33.88,$32.92
09/13/2023,$32.81,1995563,$32.65,$32.97,$32.35
09/12/2023,$33.00,1838258,$32.31,$33.07,$32.31
09/11/2023,$31.92,1786472,$32.81,$32.89,$31.71
09/08/2023,$32.49,1868378,$32.50,$32.98,$32.375
09/07/2023,$32.15,2160757,$32.22,$32.59,$31.945
09/06/2023,$32.18,2294926,$32.00,$32.53,$31.67
09/05/2023,$32.29,2118485,$33.00,$33.5182,$32.27
09/01/2023,$33.36,2722593,$32.84,$33.71,$32.61
08/31/2023,$32.38,2897685,$31.87,$32.75,$31.74
08/30/2023,$31.87,1061538,$31.85,$32.27,$31.73
08/29/2023,$31.79,1112468,$31.55,$31.80,$31.175
08/28/2023,$31.58,1363587,$31.71,$32.1527,$31.41
08/25/2023,$31.21,1624572,$31.42,$31.57,$31.00
08/24/2023,$31.15,2291829,$30.60,$31.42,$30.41
08/23/2023,$30.89,1719401,$31.30,$31.31,$30.755
08/22/2023,$31.72,1456476,$32.46,$32.50,$31.61
08/21/2023,$32.35,1508250,$32.50,$32.59,$31.86
08/18/2023,$32.12,1478597,$31.88,$32.18,$31.60
08/17/2023,$32.32,2380830,$32.18,$32.79,$31.90
08/16/2023,$31.66,1915514,$32.01,$32.32,$31.52
08/15/2023,$31.93,1997180,$31.80,$31.99,$31.52
08/14/2023,$32.29,2180455,$32.16,$32.42,$31.60
08/11/2023,$32.45,2044695,$32.44,$32.88,$32.335
08/10/2023,$32.54,2462051,$33.20,$33.60,$32.29
08/09/2023,$33.54,2288303,$34.06,$34.54,$33.53
08/08/2023,$33.42,1949470,$32.73,$33.52,$32.50
08/07/2023,$33.36,2527450,$33.09,$33.505,$32.86
08/04/2023,$32.77,3114679,$32.50,$33.195,$32.48
08/03/2023,$32.50,2675706,$31.48,$32.75,$31.35
08/02/2023,$31.24,2468388,$31.00,$31.29,$30.35
08/01/2023,$31.48,3411172,$30.91,$31.625,$30.825
07/31/2023,$31.43,3564126,$31.27,$31.48,$30.64
07/28/2023,$31.27,2948728,$30.99,$31.69,$30.96
07/27/2023,$30.59,3493508,$31.17,$31.40,$30.475
07/26/2023,$31.10,3965323,$29.96,$31.505,$29.78
07/25/2023,$30.29,5429560,$30.37,$30.87,$29.32
07/24/2023,$30.19,3037807,$29.98,$30.295,$29.67
07/21/2023,$30.00,2384905,$30.38,$30.42,$29.90
07/20/2023,$30.20,2987989,$30.41,$30.685,$30.04
07/19/2023,$29.82,2311912,$30.01,$30.35,$29.565
07/18/2023,$29.86,4971664,$29.18,$30.48,$28.95
07/17/2023,$28.88,2608182,$28.22,$29.245,$27.91
07/14/2023,$28.33,3197888,$29.14,$29.32,$28.28
07/13/2023,$29.13,2617514,$29.56,$29.99,$29.12
07/12/2023,$29.57,3512033,$29.61,$30.095,$29.36
07/11/2023,$29.68,3113890,$29.18,$29.86,$28.98
07/10/2023,$29.00,1985571,$28.45,$29.01,$28.29
07/07/2023,$28.49,3986662,$27.78,$29.31,$27.78
07/06/2023,$28.06,2765615,$29.07,$29.25,$27.64
07/05/2023,$29.33,1921470,$29.66,$29.66,$29.11
07/03/2023,$29.33,1013858,$29.23,$29.58,$29.05
06/30/2023,$29.40,2126189,$29.69,$29.825,$29.22
06/29/2023,$29.34,2343837,$28.59,$29.385,$28.32
06/28/2023,$28.62,3029600,$28.67,$28.78,$28.15
06/27/2023,$28.53,2893889,$28.14,$28.825,$27.525
06/26/2023,$28.26,2941281,$28.21,$28.805,$28.12
06/23/2023,$28.10,5733807,$28.21,$28.33,$27.79
06/22/2023,$28.77,2933665,$28.68,$28.96,$28.29
06/21/2023,$29.00,5850995,$28.63,$29.14,$28.185
06/20/2023,$28.59,4063846,$28.49,$28.77,$28.08
06/16/2023,$28.49,6673154,$27.93,$28.805,$27.80
06/15/2023,$27.73,5780502,$26.42,$27.825,$26.29
06/14/2023,$26.13,4705903,$27.28,$27.285,$25.89
06/13/2023,$27.14,3858772,$27.80,$28.02,$27.06
06/12/2023,$27.35,4265209,$28.00,$28.12,$27.175
06/09/2023,$28.48,3265358,$28.41,$28.79,$28.28
06/08/2023,$28.68,2756167,$28.60,$28.79,$28.01
06/07/2023,$28.74,5099076,$27.98,$28.98,$27.85
06/06/2023,$27.56,4711560,$26.65,$27.72,$26.598
06/05/2023,$27.07,3257970,$28.59,$28.75,$27.07
06/02/2023,$28.08,3292585,$27.73,$28.42,$27.38
06/01/2023,$27.09,3524453,$27.40,$27.56,$27.065
05/31/2023,$27.37,4734013,$27.21,$27.60,$27.105
05/30/2023,$27.55,7009706,$28.38,$28.435,$26.77
05/26/2023,$29.01,4732784,$29.40,$29.54,$28.32
05/25/2023,$29.39,6864049,$29.28,$29.81,$29.15
05/24/2023,$29.80,5065512,$29.52,$29.845,$28.97
05/23/2023,$29.24,4290209,$29.87,$29.92,$29.18
05/22/2023,$29.62,4294841,$28.83,$29.67,$28.78
05/19/2023,$29.33,8392829,$30.08,$30.27,$28.94
05/18/2023,$29.49,7514532,$27.47,$29.55,$27.25
05/17/2023,$27.52,3605847,$27.47,$27.6817,$27.09
05/16/2023,$27.19,5304400,$27.32,$27.84,$27.15
05/15/2023,$27.39,5613452,$26.76,$27.40,$26.665
05/12/2023,$26.38,4877522,$25.37,$26.52,$25.005
05/11/2023,$25.07,2410720,$24.75,$25.1625,$24.61
05/10/2023,$25.07,2780188,$25.54,$25.66,$24.865
05/09/2023,$25.54,3725142,$25.25,$25.89,$25.11
05/08/2023,$25.50,2590672,$26.08,$26.09,$25.34
05/05/2023,$25.30,4183575,$25.10,$25.715,$25.015
05/04/2023,$24.27,3171570,$24.22,$24.63,$23.92
05/03/2023,$24.27,4606251,$24.65,$25.045,$24.17
05/02/2023,$25.14,3728826,$25.44,$25.70,$24.81
