Date,Close/Last,Volume,Open,High,Low
10/23/2023,$42.00,426826,$41.23,$42.65,$41.19
10/20/2023,$41.50,335182,$41.60,$41.74,$41.14
10/19/2023,$41.60,417495,$41.54,$42.48,$41.33
10/18/2023,$41.36,299121,$41.93,$42.49,$41.34
10/17/2023,$42.48,612319,$41.77,$42.67,$41.07
10/16/2023,$42.00,742046,$40.96,$42.23,$40.80
10/13/2023,$40.47,278804,$40.96,$41.46,$40.285
10/12/2023,$40.97,385035,$41.75,$41.86,$40.70
10/11/2023,$41.85,383109,$41.50,$41.91,$41.44
10/10/2023,$41.35,357819,$40.75,$41.56,$39.895
10/09/2023,$40.61,275784,$39.95,$40.70,$39.30
10/06/2023,$40.34,242466,$39.49,$40.6953,$39.35
10/05/2023,$39.83,296691,$40.05,$40.40,$39.71
10/04/2023,$40.14,569613,$39.98,$40.48,$39.15
10/03/2023,$39.83,433392,$40.71,$40.87,$39.58
10/02/2023,$41.05,576930,$41.44,$42.01,$40.76
09/29/2023,$41.00,732770,$40.82,$41.39,$40.7031
09/28/2023,$40.48,442895,$40.26,$40.825,$39.87
09/27/2023,$40.31,497839,$40.25,$40.65,$39.75
09/26/2023,$40.23,342166,$40.44,$40.80,$40.21
09/25/2023,$40.81,421813,$41.48,$41.79,$40.53
09/22/2023,$41.80,190489,$42.64,$42.83,$41.76
09/21/2023,$42.55,356999,$43.48,$43.49,$42.29
09/20/2023,$43.17,305503,$43.55,$44.08,$43.11
09/19/2023,$43.29,455923,$43.93,$44.22,$43.11
09/18/2023,$44.01,213858,$44.37,$44.50,$43.95
09/15/2023,$44.47,449724,$44.29,$44.94,$44.04
09/14/2023,$44.37,269630,$43.91,$44.50,$42.95
09/13/2023,$43.70,355135,$44.21,$44.4413,$43.39
09/12/2023,$44.21,582514,$43.54,$45.10,$43.50
09/11/2023,$43.64,615976,$43.55,$43.82,$43.041
09/08/2023,$42.76,412253,$42.12,$42.85,$41.88
09/07/2023,$41.99,408938,$43.29,$43.51,$41.765
