Date,Close/Last,Volume,Open,High,Low
10/20/2023,$72.55,7995564,$74.09,$74.15,$72.48
10/19/2023,$73.89,7421374,$73.98,$74.845,$73.85
10/18/2023,$74.24,7791040,$74.01,$74.895,$73.92
10/17/2023,$73.89,8035092,$73.75,$74.92,$73.35
10/16/2023,$73.98,6299680,$73.64,$74.095,$72.59
10/13/2023,$73.25,8665831,$73.93,$74.40,$73.095
10/12/2023,$73.30,6921346,$73.41,$73.55,$72.29
10/11/2023,$73.31,7349836,$73.33,$73.33,$72.62
10/10/2023,$73.35,10633890,$73.46,$73.66,$72.65
10/09/2023,$72.99,13726240,$73.20,$73.25,$71.82
10/06/2023,$69.77,8540344,$69.10,$70.3864,$68.555
10/05/2023,$69.38,7402573,$70.16,$70.37,$69.26
10/04/2023,$70.12,10264250,$70.13,$70.205,$69.225
10/03/2023,$70.58,8175792,$71.41,$72.25,$70.435
10/02/2023,$71.34,6791279,$71.74,$71.945,$70.90
09/29/2023,$71.97,6366279,$72.30,$72.519,$71.56
09/28/2023,$72.00,8490559,$72.22,$73.08,$71.95
09/27/2023,$72.88,9391713,$72.75,$73.335,$72.45
09/26/2023,$72.26,10323650,$71.43,$72.42,$71.32
09/25/2023,$72.05,10430100,$71.30,$72.10,$71.02
09/22/2023,$71.58,9673978,$72.61,$72.695,$71.425
09/21/2023,$72.64,12458110,$74.28,$74.45,$72.445
09/20/2023,$74.43,10821470,$75.95,$76.16,$74.38
09/19/2023,$75.08,11389770,$74.98,$75.43,$74.42
09/18/2023,$75.18,9847156,$75.91,$76.51,$75.12
09/15/2023,$75.80,16049830,$75.10,$76.40,$75.08
09/14/2023,$75.50,15600390,$73.68,$75.64,$73.62
09/13/2023,$75.56,11613030,$75.56,$76.66,$75.46
09/12/2023,$75.56,17931850,$74.70,$75.71,$73.66
09/11/2023,$76.90,24520660,$80.20,$80.50,$75.99
09/08/2023,$83.48,5986374,$84.33,$84.40,$82.94
09/07/2023,$84.33,6376699,$83.81,$84.41,$83.70
09/06/2023,$83.51,7528813,$84.87,$84.97,$83.25
09/05/2023,$85.05,4974029,$86.25,$86.30,$85.02
09/01/2023,$86.28,2583192,$86.61,$86.685,$85.89
08/31/2023,$86.04,4914613,$86.70,$87.02,$86.03
08/30/2023,$86.43,4469802,$85.64,$86.73,$85.55
08/29/2023,$85.35,5130922,$85.76,$86.14,$85.265
08/28/2023,$85.74,4834568,$84.84,$86.05,$84.81
08/25/2023,$84.69,4737645,$85.51,$85.73,$84.65
08/24/2023,$85.15,3905813,$85.50,$86.16,$85.15
08/23/2023,$86.04,4462240,$85.55,$86.15,$85.295
08/22/2023,$85.33,3925026,$85.82,$85.82,$85.063
08/21/2023,$85.52,4494760,$85.62,$86.01,$85.215
08/18/2023,$85.80,8150416,$84.64,$86.23,$84.62
08/17/2023,$85.15,5090705,$84.96,$85.72,$84.53
08/16/2023,$85.14,4207677,$85.54,$85.79,$85.09
08/15/2023,$85.66,4174893,$86.12,$86.23,$85.59
08/14/2023,$86.44,3521800,$86.84,$87.11,$86.23
08/11/2023,$86.84,3779035,$85.92,$86.87,$85.90
08/10/2023,$86.22,5359732,$87.32,$88.07,$86.10
08/09/2023,$87.77,8802588,$86.08,$87.905,$85.965
08/08/2023,$86.21,7220006,$85.01,$86.43,$84.66
08/07/2023,$85.47,6740940,$84.75,$85.765,$84.71
08/04/2023,$84.55,5573325,$85.05,$85.20,$84.34
08/03/2023,$84.67,7948775,$85.53,$85.76,$84.36
08/02/2023,$85.46,8620277,$87.50,$87.92,$85.27
08/01/2023,$87.97,6787277,$87.15,$88.21,$87.07
07/31/2023,$87.93,10178550,$87.45,$88.69,$87.222
07/28/2023,$87.34,11621630,$85.50,$87.55,$85.4013
07/27/2023,$85.17,14092730,$85.80,$87.22,$84.43
07/26/2023,$86.30,20123980,$86.82,$87.20,$84.86
07/25/2023,$87.10,49625640,$85.86,$87.25,$81.35
07/24/2023,$97.01,4741768,$96.90,$97.175,$96.51
07/21/2023,$96.39,3274891,$97.20,$97.439,$96.37
07/20/2023,$97.16,4314561,$96.20,$97.28,$95.965
07/19/2023,$95.57,4133306,$95.84,$96.47,$95.265
07/18/2023,$95.76,5464586,$96.42,$97.6805,$95.49
07/17/2023,$96.32,3269407,$96.09,$96.88,$95.60
07/14/2023,$96.17,3454627,$97.09,$97.15,$95.73
07/13/2023,$97.17,3357553,$96.59,$97.46,$96.29
07/12/2023,$96.82,4943276,$98.64,$98.80,$96.72
07/11/2023,$98.03,6209924,$97.10,$98.09,$96.54
07/10/2023,$97.48,3300283,$97.41,$98.33,$97.27
07/07/2023,$97.42,4569721,$98.08,$98.47,$97.37
07/06/2023,$98.05,3680059,$97.90,$98.74,$97.35
07/05/2023,$98.24,3247528,$98.02,$98.4561,$97.435
07/03/2023,$98.39,2149917,$97.49,$98.835,$97.32
06/30/2023,$97.96,4402021,$98.10,$98.39,$97.2847
06/29/2023,$97.80,4071427,$96.00,$97.89,$95.8528
06/28/2023,$95.87,4014917,$96.39,$96.40,$95.12
06/27/2023,$96.53,4048376,$96.35,$96.75,$95.85
06/26/2023,$96.55,3993621,$95.98,$96.605,$94.75
06/23/2023,$96.91,6213361,$96.70,$97.29,$96.34
06/22/2023,$96.92,4531478,$98.60,$98.63,$96.60
06/21/2023,$99.07,4776536,$97.70,$99.95,$97.39
06/20/2023,$97.70,6936293,$98.40,$98.96,$97.54
06/16/2023,$97.74,9037863,$98.20,$99.01,$96.81
06/15/2023,$98.00,4530088,$97.18,$98.37,$97.04
06/14/2023,$96.86,6363834,$99.71,$99.815,$96.55
06/13/2023,$99.69,4053471,$100.00,$100.68,$99.52
06/12/2023,$99.42,3527562,$99.39,$99.79,$99.05
06/09/2023,$99.34,2518535,$99.43,$99.50,$98.85
06/08/2023,$99.08,3269676,$98.43,$99.53,$98.1872
06/07/2023,$98.59,4275383,$97.54,$98.786,$96.625
06/06/2023,$97.44,4947743,$96.14,$97.69,$95.36
06/05/2023,$95.75,3811611,$96.61,$96.905,$95.65
06/02/2023,$96.08,5559203,$94.96,$96.42,$94.60
06/01/2023,$94.09,5636407,$92.28,$94.14,$92.25
05/31/2023,$92.14,9972544,$92.37,$92.87,$91.95
05/30/2023,$92.82,4559528,$93.01,$93.56,$92.31
05/26/2023,$93.26,4056736,$93.72,$94.64,$93.12
05/25/2023,$93.12,5340487,$93.51,$93.72,$92.06
05/24/2023,$93.66,3670502,$93.78,$94.59,$93.15
05/23/2023,$94.08,4388757,$94.83,$95.265,$94.07
05/22/2023,$95.66,3976052,$95.90,$96.28,$95.04
05/19/2023,$96.13,3528671,$96.59,$96.80,$95.50
05/18/2023,$96.13,4277598,$95.79,$96.40,$95.08
05/17/2023,$96.57,4626836,$95.76,$97.36,$95.76
05/16/2023,$95.46,2535312,$96.55,$96.55,$95.42
05/15/2023,$96.70,2556112,$95.97,$96.73,$95.85
05/12/2023,$95.99,2756105,$95.97,$96.56,$95.67
05/11/2023,$95.54,3327099,$95.66,$96.18,$94.92
05/10/2023,$96.30,3329302,$96.82,$96.9999,$95.41
05/09/2023,$96.27,2928414,$95.63,$96.78,$95.32
05/08/2023,$95.54,4243584,$96.69,$97.44,$95.44
05/05/2023,$96.58,3260405,$96.33,$96.79,$95.71
05/04/2023,$95.92,4414759,$97.00,$97.265,$94.8644
05/03/2023,$97.16,3610844,$98.81,$99.16,$97.035
05/02/2023,$98.87,3377478,$100.16,$100.16,$98.27
05/01/2023,$100.33,3481409,$99.93,$101.38,$99.835
04/28/2023,$99.90,2868779,$99.07,$99.91,$98.79
04/27/2023,$99.39,4010585,$97.675,$99.70,$97.445
04/26/2023,$97.68,5219540,$100.47,$100.79,$97.18
04/25/2023,$101.09,4638854,$101.69,$102.62,$100.02
04/24/2023,$102.46,3962123,$102.37,$102.63,$101.62
04/21/2023,$102.25,3315301,$103.01,$103.24,$101.87
04/20/2023,$102.84,3937696,$103.11,$103.32,$102.31
04/19/2023,$104.09,5004460,$104.63,$104.91,$103.86
04/18/2023,$104.66,4949191,$103.38,$104.71,$103.21
04/17/2023,$103.11,4007352,$101.91,$103.29,$101.80
04/14/2023,$101.68,3017936,$101.19,$101.71,$100.97
04/13/2023,$101.68,3932453,$101.15,$101.86,$100.50
04/12/2023,$101.52,4710141,$101.00,$102.35,$100.83
04/11/2023,$99.72,3408571,$99.72,$100.535,$99.41
04/10/2023,$99.62,3947597,$97.96,$99.77,$97.65
04/06/2023,$98.21,3430569,$98.77,$99.52,$98.055
04/05/2023,$98.76,3841724,$99.24,$99.5895,$98.70
04/04/2023,$99.51,3239813,$100.58,$101.46,$99.09
04/03/2023,$100.58,4312515,$98.27,$100.8434,$98.10
03/31/2023,$97.93,4652714,$97.98,$98.05,$97.49
03/30/2023,$97.37,5296755,$97.70,$97.85,$97.19
03/29/2023,$97.70,3187387,$97.20,$97.775,$97.20
03/28/2023,$96.80,2324815,$96.79,$97.1249,$96.61
03/27/2023,$96.91,3591736,$97.41,$97.41,$96.39
03/24/2023,$96.44,4712359,$95.41,$96.68,$94.94
03/23/2023,$96.00,4352097,$97.30,$97.45,$95.65
03/22/2023,$96.70,4042104,$98.27,$98.56,$96.69
03/21/2023,$98.01,5135630,$98.97,$99.30,$97.97
03/20/2023,$97.53,3972828,$96.41,$97.81,$96.31
03/17/2023,$95.75,8157775,$97.76,$97.77,$95.485
03/16/2023,$98.08,4647018,$95.35,$98.64,$95.00
03/15/2023,$95.83,5755319,$96.96,$97.26,$94.74
03/14/2023,$98.32,6407413,$98.27,$99.14,$97.415
03/13/2023,$97.46,7757690,$94.89,$98.24,$94.73
03/10/2023,$96.00,6340102,$95.65,$97.05,$95.205
03/09/2023,$95.93,4913091,$97.98,$97.98,$95.52
03/08/2023,$97.40,4299188,$98.00,$98.61,$96.66
03/07/2023,$98.18,5139545,$99.71,$99.93,$98.17
03/06/2023,$99.51,5064700,$99.02,$100.09,$98.84
03/03/2023,$99.02,5072818,$99.18,$99.32,$98.26
03/02/2023,$99.00,4134579,$97.50,$99.325,$97.50
03/01/2023,$98.04,3740060,$98.04,$98.57,$97.50
02/28/2023,$98.09,4469983,$99.27,$99.472,$97.82
02/27/2023,$99.16,2986716,$99.98,$100.03,$99.02
02/24/2023,$99.62,3915085,$99.30,$99.63,$98.39
02/23/2023,$99.64,3228043,$100.52,$100.65,$98.80
02/22/2023,$100.51,4489833,$100.73,$101.12,$99.83
02/21/2023,$100.65,3853018,$102.20,$102.65,$100.38
02/17/2023,$101.51,6507463,$100.85,$101.60,$100.31
02/16/2023,$100.97,3524263,$100.41,$101.46,$99.93
02/15/2023,$101.46,2551496,$101.00,$101.53,$100.70
02/14/2023,$101.37,3699672,$100.26,$102.055,$100.2501
02/13/2023,$100.56,5238572,$101.12,$101.42,$100.11
02/10/2023,$100.61,5290999,$98.23,$100.70,$98.20
02/09/2023,$97.85,3670929,$98.05,$98.51,$97.29
02/08/2023,$97.65,3789525,$97.34,$98.25,$97.25
02/07/2023,$97.87,3814740,$97.16,$98.20,$95.80
02/06/2023,$97.64,5243017,$96.75,$97.99,$96.70
02/03/2023,$96.48,3844304,$96.76,$97.79,$96.3899
02/02/2023,$96.96,6035704,$98.29,$98.42,$96.5801
02/01/2023,$98.42,5155053,$99.93,$99.99,$97.60
01/31/2023,$99.85,4099501,$98.80,$99.98,$98.23
01/30/2023,$98.71,4607344,$99.50,$99.80,$97.855
01/27/2023,$99.60,3365793,$99.85,$100.54,$99.33
01/26/2023,$100.25,4302854,$100.68,$100.93,$99.13
01/25/2023,$100.01,5967289,$99.30,$100.01,$97.58
01/24/2023,$99.47,8307972,$108.84,$108.84,$94.02
01/23/2023,$96.25,5686586,$94.80,$96.93,$94.51
01/20/2023,$94.36,8216173,$94.15,$94.44,$93.34
01/19/2023,$94.24,4641525,$95.23,$95.53,$94.16
01/18/2023,$95.74,5321760,$98.66,$98.66,$95.67
01/17/2023,$98.43,3959099,$99.25,$99.65,$98.355
01/13/2023,$98.68,4967985,$97.74,$99.05,$97.51
01/12/2023,$100.68,4221428,$99.85,$100.74,$99.53
01/11/2023,$99.59,4518671,$100.12,$100.33,$98.93
01/10/2023,$99.92,4701859,$99.42,$101.08,$99.02
01/09/2023,$99.60,6377254,$102.73,$102.78,$98.78
01/06/2023,$102.46,6411711,$101.90,$103.95,$101.30
01/05/2023,$100.88,4967152,$100.27,$101.46,$99.66
01/04/2023,$100.84,5635320,$100.51,$102.10,$100.41
01/03/2023,$100.81,3532334,$100.99,$101.225,$100.095
12/30/2022,$100.92,2984144,$100.28,$101.01,$99.78
12/29/2022,$100.33,2940623,$99.23,$100.60,$99.08
12/28/2022,$99.14,2418733,$99.75,$100.34,$99.11
12/27/2022,$99.66,2600231,$99.60,$100.24,$99.3275
12/23/2022,$99.30,2119407,$98.51,$99.41,$98.03
12/22/2022,$98.51,3165603,$99.46,$99.61,$96.98
