Date,Close/Last,Volume,Open,High,Low
10/25/2023,$16.78,2229882,$16.57,$16.92,$16.445
10/24/2023,$16.65,2704450,$16.45,$17.49,$16.30
10/23/2023,$16.45,3393627,$16.33,$16.73,$16.31
10/20/2023,$16.34,2286243,$16.30,$16.475,$16.01
10/19/2023,$16.26,1763726,$16.57,$16.65,$16.10
10/18/2023,$16.54,1890207,$16.44,$16.5701,$16.28
10/17/2023,$16.50,2079783,$16.10,$16.55,$16.07
10/16/2023,$16.03,2569873,$16.05,$16.13,$15.92
10/13/2023,$15.93,3954713,$16.25,$16.34,$15.685
10/12/2023,$16.08,2097288,$16.60,$16.60,$16.06
10/11/2023,$16.35,1383728,$16.60,$16.82,$16.33
10/10/2023,$16.71,1287360,$16.98,$17.09,$16.61
10/09/2023,$16.85,1785295,$16.40,$16.96,$16.32
10/06/2023,$16.63,1222300,$16.53,$17.08,$16.53
10/05/2023,$16.66,1037656,$16.66,$16.705,$16.36
10/04/2023,$16.57,1453723,$16.31,$16.65,$16.30
10/03/2023,$16.28,1473783,$16.32,$16.49,$16.075
10/02/2023,$16.41,1637787,$16.42,$16.84,$16.205
09/29/2023,$16.50,1486964,$16.10,$16.54,$16.09
09/28/2023,$16.08,1384841,$16.51,$16.51,$16.07
09/27/2023,$16.51,1249732,$16.35,$16.6999,$16.3201
09/26/2023,$16.30,961530,$16.26,$16.498,$16.12
09/25/2023,$16.32,1316213,$16.04,$16.35,$16.02
09/22/2023,$16.20,1311925,$16.20,$16.34,$15.94
09/21/2023,$16.33,3025548,$15.49,$16.35,$15.36
09/20/2023,$15.46,1579361,$15.21,$15.54,$15.11
09/19/2023,$15.06,3417762,$16.03,$16.065,$14.95
09/18/2023,$15.98,2141104,$16.42,$16.54,$15.97
09/15/2023,$16.46,2015489,$16.59,$17.115,$16.42
09/14/2023,$16.59,1716682,$16.34,$16.64,$16.26
09/13/2023,$16.20,3151509,$16.89,$17.17,$16.14
09/12/2023,$17.28,2510802,$17.47,$17.84,$17.24
09/11/2023,$17.48,5610786,$15.80,$17.94,$15.60
09/08/2023,$15.61,1406480,$15.75,$15.845,$15.52
09/07/2023,$15.75,717867,$15.83,$15.9999,$15.70
09/06/2023,$15.85,898186,$16.13,$16.22,$15.76
09/05/2023,$16.26,1029666,$16.38,$16.43,$15.985
09/01/2023,$16.50,857675,$16.61,$16.81,$16.455
08/31/2023,$16.50,890053,$16.60,$16.76,$16.47
08/30/2023,$16.66,776687,$16.50,$16.78,$16.47
08/29/2023,$16.50,1028050,$15.68,$16.60,$15.65
08/28/2023,$15.75,1257688,$15.58,$15.88,$15.58
08/25/2023,$15.47,2431424,$15.61,$15.8801,$15.22
08/24/2023,$15.61,2369584,$16.59,$16.645,$15.59
08/23/2023,$16.74,606393,$16.45,$16.79,$16.42
08/22/2023,$16.51,675030,$16.72,$16.75,$16.385
08/21/2023,$16.67,770640,$16.66,$16.79,$16.53
08/18/2023,$16.67,837361,$16.70,$16.71,$16.43
08/17/2023,$16.88,1764187,$16.02,$16.89,$15.98
08/16/2023,$15.96,968262,$15.73,$16.09,$15.73
08/15/2023,$15.79,1492048,$15.78,$15.87,$15.515
08/14/2023,$15.87,862221,$16.00,$16.065,$15.85
08/11/2023,$16.09,977650,$16.02,$16.09,$15.89
08/10/2023,$16.01,1001914,$16.03,$16.12,$15.94
08/09/2023,$15.93,1461023,$16.35,$16.4245,$15.92
08/08/2023,$16.52,1388243,$15.96,$16.76,$15.96
08/07/2023,$16.24,1126761,$16.15,$16.29,$16.00
08/04/2023,$16.19,2522540,$15.87,$16.29,$15.58
08/03/2023,$15.86,4140425,$16.74,$16.87,$15.81
08/02/2023,$17.08,2538791,$17.80,$17.9077,$17.02
08/01/2023,$17.95,1157423,$18.22,$18.2576,$17.79
07/31/2023,$18.30,1007117,$18.17,$18.525,$18.17
07/28/2023,$18.17,1370601,$18.09,$18.245,$18.02
07/27/2023,$18.05,2506271,$18.10,$18.465,$17.80
07/26/2023,$18.82,1122608,$18.94,$18.97,$18.70
07/25/2023,$18.73,1532109,$18.97,$19.04,$18.55
07/24/2023,$19.19,1116505,$18.75,$19.19,$18.66
07/21/2023,$18.91,947659,$19.15,$19.1795,$18.795
07/20/2023,$19.07,1876575,$18.84,$19.20,$18.63
07/19/2023,$18.94,1368929,$18.95,$19.06,$18.49
07/18/2023,$18.72,1152402,$18.31,$18.76,$18.275
07/17/2023,$18.37,1564054,$18.96,$19.07,$18.355
07/14/2023,$19.04,1632206,$18.70,$19.06,$18.17
07/13/2023,$18.84,2072371,$19.58,$19.58,$18.70
07/12/2023,$19.21,2046062,$19.51,$19.69,$19.14
07/11/2023,$19.54,2260374,$19.14,$19.60,$18.705
07/10/2023,$18.99,3171769,$18.79,$19.67,$18.77
07/07/2023,$18.61,2145891,$17.91,$18.73,$17.91
07/06/2023,$17.85,1623381,$18.02,$18.05,$17.52
07/05/2023,$17.66,1216822,$17.15,$17.79,$17.05
07/03/2023,$17.27,435558,$17.10,$17.38,$17.10
06/30/2023,$17.16,966702,$17.27,$17.28,$16.96
06/29/2023,$16.88,979295,$16.94,$17.13,$16.835
06/28/2023,$16.89,927878,$16.87,$16.94,$16.73
06/27/2023,$16.84,1504800,$16.36,$16.95,$16.25
06/26/2023,$16.27,744846,$16.23,$16.555,$16.21
06/23/2023,$16.18,1064997,$16.22,$16.2282,$16.07
06/22/2023,$16.53,633281,$16.68,$16.70,$16.44
06/21/2023,$16.75,692989,$16.69,$16.88,$16.62
06/20/2023,$16.73,972079,$16.89,$16.93,$16.68
