Date,Close/Last,Volume,Open,High,Low
01/05/2024,$83.58,693427,$83.54,$85.00,$83.17
01/04/2024,$83.81,737825,$83.51,$84.15,$83.12
01/03/2024,$83.89,1230351,$82.37,$84.355,$81.18
01/02/2024,$84.66,1152729,$85.28,$86.17,$84.10
12/29/2023,$86.07,784986,$85.99,$86.57,$84.45
12/28/2023,$87.33,674470,$87.76,$88.3959,$87.33
12/27/2023,$88.20,775406,$87.61,$88.34,$87.3701
12/26/2023,$87.30,605130,$87.96,$88.26,$87.09
12/22/2023,$87.60,1265784,$86.97,$87.76,$86.35
12/21/2023,$85.99,958300,$84.88,$86.20,$84.13
12/20/2023,$83.30,1300694,$84.11,$84.8299,$83.22
12/19/2023,$84.96,834584,$84.25,$85.16,$83.81
12/18/2023,$82.82,1248948,$82.50,$83.895,$82.50
12/15/2023,$82.28,2193550,$81.10,$82.67,$80.445
12/14/2023,$81.71,1782062,$78.99,$81.788,$78.98
12/13/2023,$77.35,1067538,$74.68,$77.73,$73.78
12/12/2023,$74.83,733009,$74.86,$75.22,$74.2601
12/11/2023,$75.13,846079,$74.04,$75.25,$73.18
12/08/2023,$75.45,1484903,$72.13,$76.095,$71.76
12/07/2023,$71.67,936674,$71.70,$72.10,$70.92
12/06/2023,$71.27,777092,$72.29,$72.61,$70.96
12/05/2023,$71.59,1017831,$72.91,$72.91,$71.48
12/04/2023,$73.69,925711,$74.53,$75.23,$73.33
12/01/2023,$76.74,1591320,$72.76,$76.78,$72.532
11/30/2023,$71.93,1559328,$71.98,$72.18,$71.31
11/29/2023,$71.77,857871,$72.25,$72.355,$71.36
11/28/2023,$71.84,1423661,$71.01,$71.88,$70.63
11/27/2023,$71.01,1712840,$72.25,$73.00,$70.94
11/24/2023,$74.21,533416,$74.99,$75.065,$73.95
11/22/2023,$75.23,778673,$75.80,$76.46,$74.65
11/21/2023,$76.07,1448293,$75.21,$77.21,$75.165
11/20/2023,$74.83,1051411,$75.00,$75.695,$74.30
11/17/2023,$74.75,787987,$75.43,$75.63,$74.68
11/16/2023,$74.87,680365,$74.84,$75.28,$73.92
11/15/2023,$75.31,1340230,$74.77,$75.90,$74.20
11/14/2023,$74.09,1360606,$72.30,$74.36,$71.99
11/13/2023,$70.18,575244,$70.52,$70.93,$70.13
11/10/2023,$70.67,795684,$69.73,$70.729,$68.9337
11/09/2023,$69.82,723437,$70.90,$71.32,$69.695
11/08/2023,$70.33,835425,$70.96,$71.58,$69.595
11/07/2023,$71.29,651135,$71.91,$72.44,$70.99
11/06/2023,$74.23,583598,$74.60,$75.00,$73.96
11/03/2023,$74.26,844772,$74.44,$75.26,$73.93
11/02/2023,$73.86,1045605,$73.20,$74.45,$72.68
11/01/2023,$71.91,686836,$71.24,$72.045,$70.38
10/31/2023,$70.90,926086,$71.15,$71.39,$70.225
10/30/2023,$71.78,853530,$72.49,$72.69,$71.64
10/27/2023,$71.53,938205,$72.645,$73.67,$71.22
10/26/2023,$70.64,880215,$69.57,$71.42,$69.26
10/25/2023,$69.57,1630212,$71.25,$74.055,$69.47
10/24/2023,$71.25,759253,$70.56,$71.91,$70.20
10/23/2023,$70.17,801626,$69.80,$70.54,$69.0818
10/20/2023,$70.20,852203,$70.17,$70.89,$69.72
10/19/2023,$70.88,914257,$70.99,$71.36,$70.26
10/18/2023,$71.11,801652,$72.66,$72.78,$71.10
10/17/2023,$73.83,652236,$72.00,$74.27,$71.87
10/16/2023,$73.11,766534,$72.65,$73.57,$72.1958
10/13/2023,$72.14,668510,$72.96,$73.315,$71.80
10/12/2023,$72.35,844489,$74.25,$74.41,$71.72
10/11/2023,$74.33,810618,$75.71,$75.835,$74.01
10/10/2023,$75.21,708495,$74.86,$75.93,$74.56
10/09/2023,$74.18,605293,$73.12,$74.55,$72.91
10/06/2023,$73.93,1205033,$72.26,$74.37,$71.91
10/05/2023,$71.69,980614,$73.24,$73.94,$71.54
10/04/2023,$73.34,1103015,$73.54,$73.8899,$72.18
10/03/2023,$73.47,859348,$72.71,$74.12,$72.65
10/02/2023,$73.95,1027868,$74.49,$75.46,$73.23
09/29/2023,$75.29,799239,$76.14,$76.62,$75.0223
09/28/2023,$75.00,781430,$73.86,$75.47,$73.745
09/27/2023,$72.80,1029803,$73.10,$73.255,$71.95
09/26/2023,$72.66,2155517,$73.56,$74.36,$72.44
09/25/2023,$74.50,1086778,$74.00,$74.77,$73.22
09/22/2023,$74.73,1362090,$77.00,$77.25,$74.47
09/21/2023,$76.00,1213180,$76.00,$76.84,$75.04
09/20/2023,$77.88,425385,$79.09,$79.85,$77.83
09/19/2023,$78.50,762703,$79.60,$79.92,$77.89
09/18/2023,$79.66,734393,$79.65,$80.05,$78.94
09/15/2023,$79.77,1639589,$80.32,$80.55,$79.66
09/14/2023,$80.21,1275203,$80.05,$81.31,$80.02
09/13/2023,$78.37,743514,$79.29,$79.37,$78.10
09/12/2023,$79.29,771915,$79.49,$80.39,$78.96
09/11/2023,$80.40,528676,$81.04,$81.36,$80.15
09/08/2023,$78.72,789508,$78.04,$78.77,$77.725
09/07/2023,$78.50,803206,$78.55,$78.77,$77.83
09/06/2023,$79.58,1060355,$78.63,$79.60,$78.03
09/05/2023,$79.30,1259366,$81.74,$82.33,$79.24
09/01/2023,$82.14,703418,$82.38,$83.11,$81.93
08/31/2023,$80.66,872607,$81.11,$81.465,$80.58
08/30/2023,$81.06,738161,$80.63,$81.36,$80.18
08/29/2023,$80.52,856173,$79.00,$80.53,$78.375
08/28/2023,$78.98,1033811,$78.50,$79.10,$78.085
08/25/2023,$77.79,653417,$79.39,$79.4376,$77.00
08/24/2023,$78.92,1185923,$80.32,$81.20,$78.79
08/23/2023,$81.42,1121140,$79.56,$81.62,$79.205
08/22/2023,$79.22,704609,$79.95,$79.96,$78.75
08/21/2023,$78.58,857824,$77.58,$78.72,$77.43
08/18/2023,$77.25,1509873,$79.00,$79.04,$76.95
08/17/2023,$79.95,891789,$81.92,$82.23,$79.81
08/16/2023,$80.30,1294205,$79.60,$81.05,$79.29
08/15/2023,$80.15,1155750,$80.67,$80.85,$79.70
08/14/2023,$81.65,966427,$81.00,$81.84,$79.75
08/11/2023,$82.15,1157107,$82.03,$82.66,$81.50
08/10/2023,$83.26,1042095,$83.95,$85.07,$82.615
08/09/2023,$83.40,834306,$84.37,$84.475,$82.92
08/08/2023,$83.64,1302548,$81.03,$84.11,$80.71
08/07/2023,$84.06,904165,$84.33,$84.55,$83.38
08/04/2023,$83.88,1021660,$83.54,$84.20,$82.79
08/03/2023,$83.77,1054100,$82.13,$84.4643,$82.11
08/02/2023,$82.10,1102837,$82.96,$83.99,$81.72
08/01/2023,$84.89,1287145,$86.03,$86.13,$84.52
07/31/2023,$87.44,1201403,$85.85,$87.59,$85.85
07/28/2023,$85.22,785591,$85.34,$85.44,$83.00
07/27/2023,$83.97,1384388,$84.03,$85.7199,$83.73
07/26/2023,$84.02,1612004,$83.39,$84.76,$83.295
07/25/2023,$83.59,1953344,$80.60,$84.4953,$80.44
07/24/2023,$79.37,948070,$78.39,$79.8751,$78.17
07/21/2023,$78.37,838381,$78.65,$78.75,$77.93
07/20/2023,$78.26,1269789,$77.87,$78.875,$77.38
07/19/2023,$76.76,1237669,$75.48,$76.89,$75.22
07/18/2023,$76.64,987548,$75.59,$77.21,$75.47
07/17/2023,$75.89,643439,$75.20,$75.99,$74.78
07/14/2023,$76.78,1306257,$77.71,$78.18,$76.57
07/13/2023,$77.94,1400398,$75.19,$78.04,$75.00
07/12/2023,$74.13,967124,$73.76,$74.15,$72.95
07/11/2023,$72.14,691465,$71.73,$72.15,$71.10
07/10/2023,$70.94,789831,$70.00,$71.45,$70.00
07/07/2023,$70.67,799579,$69.44,$71.20,$69.2103
07/06/2023,$69.00,1220409,$69.29,$70.03,$67.64
07/05/2023,$70.88,1137613,$71.49,$71.94,$70.40
07/03/2023,$72.82,438386,$72.57,$73.475,$72.3472
06/30/2023,$71.74,1000537,$71.26,$71.81,$70.60
06/29/2023,$70.66,1130441,$70.48,$70.77,$69.825
06/28/2023,$70.68,1338989,$71.22,$71.48,$70.09
06/27/2023,$73.40,845461,$73.00,$73.665,$72.67
06/26/2023,$72.64,817088,$71.64,$72.89,$71.49
06/23/2023,$71.25,1334485,$72.31,$72.31,$70.63
06/22/2023,$73.80,1022739,$72.94,$74.36,$72.86
06/21/2023,$73.28,886401,$72.65,$73.63,$72.40
06/20/2023,$73.16,1135445,$73.50,$74.04,$71.9275
06/16/2023,$74.44,1610642,$74.01,$74.46,$73.63
06/15/2023,$74.16,1547428,$73.70,$74.88,$73.50
06/14/2023,$73.75,999782,$74.08,$74.45,$72.68
06/13/2023,$72.81,1092101,$73.16,$74.18,$72.53
06/12/2023,$70.53,712017,$70.13,$70.94,$69.58
06/09/2023,$71.28,1060285,$72.03,$72.469,$71.02
06/08/2023,$71.95,811780,$72.07,$72.59,$71.04
06/07/2023,$71.49,830407,$71.42,$72.42,$71.07
06/06/2023,$71.35,706837,$70.34,$71.75,$70.33
06/05/2023,$70.47,783721,$70.95,$71.37,$69.35
06/02/2023,$70.94,1970447,$71.91,$72.8772,$70.53
06/01/2023,$68.70,1239984,$67.05,$69.26,$67.05
05/31/2023,$66.77,1134109,$66.28,$66.88,$65.42
05/30/2023,$67.04,1021800,$67.26,$67.55,$66.34
05/26/2023,$67.26,1179100,$67.27,$68.24,$66.61
05/25/2023,$65.19,1145259,$64.94,$66.05,$64.85
05/24/2023,$65.03,2085499,$66.30,$66.30,$64.6611
05/23/2023,$66.66,1907429,$68.37,$68.44,$66.395
05/22/2023,$69.39,881297,$68.79,$69.7663,$68.67
05/19/2023,$68.88,1080353,$70.00,$70.00,$68.72
05/18/2023,$69.08,1526199,$69.68,$69.73,$68.375
05/17/2023,$71.00,911070,$71.65,$71.65,$69.745
05/16/2023,$69.44,1618553,$71.19,$71.41,$69.19
05/15/2023,$72.30,1211372,$70.00,$72.53,$69.77
05/12/2023,$69.49,1351519,$69.39,$69.71,$68.82
05/11/2023,$69.45,2277375,$71.83,$72.15,$69.34
05/10/2023,$74.52,2265864,$77.90,$77.90,$73.06
05/09/2023,$79.04,757498,$77.89,$79.05,$77.35
05/08/2023,$78.95,770181,$79.20,$79.8199,$78.4812
05/05/2023,$79.21,1191701,$76.00,$79.70,$75.94
05/04/2023,$74.95,872699,$75.80,$76.31,$74.78
05/03/2023,$76.12,1089305,$76.68,$76.8175,$75.455
05/02/2023,$76.82,1246443,$75.87,$77.21,$75.725
05/01/2023,$76.96,951753,$78.52,$78.7999,$76.60
04/28/2023,$76.83,1198586,$74.94,$76.84,$74.92
04/27/2023,$75.49,932848,$75.11,$75.84,$73.95
04/26/2023,$75.49,1293753,$76.71,$76.72,$74.93
04/25/2023,$75.59,1505226,$77.45,$77.63,$75.10
04/24/2023,$79.49,813858,$78.34,$79.55,$77.75
04/21/2023,$78.65,1178857,$79.65,$79.88,$77.19
04/20/2023,$80.71,1094973,$80.63,$81.26,$80.22
04/19/2023,$81.68,1302878,$80.22,$82.05,$79.63
04/18/2023,$81.85,1347300,$80.48,$81.98,$80.43
04/17/2023,$79.96,1873376,$80.43,$80.98,$78.92
04/14/2023,$80.54,1184690,$80.58,$81.60,$79.87
04/13/2023,$80.49,1428447,$78.79,$80.78,$78.51
04/12/2023,$77.39,925475,$77.99,$78.105,$77.11
04/11/2023,$77.53,1012045,$76.88,$77.785,$76.27
04/10/2023,$75.16,611693,$74.71,$75.2199,$74.23
04/06/2023,$74.71,907584,$74.21,$74.86,$73.72
04/05/2023,$74.21,835609,$74.27,$74.57,$73.09
04/04/2023,$74.81,796727,$76.70,$76.70,$74.20
04/03/2023,$77.24,929490,$76.68,$77.315,$76.1601
03/31/2023,$76.25,752817,$75.88,$76.62,$75.64
03/30/2023,$75.77,976453,$74.51,$75.90,$74.3333
03/29/2023,$75.74,858114,$74.74,$75.77,$74.44
03/28/2023,$73.82,842259,$72.91,$73.87,$72.34
03/27/2023,$72.22,726696,$71.58,$72.59,$71.10
03/24/2023,$71.24,1110221,$70.82,$71.55,$69.88
03/23/2023,$71.36,792428,$71.58,$73.22,$70.64
03/22/2023,$70.96,1024035,$71.62,$73.35,$70.76
03/21/2023,$71.35,994336,$71.84,$72.72,$71.125
03/20/2023,$71.01,1960952,$69.41,$71.5746,$68.9468
03/17/2023,$68.11,2617218,$68.96,$69.05,$67.25
03/16/2023,$68.51,1941689,$67.09,$68.53,$66.47
03/15/2023,$68.06,2421598,$70.82,$71.12,$67.50
03/14/2023,$73.81,1313722,$74.17,$75.11,$73.02
03/13/2023,$72.53,1242317,$71.38,$73.44,$70.53
03/10/2023,$72.36,970336,$73.76,$74.59,$72.18
03/09/2023,$73.33,1311570,$74.72,$75.69,$72.80
03/08/2023,$74.91,1245828,$73.28,$75.19,$73.15
03/07/2023,$72.57,1689580,$76.00,$76.41,$72.35
03/06/2023,$76.77,1175382,$77.58,$77.96,$76.375
03/03/2023,$78.60,2039778,$75.99,$78.65,$75.49
03/02/2023,$75.24,1820948,$74.31,$75.35,$73.52
03/01/2023,$76.15,1208879,$75.64,$76.86,$75.26
02/28/2023,$73.69,1309998,$72.97,$74.15,$72.2604
02/27/2023,$72.50,841871,$71.60,$72.86,$71.31
02/24/2023,$71.20,1178048,$70.34,$71.37,$69.79
02/23/2023,$72.28,1122593,$73.32,$74.22,$71.34
02/22/2023,$73.71,905191,$73.48,$74.13,$72.95
02/21/2023,$74.36,917745,$75.58,$75.88,$74.10
02/17/2023,$74.04,1037401,$75.05,$75.36,$73.53
02/16/2023,$76.10,965932,$75.73,$76.90,$74.81
02/15/2023,$75.50,1229745,$72.97,$75.52,$72.51
02/14/2023,$74.74,853248,$73.25,$74.87,$72.79
02/13/2023,$73.72,1056416,$72.22,$74.17,$71.4524
02/10/2023,$73.59,966667,$74.00,$74.24,$72.92
02/09/2023,$74.46,1049765,$75.72,$76.26,$74.10
02/08/2023,$74.42,659442,$74.80,$75.23,$74.24
02/07/2023,$74.76,1052685,$75.52,$75.65,$73.72
02/06/2023,$74.85,1514795,$75.24,$75.30,$73.735
02/03/2023,$75.67,1512467,$76.23,$78.45,$75.21
02/02/2023,$76.11,1921094,$77.46,$77.735,$74.33
02/01/2023,$78.37,1842974,$74.41,$78.76,$73.62
01/31/2023,$75.21,1595598,$74.18,$75.79,$73.9721
01/30/2023,$74.59,1461833,$73.20,$75.46,$73.0035
01/27/2023,$74.58,1053769,$74.05,$75.19,$73.38
01/26/2023,$74.80,987257,$75.47,$75.96,$73.85
01/25/2023,$75.33,1014597,$74.36,$75.39,$74.06
01/24/2023,$75.40,1191747,$73.93,$75.7133,$72.86
01/23/2023,$74.23,1525226,$74.65,$74.87,$72.6104
01/20/2023,$75.05,1632787,$75.50,$75.66,$74.44
01/19/2023,$76.16,2358463,$74.89,$76.46,$74.30
01/18/2023,$75.34,2160929,$77.44,$78.07,$75.33
01/17/2023,$75.41,2530110,$76.41,$76.50,$74.76
01/13/2023,$77.06,2651086,$75.22,$77.28,$75.22
01/12/2023,$75.70,2095215,$74.93,$76.29,$73.09
01/11/2023,$73.51,2147744,$73.39,$73.98,$72.68
01/10/2023,$71.82,1880220,$69.86,$72.09,$69.72
01/09/2023,$69.18,1945401,$68.69,$70.0936,$68.33
01/06/2023,$67.40,1480003,$65.68,$68.01,$65.62
01/05/2023,$64.84,1782545,$63.41,$64.84,$62.46
01/04/2023,$63.22,1239757,$61.58,$63.33,$61.23
01/03/2023,$61.63,1587657,$60.96,$62.95,$60.87
12/30/2022,$60.39,1024294,$61.43,$61.79,$60.20
12/29/2022,$61.79,619947,$61.39,$61.9913,$61.0701
12/28/2022,$61.06,669160,$62.01,$62.35,$60.95
12/27/2022,$62.18,669939,$61.92,$62.34,$61.51
12/23/2022,$61.06,540793,$61.17,$61.4599,$60.49
12/22/2022,$60.86,854220,$60.98,$60.98,$59.60
12/21/2022,$61.62,656156,$61.18,$61.70,$60.76
12/20/2022,$60.41,647846,$60.00,$60.84,$60.00
12/19/2022,$59.52,719387,$60.37,$60.43,$59.15
12/16/2022,$59.76,1675367,$59.49,$60.31,$59.37
12/15/2022,$59.89,1313593,$60.65,$60.65,$59.46
12/14/2022,$61.29,680608,$61.07,$61.65,$60.50
12/13/2022,$61.07,1179786,$62.69,$63.155,$60.78
12/12/2022,$60.48,968175,$59.81,$60.665,$59.55
12/09/2022,$60.67,975935,$61.62,$62.455,$60.59
12/08/2022,$61.46,1499506,$61.60,$61.90,$60.97
12/07/2022,$60.03,1317963,$60.47,$61.70,$59.97
12/06/2022,$60.86,937395,$61.40,$62.175,$60.51
12/05/2022,$60.64,1079167,$62.29,$62.37,$60.49
12/02/2022,$61.97,785379,$60.46,$62.20,$60.12
12/01/2022,$61.46,1415500,$60.75,$61.84,$60.3131
11/30/2022,$61.02,2218285,$59.95,$61.24,$59.12
11/29/2022,$59.33,1203607,$59.16,$59.7122,$58.51
11/28/2022,$57.63,1034145,$58.47,$58.71,$57.3447
11/25/2022,$58.79,425807,$59.11,$59.35,$58.47
11/23/2022,$59.35,843676,$58.00,$59.52,$57.77
11/22/2022,$59.47,1197104,$58.24,$59.87,$57.97
11/21/2022,$57.25,889558,$57.07,$57.29,$56.26
