Date,Close/Last,Volume,Open,High,Low
10/20/2023,$50.87,9786418,$51.50,$51.85,$50.53
10/19/2023,$51.90,9981699,$52.10,$52.50,$51.58
10/18/2023,$51.84,9949099,$53.50,$53.91,$51.655
10/17/2023,$53.69,15991280,$53.25,$54.305,$52.0714
10/16/2023,$53.72,20509440,$50.61,$54.5993,$50.33
10/13/2023,$51.33,12480280,$52.01,$52.2413,$51.08
10/12/2023,$51.51,9412324,$52.03,$52.13,$50.765
10/11/2023,$51.91,8068491,$51.87,$52.49,$51.1219
10/10/2023,$51.78,8373761,$52.16,$52.59,$51.71
10/09/2023,$51.75,8168646,$50.86,$51.78,$50.84
10/06/2023,$51.52,11471270,$50.54,$51.85,$49.66
10/05/2023,$51.06,8601704,$51.11,$51.405,$50.02
10/04/2023,$51.41,10421900,$51.26,$51.58,$50.735
10/03/2023,$51.30,15459410,$52.93,$53.01,$50.75
10/02/2023,$53.55,8859268,$54.74,$54.96,$53.27
09/29/2023,$54.90,8061705,$55.10,$55.8099,$54.64
09/28/2023,$54.55,6154271,$54.52,$54.78,$53.91
09/27/2023,$54.38,7746685,$54.43,$55.23,$54.115
09/26/2023,$54.20,8948773,$54.74,$54.98,$53.53
09/25/2023,$55.35,6994312,$54.96,$55.525,$54.56
09/22/2023,$55.15,7022755,$56.00,$56.20,$55.12
09/21/2023,$56.01,8687342,$56.24,$56.85,$55.95
09/20/2023,$56.67,8877239,$57.91,$58.39,$56.63
09/19/2023,$57.73,7314305,$57.84,$58.20,$57.39
09/18/2023,$57.86,8713543,$57.99,$58.25,$56.94
09/15/2023,$58.22,23653410,$58.00,$58.62,$56.82
09/14/2023,$59.76,8074216,$59.35,$59.93,$59.07
09/13/2023,$58.73,13621260,$60.80,$60.98,$57.895
09/12/2023,$60.52,9448205,$59.91,$61.15,$59.81
09/11/2023,$59.82,7641813,$59.89,$60.5903,$59.62
09/08/2023,$59.33,9556433,$57.63,$59.43,$57.58
09/07/2023,$57.82,6351593,$58.25,$58.6033,$57.62
09/06/2023,$58.27,8534787,$58.97,$59.30,$57.665
09/05/2023,$59.68,6085835,$60.70,$60.96,$59.625
09/01/2023,$60.50,9392583,$59.57,$60.86,$59.50
08/31/2023,$59.15,6687685,$59.78,$59.85,$59.03
08/30/2023,$59.78,10298980,$59.61,$60.255,$59.29
08/29/2023,$59.45,7604212,$59.12,$59.9012,$58.50
08/28/2023,$59.05,4952719,$58.52,$59.17,$58.47
08/25/2023,$58.15,8367181,$58.23,$58.55,$57.58
08/24/2023,$57.84,6727382,$58.00,$58.69,$57.39
08/23/2023,$58.02,10628410,$56.45,$58.115,$56.35
08/22/2023,$56.46,17506470,$59.70,$59.70,$56.26
08/21/2023,$59.40,7448788,$59.54,$59.69,$58.67
08/18/2023,$59.52,5949355,$59.09,$59.85,$58.96
08/17/2023,$59.77,8660735,$60.30,$60.64,$59.64
08/16/2023,$60.45,6402762,$60.51,$61.04,$60.365
08/15/2023,$60.97,8753427,$61.00,$61.36,$60.38
08/14/2023,$61.78,12327550,$63.73,$63.77,$61.535
08/11/2023,$64.08,6573186,$64.24,$64.875,$63.94
08/10/2023,$64.54,7346990,$65.24,$65.90,$64.495
08/09/2023,$65.29,6617525,$65.40,$65.935,$64.85
08/08/2023,$65.52,6325623,$64.78,$65.69,$63.86
08/07/2023,$65.97,5825119,$65.37,$66.07,$65.20
08/04/2023,$64.92,7367023,$65.81,$65.95,$64.715
08/03/2023,$65.87,7428392,$65.06,$66.26,$65.00
08/02/2023,$65.34,9587630,$65.13,$65.59,$64.83
08/01/2023,$65.72,5946189,$65.74,$65.94,$65.38
07/31/2023,$66.10,8653024,$66.12,$66.21,$65.23
07/28/2023,$65.96,6681313,$66.10,$66.57,$65.71
07/27/2023,$65.82,9199033,$66.45,$67.52,$65.58
07/26/2023,$66.62,6704694,$65.68,$67.07,$65.65
07/25/2023,$65.44,9973193,$66.20,$66.67,$65.1481
07/24/2023,$66.56,7414643,$66.69,$67.34,$66.34
07/21/2023,$66.48,9887944,$68.19,$68.26,$66.46
07/20/2023,$67.94,13621630,$65.97,$67.98,$65.78
07/19/2023,$66.04,22152960,$67.87,$68.80,$66.02
07/18/2023,$66.01,45988500,$64.65,$66.95,$64.00
07/17/2023,$58.64,15512650,$58.38,$59.3375,$58.10
07/14/2023,$58.52,12775200,$60.26,$60.27,$58.48
07/13/2023,$59.93,12598340,$58.74,$59.98,$58.70
07/12/2023,$58.41,8909938,$58.20,$58.80,$58.00
07/11/2023,$57.58,8436386,$58.00,$58.13,$57.38
07/10/2023,$57.83,8258896,$57.75,$57.99,$57.09
07/07/2023,$56.79,9493648,$55.81,$57.40,$55.73
07/06/2023,$55.96,8739480,$56.17,$56.50,$55.435
07/05/2023,$56.69,7985088,$57.38,$57.56,$56.5692
07/03/2023,$57.72,6410597,$56.64,$58.095,$56.64
06/30/2023,$56.68,18007610,$57.55,$57.82,$56.07
06/29/2023,$57.14,15151100,$56.82,$57.345,$56.49
06/28/2023,$55.78,9910623,$55.46,$55.81,$55.04
06/27/2023,$55.22,12367320,$53.74,$55.40,$53.07
06/26/2023,$53.41,10131400,$53.31,$53.64,$52.965
06/23/2023,$53.17,21942900,$52.70,$53.355,$52.51
