Date,Close/Last,Volume,Open,High,Low
10/20/2023,$82.90,21315900,$75.57,$85.39,$72.37
10/19/2023,$113.98,2647010,$120.74,$120.74,$113.43
10/18/2023,$120.78,1478345,$125.74,$126.09,$120.49
10/17/2023,$127.65,2020552,$121.55,$130.38,$121.10
10/16/2023,$123.60,1762044,$119.50,$125.085,$117.72
10/13/2023,$119.76,1111658,$121.61,$123.05,$119.205
10/12/2023,$120.65,1690784,$126.38,$126.38,$118.72
10/11/2023,$124.54,1854012,$126.12,$128.43,$122.46
10/10/2023,$124.99,2497884,$120.01,$127.05,$120.00
10/09/2023,$119.22,2807922,$120.09,$122.65,$116.5601
10/06/2023,$123.97,1533414,$118.36,$125.26,$118.00
10/05/2023,$120.62,2134593,$126.34,$127.49,$117.57
10/04/2023,$125.31,3254768,$120.25,$127.68,$117.71
10/03/2023,$120.31,2380493,$120.12,$121.50,$118.28
10/02/2023,$122.56,2521409,$125.11,$127.25,$121.57
09/29/2023,$129.51,1812448,$133.80,$135.95,$128.145
09/28/2023,$130.74,1813306,$128.67,$132.6699,$125.26
09/27/2023,$128.01,1792019,$128.55,$132.45,$127.70
09/26/2023,$127.27,2222207,$130.78,$130.78,$126.83
09/25/2023,$131.87,1639035,$133.50,$138.16,$131.44
09/22/2023,$134.60,1276036,$137.87,$137.87,$132.795
09/21/2023,$136.29,1183522,$137.11,$139.415,$136.22
09/20/2023,$139.20,1425046,$138.71,$141.70,$136.8866
09/19/2023,$138.46,1983067,$135.72,$141.33,$135.72
09/18/2023,$136.22,1693670,$139.06,$139.0981,$135.87
09/15/2023,$140.29,3136008,$143.90,$145.57,$139.52
09/14/2023,$144.76,2113294,$146.825,$147.62,$142.30
09/13/2023,$144.97,1815125,$149.55,$151.99,$143.43
09/12/2023,$150.87,1823087,$148.46,$153.08,$147.82
09/11/2023,$148.26,1848454,$151.38,$151.975,$147.724
09/08/2023,$148.85,1960283,$150.97,$151.27,$146.10
09/07/2023,$152.29,1402765,$152.75,$152.985,$147.955
09/06/2023,$155.90,1489759,$160.63,$160.98,$154.42
09/05/2023,$161.67,1064484,$161.70,$163.485,$160.91
09/01/2023,$161.95,1130137,$163.84,$167.87,$161.24
08/31/2023,$162.57,1504540,$164.21,$166.18,$161.295
08/30/2023,$164.11,930913,$166.27,$167.56,$163.46
08/29/2023,$166.57,928617,$161.47,$166.835,$160.78
08/28/2023,$161.47,948140,$163.44,$164.74,$159.3949
08/25/2023,$161.70,1373096,$156.84,$162.74,$156.47
08/24/2023,$156.94,1833034,$167.50,$167.935,$156.74
08/23/2023,$167.07,938008,$165.54,$169.49,$163.26
08/22/2023,$164.16,1108098,$164.94,$165.72,$161.50
08/21/2023,$163.00,889639,$163.34,$164.45,$161.54
08/18/2023,$162.34,1447880,$159.64,$163.38,$158.01
08/17/2023,$162.77,1634579,$162.60,$166.54,$161.77
08/16/2023,$162.32,2462607,$162.60,$167.76,$161.13
08/15/2023,$170.00,1466067,$175.05,$175.8199,$169.86
08/14/2023,$176.99,982937,$176.71,$177.85,$172.48
08/11/2023,$176.35,1413721,$176.00,$177.175,$174.03
08/10/2023,$177.84,2089669,$184.03,$186.79,$176.94
