Date,Close/Last,Volume,Open,High,Low
01/05/2024,$36.90,2815972,$35.89,$37.18,$35.74
01/04/2024,$36.25,1522520,$35.88,$36.37,$35.44
01/03/2024,$35.58,1372898,$36.00,$36.60,$35.41
01/02/2024,$36.83,1164721,$36.24,$37.58,$35.99
12/29/2023,$36.52,982483,$36.67,$36.95,$36.32
12/28/2023,$36.97,1141210,$36.44,$37.17,$36.34
12/27/2023,$36.34,1148051,$36.94,$36.94,$36.30
12/26/2023,$36.81,1128852,$36.50,$36.96,$36.44
12/22/2023,$36.58,1154656,$36.69,$37.04,$36.31
12/21/2023,$36.67,1949112,$35.99,$36.70,$35.56
12/20/2023,$35.43,2829877,$36.33,$36.4275,$35.41
12/19/2023,$36.54,1855703,$36.40,$36.63,$36.08
12/18/2023,$36.00,2769063,$35.81,$36.27,$35.2005
12/15/2023,$35.70,31655130,$36.28,$36.28,$35.11
12/14/2023,$36.24,3387809,$35.50,$37.88,$35.50
12/13/2023,$34.76,2090790,$32.86,$34.93,$32.63
12/12/2023,$33.05,1941260,$33.67,$33.67,$32.59
12/11/2023,$33.64,1906237,$33.61,$34.05,$33.1902
12/08/2023,$33.81,1489483,$34.16,$34.50,$33.74
12/07/2023,$34.22,2606761,$32.89,$34.34,$32.78
12/06/2023,$32.76,2355294,$32.05,$32.99,$32.05
12/05/2023,$31.70,3580026,$33.10,$33.11,$31.47
12/04/2023,$33.50,2640423,$33.68,$34.47,$33.42
12/01/2023,$34.06,1749407,$33.39,$34.33,$33.20
11/30/2023,$33.38,9649109,$33.02,$33.64,$32.39
11/29/2023,$33.16,2435859,$33.11,$33.66,$32.975
11/28/2023,$32.81,2232978,$32.99,$33.19,$32.57
11/27/2023,$33.14,1934883,$33.21,$33.49,$32.67
11/24/2023,$33.54,698487,$33.12,$33.75,$32.93
11/22/2023,$33.04,1295359,$33.32,$33.48,$32.855
11/21/2023,$33.34,1317592,$33.56,$33.56,$33.04
11/20/2023,$33.61,2662629,$33.29,$33.76,$32.61
11/17/2023,$33.30,1786858,$33.39,$33.61,$32.97
11/16/2023,$33.15,1510674,$33.50,$33.6892,$33.01
11/15/2023,$33.57,3489086,$33.47,$34.78,$33.36
11/14/2023,$33.44,1842694,$32.53,$34.10,$32.34
11/13/2023,$31.61,1891408,$32.18,$32.38,$31.28
11/10/2023,$32.34,1645004,$32.60,$32.83,$31.93
11/09/2023,$32.56,1304989,$33.62,$33.62,$32.47
11/08/2023,$33.53,2096872,$33.27,$33.6975,$32.82
11/07/2023,$33.28,1650555,$33.32,$33.685,$33.08
11/06/2023,$33.56,2352102,$34.88,$34.99,$33.24
11/03/2023,$34.62,2907505,$33.73,$35.045,$33.73
11/02/2023,$33.08,3504542,$33.90,$33.91,$31.60
11/01/2023,$30.44,2973002,$31.09,$31.13,$29.92
10/31/2023,$30.79,3284928,$31.48,$31.5612,$30.515
10/30/2023,$31.49,1762758,$31.37,$31.80,$31.00
10/27/2023,$30.88,2232667,$30.89,$31.02,$30.47
10/26/2023,$30.81,2631494,$30.94,$31.69,$30.62
10/25/2023,$30.81,3447516,$30.16,$30.945,$30.08
10/24/2023,$30.27,4076253,$29.50,$30.79,$29.25
10/23/2023,$28.58,1481173,$28.71,$28.98,$28.50
10/20/2023,$29.05,1469589,$28.98,$29.375,$28.90
10/19/2023,$29.03,1440569,$29.18,$29.89,$28.95
10/18/2023,$29.40,1099505,$29.53,$29.795,$29.245
10/17/2023,$29.97,1087987,$29.71,$30.60,$29.58
10/16/2023,$29.97,1877747,$29.81,$30.235,$29.35
10/13/2023,$29.55,1506585,$29.87,$29.9799,$29.32
10/12/2023,$29.73,2144583,$31.08,$31.115,$29.495
10/11/2023,$30.97,1748386,$31.28,$31.75,$30.66
