Date,Close/Last,Volume,Open,High,Low
01/17/2024,$11.95,547450,$11.80,$11.995,$11.76
01/16/2024,$11.89,680980,$11.96,$11.99,$11.8117
01/12/2024,$11.90,726705,$11.97,$12.0499,$11.87
01/11/2024,$11.75,696418,$11.60,$11.755,$11.465
01/10/2024,$11.62,511070,$11.66,$11.765,$11.57
01/09/2024,$11.63,1026038,$11.86,$11.86,$11.545
01/08/2024,$11.88,735645,$11.86,$11.89,$11.67
01/05/2024,$12.04,1005103,$11.73,$12.10,$11.73
01/04/2024,$11.73,854407,$11.73,$11.87,$11.68
01/03/2024,$11.59,874037,$11.41,$11.66,$11.40
01/02/2024,$11.37,746311,$11.37,$11.485,$11.31
12/29/2023,$11.28,852583,$11.36,$11.36,$11.17
12/28/2023,$11.36,657319,$11.46,$11.53,$11.33
12/27/2023,$11.52,577909,$11.55,$11.665,$11.51
12/26/2023,$11.62,685501,$11.73,$11.75,$11.52
12/22/2023,$11.71,795078,$11.60,$11.74,$11.60
12/21/2023,$11.54,915940,$11.32,$11.55,$11.32
12/20/2023,$11.25,880241,$11.39,$11.49,$11.24
12/19/2023,$11.36,559034,$11.30,$11.39,$11.25
12/18/2023,$11.26,884141,$11.15,$11.42,$11.15
12/15/2023,$11.10,1330584,$11.07,$11.23,$10.99
12/14/2023,$11.04,975633,$11.16,$11.20,$11.002
12/13/2023,$11.23,857703,$11.05,$11.24,$10.955
12/12/2023,$11.04,603870,$11.07,$11.08,$10.95
12/11/2023,$11.04,747453,$11.17,$11.17,$10.99
12/08/2023,$11.17,544428,$11.07,$11.17,$11.055
12/07/2023,$11.00,836976,$11.10,$11.11,$10.91
12/06/2023,$11.05,952864,$11.34,$11.40,$11.03
12/05/2023,$11.37,641977,$11.53,$11.57,$11.365
12/04/2023,$11.53,827906,$11.55,$11.665,$11.48
12/01/2023,$11.53,783811,$11.32,$11.56,$11.31
11/30/2023,$11.36,2213044,$11.22,$11.49,$11.21
11/29/2023,$11.23,590322,$11.23,$11.35,$11.15
11/28/2023,$11.18,527265,$11.31,$11.345,$11.15
11/27/2023,$11.34,568475,$11.37,$11.38,$11.26
11/24/2023,$11.37,699025,$11.20,$11.57,$11.20
11/22/2023,$11.17,662327,$11.09,$11.225,$10.97
11/21/2023,$11.11,635226,$11.18,$11.23,$11.09
11/20/2023,$11.20,782769,$11.22,$11.399,$11.17
11/17/2023,$11.19,834126,$11.00,$11.275,$11.00
11/16/2023,$10.92,513732,$11.12,$11.16,$10.88
11/15/2023,$11.19,678629,$11.25,$11.32,$11.11
11/14/2023,$11.19,1062418,$11.08,$11.22,$10.96
11/13/2023,$10.96,581159,$10.95,$10.99,$10.835
11/10/2023,$10.88,594841,$10.85,$10.96,$10.80
11/09/2023,$10.78,550037,$10.88,$11.09,$10.74
11/08/2023,$10.90,1877747,$10.86,$10.95,$10.2694
11/07/2023,$10.98,769115,$11.06,$11.08,$10.88
11/06/2023,$11.16,521301,$11.24,$11.24,$11.09
11/03/2023,$11.20,540990,$11.23,$11.29,$11.16
11/02/2023,$11.26,719366,$11.11,$11.27,$11.09
11/01/2023,$11.04,555058,$10.90,$11.0899,$10.83
10/31/2023,$10.86,478945,$10.78,$10.94,$10.72
