Date,Close/Last,Volume,Open,High,Low
10/23/2023,$33.02,575616,$33.17,$33.44,$32.77
10/20/2023,$33.23,639933,$33.51,$33.62,$33.16
10/19/2023,$33.39,610838,$33.39,$33.76,$33.02
10/18/2023,$33.39,549762,$33.23,$33.62,$32.87
10/17/2023,$33.54,647598,$32.23,$33.77,$32.23
10/16/2023,$32.34,521329,$32.28,$32.635,$32.20
10/13/2023,$31.96,590997,$31.75,$32.21,$31.52
10/12/2023,$31.84,462567,$32.84,$32.88,$31.34
10/11/2023,$32.76,550812,$32.38,$32.83,$32.31
10/10/2023,$32.38,544540,$32.14,$32.65,$32.05
10/09/2023,$32.16,522564,$31.26,$32.24,$31.25
10/06/2023,$31.38,458959,$31.28,$31.71,$31.01
10/05/2023,$31.41,523610,$31.35,$31.81,$31.03
10/04/2023,$31.44,357730,$31.43,$31.65,$31.01
10/03/2023,$31.36,354638,$31.70,$31.94,$31.125
10/02/2023,$31.79,427593,$31.76,$31.93,$31.53
09/29/2023,$31.77,513088,$32.20,$32.33,$31.71
09/28/2023,$31.44,577933,$30.87,$31.78,$30.87
09/27/2023,$30.85,495361,$30.89,$31.28,$30.69
09/26/2023,$30.84,567443,$30.98,$31.3392,$30.82
09/25/2023,$31.09,449007,$30.58,$31.45,$30.35
09/22/2023,$30.86,402400,$31.02,$31.21,$30.74
09/21/2023,$30.89,469456,$31.26,$31.395,$30.80
09/20/2023,$31.39,507066,$31.86,$32.02,$31.37
09/19/2023,$31.84,656689,$31.68,$32.035,$31.60
09/18/2023,$31.42,487414,$31.79,$31.85,$31.34
09/15/2023,$31.80,1525291,$31.92,$32.14,$31.63
09/14/2023,$31.96,523223,$31.74,$32.139,$31.48
09/13/2023,$31.59,954438,$31.80,$31.80,$31.32
09/12/2023,$32.05,939480,$33.28,$33.47,$32.01
09/11/2023,$33.49,527779,$34.01,$34.025,$33.41
09/08/2023,$33.80,644904,$33.99,$33.99,$33.29
09/07/2023,$33.93,607756,$33.88,$34.035,$33.473
09/06/2023,$33.87,828697,$33.84,$34.03,$33.43
09/05/2023,$33.85,926241,$34.88,$34.88,$33.85
09/01/2023,$35.09,492660,$34.62,$35.22,$34.58
08/31/2023,$34.50,569083,$34.73,$34.92,$34.49
08/30/2023,$34.70,501612,$34.65,$34.85,$34.38
08/29/2023,$34.65,426358,$33.92,$34.67,$33.82
08/28/2023,$34.05,573043,$33.75,$34.48,$33.71
08/25/2023,$33.61,665673,$33.59,$34.045,$33.16
08/24/2023,$33.53,838212,$34.05,$34.17,$33.49
08/23/2023,$34.16,542814,$33.60,$34.31,$33.27
08/22/2023,$33.99,908620,$34.10,$34.215,$33.74
08/21/2023,$34.30,732681,$34.71,$34.955,$34.07
08/18/2023,$34.72,692991,$33.93,$34.809,$33.93
08/17/2023,$34.06,552599,$34.75,$34.93,$34.06
08/16/2023,$34.60,959125,$35.30,$35.775,$34.465
08/15/2023,$35.24,693092,$34.63,$35.39,$34.5602
08/14/2023,$34.88,802498,$34.87,$35.21,$34.28
08/11/2023,$34.98,640701,$34.87,$35.40,$34.76
08/10/2023,$35.01,593048,$35.25,$35.85,$34.835
08/09/2023,$35.17,563736,$35.33,$35.60,$34.995
08/08/2023,$35.42,664814,$34.84,$35.54,$34.52
08/07/2023,$35.34,949733,$36.43,$36.63,$34.98
08/04/2023,$36.18,831363,$36.42,$36.46,$35.43
08/03/2023,$36.20,1224042,$34.40,$36.38,$34.39
08/02/2023,$34.16,1488789,$33.47,$35.36,$32.46
08/01/2023,$33.03,688363,$33.34,$33.42,$32.32
07/31/2023,$33.38,646296,$33.79,$34.14,$33.32
07/28/2023,$33.77,741407,$33.70,$34.12,$33.65
07/27/2023,$33.31,728500,$33.49,$33.76,$32.75
07/26/2023,$33.44,608955,$33.48,$34.02,$33.15
07/25/2023,$33.47,824063,$33.25,$33.56,$32.87
07/24/2023,$33.25,650245,$32.49,$33.305,$32.35
07/21/2023,$32.43,708316,$32.45,$32.86,$32.195
07/20/2023,$32.16,650363,$32.60,$32.68,$32.05
07/19/2023,$32.54,646998,$32.59,$32.805,$32.31
07/18/2023,$32.66,481861,$32.52,$32.90,$32.22
07/17/2023,$32.52,550575,$32.46,$32.91,$32.105
