Date,Close/Last,Volume,Open,High,Low
01/05/2024,$9.90,2040403,$9.83,$9.99,$9.825
01/04/2024,$9.64,1053701,$9.60,$9.70,$9.60
01/03/2024,$9.60,1236561,$9.59,$9.625,$9.565
01/02/2024,$9.64,1170141,$9.62,$9.66,$9.58
12/29/2023,$9.68,1228236,$9.64,$9.70,$9.64
12/28/2023,$9.63,1267217,$9.60,$9.685,$9.60
12/27/2023,$9.52,1250352,$9.52,$9.555,$9.51
12/26/2023,$9.48,1105180,$9.45,$9.495,$9.43
12/22/2023,$9.54,3181339,$9.55,$9.59,$9.50
12/21/2023,$9.30,6919342,$9.29,$9.35,$9.23
12/20/2023,$9.16,4369138,$9.24,$9.29,$9.16
12/19/2023,$9.24,2523487,$9.22,$9.27,$9.195
12/18/2023,$9.24,2274976,$9.28,$9.28,$9.20
12/15/2023,$9.34,5679308,$9.51,$9.54,$9.32
12/14/2023,$9.98,3719615,$9.83,$10.06,$9.81
12/13/2023,$10.13,2101479,$10.05,$10.18,$10.02
12/12/2023,$10.02,1572193,$9.95,$10.02,$9.91
12/11/2023,$9.97,1260834,$10.02,$10.08,$9.90
12/08/2023,$10.06,1545554,$9.97,$10.06,$9.95
12/07/2023,$9.96,3189051,$9.87,$9.97,$9.84
12/06/2023,$9.62,2241216,$9.70,$9.745,$9.61
12/05/2023,$9.60,6075929,$9.72,$9.74,$9.5716
12/04/2023,$9.76,1433897,$9.74,$9.805,$9.73
12/01/2023,$9.92,1244553,$9.85,$9.94,$9.85
11/30/2023,$9.87,1112029,$9.83,$9.90,$9.83
11/29/2023,$9.86,1335867,$9.85,$9.87,$9.81
11/28/2023,$10.00,1344007,$9.99,$10.01,$9.95
11/27/2023,$9.99,1711202,$10.01,$10.01,$9.96
11/24/2023,$9.83,641339,$9.82,$9.85,$9.82
11/22/2023,$9.87,1093066,$9.90,$9.92,$9.87
11/21/2023,$9.93,1583684,$9.93,$9.97,$9.91
11/20/2023,$9.97,3252053,$9.96,$10.00,$9.95
11/17/2023,$9.88,2071557,$9.85,$9.90,$9.8302
11/16/2023,$9.62,3155377,$9.66,$9.68,$9.575
11/15/2023,$9.47,2919128,$9.46,$9.50,$9.40
11/14/2023,$9.78,4432730,$9.66,$9.79,$9.645
11/13/2023,$9.26,2935938,$9.32,$9.365,$9.24
11/10/2023,$9.29,3791459,$9.28,$9.31,$9.17
11/09/2023,$9.14,1704386,$9.19,$9.225,$9.14
11/08/2023,$9.05,3200009,$9.19,$9.20,$9.03
11/07/2023,$9.71,958987,$9.70,$9.73,$9.66
11/06/2023,$9.80,1844832,$9.83,$9.83,$9.75
11/03/2023,$10.15,1943555,$10.05,$10.21,$10.05
11/02/2023,$10.00,1343118,$9.95,$10.015,$9.925
11/01/2023,$9.86,1900749,$9.84,$9.905,$9.785
10/31/2023,$9.67,1397701,$9.65,$9.67,$9.62
10/30/2023,$9.75,3394336,$9.57,$9.7994,$9.54
10/27/2023,$9.61,1958057,$9.69,$9.73,$9.585
10/26/2023,$9.52,2674987,$9.48,$9.57,$9.43
10/25/2023,$9.60,2700521,$9.55,$9.62,$9.545
10/24/2023,$9.48,916092,$9.47,$9.49,$9.43
10/23/2023,$9.46,1605464,$9.44,$9.53,$9.43
10/20/2023,$9.50,1932580,$9.59,$9.59,$9.4812
10/19/2023,$9.62,3963402,$9.67,$9.75,$9.61
10/18/2023,$9.73,1194351,$9.81,$9.8212,$9.72
10/17/2023,$9.77,1261268,$9.68,$9.84,$9.65
10/16/2023,$9.70,1114307,$9.66,$9.7258,$9.63
10/13/2023,$9.67,2179659,$9.71,$9.75,$9.64
10/12/2023,$9.79,1880137,$9.88,$9.90,$9.73
10/11/2023,$9.89,1111857,$9.93,$9.93,$9.84
10/10/2023,$9.97,1103888,$10.00,$10.035,$9.97
10/09/2023,$9.80,817484,$9.76,$9.82,$9.745
10/06/2023,$9.83,1553528,$9.72,$9.85,$9.69
10/05/2023,$9.78,3200547,$9.74,$9.80,$9.7216
10/04/2023,$9.49,4631137,$9.55,$9.55,$9.40
10/03/2023,$9.76,1513205,$9.75,$9.82,$9.72
10/02/2023,$9.84,1925397,$9.88,$9.90,$9.80
09/29/2023,$9.85,2015623,$9.86,$9.92,$9.80
09/28/2023,$10.08,1678454,$10.01,$10.15,$9.98
09/27/2023,$10.12,1681311,$10.14,$10.15,$10.045
09/26/2023,$10.13,1821535,$10.17,$10.24,$10.13
09/25/2023,$10.12,2286530,$10.15,$10.15,$9.9723
09/22/2023,$10.35,2781737,$10.50,$10.58,$10.35
09/21/2023,$10.27,4086147,$10.33,$10.39,$10.26
09/20/2023,$10.20,1315115,$10.28,$10.31,$10.20
09/19/2023,$10.28,1386638,$10.24,$10.31,$10.24
09/18/2023,$9.96,775819,$9.97,$9.97,$9.92
09/15/2023,$9.95,1959290,$9.98,$10.0278,$9.95
09/14/2023,$10.17,1665879,$10.15,$10.20,$10.1269
09/13/2023,$10.06,1258045,$10.02,$10.12,$10.02
09/12/2023,$9.95,1323410,$9.96,$9.995,$9.92
09/11/2023,$9.96,1790658,$9.93,$9.97,$9.90
09/08/2023,$9.36,696563,$9.37,$9.38,$9.32
09/07/2023,$9.43,785186,$9.42,$9.45,$9.41
09/06/2023,$9.42,1073735,$9.45,$9.47,$9.39
09/05/2023,$9.31,1058710,$9.36,$9.40,$9.3039
09/01/2023,$9.28,928790,$9.34,$9.355,$9.275
08/31/2023,$9.10,936801,$9.14,$9.14,$9.06
08/30/2023,$9.10,1247587,$9.14,$9.16,$9.08
08/29/2023,$9.06,812259,$9.01,$9.06,$8.95
08/28/2023,$9.06,1465145,$9.03,$9.09,$9.02
08/25/2023,$8.92,1085259,$8.92,$8.945,$8.855
08/24/2023,$8.88,874580,$8.92,$8.945,$8.88
08/23/2023,$8.90,883130,$8.90,$8.92,$8.875
08/22/2023,$8.78,1356876,$8.87,$8.90,$8.77
08/21/2023,$8.62,904297,$8.63,$8.65,$8.59
08/18/2023,$8.61,1361544,$8.60,$8.65,$8.60
08/17/2023,$8.61,916089,$8.72,$8.72,$8.61
08/16/2023,$8.56,926037,$8.63,$8.64,$8.55
08/15/2023,$8.70,1169980,$8.73,$8.765,$8.70
08/14/2023,$8.79,1538944,$8.78,$8.82,$8.71
08/11/2023,$8.90,817338,$8.91,$8.935,$8.89
08/10/2023,$8.90,1243174,$8.91,$9.01,$8.90
08/09/2023,$8.84,1113430,$8.83,$8.90,$8.81
08/08/2023,$8.97,1403699,$9.02,$9.03,$8.92
08/07/2023,$9.19,581997,$9.15,$9.20,$9.13
08/04/2023,$9.16,1578655,$9.20,$9.2584,$9.15
08/03/2023,$8.96,1185073,$8.94,$9.00,$8.94
08/02/2023,$8.95,1958110,$8.99,$9.02,$8.91
08/01/2023,$9.07,1512100,$9.14,$9.145,$9.04
07/31/2023,$9.32,1435123,$9.40,$9.406,$9.26
07/28/2023,$9.45,2958409,$9.51,$9.58,$9.40
07/27/2023,$9.16,3770417,$9.04,$9.24,$8.9915
07/26/2023,$8.98,982462,$8.95,$9.005,$8.93
07/25/2023,$8.92,951745,$8.93,$8.9564,$8.92
07/24/2023,$8.89,1590850,$8.89,$8.929,$8.86
07/21/2023,$8.93,2651324,$9.10,$9.10,$8.92
07/20/2023,$9.23,3514260,$9.23,$9.27,$9.155
07/19/2023,$9.24,1039248,$9.25,$9.29,$9.21
07/18/2023,$9.27,1664648,$9.28,$9.34,$9.26
07/17/2023,$9.05,1047845,$9.03,$9.05,$8.98
