Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.93,572854,$48.80,$49.79,$48.46
01/04/2024,$48.65,998480,$47.80,$49.005,$47.55
01/03/2024,$47.95,1109420,$50.31,$50.39,$47.93
01/02/2024,$50.44,1029516,$50.56,$50.89,$49.72
12/29/2023,$51.17,475588,$51.32,$52.21,$50.96
12/28/2023,$51.47,1171299,$53.26,$53.3965,$50.89
12/27/2023,$51.48,691682,$51.14,$51.49,$50.04
12/26/2023,$51.00,420742,$50.94,$51.215,$50.64
12/22/2023,$50.64,352495,$50.72,$51.13,$50.35
12/21/2023,$50.51,701367,$50.55,$50.83,$49.97
12/20/2023,$49.70,688429,$51.03,$51.55,$49.63
12/19/2023,$51.34,1024327,$50.33,$51.78,$49.94
12/18/2023,$50.12,1042412,$49.36,$50.23,$48.6453
12/15/2023,$49.17,1051456,$50.29,$50.30,$48.76
12/14/2023,$50.00,2236982,$48.61,$50.89,$48.55
12/13/2023,$48.46,724016,$47.30,$48.47,$46.85
12/12/2023,$47.28,586755,$47.50,$47.78,$46.66
12/11/2023,$47.65,801482,$47.40,$48.12,$47.06
12/08/2023,$47.58,945736,$47.87,$47.99,$46.90
12/07/2023,$47.71,1372271,$47.24,$48.40,$47.00
12/06/2023,$47.41,3909508,$49.32,$50.12,$46.79
12/05/2023,$48.46,1226679,$46.08,$48.66,$45.70
12/04/2023,$46.64,762655,$46.60,$47.785,$45.87
12/01/2023,$49.01,1220003,$46.93,$49.05,$46.60
11/30/2023,$47.00,749093,$46.08,$47.2986,$45.35
11/29/2023,$46.52,1605993,$49.00,$49.25,$46.50
11/28/2023,$48.90,1173537,$47.15,$49.4899,$46.22
11/27/2023,$46.63,1330898,$47.26,$47.5999,$45.69
11/24/2023,$47.79,377560,$47.75,$48.00,$46.71
11/22/2023,$47.40,1087595,$46.49,$48.66,$46.3986
11/21/2023,$46.30,628196,$45.70,$47.08,$45.2191
11/20/2023,$45.91,659262,$46.21,$47.00,$44.97
11/17/2023,$46.00,1063572,$44.20,$46.00,$43.31
11/16/2023,$43.98,1329355,$44.15,$44.31,$43.25
11/15/2023,$44.00,2838773,$43.20,$45.01,$42.905
11/14/2023,$43.18,2228152,$42.90,$44.57,$42.74
11/13/2023,$42.14,1036273,$42.92,$42.92,$41.12
