Date,Close/Last,Volume,Open,High,Low
01/05/2024,$16.55,21581020,$16.12,$16.6775,$16.102
01/04/2024,$16.20,15922940,$15.75,$16.28,$15.685
01/03/2024,$15.78,28496090,$15.52,$16.04,$15.27
01/02/2024,$16.14,29687040,$16.52,$16.555,$15.93
12/29/2023,$16.93,16693460,$17.03,$17.21,$16.83
12/28/2023,$17.05,13845160,$16.92,$17.20,$16.82
12/27/2023,$16.95,15975370,$16.73,$16.99,$16.68
12/26/2023,$16.78,13944250,$17.06,$17.10,$16.68
12/22/2023,$17.05,21576680,$17.20,$17.32,$16.89
12/21/2023,$17.23,34281570,$16.94,$17.29,$16.70
12/20/2023,$16.60,28279680,$16.98,$17.30,$16.59
12/19/2023,$17.18,52580590,$16.54,$17.255,$16.17
12/18/2023,$17.02,49763570,$17.44,$17.90,$16.80
12/15/2023,$16.92,35572630,$17.04,$17.22,$16.53
12/14/2023,$16.94,39763750,$16.67,$17.23,$16.57
12/13/2023,$16.45,26639280,$16.00,$16.54,$15.84
12/12/2023,$15.85,27396350,$15.63,$16.06,$15.445
12/11/2023,$15.75,32187070,$15.82,$15.95,$15.52
12/08/2023,$15.09,20718270,$14.70,$15.305,$14.68
12/07/2023,$14.76,15148790,$14.74,$14.85,$14.54
12/06/2023,$14.77,27154520,$14.83,$15.36,$14.77
12/05/2023,$14.60,18141110,$14.16,$14.66,$14.1101
12/04/2023,$14.30,21274370,$14.06,$14.38,$13.965
12/01/2023,$14.14,23416250,$13.75,$14.24,$13.615
11/30/2023,$13.83,51167400,$13.49,$14.23,$13.485
11/29/2023,$12.98,15299960,$12.94,$13.085,$12.82
11/28/2023,$12.84,14907000,$12.605,$12.87,$12.58
11/27/2023,$12.68,16203020,$12.41,$12.80,$12.41
11/24/2023,$12.52,10797730,$12.24,$12.56,$12.24
11/22/2023,$12.31,10119850,$12.17,$12.32,$12.03
11/21/2023,$12.06,10266430,$11.98,$12.15,$11.89
11/20/2023,$12.15,14560750,$11.88,$12.30,$11.87
11/17/2023,$11.89,22116400,$11.91,$11.995,$11.50
11/16/2023,$12.07,22969640,$12.13,$12.34,$11.80
11/15/2023,$12.20,21312720,$12.12,$12.32,$11.94
11/14/2023,$12.15,38147380,$12.05,$12.425,$12.04
11/13/2023,$11.30,12118750,$11.33,$11.435,$11.15
11/10/2023,$11.32,19159970,$10.95,$11.37,$10.92
11/09/2023,$11.24,26971490,$11.22,$11.73,$11.18
11/08/2023,$11.23,21448620,$11.04,$11.25,$10.8603
11/07/2023,$10.96,15836860,$10.72,$11.02,$10.68
11/06/2023,$10.73,18754930,$10.74,$10.87,$10.62
11/03/2023,$10.72,22876560,$10.52,$10.915,$10.52
11/02/2023,$10.43,30659330,$10.14,$10.59,$10.10
11/01/2023,$9.99,19548140,$9.95,$10.0799,$9.81
10/31/2023,$10.01,28796700,$9.79,$10.055,$9.60
10/30/2023,$9.70,25083930,$9.34,$9.81,$9.29
10/27/2023,$9.30,24606550,$9.33,$9.55,$9.18
10/26/2023,$9.30,42454190,$9.11,$9.52,$8.91
10/25/2023,$9.19,94403230,$10.37,$10.87,$9.10
10/24/2023,$9.71,71921440,$9.63,$9.98,$9.58
10/23/2023,$9.49,37569210,$9.35,$9.88,$9.30
10/20/2023,$9.44,29382640,$9.60,$9.67,$9.31
10/19/2023,$9.65,21177200,$9.55,$9.87,$9.46
10/18/2023,$9.60,19250450,$9.60,$9.76,$9.51
10/17/2023,$9.69,24836030,$9.56,$9.77,$9.54
10/16/2023,$9.72,56297830,$9.02,$9.75,$8.96
10/13/2023,$8.68,27922230,$9.10,$9.14,$8.67
10/12/2023,$9.11,29718220,$9.06,$9.33,$9.01
10/11/2023,$9.11,18773810,$8.85,$9.13,$8.82
10/10/2023,$8.82,22342580,$8.70,$9.11,$8.66
10/09/2023,$8.61,13059800,$8.54,$8.68,$8.50
10/06/2023,$8.63,22566860,$8.57,$8.64,$8.395
10/05/2023,$8.74,11503370,$8.66,$8.84,$8.55
10/04/2023,$8.69,16226470,$8.56,$8.72,$8.50
10/03/2023,$8.54,17300050,$8.58,$8.7675,$8.47
10/02/2023,$8.74,15763220,$8.87,$8.915,$8.56
09/29/2023,$8.91,21165590,$8.74,$8.93,$8.67
09/28/2023,$8.56,16715360,$8.42,$8.655,$8.34
09/27/2023,$8.49,14303940,$8.39,$8.61,$8.37
09/26/2023,$8.34,25839900,$8.43,$8.49,$8.28
09/25/2023,$8.60,10074730,$8.60,$8.71,$8.55
09/22/2023,$8.69,11432550,$8.72,$8.885,$8.67
09/21/2023,$8.63,21616330,$8.86,$8.975,$8.61
09/20/2023,$9.03,24692100,$9.06,$9.3785,$8.95
09/19/2023,$9.00,20107920,$8.82,$9.005,$8.62
09/18/2023,$8.89,20619750,$9.08,$9.10,$8.81
09/15/2023,$9.16,16283750,$9.19,$9.245,$9.04
09/14/2023,$9.16,12847590,$9.365,$9.40,$9.15
09/13/2023,$9.29,12832450,$9.49,$9.5375,$9.28
09/12/2023,$9.58,13528620,$9.36,$9.63,$9.36
09/11/2023,$9.44,16848030,$9.48,$9.635,$9.43
09/08/2023,$9.39,21044830,$9.68,$9.74,$9.39
09/07/2023,$9.72,17158280,$9.45,$9.82,$9.415
09/06/2023,$9.63,40061450,$10.27,$10.29,$9.57
09/05/2023,$10.46,20595150,$10.27,$10.60,$10.23
09/01/2023,$10.44,17971270,$10.41,$10.54,$10.31
08/31/2023,$10.35,20863630,$10.13,$10.44,$10.13
08/30/2023,$10.12,30608910,$9.82,$10.17,$9.75
08/29/2023,$9.89,18276490,$9.48,$9.90,$9.425
08/28/2023,$9.45,11979110,$9.34,$9.55,$9.325
08/25/2023,$9.25,19434880,$9.39,$9.41,$9.00
08/24/2023,$9.37,20443890,$9.38,$9.46,$9.0603
08/23/2023,$9.24,10358940,$9.19,$9.33,$9.19
08/22/2023,$9.25,14963600,$9.41,$9.47,$9.19
08/21/2023,$9.36,13634030,$9.24,$9.39,$9.14
08/18/2023,$9.18,14782280,$8.91,$9.185,$8.86
08/17/2023,$9.04,20527940,$9.17,$9.28,$9.03
08/16/2023,$9.16,30289450,$9.51,$9.59,$9.15
08/15/2023,$9.56,21223080,$9.86,$9.90,$9.50
08/14/2023,$9.94,23922110,$9.99,$9.99,$9.81
08/11/2023,$10.03,16037000,$10.10,$10.23,$10.02
08/10/2023,$10.22,15646230,$10.60,$10.70,$10.21
08/09/2023,$10.44,14402030,$10.54,$10.58,$10.39
08/08/2023,$10.54,22353020,$10.41,$10.595,$10.185
08/07/2023,$10.57,16688220,$10.76,$10.795,$10.50
08/04/2023,$10.75,19986850,$10.93,$11.06,$10.72
08/03/2023,$10.79,23740420,$10.90,$11.00,$10.69
08/02/2023,$10.97,31209440,$10.99,$11.22,$10.88
08/01/2023,$11.28,19675340,$11.26,$11.33,$11.04
07/31/2023,$11.36,37947830,$10.66,$11.38,$10.66
07/28/2023,$10.68,49135040,$10.30,$10.75,$10.29
07/27/2023,$10.33,65311800,$10.90,$10.915,$10.1807
07/26/2023,$10.73,137880000,$10.36,$10.73,$9.99
07/25/2023,$12.51,68993660,$12.52,$12.67,$12.35
07/24/2023,$12.68,23715490,$12.86,$12.93,$12.545
07/21/2023,$12.74,21404270,$13.06,$13.06,$12.675
07/20/2023,$12.93,20442840,$12.94,$13.265,$12.83
07/19/2023,$13.11,28630860,$13.43,$13.53,$13.08
07/18/2023,$13.37,33108110,$13.49,$13.51,$12.87
07/17/2023,$13.47,28982270,$13.14,$13.64,$12.97
07/14/2023,$13.15,27022940,$13.49,$13.63,$13.00
07/13/2023,$13.51,40065250,$13.58,$13.89,$13.50
07/12/2023,$13.37,40584310,$13.06,$13.62,$12.945
07/11/2023,$12.74,43989800,$11.94,$13.08,$11.91
07/10/2023,$11.78,20146440,$11.77,$11.98,$11.655
07/07/2023,$11.68,24289380,$11.91,$12.05,$11.64
07/06/2023,$11.91,22906820,$11.97,$12.14,$11.76
07/05/2023,$12.12,20616580,$11.91,$12.35,$11.88
07/03/2023,$12.02,8881951,$11.90,$12.02,$11.84
06/30/2023,$11.84,23685470,$11.78,$12.10,$11.75
06/29/2023,$11.68,23006690,$11.95,$12.04,$11.58
06/28/2023,$11.65,27255000,$11.56,$11.70,$11.415
06/27/2023,$11.48,31107060,$11.36,$11.62,$11.12
06/26/2023,$11.21,34008180,$10.73,$11.40,$10.70
06/23/2023,$10.82,27763590,$10.40,$11.15,$10.386
06/22/2023,$10.64,20672650,$10.17,$10.64,$10.16
06/21/2023,$10.23,21488120,$10.55,$10.62,$10.145
06/20/2023,$10.58,21910110,$10.58,$10.76,$10.38
06/16/2023,$10.68,28859540,$10.76,$10.835,$10.42
06/15/2023,$10.66,30121510,$9.98,$10.69,$9.96
06/14/2023,$10.25,17098930,$10.30,$10.3884,$10.07
06/13/2023,$10.32,17588570,$10.39,$10.43,$10.14
06/12/2023,$10.23,18653160,$10.21,$10.24,$10.02
06/09/2023,$10.09,26631560,$10.15,$10.58,$10.02
06/08/2023,$10.04,16868280,$10.19,$10.21,$10.02
06/07/2023,$10.19,18951930,$10.56,$10.64,$10.09
06/06/2023,$10.51,16523190,$10.43,$10.63,$10.34
06/05/2023,$10.51,15119820,$10.32,$10.70,$10.30
06/02/2023,$10.41,20859540,$10.47,$10.585,$10.29
06/01/2023,$10.33,16856540,$10.06,$10.46,$10.01
05/31/2023,$10.20,30412370,$10.05,$10.23,$9.83
05/30/2023,$10.22,20578320,$10.39,$10.54,$10.13
05/26/2023,$10.28,20385420,$9.87,$10.40,$9.84
05/25/2023,$9.78,18990990,$9.92,$10.0693,$9.77
05/24/2023,$9.80,13300460,$9.68,$9.93,$9.61
05/23/2023,$9.80,14442500,$9.68,$9.92,$9.62
