Date,Close/Last,Volume,Open,High,Low
01/05/2024,$36.97,2376045,$36.11,$37.14,$35.795
01/04/2024,$36.10,1521719,$35.80,$36.46,$35.54
01/03/2024,$35.85,1956001,$36.58,$36.87,$35.78
01/02/2024,$37.52,1156436,$37.26,$38.265,$37.07
12/29/2023,$37.65,1322814,$37.83,$37.95,$37.31
12/28/2023,$37.98,778598,$37.85,$38.15,$37.75
12/27/2023,$38.04,657993,$38.19,$38.35,$37.905
12/26/2023,$38.18,608778,$37.82,$38.46,$37.68
12/22/2023,$37.78,816476,$37.94,$38.36,$37.73
12/21/2023,$37.75,1184088,$37.82,$38.08,$37.47
12/20/2023,$37.24,1618426,$38.13,$38.44,$37.22
12/19/2023,$38.51,2277739,$38.85,$39.20,$38.49
12/18/2023,$38.82,1551089,$39.84,$39.94,$38.81
12/15/2023,$39.63,3260387,$40.44,$40.92,$39.31
12/14/2023,$40.38,3866811,$38.96,$40.47,$38.96
12/13/2023,$37.63,2789790,$35.13,$37.69,$35.05
12/12/2023,$35.17,1042674,$35.43,$35.56,$35.14
12/11/2023,$35.48,1385025,$35.47,$35.845,$35.39
12/08/2023,$35.83,1661829,$35.39,$35.975,$35.11
12/07/2023,$35.28,2432947,$34.56,$35.36,$34.38
12/06/2023,$34.22,2760308,$34.40,$34.91,$33.99
12/05/2023,$33.09,1148449,$33.54,$33.54,$32.98
12/04/2023,$33.71,1963804,$32.59,$33.905,$32.535
12/01/2023,$32.91,2400839,$30.63,$33.00,$30.525
11/30/2023,$30.79,1489434,$30.85,$31.18,$30.52
11/29/2023,$30.68,1493103,$30.13,$31.02,$30.13
11/28/2023,$29.81,870054,$29.86,$29.95,$29.48
11/27/2023,$29.86,927826,$29.64,$29.89,$29.34
11/24/2023,$29.90,306529,$30.00,$30.1488,$29.765
11/22/2023,$29.93,783697,$30.09,$30.14,$29.40
11/21/2023,$29.88,1106636,$30.46,$30.53,$29.75
11/20/2023,$30.65,994872,$30.69,$30.75,$30.22
11/17/2023,$30.69,1254681,$30.60,$30.71,$30.17
11/16/2023,$30.10,1551974,$30.32,$30.50,$29.74
11/15/2023,$30.44,2125869,$29.41,$30.565,$29.41
11/14/2023,$29.37,1821102,$28.64,$29.93,$28.50
11/13/2023,$27.48,841940,$27.11,$27.51,$26.76
11/10/2023,$27.33,717390,$27.32,$27.40,$26.84
11/09/2023,$27.12,1497478,$27.71,$27.73,$26.92
11/08/2023,$27.66,731888,$27.97,$28.02,$27.43
11/07/2023,$27.90,1025954,$28.04,$28.25,$27.79
11/06/2023,$28.20,700287,$28.56,$28.65,$27.92
11/03/2023,$28.54,1514930,$28.54,$28.93,$28.285
11/02/2023,$27.54,1352253,$26.60,$27.63,$26.52
11/01/2023,$26.20,1324813,$25.95,$26.22,$25.61
10/31/2023,$26.07,1305027,$25.80,$26.15,$25.52
10/30/2023,$25.76,1373732,$25.38,$25.79,$25.10
10/27/2023,$25.05,1895153,$25.74,$25.74,$24.75
10/26/2023,$25.80,1279786,$25.17,$26.12,$25.17
10/25/2023,$25.12,1417867,$25.11,$25.27,$24.40
10/24/2023,$25.25,1194806,$25.58,$25.67,$24.87
10/23/2023,$25.42,1347232,$25.42,$26.00,$25.28
10/20/2023,$25.49,2420067,$26.33,$26.56,$25.34
10/19/2023,$26.46,2563684,$27.84,$27.99,$26.29
10/18/2023,$27.02,1754365,$27.35,$27.46,$26.845
10/17/2023,$27.83,2040885,$27.02,$28.135,$27.02
10/16/2023,$27.27,1646958,$26.96,$27.39,$26.76
10/13/2023,$26.58,1477112,$27.31,$27.33,$26.38
10/12/2023,$26.98,1317583,$27.42,$27.42,$26.77
10/11/2023,$27.27,1313762,$27.50,$27.94,$27.07
10/10/2023,$27.46,1504998,$26.99,$27.69,$26.76
10/09/2023,$26.67,1798524,$26.50,$27.01,$26.50
10/06/2023,$26.81,1606272,$26.51,$27.35,$26.33
10/05/2023,$26.89,1432985,$26.26,$27.00,$26.2131
10/04/2023,$26.44,1904695,$26.38,$26.60,$26.06
10/03/2023,$26.26,1762519,$26.45,$26.46,$25.84
10/02/2023,$26.65,2417747,$27.78,$27.855,$26.49
