Date,Close/Last,Volume,Open,High,Low
01/05/2024,$104.60,485059,$105.13,$106.07,$104.49
01/04/2024,$105.42,304111,$105.26,$105.69,$104.5801
01/03/2024,$105.43,336837,$105.47,$106.00,$104.71
01/02/2024,$106.13,321110,$106.82,$107.29,$105.7117
12/29/2023,$107.61,230778,$108.31,$108.82,$107.37
12/28/2023,$108.73,176863,$108.32,$108.77,$107.94
12/27/2023,$108.43,178978,$108.88,$108.9088,$107.98
12/26/2023,$108.54,214506,$108.03,$108.92,$107.41
12/22/2023,$107.58,277879,$107.51,$108.49,$106.58
12/21/2023,$107.04,278052,$107.03,$107.225,$106.125
12/20/2023,$106.31,415698,$107.43,$108.27,$106.17
12/19/2023,$107.27,369598,$106.64,$107.60,$106.01
12/18/2023,$106.14,440447,$106.50,$106.51,$105.45
12/15/2023,$106.62,2774398,$106.80,$107.1925,$105.52
12/14/2023,$106.71,938712,$104.59,$108.245,$104.37
12/13/2023,$103.40,509566,$101.21,$103.89,$101.10
12/12/2023,$101.27,440353,$100.73,$101.93,$100.29
12/11/2023,$101.05,361706,$100.48,$101.59,$100.48
12/08/2023,$100.57,386103,$98.80,$100.60,$98.51
12/07/2023,$98.84,448255,$97.64,$98.87,$97.505
12/06/2023,$97.14,688315,$98.18,$98.96,$97.13
12/05/2023,$97.45,560551,$97.65,$98.56,$96.93
12/04/2023,$98.64,500966,$98.43,$99.28,$97.94
12/01/2023,$98.72,437113,$98.63,$98.84,$97.90
11/30/2023,$98.64,401746,$98.41,$98.75,$97.51
11/29/2023,$98.32,499845,$98.71,$99.46,$97.97
11/28/2023,$98.15,255965,$98.38,$98.92,$97.81
11/27/2023,$98.51,304010,$98.44,$98.89,$97.79
11/24/2023,$98.69,84881,$98.92,$98.92,$97.66
11/22/2023,$98.58,243055,$99.22,$99.70,$98.20
11/21/2023,$98.81,402802,$98.63,$99.21,$98.09
11/20/2023,$98.98,307892,$98.52,$99.46,$97.89
11/17/2023,$98.17,604178,$98.31,$98.42,$97.31
11/16/2023,$97.61,248688,$98.63,$99.185,$97.065
11/15/2023,$99.07,416324,$98.02,$99.85,$97.9831
11/14/2023,$97.91,321623,$96.08,$97.97,$96.08
11/13/2023,$94.57,243266,$94.65,$94.98,$94.13
11/10/2023,$95.26,254357,$93.53,$95.27,$92.66
11/09/2023,$93.08,356375,$94.31,$94.31,$92.69
11/08/2023,$93.84,394241,$94.62,$94.913,$93.76
