Date,Close/Last,Volume,Open,High,Low
01/05/2024,$71.61,5670223,$71.74,$71.85,$70.71
01/04/2024,$71.71,3442532,$72.31,$72.5401,$71.58
01/03/2024,$72.24,6290541,$71.00,$72.30,$70.99
01/02/2024,$70.85,3955237,$69.67,$70.955,$69.595
12/29/2023,$70.12,2895497,$69.85,$70.255,$69.63
12/28/2023,$70.16,2790526,$69.36,$70.32,$69.28
12/27/2023,$69.41,2771861,$69.22,$69.665,$69.01
12/26/2023,$69.45,2130984,$69.30,$69.845,$69.18
12/22/2023,$69.44,3013477,$69.80,$70.20,$69.33
12/21/2023,$69.37,4146784,$69.92,$70.16,$68.71
12/20/2023,$69.69,4363885,$71.22,$71.44,$69.665
12/19/2023,$71.26,3733486,$71.15,$71.95,$71.025
12/18/2023,$71.42,5131933,$70.67,$71.675,$70.66
12/15/2023,$70.86,12327580,$70.84,$70.98,$70.025
12/14/2023,$71.50,6377341,$73.23,$73.42,$71.33
12/13/2023,$73.08,5762854,$70.56,$73.10,$70.10
12/12/2023,$70.47,4375981,$71.49,$71.49,$70.13
12/11/2023,$71.36,4000841,$71.23,$71.555,$70.84
12/08/2023,$71.50,2711242,$71.69,$72.19,$70.9406
12/07/2023,$71.65,3575924,$72.47,$72.55,$71.56
12/06/2023,$72.26,4829510,$71.10,$72.30,$71.10
12/05/2023,$70.93,3635548,$71.38,$71.46,$70.79
12/04/2023,$71.28,4205926,$71.25,$71.79,$71.16
12/01/2023,$71.52,3996095,$70.91,$71.53,$70.40
11/30/2023,$70.98,8114771,$70.34,$71.28,$70.22
11/29/2023,$70.23,4201797,$70.58,$70.975,$69.91
11/28/2023,$70.49,4804824,$70.28,$71.15,$69.93
11/27/2023,$70.26,3794296,$69.63,$70.405,$69.44
11/24/2023,$69.61,1119288,$69.68,$69.82,$69.31
11/22/2023,$69.59,2753064,$69.93,$69.94,$69.21
11/21/2023,$69.65,3251445,$69.63,$69.89,$68.83
11/20/2023,$69.44,3353036,$69.65,$69.65,$68.63
11/17/2023,$69.77,4594500,$69.99,$70.045,$69.29
11/16/2023,$70.27,4517138,$69.39,$70.35,$69.26
11/15/2023,$68.77,3392263,$69.08,$69.805,$68.68
11/14/2023,$69.21,5711674,$68.24,$69.29,$68.125
11/13/2023,$67.34,5187112,$67.95,$68.20,$67.19
11/10/2023,$68.10,5902467,$68.39,$68.44,$67.70
11/09/2023,$68.04,5923343,$68.81,$69.185,$67.95
11/08/2023,$68.60,4665712,$68.45,$68.665,$67.52
11/07/2023,$68.72,5092645,$69.36,$69.48,$68.55
11/06/2023,$69.23,5496979,$70.41,$70.7212,$69.22
11/03/2023,$70.39,5554390,$70.555,$71.33,$70.37
11/02/2023,$70.12,5970740,$67.38,$70.56,$67.38
11/01/2023,$68.43,4880606,$67.64,$68.8101,$67.13
10/31/2023,$67.30,4856545,$67.01,$67.60,$66.70
10/30/2023,$66.79,3945806,$66.86,$67.32,$66.605
10/27/2023,$66.53,4214333,$66.80,$67.59,$66.12
10/26/2023,$67.16,4655125,$66.63,$67.635,$66.54
10/25/2023,$66.61,3781726,$66.12,$66.74,$65.815
10/24/2023,$66.45,3782128,$66.06,$66.64,$65.89
10/23/2023,$65.43,3700264,$65.08,$66.23,$64.53
10/20/2023,$65.73,4195048,$66.19,$67.11,$65.70
10/19/2023,$66.44,4067013,$66.60,$67.34,$66.24
10/18/2023,$66.60,3545011,$67.10,$67.52,$66.41
10/17/2023,$67.11,4596319,$67.11,$67.55,$66.545
10/16/2023,$67.50,4242107,$67.07,$67.721,$66.58
10/13/2023,$66.55,3368623,$66.35,$66.86,$66.00
10/12/2023,$65.70,4192399,$66.92,$67.15,$65.25
10/11/2023,$67.10,3908165,$66.80,$67.28,$66.28
10/10/2023,$66.44,4253024,$66.00,$66.56,$65.68
10/09/2023,$65.91,3845654,$65.00,$65.93,$64.88
10/06/2023,$64.97,5158490,$63.49,$65.14,$62.255
10/05/2023,$64.59,5269131,$64.43,$65.07,$63.72
10/04/2023,$64.62,5147345,$64.30,$64.73,$63.36
10/03/2023,$64.03,8589487,$62.30,$64.38,$61.5601
10/02/2023,$62.71,7772695,$64.30,$64.48,$61.92
09/29/2023,$64.72,4928596,$65.82,$65.90,$64.36
09/28/2023,$65.07,5083626,$66.53,$66.71,$64.925
09/27/2023,$66.14,4712052,$67.00,$67.44,$66.03
09/26/2023,$67.11,3948574,$68.81,$69.11,$66.795
09/25/2023,$69.29,3038140,$69.06,$69.40,$68.67
09/22/2023,$69.37,3528747,$69.60,$69.99,$69.12
09/21/2023,$69.90,3982720,$71.17,$71.20,$69.87
09/20/2023,$71.20,4072899,$71.15,$71.7392,$70.71
09/19/2023,$70.91,3961451,$70.99,$71.24,$70.59
09/18/2023,$70.95,3686816,$71.21,$71.30,$70.41
09/15/2023,$71.09,7353143,$70.51,$71.43,$70.51
09/14/2023,$70.90,3698680,$69.91,$70.97,$69.7387
09/13/2023,$69.50,3632110,$68.99,$69.99,$68.74
09/12/2023,$68.60,3754562,$68.08,$68.88,$67.45
09/11/2023,$68.13,2838763,$67.83,$68.45,$67.71
09/08/2023,$67.93,4412094,$67.20,$67.94,$66.98
09/07/2023,$67.11,3728581,$66.79,$67.925,$66.74
09/06/2023,$66.25,5730372,$66.46,$66.55,$65.97
09/05/2023,$66.30,3197865,$67.05,$67.33,$65.93
09/01/2023,$67.22,3505376,$68.22,$68.525,$66.41
08/31/2023,$67.73,4063756,$68.82,$68.83,$67.70
08/30/2023,$68.62,3583466,$68.55,$69.18,$68.18
08/29/2023,$68.57,2535664,$68.30,$68.60,$67.905
08/28/2023,$68.13,2380385,$68.21,$68.41,$67.73
08/25/2023,$68.09,2227405,$67.61,$68.44,$67.47
08/24/2023,$67.43,2414689,$67.55,$68.64,$67.41
08/23/2023,$67.55,2655152,$68.115,$68.15,$67.235
08/22/2023,$67.73,2060728,$67.49,$67.96,$67.2208
08/21/2023,$67.61,2308909,$67.75,$67.85,$67.14
08/18/2023,$67.81,2682670,$67.58,$68.20,$67.46
08/17/2023,$68.25,2620453,$68.24,$69.08,$68.12
08/16/2023,$68.11,2246861,$68.09,$68.48,$67.78
08/15/2023,$67.78,3450172,$68.37,$68.5289,$67.70
08/14/2023,$68.83,2773245,$69.41,$69.74,$68.60
08/11/2023,$69.50,3230348,$69.34,$69.70,$68.93
08/10/2023,$69.41,2583875,$69.70,$69.97,$69.10
08/09/2023,$69.19,3729299,$68.82,$69.705,$68.75
08/08/2023,$68.81,3567154,$68.01,$68.83,$67.68
08/07/2023,$68.02,3197440,$68.00,$68.53,$67.84
08/04/2023,$67.84,4105520,$68.74,$69.62,$67.505
08/03/2023,$68.62,5397809,$71.36,$71.98,$68.60
08/02/2023,$70.97,3747237,$71.02,$71.64,$70.89
08/01/2023,$71.28,3892844,$72.28,$72.54,$71.25
07/31/2023,$72.34,6777549,$72.71,$72.88,$71.995
07/28/2023,$72.35,5362778,$73.31,$73.64,$72.16
07/27/2023,$72.86,5379901,$72.81,$73.015,$72.39
