Date,Close/Last,Volume,Open,High,Low
01/03/2024,$8.31,82970740,$8.91,$9.03,$8.28
01/02/2024,$9.65,38035000,$9.71,$9.815,$9.52
12/29/2023,$9.95,38251060,$10.25,$10.2988,$9.81
12/28/2023,$10.28,26416410,$10.28,$10.39,$10.185
12/27/2023,$10.32,44253670,$10.01,$10.49,$10.00
12/26/2023,$9.96,26013720,$9.83,$9.99,$9.745
12/22/2023,$9.71,29139360,$9.77,$9.88,$9.585
12/21/2023,$9.64,41803020,$9.53,$9.67,$9.39
12/20/2023,$9.31,75814690,$9.91,$10.16,$9.23
12/19/2023,$9.94,51836690,$9.78,$9.995,$9.66
12/18/2023,$9.66,48816310,$9.30,$9.79,$9.21
12/15/2023,$9.35,52727280,$9.53,$9.57,$9.14
12/14/2023,$9.47,92753880,$9.11,$9.84,$9.09
12/13/2023,$8.94,75424740,$7.98,$8.96,$7.84
12/12/2023,$7.95,26087080,$8.07,$8.095,$7.825
12/11/2023,$8.07,24365630,$8.12,$8.27,$8.00
12/08/2023,$8.13,34626640,$7.95,$8.22,$7.88
12/07/2023,$7.96,30489160,$7.98,$8.14,$7.88
12/06/2023,$7.89,51458650,$8.14,$8.45,$7.86
12/05/2023,$7.99,30468390,$7.89,$8.03,$7.75
12/04/2023,$7.96,45245640,$7.71,$8.25,$7.65
12/01/2023,$7.83,68877810,$7.26,$7.93,$7.17
11/30/2023,$7.29,41877880,$7.39,$7.40,$7.10
11/29/2023,$7.35,45648250,$7.44,$7.73,$7.31
11/28/2023,$7.34,36138290,$7.04,$7.35,$7.00
11/27/2023,$7.03,40258600,$6.87,$7.20,$6.86
11/24/2023,$6.86,13457610,$6.90,$6.9498,$6.79
11/22/2023,$6.90,36625970,$6.80,$7.03,$6.71
11/21/2023,$6.72,46170170,$6.54,$6.725,$6.41
11/20/2023,$6.615,44741080,$6.77,$6.78,$6.56
11/17/2023,$6.83,30884290,$6.80,$6.88,$6.65
11/16/2023,$6.71,73603100,$7.28,$7.29,$6.631
11/15/2023,$7.37,40095880,$7.39,$7.50,$7.22
11/14/2023,$7.48,38408690,$7.39,$7.53,$7.22
11/13/2023,$7.04,33982500,$6.85,$7.11,$6.72
11/10/2023,$6.94,29599970,$6.92,$6.95,$6.74
11/09/2023,$6.85,86607350,$7.16,$7.17,$6.57
11/08/2023,$7.31,28150800,$7.38,$7.395,$7.12
11/07/2023,$7.42,34068130,$7.50,$7.60,$7.33
11/06/2023,$7.49,46262070,$8.05,$8.06,$7.37
11/03/2023,$8.01,41604110,$8.28,$8.48,$8.00
11/02/2023,$8.17,45933850,$7.90,$8.20,$7.88
11/01/2023,$7.58,42359690,$7.64,$7.75,$7.35
10/31/2023,$7.55,63310360,$7.04,$7.57,$7.03
10/30/2023,$6.94,125927200,$7.60,$7.88,$6.68
10/27/2023,$6.87,45332090,$7.07,$7.08,$6.85
10/26/2023,$6.90,47046900,$7.04,$7.17,$6.795
10/25/2023,$7.08,31058480,$7.24,$7.27,$7.02
10/24/2023,$7.38,23335870,$7.40,$7.575,$7.26
10/23/2023,$7.26,29748040,$7.28,$7.50,$6.97
10/20/2023,$7.37,27271690,$7.55,$7.68,$7.32
10/19/2023,$7.63,26767660,$7.75,$7.98,$7.59
10/18/2023,$7.77,26281260,$8.19,$8.26,$7.69
10/17/2023,$8.25,18473640,$8.10,$8.36,$8.08
10/16/2023,$8.25,16675230,$8.24,$8.35,$8.08
10/13/2023,$8.12,22047270,$8.44,$8.475,$8.065
10/12/2023,$8.39,22155440,$8.64,$8.665,$8.28
10/11/2023,$8.59,22512710,$8.45,$8.725,$8.45
10/10/2023,$8.36,20874240,$8.25,$8.53,$8.21
10/09/2023,$8.18,17191920,$7.78,$8.20,$7.77
10/06/2023,$7.99,23371300,$7.51,$8.03,$7.50
10/05/2023,$7.65,17072920,$7.42,$7.71,$7.30
10/04/2023,$7.47,23978910,$7.41,$7.49,$7.14
10/03/2023,$7.28,36674940,$7.71,$7.75,$7.18
10/02/2023,$7.84,20000290,$8.08,$8.16,$7.80
09/29/2023,$7.99,28779330,$7.92,$8.30,$7.91
09/28/2023,$7.77,23539600,$7.60,$7.84,$7.53
09/27/2023,$7.60,28227010,$7.48,$7.6566,$7.39
09/26/2023,$7.40,22544870,$7.40,$7.59,$7.37
09/25/2023,$7.51,23107790,$7.46,$7.655,$7.40
09/22/2023,$7.54,38736050,$8.03,$8.05,$7.44
09/21/2023,$7.95,29542000,$8.11,$8.15,$7.91
09/20/2023,$8.32,21643910,$8.67,$8.79,$8.31
09/19/2023,$8.62,18091640,$8.65,$8.87,$8.54
09/18/2023,$8.67,22678680,$9.05,$9.0699,$8.63
09/15/2023,$9.07,30508370,$9.00,$9.14,$8.88
09/14/2023,$9.05,23642000,$8.89,$9.1799,$8.86
09/13/2023,$8.80,16819200,$9.00,$9.09,$8.77
09/12/2023,$9.00,25495590,$8.79,$9.188,$8.79
09/11/2023,$8.90,19320620,$8.65,$8.92,$8.64
09/08/2023,$8.55,15066680,$8.54,$8.67,$8.45
09/07/2023,$8.57,19320740,$8.35,$8.58,$8.22
09/06/2023,$8.54,23909750,$8.73,$8.81,$8.43
09/05/2023,$8.75,18906330,$8.75,$8.875,$8.62
09/01/2023,$8.79,17738830,$8.77,$8.925,$8.72
08/31/2023,$8.66,26175590,$8.78,$8.87,$8.52
08/30/2023,$8.74,26123580,$8.46,$8.78,$8.36
08/29/2023,$8.46,24487420,$8.18,$8.58,$8.16
08/28/2023,$8.23,17488700,$8.38,$8.42,$8.17
08/25/2023,$8.29,24163710,$8.12,$8.43,$8.06
08/24/2023,$8.12,26080570,$8.48,$8.50,$8.08
08/23/2023,$8.43,21855660,$8.08,$8.47,$8.06
08/22/2023,$8.15,23164710,$8.40,$8.47,$8.11
08/21/2023,$8.29,22676650,$8.25,$8.33,$8.08
08/18/2023,$8.22,27366330,$7.92,$8.29,$7.89
08/17/2023,$8.11,29582430,$8.35,$8.41,$8.08
08/16/2023,$8.26,23398940,$8.23,$8.43,$8.21
08/15/2023,$8.37,23709340,$8.60,$8.60,$8.34
08/14/2023,$8.68,27735460,$8.52,$8.71,$8.36
08/11/2023,$8.65,26970350,$8.53,$8.70,$8.42
08/10/2023,$8.72,37657750,$9.09,$9.24,$8.72
08/09/2023,$8.99,43368270,$9.27,$9.27,$8.80
08/08/2023,$9.31,28127820,$9.03,$9.45,$9.01
08/07/2023,$9.39,31681980,$9.50,$9.5698,$9.16
08/04/2023,$9.50,42557550,$10.08,$10.10,$9.47
08/03/2023,$10.05,37846060,$9.92,$10.17,$9.86
08/02/2023,$10.08,62865890,$10.12,$10.28,$9.72
08/01/2023,$10.35,89971320,$11.06,$11.10,$10.31
07/31/2023,$11.45,210958900,$10.39,$11.70,$10.30
07/28/2023,$9.55,58205330,$9.36,$9.60,$9.16
07/27/2023,$9.09,45958210,$9.71,$9.73,$8.94
07/26/2023,$9.52,34922280,$9.26,$9.54,$9.21
07/25/2023,$9.33,38811120,$9.40,$9.78,$9.31
07/24/2023,$9.45,26693220,$9.44,$9.56,$9.295
07/21/2023,$9.43,34514170,$9.675,$9.70,$9.26
07/20/2023,$9.57,41587650,$9.63,$9.99,$9.37
07/19/2023,$9.85,50051480,$9.76,$10.13,$9.645
07/18/2023,$9.57,33895940,$9.55,$9.74,$9.4326
07/17/2023,$9.48,48308470,$9.04,$9.805,$8.99
07/14/2023,$9.08,38590680,$9.22,$9.45,$8.94
07/13/2023,$9.16,43361060,$8.92,$9.24,$8.77
07/12/2023,$9.20,41158640,$9.34,$9.39,$9.00
07/11/2023,$9.07,52586400,$8.81,$9.20,$8.75
07/10/2023,$8.71,38750080,$8.10,$8.72,$8.04
07/07/2023,$8.05,22783910,$8.09,$8.30,$8.03
07/06/2023,$8.10,38186110,$8.23,$8.26,$7.855
07/05/2023,$8.38,26954650,$8.49,$8.68,$8.31
07/03/2023,$8.52,26723790,$8.36,$8.64,$8.35
06/30/2023,$8.34,98384630,$8.92,$9.41,$8.32
06/29/2023,$8.71,42722370,$9.07,$9.28,$8.60
06/28/2023,$8.87,36374440,$8.59,$9.09,$8.58
06/27/2023,$8.64,39402320,$8.33,$8.72,$8.32
06/26/2023,$8.20,33526570,$8.24,$8.66,$8.14
06/23/2023,$8.28,62332770,$7.91,$8.29,$7.71
06/22/2023,$8.49,30149480,$8.54,$8.69,$8.35
06/21/2023,$8.63,37733580,$8.51,$8.77,$8.34
06/20/2023,$8.59,49114940,$8.31,$8.64,$8.20
06/16/2023,$8.60,107556900,$8.91,$9.18,$8.50
06/15/2023,$9.55,97639270,$9.18,$9.58,$8.88
06/14/2023,$9.74,128420300,$9.79,$10.23,$9.29
06/13/2023,$9.54,108293500,$9.54,$9.61,$8.89
06/12/2023,$9.16,118310100,$8.46,$9.30,$8.40
06/09/2023,$8.18,84928720,$8.25,$8.81,$8.11
06/08/2023,$8.12,66988400,$7.69,$8.20,$7.66
06/07/2023,$7.74,60872230,$7.86,$8.00,$7.64
06/06/2023,$7.65,56839650,$7.18,$7.755,$7.1401
06/05/2023,$7.25,69556170,$7.12,$7.60,$7.075
06/02/2023,$7.03,63585580,$7.11,$7.11,$6.71
06/01/2023,$6.82,108760600,$6.71,$7.26,$6.63
05/31/2023,$6.94,152429200,$6.20,$7.02,$6.10
05/30/2023,$6.03,68003300,$5.81,$6.05,$5.59
05/26/2023,$5.41,27217180,$5.24,$5.48,$5.22
05/25/2023,$5.21,24474950,$5.39,$5.40,$5.09
05/24/2023,$5.31,23887770,$5.20,$5.33,$5.13
05/23/2023,$5.29,43878290,$5.24,$5.49,$5.22
05/22/2023,$5.26,42509280,$4.99,$5.34,$4.92
05/19/2023,$4.93,26196410,$5.07,$5.13,$4.91
05/18/2023,$5.07,35183400,$4.98,$5.135,$4.92
05/17/2023,$4.96,42730470,$4.76,$4.98,$4.69
05/16/2023,$4.76,38510750,$4.79,$4.82,$4.61
05/15/2023,$4.77,103290700,$4.68,$4.84,$4.45
05/12/2023,$5.02,44765950,$5.17,$5.2199,$4.925
05/11/2023,$5.14,36075610,$5.44,$5.44,$5.12
05/10/2023,$5.48,28624440,$5.58,$5.60,$5.38
05/09/2023,$5.41,26785190,$5.35,$5.55,$5.34
05/08/2023,$5.47,39933880,$5.18,$5.49,$5.18
05/05/2023,$5.16,40980210,$5.01,$5.17,$4.99
05/04/2023,$4.895,59715560,$4.78,$4.915,$4.59
05/03/2023,$4.85,64212820,$4.97,$5.0787,$4.75
05/02/2023,$4.905,115499500,$5.26,$5.30,$4.72
05/01/2023,$5.47,125423700,$6.52,$6.54,$5.46
04/28/2023,$6.23,55605050,$6.15,$6.30,$5.94
04/27/2023,$6.06,43199860,$5.77,$6.19,$5.75
04/26/2023,$5.67,24210930,$5.81,$5.88,$5.66
04/25/2023,$5.75,21036230,$5.775,$5.84,$5.72
04/24/2023,$5.83,20057980,$5.92,$5.95,$5.79
04/21/2023,$5.94,16723230,$5.90,$5.99,$5.85
04/20/2023,$5.92,18844900,$5.98,$6.045,$5.88
04/19/2023,$6.08,18337460,$5.90,$6.10,$5.87
04/18/2023,$5.98,17036340,$6.00,$6.02,$5.895
04/17/2023,$5.96,24908150,$5.89,$6.00,$5.81
04/14/2023,$5.92,24085970,$5.99,$6.03,$5.77
04/13/2023,$5.86,20527100,$5.91,$5.98,$5.8242
04/12/2023,$5.82,35904980,$6.06,$6.06,$5.67
04/11/2023,$5.97,26455380,$5.91,$6.02,$5.86
04/10/2023,$5.91,21151230,$5.69,$5.92,$5.66
04/06/2023,$5.75,25308070,$5.70,$5.81,$5.61
04/05/2023,$5.74,30541920,$5.87,$5.87,$5.58
04/04/2023,$5.89,19465240,$6.10,$6.10,$5.835
04/03/2023,$6.03,32121420,$6.14,$6.275,$5.94
03/31/2023,$6.07,41786850,$5.75,$6.17,$5.67
03/30/2023,$5.72,25094740,$5.87,$5.93,$5.62
03/29/2023,$5.75,28461840,$5.69,$5.92,$5.65
03/28/2023,$5.59,23185370,$5.74,$5.79,$5.51
03/27/2023,$5.76,24284750,$5.82,$5.88,$5.73
03/24/2023,$5.74,18744680,$5.675,$5.83,$5.64
03/23/2023,$5.78,35687790,$5.65,$5.88,$5.57
03/22/2023,$5.56,62273320,$5.79,$6.03,$5.54
03/21/2023,$5.57,29210310,$5.35,$5.60,$5.32
03/20/2023,$5.22,33271400,$5.47,$5.54,$5.19
03/17/2023,$5.46,27173160,$5.47,$5.54,$5.33
03/16/2023,$5.45,25307460,$5.35,$5.54,$5.28
03/15/2023,$5.41,34260510,$5.335,$5.46,$5.275
03/14/2023,$5.55,36750400,$5.69,$5.74,$5.43
03/13/2023,$5.49,59761300,$5.46,$5.57,$5.10
03/10/2023,$5.58,86809720,$5.90,$5.92,$5.21
03/09/2023,$6.09,27793320,$6.42,$6.555,$6.065
03/08/2023,$6.47,16558630,$6.48,$6.60,$6.3819
03/07/2023,$6.51,28344300,$6.71,$6.71,$6.42
03/06/2023,$6.68,26214260,$6.80,$6.97,$6.67
03/03/2023,$6.72,25456440,$6.48,$6.79,$6.46
03/02/2023,$6.45,18071640,$6.30,$6.51,$6.23
03/01/2023,$6.44,19827310,$6.58,$6.62,$6.43
02/28/2023,$6.60,17430550,$6.46,$6.70,$6.45
02/27/2023,$6.42,19082050,$6.45,$6.50,$6.3424
02/24/2023,$6.38,16954210,$6.38,$6.45,$6.31
02/23/2023,$6.55,19210150,$6.65,$6.69,$6.39
02/22/2023,$6.54,22778930,$6.40,$6.58,$6.37
02/21/2023,$6.42,26332880,$6.46,$6.57,$6.33
02/17/2023,$6.62,30999490,$6.89,$6.96,$6.51
02/16/2023,$6.98,30457990,$7.074,$7.28,$6.95
02/15/2023,$7.25,35757890,$6.82,$7.29,$6.80
02/14/2023,$6.74,28449680,$6.66,$6.82,$6.43
02/13/2023,$6.76,23626810,$6.75,$6.90,$6.68
02/10/2023,$6.81,37285270,$6.76,$6.89,$6.64
02/09/2023,$6.89,50352440,$7.27,$7.365,$6.84
02/08/2023,$7.20,25636310,$7.32,$7.495,$7.19
02/07/2023,$7.38,40804010,$7.37,$7.45,$7.14
02/06/2023,$7.41,41269910,$7.35,$7.64,$7.26
02/03/2023,$7.46,55989110,$7.40,$7.985,$7.31
02/02/2023,$7.72,106231100,$7.67,$8.24,$7.45
02/01/2023,$7.38,75445300,$6.93,$7.47,$6.86
01/31/2023,$6.93,68287070,$6.66,$6.95,$6.51
01/30/2023,$6.68,164184300,$6.59,$7.005,$6.37
01/27/2023,$5.94,48503540,$5.69,$6.04,$5.63
01/26/2023,$5.71,29992320,$5.90,$5.94,$5.65
01/25/2023,$5.79,30127770,$5.64,$5.87,$5.54
01/24/2023,$5.79,32563800,$5.775,$6.00,$5.73
01/23/2023,$5.87,39018460,$5.71,$5.89,$5.63
01/20/2023,$5.67,31135570,$5.485,$5.75,$5.4312
01/19/2023,$5.41,32006540,$5.41,$5.53,$5.31
01/18/2023,$5.56,38396740,$5.65,$5.70,$5.48
01/17/2023,$5.64,37801440,$5.45,$5.72,$5.36
01/13/2023,$5.44,32477150,$5.225,$5.49,$5.19
01/12/2023,$5.36,49408780,$5.19,$5.38,$4.99
01/11/2023,$5.15,41602060,$5.15,$5.19,$4.98
01/10/2023,$5.12,42334430,$4.80,$5.13,$4.78
01/09/2023,$4.82,50435010,$4.67,$5.00,$4.67
01/06/2023,$4.62,31589480,$4.66,$4.695,$4.49
01/05/2023,$4.63,30512050,$4.66,$4.73,$4.56
01/04/2023,$4.77,48731380,$4.54,$4.88,$4.495
01/03/2023,$4.50,29303150,$4.65,$4.75,$4.43
12/30/2022,$4.61,28240230,$4.49,$4.65,$4.45
12/29/2022,$4.59,33261880,$4.40,$4.63,$4.32
12/28/2022,$4.37,35043350,$4.38,$4.43,$4.24
12/27/2022,$4.39,24110710,$4.55,$4.58,$4.35
12/23/2022,$4.61,19435280,$4.55,$4.62,$4.4611
12/22/2022,$4.58,30665900,$4.58,$4.625,$4.37
12/21/2022,$4.64,24848890,$4.65,$4.73,$4.56
12/20/2022,$4.57,34033420,$4.53,$4.76,$4.45
12/19/2022,$4.43,27122380,$4.66,$4.66,$4.40
12/16/2022,$4.64,31419260,$4.58,$4.68,$4.50
12/15/2022,$4.63,37157420,$4.58,$4.76,$4.50
12/14/2022,$4.70,68775740,$4.57,$4.92,$4.53
12/13/2022,$4.43,33682350,$4.69,$4.77,$4.35
12/12/2022,$4.45,23353210,$4.31,$4.48,$4.27
12/09/2022,$4.34,16804170,$4.36,$4.40,$4.31
12/08/2022,$4.40,19767420,$4.35,$4.43,$4.25
12/07/2022,$4.30,21933360,$4.30,$4.37,$4.24
12/06/2022,$4.32,41048350,$4.54,$4.55,$4.26
12/05/2022,$4.53,28384790,$4.70,$4.73,$4.47
12/02/2022,$4.70,23866450,$4.60,$4.70,$4.52
12/01/2022,$4.74,34841970,$4.86,$4.91,$4.67
11/30/2022,$4.83,49235460,$4.55,$4.85,$4.52
11/29/2022,$4.56,40676660,$4.46,$4.57,$4.4424
11/28/2022,$4.45,47274490,$4.54,$4.63,$4.41
11/25/2022,$4.60,28016480,$4.67,$4.67,$4.51
11/23/2022,$4.66,58395320,$4.67,$4.7075,$4.53
11/22/2022,$4.64,76694080,$4.90,$4.90,$4.60
11/21/2022,$4.87,99354950,$5.13,$5.1899,$4.80
11/18/2022,$5.18,36633920,$5.48,$5.49,$5.16
11/17/2022,$5.38,34036700,$5.34,$5.51,$5.28
11/16/2022,$5.53,43267810,$5.77,$5.77,$5.47
11/15/2022,$5.85,59806450,$6.10,$6.13,$5.80
11/14/2022,$5.86,47833200,$5.89,$6.05,$5.72
11/11/2022,$5.95,84353290,$5.32,$6.00,$5.3199
11/10/2022,$5.34,69817610,$5.27,$5.44,$5.09
11/09/2022,$4.98,45923980,$5.03,$5.06,$4.94
11/08/2022,$5.10,48009710,$5.18,$5.30,$5.05
11/07/2022,$5.18,39915140,$5.23,$5.285,$5.12
11/04/2022,$5.18,53554190,$5.495,$5.51,$5.06
11/03/2022,$5.36,55484130,$5.03,$5.39,$5.01
11/02/2022,$5.12,106803800,$5.675,$5.70,$5.03
11/01/2022,$5.73,159097200,$6.46,$6.47,$5.67
10/31/2022,$5.44,61549160,$5.56,$5.67,$5.36
10/28/2022,$5.45,28750980,$5.37,$5.47,$5.29
10/27/2022,$5.35,26942690,$5.62,$5.66,$5.3444
10/26/2022,$5.54,37736150,$5.525,$5.77,$5.50
10/25/2022,$5.66,49264010,$5.20,$5.68,$5.19
10/24/2022,$5.17,32703180,$5.14,$5.20,$4.97
10/21/2022,$5.15,33980030,$4.97,$5.16,$4.90
10/20/2022,$5.01,30718900,$4.975,$5.1899,$4.96
10/19/2022,$4.99,35412260,$5.21,$5.22,$4.97
10/18/2022,$5.25,37401890,$5.25,$5.35,$5.15
10/17/2022,$5.07,33347880,$4.95,$5.10,$4.85
10/14/2022,$4.81,35776210,$5.19,$5.28,$4.81
10/13/2022,$5.09,32628970,$4.89,$5.22,$4.84
10/12/2022,$5.08,26339830,$4.98,$5.12,$4.88
10/11/2022,$5.00,35828890,$4.95,$5.17,$4.77
10/10/2022,$4.97,22211470,$5.01,$5.035,$4.91
10/07/2022,$5.01,27856150,$5.13,$5.15,$4.96
10/06/2022,$5.29,28449240,$5.27,$5.47,$5.17
10/05/2022,$5.28,36209270,$5.27,$5.32,$5.07
10/04/2022,$5.40,37930500,$5.265,$5.46,$5.25
10/03/2022,$5.13,33619390,$4.94,$5.22,$4.81
09/30/2022,$4.88,33884380,$4.82,$5.09,$4.81
09/29/2022,$4.84,57046740,$5.12,$5.16,$4.79
09/28/2022,$5.25,29843200,$5.08,$5.28,$5.04
09/27/2022,$5.08,35622150,$5.23,$5.33,$5.00
09/26/2022,$5.08,65463230,$5.30,$5.51,$5.08
09/23/2022,$5.31,40071930,$5.26,$5.37,$5.16
09/22/2022,$5.36,41535260,$5.72,$5.7899,$5.36
09/21/2022,$5.69,36073860,$5.89,$6.0396,$5.69
09/20/2022,$5.89,27278160,$6.00,$6.12,$5.88
09/19/2022,$6.08,30714130,$5.95,$6.10,$5.89
09/16/2022,$6.05,44028890,$6.235,$6.27,$6.01
09/15/2022,$6.41,58733460,$6.13,$6.65,$6.10
09/14/2022,$6.17,62819250,$6.06,$6.19,$5.90
09/13/2022,$5.84,44931920,$6.02,$6.14,$5.79
09/12/2022,$6.41,28634050,$6.35,$6.49,$6.2901
09/09/2022,$6.33,31127440,$6.23,$6.34,$6.17
09/08/2022,$6.19,38945260,$5.69,$6.19,$5.68
09/07/2022,$5.82,25290240,$5.60,$5.85,$5.57
09/06/2022,$5.65,28734840,$5.75,$5.79,$5.57
09/02/2022,$5.74,29739720,$5.99,$6.00,$5.70
09/01/2022,$5.85,34316410,$5.815,$5.86,$5.61
08/31/2022,$5.92,32515890,$5.97,$6.08,$5.87
08/30/2022,$5.91,38113940,$6.08,$6.13,$5.81
08/29/2022,$6.00,55367720,$6.09,$6.226,$5.97
08/26/2022,$6.18,74660990,$6.86,$6.89,$6.12
08/25/2022,$6.69,53630790,$6.63,$6.72,$6.39
08/24/2022,$6.45,114014000,$6.695,$6.87,$6.37
08/23/2022,$6.17,55901740,$6.15,$6.25,$6.01
08/22/2022,$6.10,41817580,$6.15,$6.33,$6.01
08/19/2022,$6.33,47048200,$6.52,$6.5299,$6.27
08/18/2022,$6.68,38842650,$6.95,$6.96,$6.62
08/17/2022,$6.88,75554910,$7.43,$7.45,$6.82
08/16/2022,$7.58,56901530,$7.50,$7.809,$7.19
08/15/2022,$7.62,38002960,$7.57,$7.70,$7.39
08/12/2022,$7.65,35779800,$7.53,$7.70,$7.30
08/11/2022,$7.42,65326060,$8.08,$8.14,$7.365
08/10/2022,$7.81,51807820,$7.78,$7.95,$7.51
08/09/2022,$7.39,50016960,$7.70,$7.76,$7.25
08/08/2022,$7.98,56810650,$8.14,$8.49,$7.88
08/05/2022,$7.96,43574370,$8.02,$8.26,$7.82
08/04/2022,$8.23,61791940,$8.17,$8.52,$7.86
08/03/2022,$8.23,147719800,$7.28,$8.42,$7.05
08/02/2022,$6.41,49460850,$6.34,$6.63,$6.31
08/01/2022,$6.36,21109860,$6.27,$6.41,$6.14
07/29/2022,$6.31,19058670,$6.27,$6.37,$6.15
07/28/2022,$6.30,21965890,$6.45,$6.56,$6.09
07/27/2022,$6.44,17437410,$6.25,$6.47,$6.19
07/26/2022,$6.14,16325750,$6.37,$6.37,$6.12
07/25/2022,$6.46,14153750,$6.57,$6.61,$6.3695
07/22/2022,$6.62,21258170,$7.05,$7.06,$6.52
07/21/2022,$7.04,19858380,$6.975,$7.15,$6.90
07/20/2022,$6.97,24765690,$6.69,$7.08,$6.66
07/19/2022,$6.62,21273640,$6.48,$6.63,$6.27
07/18/2022,$6.35,20005830,$6.33,$6.595,$6.31
07/15/2022,$6.29,22335820,$6.04,$6.30,$5.93
07/14/2022,$5.91,17285100,$5.88,$5.97,$5.76
07/13/2022,$5.95,25769540,$5.85,$6.06,$5.75
07/12/2022,$6.04,18008290,$6.02,$6.23,$5.90
07/11/2022,$6.01,18740080,$6.035,$6.09,$5.82
07/08/2022,$6.19,26898940,$6.00,$6.3699,$5.93
07/07/2022,$6.26,30799720,$5.90,$6.28,$5.85
07/06/2022,$5.90,25041460,$5.80,$6.10,$5.78
07/05/2022,$5.84,28362200,$5.33,$5.84,$5.14
07/01/2022,$5.41,21703260,$5.26,$5.485,$5.17
06/30/2022,$5.27,27760670,$5.43,$5.5099,$5.23
06/29/2022,$5.54,32700560,$5.52,$5.55,$5.34
06/28/2022,$5.56,31642630,$5.93,$5.97,$5.50
06/27/2022,$5.93,26805020,$6.10,$6.21,$5.85
