Date,Close/Last,Volume,Open,High,Low
10/20/2023,$83.19,343411,$83.71,$83.96,$83.18
10/19/2023,$83.84,434918,$84.15,$84.915,$83.70
10/18/2023,$84.10,385815,$85.12,$85.29,$83.98
10/17/2023,$85.71,424885,$84.90,$86.38,$84.88
10/16/2023,$85.40,485357,$84.79,$85.47,$84.51
10/13/2023,$85.15,560185,$85.75,$85.85,$84.89
10/12/2023,$86.58,789327,$86.75,$87.27,$86.15
10/11/2023,$85.46,620125,$85.34,$85.98,$85.33
10/10/2023,$84.61,429134,$84.29,$85.18,$84.12
10/09/2023,$83.50,322562,$82.41,$83.6287,$82.29
10/06/2023,$82.97,380249,$82.30,$83.35,$81.795
10/05/2023,$82.86,501229,$82.66,$83.16,$82.26
10/04/2023,$81.82,513909,$81.42,$81.93,$80.75
10/03/2023,$81.21,494049,$81.49,$82.05,$80.7806
10/02/2023,$81.65,473433,$81.66,$82.05,$81.20
09/29/2023,$82.41,622682,$82.81,$83.08,$82.07
09/28/2023,$82.78,878887,$81.71,$83.18,$81.70
09/27/2023,$82.55,733883,$83.20,$83.30,$82.31
09/26/2023,$81.30,592214,$82.39,$82.60,$81.08
09/25/2023,$83.27,608020,$83.05,$83.39,$82.73
09/22/2023,$82.38,505054,$82.98,$83.13,$82.33
09/21/2023,$82.64,709425,$82.85,$83.41,$82.53
09/20/2023,$84.85,505645,$85.69,$85.97,$84.77
09/19/2023,$86.54,363184,$86.62,$86.97,$86.29
09/18/2023,$86.76,439505,$86.37,$86.89,$86.05
09/15/2023,$86.76,490265,$87.36,$87.50,$86.76
09/14/2023,$86.50,652826,$85.93,$86.89,$85.79
09/13/2023,$84.43,563331,$84.38,$84.925,$84.25
09/12/2023,$85.41,369163,$85.20,$85.645,$84.98
09/11/2023,$85.20,627655,$85.10,$85.63,$84.82
09/08/2023,$84.22,488940,$84.25,$84.65,$84.0401
09/07/2023,$85.23,594990,$84.97,$85.36,$84.75
09/06/2023,$85.50,830132,$85.82,$86.09,$85.35
09/05/2023,$84.54,518329,$84.65,$85.19,$84.4201
09/01/2023,$85.26,1157818,$85.80,$85.97,$84.74
08/31/2023,$83.19,657096,$83.14,$83.45,$83.01
08/30/2023,$82.35,556940,$82.50,$82.85,$82.19
08/29/2023,$82.61,538799,$81.68,$82.84,$81.45
08/28/2023,$82.07,458770,$81.73,$82.25,$81.73
08/25/2023,$81.10,720004,$81.41,$81.69,$80.34
08/24/2023,$81.05,880969,$82.23,$82.37,$80.875
08/23/2023,$82.61,877865,$82.10,$82.78,$82.10
08/22/2023,$81.90,745457,$82.65,$82.81,$81.79
08/21/2023,$82.58,574970,$82.40,$82.68,$82.1832
08/18/2023,$82.66,614745,$82.02,$83.01,$81.76
08/17/2023,$82.40,699389,$83.50,$83.50,$82.23
08/16/2023,$82.24,894503,$82.73,$83.185,$82.145
08/15/2023,$83.53,570359,$83.42,$83.72,$82.92
08/14/2023,$83.97,1146377,$83.58,$84.00,$82.90
08/11/2023,$85.58,775739,$85.16,$85.79,$84.63
08/10/2023,$85.44,1609789,$86.95,$87.00,$85.31
08/09/2023,$83.85,2456764,$90.31,$90.31,$82.695
08/08/2023,$89.82,907001,$90.09,$90.58,$89.42
08/07/2023,$90.44,653803,$90.66,$90.725,$90.12
08/04/2023,$90.19,558658,$91.07,$91.3628,$90.06
08/03/2023,$90.03,572352,$90.02,$90.1972,$89.52
08/02/2023,$91.07,667582,$91.89,$92.175,$90.91
08/01/2023,$93.49,436011,$93.50,$93.92,$93.28
07/31/2023,$93.60,644887,$93.81,$94.36,$93.38
07/28/2023,$93.47,680262,$93.77,$94.174,$93.40
07/27/2023,$93.76,686164,$94.70,$95.19,$93.59
07/26/2023,$93.74,374860,$93.39,$94.07,$93.20
07/25/2023,$93.69,437403,$93.03,$93.79,$92.80
07/24/2023,$93.66,386298,$93.39,$93.92,$93.255
07/21/2023,$93.39,425775,$93.82,$93.96,$93.28
07/20/2023,$93.25,650827,$93.29,$93.86,$93.18
07/19/2023,$94.57,539206,$94.76,$95.00,$94.13
07/18/2023,$95.10,967237,$94.86,$95.42,$94.58
07/17/2023,$93.57,770380,$92.53,$94.2899,$92.37
07/14/2023,$92.39,915738,$93.22,$93.22,$92.335
07/13/2023,$93.81,1503894,$93.66,$94.13,$93.38
07/12/2023,$91.24,2313737,$89.65,$92.53,$89.64
07/11/2023,$89.64,1363440,$89.92,$90.40,$89.29
07/10/2023,$90.73,672321,$90.40,$90.87,$90.40
07/07/2023,$91.04,726085,$90.64,$91.86,$90.64
07/06/2023,$90.49,759767,$90.66,$90.84,$89.84
07/05/2023,$91.43,835308,$91.43,$91.77,$91.13
07/03/2023,$91.55,759687,$91.54,$92.095,$91.34
06/30/2023,$90.04,939414,$90.05,$90.7914,$90.00
06/29/2023,$89.96,664706,$90.11,$90.30,$89.58
06/28/2023,$91.29,807916,$90.70,$91.55,$90.56
06/27/2023,$90.07,1313828,$89.80,$90.38,$89.22
06/26/2023,$90.37,694704,$90.63,$91.16,$90.19
06/23/2023,$91.14,1150114,$91.24,$91.49,$90.80
06/22/2023,$93.82,701982,$93.59,$94.07,$93.30
06/21/2023,$94.68,559675,$95.09,$95.43,$94.27
06/20/2023,$96.31,509827,$97.00,$97.01,$96.21
06/16/2023,$97.57,778098,$98.48,$98.66,$97.46
06/15/2023,$99.67,590278,$98.79,$99.75,$98.55
06/14/2023,$99.87,515116,$100.71,$100.89,$99.51
06/13/2023,$100.19,620743,$100.23,$100.94,$100.04
06/12/2023,$99.25,1194015,$98.81,$99.55,$98.50
06/09/2023,$98.44,516772,$98.54,$99.0475,$98.00
06/08/2023,$97.41,686276,$96.21,$97.41,$95.92
06/07/2023,$97.68,736134,$98.30,$98.80,$97.63
06/06/2023,$100.05,754248,$99.00,$100.24,$98.7899
06/05/2023,$98.50,672437,$98.99,$99.10,$98.3901
06/02/2023,$98.01,676442,$98.05,$98.86,$97.93
06/01/2023,$96.66,968760,$96.19,$97.045,$96.16
05/31/2023,$93.70,640205,$94.21,$94.49,$92.87
05/30/2023,$94.76,765057,$96.09,$96.22,$94.75
05/26/2023,$95.98,622545,$95.59,$96.63,$95.37
05/25/2023,$95.04,614545,$95.46,$95.55,$94.60
05/24/2023,$94.23,657349,$94.44,$94.94,$94.01
05/23/2023,$94.97,980674,$95.57,$95.57,$94.56
05/22/2023,$97.60,886046,$98.12,$98.49,$97.46
05/19/2023,$98.01,711445,$98.06,$98.49,$97.62
05/18/2023,$98.89,1810118,$99.07,$99.15,$98.3499
05/17/2023,$95.32,922114,$95.55,$95.89,$95.01
05/16/2023,$93.81,504034,$93.90,$94.26,$93.54
05/15/2023,$94.67,538743,$94.62,$95.12,$94.573
05/12/2023,$94.68,570775,$94.84,$95.34,$94.3871
05/11/2023,$93.21,461975,$93.61,$93.61,$92.6501
05/10/2023,$93.43,755604,$93.00,$93.52,$92.395
05/09/2023,$93.90,866044,$92.82,$94.09,$92.82
05/08/2023,$92.44,1028370,$92.27,$92.50,$91.80
05/05/2023,$93.86,666658,$93.01,$94.0799,$92.82
05/04/2023,$92.67,546090,$92.74,$93.40,$92.49
05/03/2023,$92.81,747028,$91.63,$93.18,$91.51
05/02/2023,$91.36,773001,$91.14,$91.40,$90.13
05/01/2023,$92.19,1066866,$92.10,$92.51,$91.25
