Date,Close/Last,Volume,Open,High,Low
10/20/2023,74.02,16557460,76.63,76.901,73.93
10/19/2023,76.91,14782270,79.36,80.4007,76.51
10/18/2023,79.07,14273480,81.31,81.87,78.42
10/17/2023,82.37,14245710,80.56,83.5601,80.35
10/16/2023,82.43,11148690,81.18,83.025,81.03
10/13/2023,79.92,13124340,82.03,82.70,79.00
10/12/2023,81.24,11726280,83.05,83.27,79.80
10/11/2023,82.80,8294037,82.40,82.92,80.98
10/10/2023,81.79,9483911,80.91,83.28,80.65
10/09/2023,80.52,9563564,77.94,80.89,77.64
10/06/2023,79.02,12329630,75.00,79.91,74.24
10/05/2023,76.41,8347264,76.33,76.86,74.62
10/04/2023,76.62,12714520,75.16,76.975,74.36
10/03/2023,74.93,13343710,76.83,77.71,74.169
10/02/2023,78.11,13468250,77.72,78.81,76.56
09/29/2023,78.20,15546100,80.54,80.6158,77.37
09/28/2023,78.87,11895170,77.25,79.78,76.84
09/27/2023,77.51,14746910,78.12,78.44,75.51
09/26/2023,77.47,13269800,79.29,79.7034,77.0199
09/25/2023,81.08,8551718,79.36,81.11,79.14
09/22/2023,80.08,10103930,81.25,82.1738,79.88
09/21/2023,80.74,10337700,83.20,83.36,80.60
09/20/2023,84.96,10040740,88.13,88.4116,84.89
09/19/2023,87.49,7027664,87.38,87.76,85.77
09/18/2023,88.24,5653784,87.85,88.98,87.56
09/15/2023,88.07,9077427,90.44,90.58,87.8016
09/14/2023,91.43,5651198,90.68,91.85,89.83
09/13/2023,89.25,6003118,89.00,89.92,88.34
09/12/2023,88.91,5367282,89.49,90.45,88.56
09/11/2023,90.44,5197350,90.28,90.63,89.24
09/08/2023,88.72,5427644,88.39,89.66,88.12
09/07/2023,88.33,5910672,87.34,88.79,87.12
09/06/2023,89.29,6308569,90.60,90.66,87.81
09/05/2023,91.14,4136844,92.07,92.26,91.0963
09/01/2023,92.37,5485424,93.62,93.88,91.44
08/31/2023,91.91,5453433,92.71,93.41,91.79
08/30/2023,92.47,7348847,91.53,92.80,91.02
08/29/2023,91.27,7596440,87.45,91.47,87.33
08/28/2023,87.46,5712860,87.21,87.90,86.41
08/25/2023,85.93,10681420,85.18,86.69,83.04
08/24/2023,84.22,6831196,88.82,89.14,84.14
08/23/2023,87.87,6090929,85.66,88.28,85.62
08/22/2023,85.06,7030738,86.78,86.8799,84.76
08/21/2023,85.84,6650457,84.76,86.28,83.49
08/18/2023,84.15,8221099,82.34,84.825,82.19
08/17/2023,84.14,11069250,87.02,87.1599,83.81
08/16/2023,86.25,9315334,87.84,88.90,86.16
08/15/2023,88.23,8806308,90.25,90.45,87.8162
08/14/2023,91.35,6042756,89.29,91.39,89.13
