Date,Close/Last,Volume,Open,High,Low
10/20/2023,$43.98,9985879,$44.515,$44.56,$43.7003
10/19/2023,$44.17,10885060,$44.38,$45.57,$43.96
10/18/2023,$44.58,8206403,$45.275,$45.88,$44.55
10/17/2023,$45.90,11581260,$44.18,$46.38,$44.09
10/16/2023,$44.76,9192184,$43.84,$44.95,$43.595
10/13/2023,$43.17,13516790,$44.63,$44.87,$43.14
10/12/2023,$45.45,13842980,$47.05,$47.225,$45.121
10/11/2023,$46.69,15563040,$46.34,$47.535,$46.02
10/10/2023,$46.00,15783370,$44.30,$46.54,$44.30
10/09/2023,$43.71,7787594,$43.12,$43.815,$42.89
10/06/2023,$43.83,13244320,$42.15,$44.05,$42.15
10/05/2023,$42.64,15916710,$41.51,$42.815,$40.77
10/04/2023,$41.90,11048000,$42.00,$42.22,$41.24
10/03/2023,$41.90,11399950,$42.57,$43.29,$41.49
10/02/2023,$43.19,10433170,$44.32,$44.72,$42.98
09/29/2023,$44.26,11965280,$45.21,$45.63,$44.21
09/28/2023,$44.35,16585060,$44.03,$44.56,$42.77
09/27/2023,$44.14,11656100,$45.26,$45.36,$43.75
09/26/2023,$44.81,10168220,$44.94,$45.7398,$44.56
09/25/2023,$45.59,8841345,$44.62,$45.74,$44.33
09/22/2023,$44.71,11866500,$45.89,$46.18,$44.60
09/21/2023,$45.62,19540760,$46.51,$46.93,$45.27
09/20/2023,$47.57,15313470,$49.99,$50.06,$47.52
09/19/2023,$49.80,17981670,$49.94,$50.63,$49.37
09/18/2023,$51.25,11564040,$52.81,$52.81,$51.24
09/15/2023,$52.83,11915070,$53.68,$54.08,$52.26
09/14/2023,$53.85,8089954,$54.61,$54.73,$53.57
09/13/2023,$54.15,5735346,$54.075,$54.58,$53.61
09/12/2023,$54.33,10233080,$53.785,$55.7291,$53.65
09/11/2023,$53.94,10420040,$53.955,$55.20,$53.2701
09/08/2023,$53.08,20720750,$56.00,$56.00,$52.78
09/07/2023,$56.04,9075765,$56.22,$56.50,$55.14
09/06/2023,$57.64,10491580,$57.68,$59.72,$57.49
09/05/2023,$58.74,5987049,$58.16,$59.195,$57.785
09/01/2023,$58.17,5752348,$58.39,$59.04,$57.85
08/31/2023,$57.65,7392938,$57.80,$58.50,$57.17
08/30/2023,$57.72,6813238,$57.33,$58.21,$56.98
08/29/2023,$57.76,7329804,$55.57,$57.90,$55.46
08/28/2023,$55.87,5333590,$56.01,$56.45,$55.26
08/25/2023,$55.86,7741021,$55.40,$56.63,$54.97
08/24/2023,$55.63,7952746,$57.57,$57.57,$55.31
08/23/2023,$57.22,12207270,$56.30,$57.40,$55.90
08/22/2023,$56.07,10503850,$57.81,$58.0002,$55.63
08/21/2023,$57.56,9422938,$56.84,$57.56,$55.99
08/18/2023,$56.88,9841116,$55.03,$57.27,$54.725
08/17/2023,$56.10,10195220,$57.07,$57.52,$56.08
08/16/2023,$57.49,8309160,$58.14,$58.95,$57.44
08/15/2023,$58.36,9501060,$60.09,$60.36,$58.13
08/14/2023,$60.15,7408116,$60.06,$60.49,$59.64
08/11/2023,$60.57,7740658,$61.60,$62.36,$60.53
08/10/2023,$62.24,8642458,$63.06,$64.26,$61.81
08/09/2023,$62.71,12169230,$63.63,$64.5467,$62.41
08/08/2023,$62.38,11439270,$62.80,$63.58,$62.32
08/07/2023,$64.01,16331220,$64.16,$65.15,$63.28
08/04/2023,$63.52,33475980,$67.68,$70.3983,$63.20
08/03/2023,$73.55,13871070,$73.36,$73.88,$71.51
08/02/2023,$74.49,10439820,$77.135,$77.135,$73.87
08/01/2023,$78.76,6745084,$79.88,$79.90,$77.78
07/31/2023,$80.53,7815048,$79.38,$81.47,$79.16
07/28/2023,$78.36,6228303,$78.315,$78.98,$77.35
07/27/2023,$75.77,5911856,$78.83,$79.44,$75.40
07/26/2023,$77.41,4235244,$76.16,$77.845,$75.76
07/25/2023,$76.87,3362612,$77.58,$78.25,$76.79
07/24/2023,$77.14,5015956,$75.86,$77.26,$74.36
07/21/2023,$76.12,5260141,$76.88,$77.605,$75.08
07/20/2023,$76.17,7231342,$77.225,$77.95,$75.66
07/19/2023,$78.19,8320687,$79.15,$80.60,$78.11
07/18/2023,$79.03,6736793,$78.065,$79.21,$77.57
07/17/2023,$78.06,10001950,$75.305,$78.80,$74.31
07/14/2023,$75.46,9343857,$76.315,$77.11,$74.84
07/13/2023,$76.20,15648340,$72.74,$76.65,$72.53
07/12/2023,$71.22,7823919,$72.83,$73.0399,$70.58
07/11/2023,$71.10,10022650,$69.75,$72.12,$69.06
07/10/2023,$69.06,9165934,$66.84,$69.65,$66.72
07/07/2023,$67.27,11732920,$64.20,$68.42,$64.10
07/06/2023,$64.61,16455860,$67.38,$67.38,$63.44
07/05/2023,$68.97,12995780,$65.73,$69.40,$65.14
07/03/2023,$66.20,5669889,$66.67,$67.30,$66.04
06/30/2023,$66.57,8721401,$65.10,$66.8976,$64.81
06/29/2023,$64.39,6240855,$64.875,$65.77,$63.74
06/28/2023,$64.77,6638505,$63.70,$65.61,$63.33
06/27/2023,$63.93,5865424,$62.33,$64.56,$62.045
06/26/2023,$61.75,5506313,$62.66,$64.1493,$61.65
06/23/2023,$62.86,17221730,$62.80,$63.3399,$61.855
06/22/2023,$64.11,7225469,$64.89,$65.15,$63.14
06/21/2023,$65.46,8858980,$66.71,$67.28,$64.81
06/20/2023,$66.80,7460510,$65.89,$67.515,$65.35
06/16/2023,$66.51,12250810,$66.51,$67.7896,$65.701
06/15/2023,$66.19,9395452,$63.65,$66.86,$63.56
06/14/2023,$63.69,9173935,$64.84,$65.87,$62.87
06/13/2023,$65.52,10102890,$65.38,$66.40,$64.87
06/12/2023,$64.20,6172690,$65.21,$65.6494,$63.58
06/09/2023,$64.94,6562157,$65.26,$66.50,$64.57
06/08/2023,$65.09,8673016,$66.37,$66.91,$64.82
06/07/2023,$66.24,9270858,$66.50,$67.61,$65.11
06/06/2023,$65.98,10479610,$62.36,$66.18,$62.21
06/05/2023,$63.54,5880665,$63.71,$64.00,$62.5732
06/02/2023,$63.46,10653280,$62.50,$63.99,$61.27
06/01/2023,$61.50,8765250,$59.68,$62.405,$59.04
05/31/2023,$60.39,15274670,$58.41,$61.20,$58.36
05/30/2023,$58.84,9715759,$59.76,$60.0799,$57.78
05/26/2023,$59.00,10088430,$59.50,$60.40,$58.97
05/25/2023,$59.30,8927247,$62.02,$62.17,$59.01
05/24/2023,$61.86,8886729,$60.595,$62.025,$59.96
05/23/2023,$61.56,12693600,$60.33,$62.55,$59.82
05/22/2023,$60.62,11142140,$58.00,$61.32,$57.54
05/19/2023,$58.65,6615229,$59.475,$59.60,$58.145
05/18/2023,$59.52,9851281,$57.94,$60.13,$57.52
05/17/2023,$57.76,9165901,$56.07,$57.83,$55.46
05/16/2023,$55.54,8386036,$55.74,$56.595,$55.05
