Date,Close/Last,Volume,Open,High,Low
12/15/2023,14.25,116437500,14.33,14.39,14.07
12/14/2023,14.41,131341800,14.23,14.73,14.09
12/13/2023,14.34,145823700,14.81,14.89,14.27
12/12/2023,14.90,99111570,15.26,15.40,14.89
12/11/2023,15.26,98978000,15.71,15.74,15.22
12/08/2023,15.66,128284600,16.07,16.10,15.60
12/07/2023,15.85,111966300,16.17,16.31,15.75
12/06/2023,16.52,108239800,15.87,16.57,15.85
12/05/2023,16.23,113700100,16.605,16.63,16.08
12/04/2023,16.35,125266800,16.37,16.80,16.31
12/01/2023,15.895,123672400,16.17,16.38,15.82
11/30/2023,16.02,135369900,15.87,16.39,15.81
11/29/2023,15.89,115111400,15.53,15.92,15.35
11/28/2023,15.82,107539100,16.04,16.09,15.75
11/27/2023,15.93,91318710,15.96,16.05,15.69
11/24/2023,15.90,49708430,15.87,16.01,15.80
11/22/2023,15.81,114636000,15.75,15.9397,15.43
11/21/2023,15.99,109440300,15.91,16.20,15.89
11/20/2023,15.70,114442200,16.29,16.29,15.60
11/17/2023,16.28,111126500,16.38,16.50,16.14
11/16/2023,16.275,128060300,16.42,16.59,16.25
11/15/2023,16.30,146825700,16.08,16.47,16.02
11/14/2023,16.34,153760200,16.55,16.62,16.19
11/13/2023,17.44,105708800,17.49,17.71,17.29
11/10/2023,17.28,157956600,18.25,18.34,17.2401
11/09/2023,18.51,169294000,17.99,18.58,17.81
11/08/2023,18.06,117816600,18.04,18.40,17.94
11/07/2023,18.10,127790400,18.455,18.64,17.95
11/06/2023,18.61,102028200,18.71,18.96,18.5112
11/03/2023,18.82,142863400,19.31,19.34,18.61
11/02/2023,19.50,128955100,19.83,20.0378,19.46
11/01/2023,20.57,153221200,21.56,21.58,20.48
10/31/2023,21.70,117189300,22.02,22.52,21.64
10/30/2023,22.03,140844900,22.28,22.56,21.7516
10/27/2023,22.75,184181100,22.55,23.02,22.06
10/26/2023,23.09,189869400,22.06,23.34,21.89
10/25/2023,21.80,149751600,20.73,21.91,20.70
10/24/2023,20.31,129588900,20.59,20.90,20.17
10/23/2023,20.90,160650300,21.34,21.719,20.26
10/20/2023,21.08,162121600,20.27,21.12,20.17
10/19/2023,20.16,199049800,19.39,20.303,19.19
10/18/2023,19.61,144995100,19.24,19.80,18.89
10/17/2023,18.83,138155000,19.205,19.53,18.58
10/16/2023,18.64,110315300,19.08,19.1154,18.48
10/13/2023,19.30,158907600,18.49,19.51,18.41
10/12/2023,18.59,148990000,18.305,18.94,18.04
10/11/2023,18.37,118444000,18.56,18.83,18.33
10/10/2023,18.76,115885300,19.02,19.10,18.33
10/09/2023,19.06,113964000,19.735,19.98,18.97
10/06/2023,19.36,181147000,20.90,21.045,19.16
10/05/2023,20.37,120304500,20.19,20.96,20.12
10/04/2023,20.17,148941600,20.86,20.95,20.00
10/03/2023,21.01,136832300,20.37,21.28,20.00
10/02/2023,19.95,127203900,20.41,20.5199,19.70
09/29/2023,20.44,162800100,19.89,20.67,19.64
09/28/2023,20.48,141524400,21.16,21.32,20.09
09/27/2023,20.95,153105900,20.92,21.63,20.62
09/26/2023,21.10,119336500,20.64,21.28,20.55
09/25/2023,20.18,114909900,20.65,20.8255,20.1701
09/22/2023,20.47,133885700,20.18,20.53,19.81
09/21/2023,20.48,142417100,20.00,20.50,19.87
09/20/2023,19.36,117823900,18.42,19.38,18.35
09/19/2023,18.89,107198200,18.97,19.36,18.77
09/18/2023,18.75,88867180,18.96,19.0056,18.58
09/15/2023,18.82,123632500,18.08,18.94,18.0201
09/14/2023,17.88,122032700,18.07,18.37,17.73
09/13/2023,18.30,120777500,18.48,18.65,18.05
09/12/2023,18.49,95691660,18.14,18.55,17.95
09/11/2023,17.89,96232910,18.09,18.39,17.82
09/08/2023,18.54,99268880,18.63,18.696,18.20
09/07/2023,18.61,118466700,18.875,19.035,18.50
09/06/2023,18.18,121062400,17.83,18.48,17.79
09/05/2023,17.72,88772380,17.90,18.03,17.54
09/01/2023,17.77,113449300,17.37,17.99,17.31
08/31/2023,17.71,103774700,17.86,17.86,17.45
08/30/2023,17.83,119360800,18.115,18.27,17.7495
08/29/2023,18.14,136765400,19.43,19.48,18.07
08/28/2023,19.38,110653600,19.35,19.7992,19.23
08/25/2023,19.82,214022800,20.155,20.75,19.5323
08/24/2023,20.31,152466100,18.52,20.32,18.50
08/23/2023,19.03,132372800,19.79,19.8299,18.86
08/22/2023,19.98,119780400,19.47,20.09,19.45
08/21/2023,19.87,134094100,20.63,20.72,19.76
08/18/2023,20.88,164430900,21.38,21.48,20.65
08/17/2023,20.78,146341200,19.89,20.86,19.84
08/16/2023,20.10,136794100,19.57,20.12,19.32
08/15/2023,19.46,116795000,19.03,19.58,18.90
