Date,Close/Last,Volume,Open,High,Low
01/05/2024,$59.82,1202568,$59.15,$60.38,$58.79
01/04/2024,$59.37,739050,$59.21,$59.85,$58.96
01/03/2024,$59.34,1296562,$60.01,$60.01,$59.08
01/02/2024,$60.42,1047715,$60.55,$60.93,$60.1039
12/29/2023,$61.11,533468,$61.11,$61.40,$60.93
12/28/2023,$61.29,644211,$61.22,$61.585,$61.12
12/27/2023,$61.22,960487,$61.05,$61.51,$60.0606
12/26/2023,$61.19,541209,$60.89,$61.32,$60.695
12/22/2023,$60.71,804359,$60.40,$60.88,$60.235
12/21/2023,$60.31,690574,$60.14,$60.365,$59.895
12/20/2023,$59.62,723482,$60.42,$61.01,$59.60
12/19/2023,$60.61,1156277,$60.37,$60.718,$60.37
12/18/2023,$60.27,1129343,$60.26,$60.31,$59.60
12/15/2023,$60.15,1754191,$60.66,$60.695,$59.80
12/14/2023,$60.62,2019068,$60.00,$61.15,$59.78
12/13/2023,$59.77,1825197,$58.17,$59.87,$58.14
12/12/2023,$58.27,654326,$57.89,$58.49,$57.53
12/11/2023,$57.89,992667,$57.23,$58.24,$57.23
12/08/2023,$57.11,678393,$56.74,$57.22,$56.64
12/07/2023,$56.89,885961,$57.09,$57.11,$56.6194
12/06/2023,$57.06,1145154,$56.92,$57.42,$56.77
12/05/2023,$56.44,1147817,$56.70,$56.70,$56.10
12/04/2023,$57.10,1290527,$57.26,$57.455,$56.69
12/01/2023,$57.67,2189925,$56.09,$57.73,$55.89
11/30/2023,$56.26,2544483,$55.90,$56.30,$55.63
11/29/2023,$56.00,1097894,$56.50,$56.92,$55.92
11/28/2023,$56.18,1386028,$55.81,$56.255,$55.57
11/27/2023,$55.95,1363380,$55.54,$56.09,$55.4501
11/24/2023,$55.84,418584,$55.53,$56.00,$55.325
11/22/2023,$55.62,880787,$55.21,$55.91,$55.20
11/21/2023,$54.97,887747,$54.99,$55.12,$54.80
11/20/2023,$55.12,1089756,$54.95,$55.39,$54.75
11/17/2023,$55.00,1071814,$54.92,$55.02,$54.555
11/16/2023,$54.76,1463121,$55.03,$55.45,$54.44
11/15/2023,$55.18,1183065,$54.50,$55.35,$54.40
11/14/2023,$54.40,1292529,$53.57,$54.585,$53.455
11/13/2023,$52.47,1288807,$52.47,$52.77,$52.37
11/10/2023,$52.79,796773,$52.14,$52.795,$51.92
11/09/2023,$52.04,1001403,$52.71,$52.71,$51.97
11/08/2023,$52.40,1582625,$53.04,$53.22,$52.11
11/07/2023,$53.02,1301458,$52.75,$53.37,$52.57
