Date,Close/Last,Volume,Open,High,Low
01/05/2024,$36.22,2462658,$35.96,$36.655,$35.945
01/04/2024,$36.04,2913411,$35.86,$36.22,$35.195
01/03/2024,$36.20,3103066,$36.61,$36.795,$35.90
01/02/2024,$37.12,2363594,$37.01,$37.88,$36.965
12/29/2023,$37.57,1474976,$37.58,$37.945,$37.43
12/28/2023,$37.76,928283,$37.79,$37.85,$37.5606
12/27/2023,$37.81,948777,$37.72,$37.86,$37.49
12/26/2023,$37.55,3104631,$37.45,$37.63,$37.18
12/22/2023,$37.38,3862670,$37.53,$38.19,$37.165
12/21/2023,$37.49,2395769,$36.79,$37.51,$36.61
12/20/2023,$36.47,4111068,$36.49,$37.355,$36.43
12/19/2023,$36.60,1861130,$36.19,$36.64,$36.08
12/18/2023,$35.84,2150636,$36.00,$36.075,$35.725
12/15/2023,$36.06,2574247,$36.48,$36.63,$35.745
12/14/2023,$36.59,2609400,$35.64,$36.78,$35.285
12/13/2023,$34.85,1388797,$33.70,$34.905,$33.50
12/12/2023,$33.73,1350128,$33.78,$33.93,$33.535
12/11/2023,$33.81,2149819,$33.41,$34.02,$33.335
12/08/2023,$33.36,4871520,$33.64,$34.085,$33.34
12/07/2023,$33.66,1595952,$33.05,$33.72,$32.98
12/06/2023,$33.05,1455434,$33.13,$33.84,$32.925
12/05/2023,$32.89,1773009,$33.06,$33.36,$32.75
12/04/2023,$33.32,1934298,$32.85,$33.33,$32.74
12/01/2023,$33.18,1684724,$32.51,$33.30,$32.185
11/30/2023,$32.51,9920123,$32.54,$32.76,$31.87
11/29/2023,$32.37,2051615,$32.69,$33.06,$32.32
11/28/2023,$32.29,1577528,$31.80,$32.45,$31.655
11/27/2023,$31.89,2416794,$31.78,$32.04,$31.67
11/24/2023,$31.99,605687,$31.67,$32.20,$31.61
11/22/2023,$31.80,1301108,$32.05,$32.18,$31.68
11/21/2023,$31.80,2010952,$32.09,$32.24,$31.705
11/20/2023,$32.32,2721764,$32.55,$32.785,$32.24
11/17/2023,$32.62,1209895,$32.83,$32.97,$31.77
