Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.51,1334719,$38.25,$38.73,$38.05
01/04/2024,$38.60,1170338,$38.76,$38.98,$38.37
01/03/2024,$38.88,1606824,$39.27,$39.39,$38.795
01/02/2024,$39.59,1159647,$39.15,$39.61,$39.01
12/29/2023,$39.26,1511372,$39.32,$39.605,$39.16
12/28/2023,$39.58,914412,$39.09,$39.58,$39.09
12/27/2023,$39.34,761388,$39.24,$39.34,$39.06
12/26/2023,$39.09,572890,$38.85,$39.24,$38.83
12/22/2023,$38.85,1144178,$38.81,$39.18,$38.64
12/21/2023,$38.74,1281470,$38.74,$38.835,$38.28
12/20/2023,$38.29,1365896,$38.85,$39.11,$38.27
12/19/2023,$38.82,1451544,$38.76,$39.02,$38.59
12/18/2023,$38.56,1230744,$38.73,$38.87,$38.49
12/15/2023,$38.66,3168457,$39.00,$39.115,$38.39
12/14/2023,$39.04,3382759,$39.00,$39.145,$38.49
12/13/2023,$38.28,1580098,$36.72,$38.50,$36.685
12/12/2023,$36.71,775327,$36.30,$36.8553,$36.12
12/11/2023,$36.34,797347,$36.21,$36.53,$36.14
12/08/2023,$36.22,1204241,$36.10,$36.23,$35.79
12/07/2023,$36.21,723327,$36.05,$36.41,$35.82
12/06/2023,$36.12,1281260,$36.35,$36.41,$35.975
12/05/2023,$36.09,1202055,$36.61,$36.71,$35.92
12/04/2023,$36.84,1548983,$36.27,$36.87,$36.12
12/01/2023,$36.40,1711254,$35.79,$36.49,$35.69
11/30/2023,$35.85,1812090,$35.75,$36.02,$35.39
11/29/2023,$35.83,1495828,$36.03,$36.19,$35.81
11/28/2023,$35.86,2190893,$35.90,$36.36,$35.71
11/27/2023,$36.19,965883,$35.82,$36.40,$35.80
11/24/2023,$35.95,394906,$35.74,$35.97,$35.57
11/22/2023,$35.82,634475,$36.05,$36.10,$35.73
11/21/2023,$35.63,1172735,$35.95,$35.97,$35.50
11/20/2023,$36.09,1052250,$35.68,$36.09,$35.40
11/17/2023,$35.76,1046063,$35.59,$35.77,$35.355
11/16/2023,$35.24,631734,$35.70,$35.79,$35.195
11/15/2023,$35.62,1056037,$35.56,$35.91,$35.49
11/14/2023,$35.69,1204094,$35.31,$36.10,$35.04
11/13/2023,$34.12,667105,$34.30,$34.39,$33.99
11/10/2023,$34.58,451166,$34.49,$34.6223,$34.22
11/09/2023,$34.33,651492,$34.78,$34.78,$34.09
11/08/2023,$34.69,581735,$34.42,$34.76,$34.33
11/07/2023,$34.27,947307,$34.47,$34.47,$34.16
11/06/2023,$34.40,1111999,$35.26,$35.31,$34.205
11/03/2023,$35.36,2763447,$35.70,$36.23,$35.31
11/02/2023,$35.19,1289334,$34.58,$35.22,$34.40
11/01/2023,$34.04,1171745,$33.31,$34.04,$33.22
10/31/2023,$33.22,2055612,$32.95,$33.31,$32.78
10/30/2023,$32.65,1466110,$32.31,$32.745,$31.95
10/27/2023,$32.24,1590389,$32.67,$32.85,$32.04
10/26/2023,$32.12,1046904,$31.80,$32.305,$31.79
10/25/2023,$31.71,1213925,$32.41,$32.615,$31.69
