Date,Close/Last,Volume,Open,High,Low
01/05/2024,$78.21,1926921,$77.18,$78.74,$77.18
01/04/2024,$77.38,1841644,$76.86,$77.95,$76.80
01/03/2024,$77.30,1804197,$78.69,$78.69,$76.91
01/02/2024,$77.75,1438508,$77.66,$78.23,$77.03
12/29/2023,$77.46,1084544,$77.83,$78.065,$77.24
12/28/2023,$78.42,1394279,$78.55,$78.57,$78.135
12/27/2023,$77.97,1154818,$77.64,$78.21,$77.28
12/26/2023,$77.72,1608626,$77.29,$77.905,$77.07
12/22/2023,$77.19,1536460,$77.37,$77.89,$76.8079
12/21/2023,$77.01,1384957,$76.47,$77.11,$76.22
12/20/2023,$76.05,1822480,$77.33,$78.19,$76.02
12/19/2023,$77.68,1624903,$77.34,$78.10,$76.95
12/18/2023,$77.19,1884597,$78.00,$78.01,$77.07
12/15/2023,$77.63,4948048,$77.64,$78.64,$77.15
12/14/2023,$78.55,2343233,$77.85,$79.28,$77.85
12/13/2023,$76.61,2126092,$75.27,$76.80,$74.66
12/12/2023,$75.12,1819040,$74.72,$75.45,$74.38
12/11/2023,$74.60,2189669,$73.83,$75.40,$73.74
12/08/2023,$73.97,2149842,$73.15,$74.17,$72.92
12/07/2023,$73.18,2544978,$71.78,$73.22,$71.47
12/06/2023,$71.44,4466157,$73.75,$74.13,$70.46
12/05/2023,$73.22,2145136,$73.82,$73.90,$72.61
12/04/2023,$74.10,2464684,$73.17,$74.615,$73.07
12/01/2023,$73.92,2699772,$72.80,$74.535,$72.52
11/30/2023,$72.82,3887064,$71.91,$72.94,$71.40
11/29/2023,$71.74,1653571,$70.65,$71.99,$70.50
11/28/2023,$70.11,1732703,$69.89,$70.43,$69.58
11/27/2023,$69.74,1957616,$69.88,$70.18,$69.56
11/24/2023,$70.38,797721,$69.85,$70.56,$69.70
11/22/2023,$69.88,1200302,$69.44,$69.95,$68.99
11/21/2023,$69.05,1372406,$69.75,$69.91,$69.03
11/20/2023,$69.95,1429172,$69.72,$70.31,$69.174
11/17/2023,$70.19,1536827,$70.18,$70.27,$69.82
11/16/2023,$69.29,1733762,$69.59,$69.97,$68.92
11/15/2023,$69.73,1721164,$68.93,$70.205,$68.93
11/14/2023,$68.94,1911752,$68.22,$69.76,$67.995
11/13/2023,$67.05,1588005,$67.16,$67.60,$66.86
11/10/2023,$67.60,1406314,$66.95,$67.64,$66.27
11/09/2023,$66.52,1485953,$67.07,$67.60,$66.38
11/08/2023,$66.56,1624670,$66.41,$66.67,$66.00
11/07/2023,$66.54,1302756,$66.84,$67.33,$66.46
11/06/2023,$67.22,1426892,$67.91,$67.99,$66.64
11/03/2023,$67.76,1990223,$67.78,$68.53,$67.68
11/02/2023,$66.68,1533304,$65.50,$66.835,$65.16
11/01/2023,$64.74,1805234,$64.81,$65.6961,$64.30
10/31/2023,$64.63,1548605,$63.66,$64.95,$63.57
10/30/2023,$63.88,1471785,$63.45,$64.16,$62.99
10/27/2023,$62.93,1655761,$64.16,$64.325,$62.78
