Date,Close/Last,Volume,Open,High,Low
01/05/2024,$80.28,1395161,$81.13,$81.82,$79.81
01/04/2024,$80.77,1361581,$79.84,$81.37,$79.81
01/03/2024,$80.43,2874596,$81.31,$82.345,$80.065
01/02/2024,$82.69,2011457,$84.70,$84.80,$82.32
12/29/2023,$85.37,1295921,$86.57,$86.98,$85.165
12/28/2023,$86.79,1589198,$85.80,$86.83,$85.71
12/27/2023,$85.68,962497,$86.26,$86.36,$85.35
12/26/2023,$85.87,938440,$85.16,$86.02,$85.04
12/22/2023,$85.16,1003517,$85.42,$85.72,$84.84
12/21/2023,$85.30,2042138,$83.51,$85.34,$83.31
12/20/2023,$81.85,1890571,$82.97,$83.38,$81.82
12/19/2023,$83.90,1426313,$83.69,$84.67,$83.5763
12/18/2023,$83.97,1953016,$84.32,$84.7252,$83.65
12/15/2023,$84.28,5120499,$84.84,$85.42,$84.03
12/14/2023,$85.33,3462015,$86.54,$87.93,$85.13
12/13/2023,$85.43,3645247,$82.25,$85.47,$82.18
12/12/2023,$82.63,2107914,$82.05,$82.63,$81.29
12/11/2023,$81.99,2399967,$81.00,$82.73,$80.965
12/08/2023,$80.59,2359958,$78.48,$80.75,$78.38
12/07/2023,$78.78,2238362,$78.23,$79.57,$78.10
12/06/2023,$77.81,2522814,$78.14,$79.36,$77.71
12/05/2023,$76.96,1808045,$78.14,$78.365,$76.87
12/04/2023,$78.59,1450152,$78.63,$79.24,$78.1126
12/01/2023,$79.18,2030011,$78.91,$79.40,$78.26
11/30/2023,$79.10,3095225,$78.50,$79.42,$77.98
11/29/2023,$78.48,2052757,$78.35,$79.04,$77.92
11/28/2023,$76.95,1279095,$76.98,$77.385,$76.30
11/27/2023,$77.56,1923357,$76.50,$78.135,$76.375
11/24/2023,$76.08,647464,$75.64,$76.44,$75.64
11/22/2023,$76.55,936756,$76.11,$77.33,$76.11
11/21/2023,$76.06,1725307,$76.80,$76.855,$75.52
11/20/2023,$77.06,1512677,$75.88,$77.245,$75.685
11/17/2023,$75.88,1478630,$76.00,$76.2299,$75.41
11/16/2023,$75.59,1738755,$74.33,$75.64,$74.33
11/15/2023,$74.55,1891929,$74.75,$75.07,$74.06
11/14/2023,$74.61,2673150,$73.50,$74.808,$73.20
11/13/2023,$72.47,2538572,$72.36,$72.84,$71.67
11/10/2023,$72.42,1964758,$72.56,$72.56,$71.07
11/09/2023,$72.00,2333565,$71.87,$73.06,$71.61
