Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.82,7243702,$37.27,$38.91,$37.24
01/04/2024,$37.44,2782076,$37.43,$37.89,$37.29
01/03/2024,$37.45,3244986,$37.49,$38.055,$37.14
01/02/2024,$37.96,4146131,$37.93,$38.25,$37.69
12/29/2023,$38.19,2527223,$38.29,$38.45,$37.965
12/28/2023,$38.37,1792737,$38.34,$38.51,$38.225
12/27/2023,$38.35,1722713,$38.18,$38.405,$38.045
12/26/2023,$38.27,1939456,$38.13,$38.335,$37.91
12/22/2023,$37.94,2337439,$38.27,$38.44,$37.84
12/21/2023,$38.05,3414149,$37.65,$38.26,$37.54
12/20/2023,$37.33,4840707,$38.20,$38.585,$37.31
12/19/2023,$38.23,3874916,$37.47,$38.40,$37.46
12/18/2023,$37.55,4491341,$37.71,$37.855,$37.085
12/15/2023,$37.12,8909051,$37.12,$37.685,$36.745
12/14/2023,$37.74,7350433,$37.25,$38.165,$37.16
12/13/2023,$36.83,8130148,$35.57,$37.08,$35.23
12/12/2023,$35.60,5660756,$35.28,$36.005,$35.28
12/11/2023,$35.45,3952524,$35.24,$35.96,$35.12
12/08/2023,$35.29,4215602,$34.90,$35.43,$34.71
12/07/2023,$34.90,3894101,$34.50,$34.975,$34.425
12/06/2023,$34.30,4369833,$34.37,$34.9421,$34.26
12/05/2023,$33.98,4924164,$33.76,$34.23,$33.58
12/04/2023,$33.97,4350151,$33.60,$34.50,$33.51
12/01/2023,$33.83,6094965,$32.36,$34.14,$32.36
11/30/2023,$32.36,10065200,$31.43,$32.45,$31.26
11/29/2023,$31.22,4636616,$31.09,$31.94,$31.09
11/28/2023,$30.89,5634917,$29.75,$30.93,$29.65
11/27/2023,$29.39,3931029,$29.62,$29.67,$29.145
11/24/2023,$29.83,1313017,$29.78,$29.94,$29.63
11/22/2023,$29.68,2257431,$29.75,$29.87,$29.44
11/21/2023,$29.47,3038558,$29.69,$29.80,$29.36
11/20/2023,$29.82,3496413,$29.81,$29.91,$29.52
11/17/2023,$29.88,3701422,$29.29,$29.89,$29.10
11/16/2023,$28.91,4851007,$29.72,$29.89,$28.84
11/15/2023,$29.76,4657631,$30.17,$30.30,$29.65
11/14/2023,$30.30,3962709,$30.16,$30.665,$29.86
11/13/2023,$29.46,2791698,$29.48,$29.725,$29.26
11/10/2023,$29.57,2866434,$29.26,$29.595,$29.022
11/09/2023,$29.15,3238247,$29.51,$29.555,$29.05
11/08/2023,$29.32,4057610,$29.29,$29.435,$29.09
11/07/2023,$29.35,3067306,$29.36,$29.45,$29.065
11/06/2023,$29.51,3890901,$30.05,$30.22,$29.145
11/03/2023,$30.15,4226937,$29.60,$30.36,$29.52
11/02/2023,$29.08,3555297,$28.47,$29.09,$28.24
11/01/2023,$27.97,4148422,$28.14,$28.35,$27.68
10/31/2023,$28.05,3936146,$28.32,$28.41,$27.965
10/30/2023,$28.33,3511473,$28.37,$28.59,$28.00
10/27/2023,$28.09,5471702,$28.10,$28.92,$27.99
10/26/2023,$28.00,5425219,$27.71,$28.34,$27.645
10/25/2023,$27.70,6589075,$27.71,$28.21,$27.42
10/24/2023,$27.37,8300045,$29.00,$29.20,$27.295
10/23/2023,$28.62,7068457,$28.35,$29.065,$28.2207
10/20/2023,$28.37,4711671,$28.72,$28.95,$28.15
10/19/2023,$28.76,5585308,$29.51,$29.795,$28.76
10/18/2023,$29.90,3755395,$30.12,$30.23,$29.675
10/17/2023,$30.50,4029934,$29.38,$30.545,$29.30
10/16/2023,$29.65,3613568,$29.23,$29.665,$29.05
10/13/2023,$28.87,3102109,$29.67,$29.815,$28.685
