Date,Close/Last,Volume,Open,High,Low
01/05/2024,$12.64,5586739,$12.55,$12.825,$12.485
01/04/2024,$12.59,7084662,$12.37,$12.77,$12.28
01/03/2024,$12.37,7953134,$11.80,$12.4799,$11.61
01/02/2024,$11.79,8519345,$12.54,$12.68,$11.67
12/29/2023,$12.63,9550707,$11.90,$13.16,$11.83
12/28/2023,$11.80,6171091,$12.02,$12.2693,$11.75
12/27/2023,$11.81,6233337,$12.14,$12.30,$11.81
12/26/2023,$11.96,3985340,$12.04,$12.24,$11.78
12/22/2023,$12.09,12141230,$11.44,$12.16,$11.30
12/21/2023,$12.56,5094952,$12.42,$12.6194,$12.27
12/20/2023,$12.18,5393058,$12.27,$12.68,$12.18
12/19/2023,$12.45,5451663,$12.26,$12.94,$12.26
12/18/2023,$12.29,6755053,$12.98,$12.98,$12.16
12/15/2023,$12.85,8451439,$13.36,$13.485,$12.57
12/14/2023,$13.10,10116160,$12.45,$13.42,$12.45
12/13/2023,$12.45,8626278,$12.25,$12.63,$12.16
12/12/2023,$12.17,6933399,$11.69,$12.451,$11.66
12/11/2023,$11.65,9373096,$11.14,$11.935,$11.02
12/08/2023,$11.14,7141566,$11.02,$11.36,$10.99
12/07/2023,$11.24,8800083,$11.39,$11.68,$11.00
12/06/2023,$11.15,8964323,$11.45,$11.98,$11.09
12/05/2023,$11.27,7629785,$11.18,$11.55,$11.081
12/04/2023,$11.57,9521999,$12.14,$12.20,$11.47
12/01/2023,$12.21,8642443,$12.29,$12.48,$12.06
11/30/2023,$12.53,14146990,$12.04,$12.705,$11.84
11/29/2023,$12.00,14203300,$11.17,$12.235,$11.17
11/28/2023,$11.40,16136850,$11.01,$11.77,$10.895
11/27/2023,$10.90,9971217,$11.09,$11.23,$10.85
11/24/2023,$11.39,15681060,$9.92,$11.42,$9.89
11/22/2023,$9.85,4660275,$9.81,$9.995,$9.70
11/21/2023,$9.70,4108953,$9.97,$10.10,$9.69
11/20/2023,$9.86,15629770,$9.80,$10.25,$9.80
11/17/2023,$9.50,2666473,$9.43,$9.63,$9.41
11/16/2023,$9.50,8264141,$9.33,$9.77,$9.19
11/15/2023,$9.61,10715880,$9.50,$9.79,$9.33
11/14/2023,$9.47,5257750,$9.76,$9.86,$9.17
