Date,Close/Last,Volume,Open,High,Low
10/20/2023,$39.37,2194999,$39.50,$40.02,$39.275
10/19/2023,$39.92,4224406,$40.86,$41.06,$39.75
10/18/2023,$41.03,2863247,$40.46,$41.68,$40.44
10/17/2023,$40.96,3465088,$39.50,$41.04,$39.45
10/16/2023,$40.09,3519437,$39.30,$40.48,$39.04
10/13/2023,$38.91,2173996,$39.80,$39.92,$38.805
10/12/2023,$39.34,3565380,$41.24,$41.24,$38.82
10/11/2023,$41.14,1574418,$41.70,$41.845,$40.945
10/10/2023,$41.49,2603508,$41.20,$41.915,$41.20
10/09/2023,$41.02,1452663,$40.30,$41.12,$40.29
10/06/2023,$40.88,2961066,$40.33,$41.335,$40.12
10/05/2023,$39.97,2616462,$39.11,$40.0975,$38.94
10/04/2023,$39.41,3073766,$39.88,$40.00,$38.98
10/03/2023,$39.93,3574325,$40.56,$41.21,$39.88
10/02/2023,$41.60,4542580,$42.16,$42.67,$41.385
09/29/2023,$43.09,3645253,$43.00,$43.325,$42.63
09/28/2023,$42.50,3499046,$41.31,$42.65,$41.04
09/27/2023,$40.63,2938209,$40.99,$40.99,$40.04
09/26/2023,$40.31,2344453,$41.14,$41.34,$40.24
09/25/2023,$41.02,2595803,$39.40,$41.09,$39.32
09/22/2023,$39.99,2381111,$40.84,$42.10,$39.905
09/21/2023,$40.13,4950471,$41.06,$41.19,$39.91
09/20/2023,$41.99,2623534,$42.72,$43.15,$41.91
09/19/2023,$42.52,2563743,$43.48,$43.5994,$42.47
09/18/2023,$43.30,2493941,$43.94,$43.95,$42.86
09/15/2023,$43.99,3441202,$43.85,$44.45,$43.68
09/14/2023,$43.79,5668680,$43.11,$43.95,$42.93
09/13/2023,$42.25,3346595,$42.06,$42.68,$41.93
09/12/2023,$41.96,2710438,$42.09,$42.49,$41.925
09/11/2023,$42.04,4177896,$41.31,$42.08,$41.19
09/08/2023,$40.31,2863133,$40.05,$40.42,$39.94
09/07/2023,$40.26,2293905,$40.36,$40.83,$40.081
09/06/2023,$41.09,1937869,$41.36,$41.64,$40.79
09/05/2023,$41.80,2641447,$42.05,$42.65,$41.79
09/01/2023,$42.50,3187623,$42.22,$42.825,$42.05
08/31/2023,$41.32,2161829,$41.50,$41.86,$41.20
08/30/2023,$41.33,1864833,$41.32,$41.73,$41.1119
08/29/2023,$41.15,1912175,$40.25,$41.215,$39.96
08/28/2023,$40.17,1451045,$40.41,$40.71,$40.00
08/25/2023,$39.97,2405818,$39.95,$40.34,$39.61
08/24/2023,$39.84,2218679,$40.10,$40.39,$39.78
08/23/2023,$40.71,1963343,$40.53,$41.01,$40.15
08/22/2023,$40.39,3928637,$40.02,$40.755,$39.80
08/21/2023,$39.55,2108688,$39.16,$39.79,$39.14
08/18/2023,$39.09,4036634,$38.13,$39.38,$37.75
08/17/2023,$38.63,5140135,$38.64,$39.3599,$38.20
08/16/2023,$37.26,4595752,$37.64,$37.85,$37.09
08/15/2023,$37.94,6020480,$39.22,$39.43,$37.66
08/14/2023,$39.84,2984367,$39.76,$40.25,$39.58
08/11/2023,$40.35,4073829,$40.45,$40.46,$39.56
08/10/2023,$40.60,3697921,$42.02,$42.02,$40.28
08/09/2023,$41.50,1978210,$42.09,$42.15,$41.38
08/08/2023,$41.83,2502325,$40.99,$42.065,$40.82
08/07/2023,$42.04,1708082,$42.00,$42.22,$41.72
08/04/2023,$41.94,2285676,$42.30,$42.45,$41.81
08/03/2023,$42.15,3054761,$41.92,$42.44,$41.10
08/02/2023,$42.14,3919032,$42.51,$42.60,$41.655
08/01/2023,$43.37,3224065,$43.60,$43.685,$42.66
07/31/2023,$44.43,2895792,$44.17,$44.89,$43.93
07/28/2023,$43.69,3656360,$43.00,$43.92,$42.71
07/27/2023,$42.15,4324171,$42.50,$43.45,$41.69
07/26/2023,$42.14,3561843,$42.835,$42.89,$41.985
07/25/2023,$43.64,3842233,$43.55,$44.37,$43.26
07/24/2023,$42.83,2938603,$42.02,$43.295,$41.7583
07/21/2023,$42.03,2040141,$42.24,$42.32,$41.86
07/20/2023,$42.21,2490214,$42.77,$42.91,$42.16
07/19/2023,$42.25,1460646,$41.99,$42.36,$41.79
07/18/2023,$42.14,2418209,$41.65,$42.34,$41.53
07/17/2023,$41.65,3694610,$40.81,$42.055,$40.76
07/14/2023,$41.52,2517609,$42.00,$42.17,$41.22
07/13/2023,$42.10,2646039,$42.48,$42.87,$41.92
07/12/2023,$42.01,3285958,$42.97,$43.24,$41.975
07/11/2023,$41.77,2790984,$41.48,$41.845,$41.38
07/10/2023,$41.76,7665906,$40.18,$42.025,$40.05
07/07/2023,$41.17,5782211,$39.19,$41.635,$39.19
07/06/2023,$39.22,5603249,$40.15,$40.23,$38.68
07/05/2023,$40.74,4149811,$41.88,$41.89,$40.7187
07/03/2023,$42.50,962127,$42.47,$42.84,$42.14
06/30/2023,$42.10,4308662,$41.55,$42.355,$41.27
06/29/2023,$40.92,1936636,$40.86,$40.965,$40.4408
