Date,Close/Last,Volume,Open,High,Low
01/05/2024,$42.88,687764,$43.25,$43.555,$42.71
01/04/2024,$43.57,551234,$43.82,$43.86,$43.09
01/03/2024,$43.40,730440,$43.67,$44.47,$43.10
01/02/2024,$43.97,811530,$45.32,$45.52,$43.74
12/29/2023,$46.06,523985,$46.88,$46.94,$45.92
12/28/2023,$46.95,409874,$47.14,$47.255,$46.75
12/27/2023,$47.27,498072,$47.50,$47.61,$47.06
12/26/2023,$47.52,340920,$47.24,$47.60,$46.91
12/22/2023,$47.08,1065372,$46.29,$47.16,$46.16
12/21/2023,$46.11,552279,$45.45,$46.27,$45.074
12/20/2023,$45.04,773947,$45.14,$46.18,$44.99
12/19/2023,$45.47,731715,$44.95,$45.54,$44.74
12/18/2023,$44.57,754359,$44.95,$44.95,$44.02
12/15/2023,$44.58,3071993,$43.42,$44.99,$42.50
12/14/2023,$42.79,1668329,$42.45,$43.49,$42.445
12/13/2023,$41.98,900947,$42.00,$42.83,$41.44
12/12/2023,$42.00,668765,$41.73,$42.03,$41.25
12/11/2023,$41.71,1102638,$41.32,$41.74,$41.12
12/08/2023,$41.15,517502,$40.76,$41.23,$40.55
12/07/2023,$40.81,657759,$41.25,$41.285,$40.36
12/06/2023,$41.32,588568,$41.77,$42.38,$41.32
12/05/2023,$41.46,795551,$40.90,$41.47,$40.74
12/04/2023,$41.13,1206639,$40.37,$41.14,$39.88
12/01/2023,$40.77,2217975,$41.40,$41.81,$40.33
11/30/2023,$41.39,970452,$41.80,$41.8986,$40.75
11/29/2023,$41.68,1005036,$41.45,$42.20,$41.255
11/28/2023,$40.99,891124,$42.06,$42.40,$40.69
11/27/2023,$41.73,1465759,$39.61,$41.80,$39.38
11/24/2023,$39.62,238243,$39.52,$39.78,$39.29
11/22/2023,$39.49,616120,$39.68,$40.22,$39.44
11/21/2023,$39.43,736731,$39.36,$39.865,$39.08
11/20/2023,$39.54,818940,$39.61,$40.03,$39.36
