Date,Close/Last,Volume,Open,High,Low
01/05/2024,$75.91,1250021,$73.85,$76.58,$73.21
01/04/2024,$74.17,692866,$74.24,$75.67,$74.01
01/03/2024,$74.20,934765,$74.87,$75.44,$73.35
01/02/2024,$76.03,999115,$75.19,$77.25,$74.14
12/29/2023,$75.57,448843,$75.99,$76.60,$75.16
12/28/2023,$76.25,446858,$75.85,$76.91,$75.76
12/27/2023,$76.32,431923,$77.22,$77.83,$75.91
12/26/2023,$76.82,329643,$76.06,$77.31,$75.92
12/22/2023,$75.75,383965,$76.10,$76.28,$75.25
12/21/2023,$75.88,774625,$74.52,$76.16,$74.52
12/20/2023,$73.62,617453,$75.50,$75.91,$73.54
12/19/2023,$75.56,651638,$75.08,$76.44,$75.08
12/18/2023,$74.98,667809,$75.95,$76.68,$74.82
12/15/2023,$75.36,1989429,$76.64,$77.04,$75.30
12/14/2023,$77.01,2011215,$75.83,$78.545,$75.79
12/13/2023,$74.25,861434,$71.13,$74.61,$71.08
12/12/2023,$71.26,733083,$72.10,$72.40,$70.92
12/11/2023,$71.87,1036588,$71.49,$72.23,$70.76
12/08/2023,$71.55,1717047,$68.92,$71.72,$68.84
12/07/2023,$68.94,1051644,$69.79,$69.85,$67.784
12/06/2023,$69.46,755729,$70.54,$71.645,$69.18
12/05/2023,$70.18,785476,$71.68,$72.06,$70.095
12/04/2023,$72.31,1756553,$70.75,$72.67,$70.46
12/01/2023,$71.01,2405675,$68.92,$72.30,$68.19
11/30/2023,$69.01,2167657,$67.16,$69.255,$66.645
11/29/2023,$67.37,1460230,$67.06,$69.00,$67.06
11/28/2023,$66.46,1094479,$66.40,$67.25,$65.90
11/27/2023,$66.60,1638085,$67.21,$67.98,$66.39
11/24/2023,$68.00,417262,$67.51,$68.13,$67.09
11/22/2023,$67.73,1721003,$66.85,$68.41,$66.6337
11/21/2023,$66.18,2016242,$64.78,$67.57,$64.65
11/20/2023,$64.95,2276394,$62.83,$67.51,$62.70
11/17/2023,$63.74,4096680,$63.16,$66.24,$62.67
11/16/2023,$58.14,876549,$58.39,$58.8026,$57.65
11/15/2023,$58.65,1691883,$58.32,$60.185,$58.32
11/14/2023,$58.46,1677138,$57.12,$58.70,$56.91
11/13/2023,$54.87,1685715,$54.62,$55.80,$53.63
11/10/2023,$53.79,1494912,$52.76,$54.06,$52.08
11/09/2023,$52.66,1275851,$54.74,$54.85,$52.42
11/08/2023,$54.62,1625283,$55.98,$56.22,$54.47
11/07/2023,$55.60,1025067,$54.51,$55.72,$54.14
11/06/2023,$54.61,1062254,$55.20,$55.375,$53.95
11/03/2023,$54.92,2141947,$55.00,$55.38,$53.51
11/02/2023,$53.96,2342254,$53.93,$54.85,$53.00
11/01/2023,$53.09,1905285,$53.32,$53.77,$51.83
10/31/2023,$53.70,3237952,$52.57,$55.00,$51.04
10/30/2023,$53.25,1869749,$53.74,$54.05,$52.44
10/27/2023,$53.12,1736886,$53.84,$54.275,$52.80
10/26/2023,$53.41,1327270,$53.81,$54.51,$53.16
10/25/2023,$53.90,1417119,$55.55,$55.59,$53.84
10/24/2023,$56.05,2415544,$53.00,$56.77,$52.10
10/23/2023,$54.66,1259671,$54.24,$55.59,$54.00
10/20/2023,$54.57,1139282,$57.05,$57.05,$54.47
