Date,Close/Last,Volume,Open,High,Low
10/23/2023,$116.00,183051,$114.51,$116.24,$113.92
10/20/2023,$115.21,151541,$117.16,$117.54,$115.14
10/19/2023,$116.82,290936,$117.39,$119.2781,$115.77
10/18/2023,$121.65,227927,$121.64,$122.38,$120.88
10/17/2023,$121.95,249163,$118.19,$122.04,$118.19
10/16/2023,$118.32,236383,$115.23,$118.44,$115.23
10/13/2023,$114.73,252566,$112.57,$114.78,$112.57
10/12/2023,$111.77,216425,$111.41,$111.82,$109.55
10/11/2023,$110.99,222614,$109.28,$111.09,$109.0426
10/10/2023,$109.40,288433,$111.70,$111.93,$109.11
10/09/2023,$111.30,180915,$110.57,$112.30,$110.03
10/06/2023,$111.08,162832,$111.08,$112.44,$110.8901
10/05/2023,$111.50,139829,$110.99,$112.07,$110.41
10/04/2023,$110.96,163790,$110.33,$112.26,$109.7525
10/03/2023,$110.33,158250,$109.71,$110.59,$108.82
10/02/2023,$109.95,194397,$110.28,$110.28,$108.03
09/29/2023,$110.98,219443,$111.91,$112.30,$110.94
09/28/2023,$111.04,138440,$110.84,$111.88,$110.08
09/27/2023,$110.56,183860,$111.41,$111.41,$109.505
09/26/2023,$111.46,170242,$112.59,$113.10,$111.42
09/25/2023,$113.11,96139,$111.95,$113.44,$111.788
09/22/2023,$112.44,109373,$112.74,$113.45,$112.14
09/21/2023,$112.85,142402,$113.10,$113.53,$112.22
09/20/2023,$113.31,181514,$112.48,$114.09,$112.48
09/19/2023,$112.09,222615,$112.82,$113.7202,$112.05
09/18/2023,$112.53,229511,$110.82,$112.865,$109.86
09/15/2023,$111.06,442060,$111.23,$111.71,$110.19
09/14/2023,$111.05,280918,$109.55,$111.07,$108.97
09/13/2023,$109.63,238732,$109.48,$109.74,$108.34
09/12/2023,$108.90,204086,$106.50,$109.07,$106.50
09/11/2023,$106.47,246213,$105.05,$106.8513,$103.825
09/08/2023,$104.50,155388,$106.92,$106.92,$103.98
09/07/2023,$106.66,383649,$106.34,$107.60,$106.29
09/06/2023,$106.30,137467,$106.94,$107.26,$105.70
09/05/2023,$106.73,154186,$107.42,$108.30,$105.74
09/01/2023,$108.35,118547,$107.67,$109.17,$107.29
08/31/2023,$106.72,225727,$107.41,$108.26,$106.63
08/30/2023,$106.00,112259,$105.62,$106.45,$105.58
08/29/2023,$105.69,103297,$105.77,$105.88,$104.9217
08/28/2023,$105.53,125967,$105.58,$106.91,$104.965
08/25/2023,$105.59,185339,$105.15,$106.28,$104.23
08/24/2023,$104.50,145539,$104.06,$106.035,$103.90
08/23/2023,$104.50,200631,$104.03,$105.065,$104.03
08/22/2023,$104.25,210173,$105.97,$107.13,$104.03
08/21/2023,$106.15,225218,$106.55,$106.84,$106.04
08/18/2023,$106.78,128639,$106.57,$107.85,$105.765
08/17/2023,$106.73,128644,$109.23,$109.26,$106.72
08/16/2023,$108.76,151859,$108.30,$109.75,$108.30
08/15/2023,$108.71,140588,$108.37,$109.12,$107.58
08/14/2023,$109.99,223190,$109.40,$110.47,$107.68
08/11/2023,$109.27,157112,$110.50,$111.10,$109.15
08/10/2023,$110.55,102798,$110.72,$112.04,$110.12
08/09/2023,$110.88,104518,$111.40,$112.17,$110.18
08/08/2023,$111.97,137058,$112.35,$113.13,$111.52
08/07/2023,$113.56,228145,$112.73,$114.911,$112.21
08/04/2023,$112.34,216457,$110.95,$112.94,$110.32
08/03/2023,$111.30,261543,$112.48,$113.38,$110.22
08/02/2023,$113.66,214263,$112.48,$114.28,$112.11
08/01/2023,$113.40,131500,$113.25,$114.35,$112.76
07/31/2023,$113.48,181754,$113.11,$115.21,$112.73
07/28/2023,$113.29,132892,$114.52,$114.73,$113.0601
07/27/2023,$113.47,169346,$114.44,$114.94,$112.92
07/26/2023,$114.26,154948,$112.84,$115.08,$112.84
07/25/2023,$112.34,178348,$113.23,$114.17,$112.25
07/24/2023,$113.37,264372,$110.33,$113.49,$109.905
07/21/2023,$110.48,190803,$112.60,$112.88,$110.33
07/20/2023,$112.47,207581,$112.35,$113.085,$111.87
07/19/2023,$112.16,110146,$111.62,$112.62,$111.26
07/18/2023,$111.32,154563,$110.44,$112.55,$110.44
07/17/2023,$110.76,150920,$109.78,$111.72,$109.78
07/14/2023,$109.65,213184,$110.76,$110.9099,$108.7075
07/13/2023,$110.79,135108,$110.83,$111.79,$110.54
07/12/2023,$111.52,202215,$112.61,$112.62,$111.24
07/11/2023,$111.85,101882,$111.82,$113.00,$111.6876
07/10/2023,$111.83,158107,$112.45,$114.28,$111.75
07/07/2023,$113.10,257652,$112.20,$114.03,$112.17
07/06/2023,$112.54,211372,$111.82,$112.815,$110.483
07/05/2023,$110.76,222263,$112.09,$112.09,$109.97
07/03/2023,$113.17,65144,$112.64,$113.8197,$112.62
06/30/2023,$113.03,230446,$112.41,$113.77,$112.2525
06/29/2023,$111.98,131420,$110.74,$112.14,$110.74
06/28/2023,$110.25,237424,$111.50,$111.50,$109.13
06/27/2023,$111.82,119167,$111.24,$112.74,$110.905
06/26/2023,$111.30,146887,$110.77,$111.565,$109.845
06/23/2023,$110.41,375392,$111.83,$112.35,$110.00
06/22/2023,$112.32,156821,$114.53,$114.53,$111.94
06/21/2023,$113.88,169189,$114.00,$114.00,$111.99
06/20/2023,$113.93,173197,$114.89,$114.995,$113.03
06/16/2023,$115.30,386839,$114.59,$115.78,$114.00
06/15/2023,$113.82,141792,$112.02,$114.21,$112.02
06/14/2023,$112.93,179635,$114.47,$115.065,$112.47
06/13/2023,$114.45,190784,$114.27,$116.29,$114.19
06/12/2023,$114.45,152248,$115.81,$116.145,$114.214
06/09/2023,$115.62,228937,$114.33,$115.84,$114.33
06/08/2023,$114.29,77983,$115.43,$116.81,$113.865
06/07/2023,$115.92,170843,$114.01,$116.39,$113.45
06/06/2023,$113.89,138079,$112.48,$114.18,$112.48
06/05/2023,$112.83,127331,$114.32,$114.97,$112.565
06/02/2023,$115.12,164207,$112.98,$115.285,$112.6903
06/01/2023,$112.18,143059,$111.58,$112.535,$110.77
05/31/2023,$111.46,290322,$113.17,$114.43,$111.15
05/30/2023,$113.62,162461,$112.19,$113.93,$111.92
05/26/2023,$112.32,186298,$111.75,$113.29,$111.045
05/25/2023,$111.87,169300,$113.96,$114.235,$111.4427
05/24/2023,$114.32,224416,$116.78,$116.905,$113.89
05/23/2023,$117.21,203650,$118.12,$119.17,$116.52
05/22/2023,$118.25,155118,$118.78,$119.2392,$117.00
05/19/2023,$119.10,105150,$120.54,$120.685,$118.75
05/18/2023,$119.52,188201,$117.62,$119.61,$116.04
05/17/2023,$120.19,179809,$120.00,$120.575,$118.98
05/16/2023,$119.61,100489,$119.84,$120.31,$118.89
05/15/2023,$120.19,109895,$120.35,$120.54,$119.125
05/12/2023,$119.87,133189,$120.24,$121.08,$118.205
05/11/2023,$119.41,107869,$119.61,$120.14,$118.54
05/10/2023,$119.97,117937,$120.84,$120.84,$118.29
