Date,Close/Last,Volume,Open,High,Low
10/20/2023,$89.10,4166212,$89.96,$90.00,$88.87
10/19/2023,$89.83,4276234,$90.53,$90.94,$89.08
10/18/2023,$90.45,3701125,$90.33,$91.18,$90.26
10/17/2023,$90.61,4373488,$89.57,$90.96,$89.34
10/16/2023,$89.68,6125159,$89.00,$90.31,$88.89
10/13/2023,$88.60,2846084,$88.93,$89.16,$88.225
10/12/2023,$88.92,2808300,$89.38,$89.56,$88.23
10/11/2023,$89.25,3916057,$89.20,$89.57,$88.59
10/10/2023,$88.65,5785965,$88.89,$89.64,$88.44
10/09/2023,$88.71,3487088,$87.87,$88.725,$87.3359
10/06/2023,$88.56,3947326,$87.76,$89.06,$86.71
10/05/2023,$87.83,3649506,$88.18,$88.47,$87.471
10/04/2023,$88.04,4349415,$87.90,$88.37,$87.02
10/03/2023,$87.85,5094550,$88.83,$89.34,$87.29
10/02/2023,$88.68,4685752,$88.55,$89.605,$88.35
09/29/2023,$88.88,5420858,$89.85,$90.08,$88.80
09/28/2023,$89.58,6608693,$88.59,$89.64,$88.59
09/27/2023,$88.11,4913662,$88.10,$88.86,$87.465
09/26/2023,$87.87,3867290,$88.40,$88.78,$87.82
09/25/2023,$88.26,4273485,$88.89,$89.21,$88.06
09/22/2023,$89.16,4352385,$89.11,$89.90,$88.94
09/21/2023,$89.17,4975616,$90.38,$90.60,$88.945
09/20/2023,$90.66,5078455,$91.15,$91.56,$90.57
09/19/2023,$91.00,6972559,$91.81,$92.11,$90.47
09/18/2023,$91.94,4274116,$92.37,$92.97,$91.785
09/15/2023,$92.44,7606897,$93.225,$93.40,$92.325
09/14/2023,$93.59,5182689,$92.60,$93.78,$92.42
09/13/2023,$92.92,5481913,$92.56,$92.995,$92.19
09/12/2023,$92.18,3678385,$91.46,$92.315,$91.42
09/11/2023,$91.58,4042222,$91.82,$92.03,$91.235
09/08/2023,$91.45,4720603,$91.65,$92.14,$91.38
09/07/2023,$91.45,4940915,$90.89,$91.73,$90.79
09/06/2023,$90.76,6003515,$91.49,$91.59,$90.49
09/05/2023,$91.62,4171021,$92.50,$92.50,$91.55
09/01/2023,$92.64,4450876,$92.50,$92.80,$92.04
08/31/2023,$92.48,6427610,$91.99,$92.8656,$91.89
