Date,Close/Last,Volume,Open,High,Low
01/05/2024,$78.63,1070493,$78.70,$79.34,$78.08
01/04/2024,$78.87,738391,$79.77,$80.00,$78.55
01/03/2024,$79.38,1019770,$79.93,$80.27,$78.94
01/02/2024,$80.34,768383,$81.02,$81.50,$79.86
12/29/2023,$81.58,927775,$81.18,$81.83,$80.09
12/28/2023,$81.44,1016419,$81.03,$81.85,$80.79
12/27/2023,$80.99,735349,$79.90,$81.00,$79.90
12/26/2023,$79.72,1361081,$78.76,$80.02,$78.60
12/22/2023,$78.84,656419,$79.58,$79.79,$78.51
12/21/2023,$79.02,701090,$77.95,$79.22,$77.49
12/20/2023,$77.66,961460,$78.70,$79.78,$77.64
12/19/2023,$79.03,2130346,$75.80,$79.44,$75.78
12/18/2023,$76.69,1152375,$76.30,$77.60,$75.63
12/15/2023,$75.99,2639285,$75.01,$76.17,$74.56
12/14/2023,$75.13,1800332,$74.59,$75.30,$74.25
12/13/2023,$73.63,1328008,$73.72,$73.83,$72.3416
12/12/2023,$73.82,1023067,$73.46,$74.73,$72.625
12/11/2023,$73.30,1104314,$73.77,$74.10,$72.87
12/08/2023,$73.77,1035208,$72.46,$73.98,$72.335
12/07/2023,$72.80,1075833,$73.43,$73.62,$72.34
12/06/2023,$73.17,1100488,$74.22,$74.76,$73.155
12/05/2023,$73.95,1962989,$75.35,$75.355,$73.43
12/04/2023,$75.50,1217068,$78.23,$78.23,$75.44
12/01/2023,$78.24,769476,$77.06,$78.25,$76.385
11/30/2023,$77.33,1397970,$77.41,$77.89,$76.265
11/29/2023,$77.68,1064492,$78.00,$78.56,$76.62
11/28/2023,$78.18,923244,$79.23,$79.23,$77.59
11/27/2023,$79.23,2219945,$78.27,$79.26,$78.0792
11/24/2023,$78.50,409111,$78.10,$79.25,$77.5001
11/22/2023,$78.46,912128,$78.19,$79.54,$77.89
11/21/2023,$78.31,1059607,$77.87,$78.5406,$77.50
11/20/2023,$77.86,1366898,$78.35,$78.98,$76.50
11/17/2023,$78.32,877672,$78.29,$78.60,$77.103
11/16/2023,$78.12,1360836,$78.04,$78.52,$77.55
11/15/2023,$78.05,2742535,$79.30,$79.39,$76.26
11/14/2023,$79.90,1848129,$81.00,$81.00,$79.04
11/13/2023,$79.97,4245022,$78.78,$80.35,$78.38
11/10/2023,$79.26,7239153,$77.24,$79.78,$77.00
11/09/2023,$84.90,938140,$85.55,$86.10,$84.63
11/08/2023,$84.60,1182474,$86.675,$87.67,$84.27
11/07/2023,$85.66,958957,$84.41,$86.55,$84.06
11/06/2023,$84.61,955879,$85.61,$85.61,$84.03
11/03/2023,$84.93,641803,$84.98,$85.45,$83.93
11/02/2023,$83.46,484000,$83.11,$84.29,$82.335
11/01/2023,$82.39,642633,$82.04,$83.00,$81.42
10/31/2023,$81.98,652372,$82.82,$83.17,$81.50
10/30/2023,$82.91,548318,$82.42,$83.51,$81.55
10/27/2023,$81.97,912065,$82.54,$85.40,$81.31
10/26/2023,$81.11,1454251,$79.17,$82.50,$78.62
10/25/2023,$78.64,471426,$78.73,$80.15,$78.01
10/24/2023,$80.50,1121440,$79.77,$80.53,$78.47
10/23/2023,$78.84,715307,$77.20,$79.73,$77.07
10/20/2023,$77.97,702021,$76.60,$78.04,$76.31
10/19/2023,$76.57,1474445,$76.74,$78.00,$76.31
10/18/2023,$76.87,573086,$79.00,$80.05,$76.82
10/17/2023,$79.87,1122222,$79.60,$80.91,$79.34
10/16/2023,$80.30,1014110,$78.23,$80.75,$78.23
10/13/2023,$77.63,1330345,$80.72,$80.74,$77.61
10/12/2023,$79.93,855336,$80.09,$80.78,$79.41
10/11/2023,$80.23,1813012,$81.99,$81.99,$79.13
10/10/2023,$82.06,445263,$82.96,$83.25,$82.02
10/09/2023,$82.92,464118,$81.42,$83.504,$81.42
10/06/2023,$81.99,570515,$81.99,$82.71,$80.95
10/05/2023,$82.17,661801,$83.37,$85.10,$82.02
10/04/2023,$83.43,977278,$84.23,$84.23,$82.0401
10/03/2023,$84.49,1025517,$84.50,$85.58,$84.10
10/02/2023,$85.00,1166736,$84.35,$85.27,$82.8701
09/29/2023,$84.06,1225368,$82.53,$84.95,$82.33
09/28/2023,$82.47,1091572,$80.71,$82.5275,$80.43
09/27/2023,$80.82,1254620,$81.33,$82.06,$80.535
09/26/2023,$81.06,1325208,$81.49,$82.05,$80.43
09/25/2023,$82.17,1315499,$83.43,$83.87,$81.75
09/22/2023,$83.79,1932891,$86.43,$86.94,$83.08
09/21/2023,$85.97,5660193,$96.16,$96.16,$84.83
09/20/2023,$104.73,812525,$105.71,$105.94,$104.24
09/19/2023,$105.50,1280008,$103.96,$106.16,$102.98
09/18/2023,$104.13,1226948,$100.51,$104.46,$100.50
09/15/2023,$100.11,2453515,$101.28,$102.30,$98.65
09/14/2023,$100.76,1160691,$101.06,$102.98,$100.08
09/13/2023,$101.00,1733567,$104.50,$104.50,$100.00
09/12/2023,$103.05,617793,$102.00,$103.98,$100.00
09/11/2023,$100.65,1642135,$99.51,$101.94,$98.07
09/08/2023,$98.05,1327552,$101.04,$101.35,$97.07
09/07/2023,$99.41,1043837,$99.29,$101.41,$98.55
09/06/2023,$100.00,1164664,$100.70,$100.80,$98.04
09/05/2023,$100.07,1692387,$103.00,$103.00,$96.115
09/01/2023,$104.58,1922400,$98.00,$104.86,$97.32
08/31/2023,$96.55,5056652,$110.05,$110.05,$93.93
08/30/2023,$110.05,930926,$115.47,$115.56,$109.61
08/29/2023,$115.34,381337,$115.44,$116.48,$114.82
08/28/2023,$115.93,315631,$113.48,$116.375,$113.48
08/25/2023,$113.69,350007,$114.12,$114.92,$112.89
08/24/2023,$113.76,399242,$114.56,$118.04,$113.17
08/23/2023,$115.14,297665,$115.68,$116.86,$114.56
08/22/2023,$115.14,613319,$113.36,$115.66,$113.36
08/21/2023,$113.88,470611,$112.33,$113.93,$111.25
