Date,Close/Last,Volume,Open,High,Low
01/17/2024,$11.47,951184,$10.55,$11.6166,$10.48
01/16/2024,$10.56,488461,$10.75,$10.75,$9.715
01/12/2024,$10.94,833950,$10.60,$11.51,$10.60
01/11/2024,$10.60,1139533,$9.79,$10.83,$9.76
01/10/2024,$9.85,671228,$9.35,$9.95,$9.24
01/09/2024,$9.36,310197,$9.32,$9.46,$9.06
01/08/2024,$9.47,376752,$9.18,$9.68,$9.07
01/05/2024,$9.18,470194,$9.23,$9.24,$8.86
01/04/2024,$9.32,495006,$9.70,$9.7913,$9.19
01/03/2024,$9.64,341931,$10.01,$10.09,$9.56
01/02/2024,$9.98,413982,$9.80,$10.42,$9.7696
12/29/2023,$9.90,747105,$10.41,$10.41,$9.87
12/28/2023,$10.35,542768,$10.61,$10.73,$10.32
12/27/2023,$10.54,325481,$10.47,$10.66,$10.22
12/26/2023,$10.46,456910,$10.17,$10.60,$9.94
12/22/2023,$10.02,540697,$9.85,$10.25,$9.67
12/21/2023,$9.81,511619,$9.92,$10.15,$9.72
12/20/2023,$9.84,663480,$10.22,$10.48,$9.805
12/19/2023,$10.15,1143294,$10.45,$10.625,$10.01
12/18/2023,$10.40,433196,$10.62,$10.91,$10.38
12/15/2023,$10.64,877455,$10.35,$10.78,$10.18
12/14/2023,$10.19,942550,$10.11,$10.41,$9.97
12/13/2023,$10.00,684623,$9.55,$10.085,$9.39
12/12/2023,$9.50,594163,$9.40,$9.63,$9.22
12/11/2023,$9.30,794919,$9.24,$9.38,$8.74
12/08/2023,$9.18,581190,$8.85,$9.315,$8.62
12/07/2023,$8.55,498420,$8.39,$8.65,$8.19
12/06/2023,$8.35,557703,$7.85,$8.38,$7.822
12/05/2023,$8.07,577926,$7.68,$8.11,$7.615
12/04/2023,$7.73,339109,$7.80,$7.92,$7.49
12/01/2023,$7.76,452879,$7.49,$7.87,$7.44
11/30/2023,$7.60,726246,$7.60,$7.98,$7.505
11/29/2023,$7.50,536074,$7.52,$7.817,$7.39
11/28/2023,$7.52,249225,$7.50,$7.61,$7.425
11/27/2023,$7.55,1054138,$7.51,$7.66,$7.43
11/24/2023,$7.53,182051,$7.78,$7.96,$7.48
11/22/2023,$7.78,320863,$7.53,$7.845,$7.45
11/21/2023,$7.44,429219,$7.59,$7.60,$7.39
11/20/2023,$7.61,467239,$7.65,$7.92,$7.49
11/17/2023,$7.60,549279,$7.51,$7.63,$7.3665
11/16/2023,$7.51,664066,$7.34,$7.65,$7.17
11/15/2023,$7.235,1565066,$7.77,$7.96,$6.88
11/14/2023,$7.795,851990,$7.81,$8.00,$7.52
11/13/2023,$7.57,672596,$8.27,$8.27,$7.485
11/10/2023,$8.36,702083,$8.39,$8.465,$8.00
11/09/2023,$8.40,695458,$9.07,$9.09,$8.35
11/08/2023,$8.94,1109634,$8.86,$9.14,$8.56
11/07/2023,$8.61,455511,$8.38,$8.70,$8.38
11/06/2023,$8.39,678684,$8.59,$8.66,$8.27
11/03/2023,$8.40,594522,$8.49,$8.83,$8.12
11/02/2023,$8.43,514738,$8.21,$8.47,$8.01
11/01/2023,$8.21,469699,$8.26,$8.53,$8.19
10/31/2023,$8.40,637532,$8.24,$8.5475,$8.03
10/30/2023,$8.32,657393,$8.24,$8.4932,$7.98
10/27/2023,$8.01,773540,$8.12,$8.29,$7.81
10/26/2023,$8.08,823245,$7.26,$8.12,$7.26
10/25/2023,$7.36,793461,$7.27,$7.64,$7.09
10/24/2023,$7.19,839734,$6.81,$7.49,$6.81
10/23/2023,$7.05,871823,$7.39,$7.73,$6.995
10/20/2023,$7.54,898942,$7.36,$7.74,$7.3401
10/19/2023,$7.51,948841,$7.20,$7.58,$7.0434
10/18/2023,$7.26,1719840,$7.83,$7.83,$7.01
10/17/2023,$7.20,2094474,$6.42,$7.35,$6.32
10/16/2023,$6.52,3156697,$7.40,$7.441,$6.47
10/13/2023,$7.69,14823640,$7.89,$7.98,$5.15
10/12/2023,$7.80,2840141,$8.67,$8.78,$7.20
10/11/2023,$8.85,1946363,$9.64,$10.14,$8.79
10/10/2023,$9.73,969987,$9.68,$10.015,$9.4001
10/09/2023,$9.87,2386572,$11.46,$11.50,$9.65
10/06/2023,$11.38,1668277,$11.94,$12.43,$11.37
10/05/2023,$12.01,3303399,$10.50,$13.03,$9.8925
10/04/2023,$10.57,611506,$10.71,$10.79,$10.40
10/03/2023,$10.55,715463,$11.19,$11.26,$10.40
10/02/2023,$11.25,755715,$11.20,$11.54,$10.96
09/29/2023,$11.26,1688175,$10.87,$11.4799,$10.85
09/28/2023,$10.88,1186686,$11.31,$11.614,$10.58
09/27/2023,$11.20,1792642,$11.07,$11.41,$10.63
09/26/2023,$11.07,694869,$11.01,$11.32,$10.80
09/25/2023,$11.15,2126818,$10.29,$11.25,$10.07
09/22/2023,$10.32,2070784,$9.09,$10.39,$9.00
09/21/2023,$9.17,1545069,$8.45,$9.18,$8.38
09/20/2023,$8.59,353089,$8.78,$9.09,$8.56
09/19/2023,$8.52,717246,$8.89,$9.11,$8.37
09/18/2023,$9.01,966842,$8.56,$9.08,$8.35
09/15/2023,$8.51,1687631,$8.33,$8.53,$8.07
09/14/2023,$8.24,577620,$8.10,$8.38,$7.935
09/13/2023,$8.04,896266,$8.10,$8.24,$7.93
09/12/2023,$8.10,911787,$8.17,$8.53,$7.95
09/11/2023,$8.25,1072163,$7.14,$8.25,$7.14
09/08/2023,$7.06,600186,$7.37,$7.48,$6.7901
09/07/2023,$7.33,520584,$7.20,$7.59,$7.13
09/06/2023,$7.26,786199,$7.03,$7.32,$6.76
09/05/2023,$7.01,555773,$7.04,$7.19,$6.91
09/01/2023,$7.16,487655,$6.48,$7.21,$6.4307
08/31/2023,$6.49,354717,$6.69,$6.95,$6.48
08/30/2023,$6.65,607093,$7.14,$7.38,$6.47
08/29/2023,$7.19,215312,$7.20,$7.45,$7.0439
08/28/2023,$7.24,385445,$7.15,$7.485,$6.91
08/25/2023,$7.09,381801,$7.06,$7.28,$6.835
08/24/2023,$7.005,508857,$7.37,$7.42,$6.64
08/23/2023,$7.38,259941,$7.17,$7.52,$7.17
08/22/2023,$7.29,578022,$7.07,$7.65,$6.9057
08/21/2023,$7.16,431428,$6.97,$7.30,$6.8891
08/18/2023,$6.94,449218,$6.95,$7.3515,$6.71
08/17/2023,$7.12,496782,$6.95,$7.4567,$6.79
08/16/2023,$6.84,705515,$6.98,$7.44,$6.75
08/15/2023,$6.90,479163,$6.75,$7.25,$6.75
08/14/2023,$6.99,1029954,$7.28,$7.50,$6.77
08/11/2023,$7.51,8689323,$6.93,$9.24,$6.81
08/10/2023,$6.54,5196860,$7.31,$7.59,$6.25
08/09/2023,$7.81,74897810,$5.00,$9.39,$5.00
08/08/2023,$3.83,1537239,$3.45,$3.99,$3.45
08/07/2023,$3.44,193379,$3.51,$3.57,$3.36
08/04/2023,$3.40,101431,$3.41,$3.46,$3.325
08/03/2023,$3.39,53697,$3.18,$3.46,$3.18
08/02/2023,$3.18,68340,$3.20,$3.30,$3.095
08/01/2023,$3.26,40469,$3.33,$3.41,$3.22
07/31/2023,$3.38,80348,$3.05,$3.38,$3.05
07/28/2023,$3.05,254888,$2.93,$3.62,$2.91
07/27/2023,$2.93,178631,$2.97,$3.045,$2.88
07/26/2023,$2.97,82518,$3.04,$3.12,$2.89
07/25/2023,$3.04,48917,$3.12,$3.17,$3.00
07/24/2023,$3.16,53420,$3.29,$3.2971,$3.05
07/21/2023,$3.24,90575,$3.35,$3.39,$3.1515
07/20/2023,$3.31,109615,$3.49,$3.56,$3.27
07/19/2023,$3.51,105225,$3.43,$3.61,$3.42
07/18/2023,$3.42,60714,$3.54,$3.63,$3.38
07/17/2023,$3.55,133802,$3.46,$3.58,$3.34
07/14/2023,$3.43,49134,$3.48,$3.48,$3.28
07/13/2023,$3.45,58650,$3.59,$3.6418,$3.401
07/12/2023,$3.54,140193,$3.47,$3.65,$3.36
07/11/2023,$3.43,185917,$3.21,$3.57,$3.205
07/10/2023,$3.20,52729,$3.18,$3.32,$3.15
07/07/2023,$3.19,58689,$3.29,$3.35,$3.15
07/06/2023,$3.24,98687,$3.12,$3.36,$3.04
07/05/2023,$3.19,57885,$3.10,$3.29,$3.03
07/03/2023,$3.15,63864,$3.30,$3.415,$3.10
06/30/2023,$3.32,177304,$3.25,$3.36,$3.12
06/29/2023,$3.26,78584,$3.33,$3.53,$3.15
06/28/2023,$3.35,85686,$3.21,$3.36,$3.10
06/27/2023,$3.21,88733,$3.37,$3.37,$3.14
06/26/2023,$3.36,123321,$3.73,$3.81,$3.36
06/23/2023,$3.74,552215,$3.35,$3.99,$3.295
06/22/2023,$3.45,192394,$3.43,$3.49,$3.20
06/21/2023,$3.48,99473,$3.49,$3.52,$3.28
06/20/2023,$3.50,86327,$3.51,$3.5442,$3.30
06/16/2023,$3.51,304682,$3.64,$3.66,$3.33
06/15/2023,$3.61,88319,$3.50,$3.66,$3.36
06/14/2023,$3.51,116748,$3.67,$3.73,$3.41
06/13/2023,$3.63,117239,$3.57,$3.68,$3.45
06/12/2023,$3.53,127808,$3.32,$3.67,$3.28
06/09/2023,$3.33,138711,$3.41,$3.43,$3.1699
06/08/2023,$3.43,125129,$3.69,$3.7004,$3.22
06/07/2023,$3.71,285722,$3.60,$3.89,$3.55
06/06/2023,$3.55,190287,$3.38,$3.61,$3.31
06/05/2023,$3.40,352221,$3.23,$3.67,$3.14
06/02/2023,$3.19,2480297,$2.69,$3.43,$2.56
06/01/2023,$2.67,191951,$2.68,$2.76,$2.605
05/31/2023,$2.70,1182357,$2.79,$2.91,$2.47
05/30/2023,$2.76,217044,$3.02,$3.02,$2.73
05/26/2023,$2.99,130632,$2.98,$3.1499,$2.90
05/25/2023,$2.92,203123,$3.48,$3.59,$2.88
05/24/2023,$3.50,191735,$3.99,$3.99,$3.41
05/23/2023,$4.02,60141,$3.91,$4.1049,$3.91
05/22/2023,$3.91,110657,$3.72,$4.00,$3.69
05/19/2023,$3.72,86835,$3.84,$3.94,$3.60
05/18/2023,$3.70,56237,$3.70,$3.78,$3.62
05/17/2023,$3.68,92992,$3.64,$3.72,$3.521
05/16/2023,$3.59,54405,$3.70,$3.71,$3.57
05/15/2023,$3.77,59082,$3.61,$3.87,$3.545
05/12/2023,$3.59,78250,$3.73,$3.94,$3.55
05/11/2023,$3.70,229785,$3.82,$3.93,$3.63
05/10/2023,$3.86,250640,$3.68,$4.10,$3.68
05/09/2023,$3.66,396554,$3.48,$3.80,$3.27
05/08/2023,$3.44,68754,$3.42,$3.48,$3.355
05/05/2023,$3.43,45759,$3.32,$3.48,$3.305
05/04/2023,$3.26,77484,$3.23,$3.32,$3.1499
05/03/2023,$3.24,337400,$3.24,$3.43,$3.10
05/02/2023,$3.22,110583,$3.37,$3.49,$3.14
05/01/2023,$3.33,78955,$3.34,$3.52,$3.32
04/28/2023,$3.40,180376,$3.40,$3.56,$3.37
04/27/2023,$3.43,83243,$3.28,$3.49,$3.28
04/26/2023,$3.27,243964,$3.27,$3.455,$3.185
04/25/2023,$3.32,142825,$3.49,$3.60,$3.25
04/24/2023,$3.54,80166,$3.56,$3.64,$3.45
04/21/2023,$3.61,235050,$3.38,$3.6723,$3.38
04/20/2023,$3.42,97370,$3.64,$3.64,$3.36
04/19/2023,$3.62,109571,$3.65,$3.78,$3.59
04/18/2023,$3.71,234149,$4.22,$4.225,$3.71
04/17/2023,$4.20,552009,$4.20,$4.40,$4.13
04/14/2023,$4.26,164356,$4.47,$4.56,$4.17
04/13/2023,$4.49,257897,$4.56,$4.85,$4.45
04/12/2023,$4.56,116630,$4.77,$4.80,$4.53
04/11/2023,$4.70,122759,$4.52,$4.80,$4.51
04/10/2023,$4.52,135521,$4.40,$4.62,$4.35
04/06/2023,$4.43,156224,$4.17,$4.49,$4.16
04/05/2023,$4.17,147737,$4.33,$4.33,$4.09
04/04/2023,$4.28,184979,$4.37,$4.44,$4.22
04/03/2023,$4.36,312276,$4.09,$4.49,$4.09
03/31/2023,$3.95,492026,$3.95,$4.08,$3.90
03/30/2023,$3.92,272098,$4.05,$4.13,$3.92
03/29/2023,$4.02,326761,$3.82,$4.08,$3.82
