Date,Close/Last,Volume,Open,High,Low
01/05/2024,$37.33,3550343,$36.79,$37.805,$36.75
01/04/2024,$36.90,4147726,$36.94,$37.10,$36.72
01/03/2024,$36.85,4565208,$37.68,$37.73,$36.75
01/02/2024,$38.17,4557834,$36.81,$38.4801,$36.70
12/29/2023,$36.81,4316572,$36.93,$37.145,$36.61
12/28/2023,$37.08,3525882,$37.40,$37.432,$37.035
12/27/2023,$37.40,3385342,$37.68,$37.96,$37.385
12/26/2023,$37.61,2475190,$37.29,$37.6175,$37.15
12/22/2023,$37.05,3743106,$36.59,$37.59,$36.50
12/21/2023,$37.55,3470269,$37.05,$37.59,$36.96
12/20/2023,$36.57,3652529,$36.73,$37.27,$36.515
12/19/2023,$36.90,3170798,$36.11,$36.93,$36.03
12/18/2023,$35.85,3547988,$36.10,$36.10,$35.58
12/15/2023,$36.08,7987303,$36.45,$36.80,$36.08
12/14/2023,$36.51,7167570,$35.06,$36.845,$35.06
12/13/2023,$34.53,4023089,$33.52,$34.63,$33.29
12/12/2023,$33.56,3274004,$33.70,$33.94,$33.465
12/11/2023,$33.82,3029095,$33.51,$34.00,$33.51
12/08/2023,$33.53,3590878,$33.03,$33.65,$32.905
12/07/2023,$33.14,3999108,$32.36,$33.22,$32.27
12/06/2023,$32.51,2846470,$32.61,$32.8703,$32.35
12/05/2023,$32.42,3266922,$32.75,$32.902,$32.20
12/04/2023,$33.02,3919281,$32.62,$33.26,$32.62
12/01/2023,$32.70,3176935,$31.70,$32.76,$31.61
11/30/2023,$31.67,3767694,$31.67,$31.87,$31.37
11/29/2023,$31.67,4471641,$31.465,$31.94,$31.45
11/28/2023,$31.02,3706592,$30.94,$31.25,$30.68
11/27/2023,$30.92,3641621,$30.39,$31.00,$30.20
11/24/2023,$30.58,1702013,$30.48,$30.58,$30.295
11/22/2023,$30.39,2343430,$30.47,$30.755,$30.31
11/21/2023,$30.37,2478589,$30.53,$30.60,$30.21
11/20/2023,$30.76,3776221,$30.50,$30.92,$30.195
11/17/2023,$30.39,2473462,$30.41,$30.48,$30.15
11/16/2023,$30.10,3553578,$30.65,$30.74,$29.83
11/15/2023,$30.88,5195149,$30.90,$31.92,$30.77
11/14/2023,$30.51,7793706,$29.05,$30.61,$28.965
11/13/2023,$28.51,3958635,$28.07,$28.56,$27.905
11/10/2023,$28.12,4479668,$27.86,$28.235,$27.545
11/09/2023,$28.28,7356874,$29.00,$29.59,$28.26
11/08/2023,$27.46,4159568,$27.46,$27.84,$27.20
11/07/2023,$27.47,4044707,$27.02,$27.5175,$27.02
11/06/2023,$27.46,3196989,$27.95,$28.16,$27.40
11/03/2023,$27.94,2617652,$27.91,$28.285,$27.885
11/02/2023,$27.33,3829325,$27.055,$27.43,$26.95
11/01/2023,$26.59,5408745,$27.47,$27.60,$25.99
10/31/2023,$27.56,3939663,$27.90,$27.90,$27.48
10/30/2023,$28.06,3732925,$28.05,$28.17,$27.79
10/27/2023,$27.60,2879299,$28.13,$28.258,$27.59
10/26/2023,$28.00,2617850,$27.91,$28.255,$27.63
10/25/2023,$27.86,2555782,$27.67,$27.99,$27.54
10/24/2023,$27.92,3288892,$28.08,$28.348,$27.705
