Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.66,1370050,$47.96,$49.05,$47.60
01/04/2024,$47.92,1083873,$47.89,$48.53,$47.80
01/03/2024,$48.31,1594292,$49.45,$49.92,$47.91
01/02/2024,$49.64,1914350,$50.36,$50.87,$49.46
12/29/2023,$50.97,1325825,$51.02,$51.65,$50.96
12/28/2023,$51.35,914008,$51.03,$51.45,$50.91
12/27/2023,$51.17,1036566,$51.17,$51.53,$50.89
12/26/2023,$50.98,1189821,$50.52,$51.26,$50.42
12/22/2023,$50.47,741502,$50.48,$50.765,$50.17
12/21/2023,$50.45,1230321,$49.87,$50.48,$49.585
12/20/2023,$48.88,2127057,$50.17,$50.62,$48.79
12/19/2023,$50.29,1786086,$50.37,$50.76,$50.005
12/18/2023,$50.18,1655653,$50.52,$50.74,$49.7587
12/15/2023,$50.26,3017222,$50.53,$51.68,$50.19
12/14/2023,$50.57,4065345,$49.94,$51.56,$49.91
12/13/2023,$49.01,1873733,$47.00,$49.14,$46.49
12/12/2023,$46.90,1722799,$46.78,$47.30,$46.61
12/11/2023,$46.82,2669447,$46.22,$47.355,$46.22
12/08/2023,$46.22,1310351,$45.60,$46.45,$45.60
12/07/2023,$45.73,1376499,$45.54,$45.85,$45.155
12/06/2023,$45.46,2791590,$43.94,$45.735,$43.94
12/05/2023,$43.45,1326714,$43.46,$43.95,$43.32
12/04/2023,$43.93,2595134,$42.62,$44.035,$42.56
12/01/2023,$42.69,2390324,$40.23,$42.77,$40.16
11/30/2023,$40.32,1513785,$40.68,$40.88,$40.00
11/29/2023,$40.63,1845639,$39.76,$41.18,$39.76
11/28/2023,$39.28,1356886,$39.30,$39.61,$38.845
11/27/2023,$39.29,1588956,$39.33,$39.43,$38.91
11/24/2023,$39.60,419729,$39.30,$39.86,$39.30
11/22/2023,$39.62,1277357,$39.86,$40.11,$39.24
11/21/2023,$39.64,829467,$40.00,$40.105,$39.62
11/20/2023,$40.18,1626762,$39.63,$40.55,$39.245
11/17/2023,$39.57,1688642,$39.66,$40.03,$39.27
11/16/2023,$39.22,2136007,$40.27,$40.64,$39.055
11/15/2023,$40.48,2181017,$40.33,$41.33,$40.16
11/14/2023,$40.36,3871518,$40.36,$41.22,$39.62
11/13/2023,$37.38,1888577,$37.38,$37.50,$36.98
11/10/2023,$37.46,1895922,$36.60,$37.46,$36.12
11/09/2023,$36.50,2646928,$37.72,$37.72,$36.465
11/08/2023,$37.50,1920022,$37.70,$37.80,$37.25
11/07/2023,$37.95,1709951,$37.41,$38.10,$37.20
11/06/2023,$37.51,2866555,$39.04,$39.21,$37.22
11/03/2023,$39.05,4633200,$37.65,$39.67,$37.36
11/02/2023,$36.80,7762716,$37.57,$38.575,$36.2175
11/01/2023,$40.40,3035696,$40.01,$40.44,$39.30
10/31/2023,$39.93,2970450,$39.33,$40.28,$39.16
10/30/2023,$39.16,1839979,$38.32,$39.49,$38.11
10/27/2023,$38.00,1707275,$38.21,$38.65,$37.57
10/26/2023,$38.03,2760070,$38.86,$38.90,$37.825
10/25/2023,$38.90,1479481,$39.50,$39.77,$38.86
10/24/2023,$39.85,1224464,$40.05,$40.535,$39.42
10/23/2023,$39.82,1483558,$39.80,$40.27,$39.41
10/20/2023,$39.88,1029580,$40.09,$40.23,$39.495
10/19/2023,$40.13,1227962,$40.78,$41.28,$39.835
10/18/2023,$40.86,1465935,$41.34,$41.59,$40.615
10/17/2023,$42.02,1223751,$40.90,$42.51,$40.70
10/16/2023,$41.30,1141119,$40.63,$41.52,$40.37
10/13/2023,$39.89,927275,$40.04,$40.26,$39.64
10/12/2023,$40.00,1329175,$41.36,$41.74,$39.63
10/11/2023,$41.52,966721,$42.07,$42.25,$41.24
10/10/2023,$41.76,1232871,$41.46,$42.72,$41.405
10/09/2023,$41.17,1197075,$40.64,$41.20,$40.22
10/06/2023,$40.96,1878997,$40.01,$41.16,$39.81
10/05/2023,$40.92,1360096,$41.27,$41.36,$40.44
10/04/2023,$41.45,1897880,$40.49,$41.65,$40.47
10/03/2023,$40.42,2193347,$41.77,$41.90,$39.96
10/02/2023,$41.97,1611044,$43.11,$43.86,$41.81
09/29/2023,$43.34,1396406,$43.34,$43.74,$43.06
09/28/2023,$42.84,1616339,$42.05,$43.03,$42.05
09/27/2023,$41.98,920383,$41.97,$42.295,$41.5655
09/26/2023,$41.75,1093631,$42.22,$42.47,$41.44
09/25/2023,$42.50,1139019,$42.31,$42.81,$42.11
09/22/2023,$42.53,1694664,$42.99,$43.24,$42.18
09/21/2023,$42.59,1745448,$43.51,$43.51,$42.59
09/20/2023,$43.87,900226,$44.86,$44.9899,$43.80
09/19/2023,$44.79,1568166,$44.61,$44.86,$44.01
09/18/2023,$44.62,876101,$44.67,$44.97,$44.34
09/15/2023,$44.74,3320975,$45.49,$45.52,$44.60
09/14/2023,$45.97,1749394,$45.64,$46.50,$45.30
09/13/2023,$44.80,2414271,$45.32,$45.958,$44.78
09/12/2023,$45.41,1706930,$45.24,$45.715,$44.95
09/11/2023,$45.77,1486645,$45.26,$45.93,$44.80
09/08/2023,$44.49,963949,$44.90,$45.065,$44.35
09/07/2023,$45.16,724094,$44.74,$45.25,$44.39
09/06/2023,$45.11,850139,$45.23,$46.01,$44.96
09/05/2023,$45.13,1531843,$46.47,$46.85,$44.80
09/01/2023,$47.09,1068410,$47.45,$47.70,$47.00
08/31/2023,$46.72,1134417,$46.38,$46.95,$46.15
08/30/2023,$46.16,1073299,$45.90,$46.52,$45.55
08/29/2023,$46.04,1460819,$44.75,$46.37,$44.50
08/28/2023,$44.87,1473603,$43.49,$44.91,$43.49
08/25/2023,$43.28,1358378,$43.54,$43.98,$43.06
08/24/2023,$43.40,1772647,$43.78,$44.18,$43.33
08/23/2023,$43.90,1727805,$42.56,$43.96,$42.31
08/22/2023,$42.77,2014103,$42.58,$42.83,$42.0101
08/21/2023,$42.53,1345849,$42.95,$43.06,$42.27
08/18/2023,$42.86,1378366,$42.60,$43.25,$42.46
08/17/2023,$43.08,993425,$44.40,$44.41,$43.04
08/16/2023,$44.21,2343412,$44.87,$45.30,$44.08
08/15/2023,$45.07,1433073,$45.09,$45.215,$44.75
08/14/2023,$45.25,1277550,$44.85,$45.31,$44.66
08/11/2023,$45.24,977593,$45.46,$45.81,$45.015
08/10/2023,$45.62,1648558,$46.20,$46.50,$44.91
08/09/2023,$45.96,1342182,$45.82,$46.20,$45.61
08/08/2023,$45.65,1909717,$45.00,$45.69,$44.63
08/07/2023,$45.35,2079932,$45.91,$46.23,$45.105
08/04/2023,$45.85,2511302,$45.27,$46.62,$44.535
08/03/2023,$45.94,4182839,$43.92,$46.665,$43.73
08/02/2023,$43.50,3526269,$43.19,$44.17,$42.89
08/01/2023,$44.05,4262493,$43.65,$44.535,$43.65
07/31/2023,$44.63,3238422,$45.60,$45.6775,$43.15
07/28/2023,$45.99,1787911,$45.50,$46.20,$45.04
07/27/2023,$46.06,2237980,$46.82,$47.17,$45.865
07/26/2023,$46.29,1244152,$46.29,$46.79,$45.845
07/25/2023,$46.25,1651671,$46.22,$46.57,$46.04
07/24/2023,$45.95,1249396,$45.86,$46.35,$45.81
07/21/2023,$45.92,916492,$46.21,$46.295,$45.60
07/20/2023,$45.85,987104,$46.16,$46.17,$45.73
07/19/2023,$46.17,1727543,$45.32,$46.32,$45.32
07/18/2023,$45.31,1028292,$44.95,$45.715,$44.786
07/17/2023,$45.02,1531057,$43.78,$45.13,$43.705
07/14/2023,$43.97,1334089,$44.00,$44.13,$43.39
07/13/2023,$43.99,1515139,$44.42,$44.84,$43.92
07/12/2023,$44.29,2567104,$44.00,$44.36,$43.5166
07/11/2023,$43.35,1847461,$43.00,$43.43,$42.46
07/10/2023,$42.74,2399843,$40.51,$42.75,$40.46
07/07/2023,$40.43,2451372,$39.45,$40.665,$39.27
07/06/2023,$39.27,1751390,$39.22,$39.86,$38.75
07/05/2023,$40.03,2123959,$39.62,$40.16,$39.25
07/03/2023,$39.76,972596,$40.15,$40.24,$39.45
06/30/2023,$40.07,1674871,$40.33,$40.50,$39.705
06/29/2023,$39.99,925865,$39.07,$40.01,$38.87
06/28/2023,$39.17,1636292,$39.51,$39.87,$39.06
06/27/2023,$39.66,2101198,$38.62,$39.99,$38.37
06/26/2023,$38.50,2030671,$37.88,$38.62,$37.68
06/23/2023,$37.66,1930127,$37.49,$37.93,$37.19
06/22/2023,$38.00,1186356,$38.09,$38.26,$37.32
06/21/2023,$38.24,1846144,$37.46,$38.60,$37.29
06/20/2023,$38.09,1516111,$38.20,$38.46,$37.75
06/16/2023,$38.43,2175223,$38.82,$38.99,$38.23
06/15/2023,$38.68,1287011,$38.07,$38.71,$37.745
06/14/2023,$38.24,1193314,$38.80,$39.065,$37.94
06/13/2023,$38.59,1405058,$38.26,$38.95,$38.14
06/12/2023,$37.96,1309927,$37.98,$38.30,$37.51
06/09/2023,$37.71,924896,$38.13,$38.39,$37.48
06/08/2023,$38.22,1091652,$38.53,$38.98,$38.16
06/07/2023,$38.51,1854286,$37.79,$38.67,$37.685
06/06/2023,$37.46,2034825,$35.60,$37.84,$35.50
06/05/2023,$35.46,2253845,$36.79,$36.82,$35.46
06/02/2023,$37.30,2253907,$36.67,$37.59,$36.40
06/01/2023,$35.97,1941140,$35.76,$36.40,$34.98
05/31/2023,$35.64,4135603,$36.90,$37.38,$35.39
05/30/2023,$37.25,1603295,$37.65,$37.99,$37.04
05/26/2023,$37.43,1054083,$36.99,$37.53,$36.83
05/25/2023,$37.00,1382028,$37.43,$37.76,$36.91
05/24/2023,$37.25,1557152,$37.78,$37.78,$36.73
05/23/2023,$37.89,1776295,$37.60,$38.27,$37.51
05/22/2023,$37.96,1571426,$37.79,$38.29,$37.38
