Date,Close/Last,Volume,Open,High,Low
10/23/2023,$86.40,1656854,$86.00,$86.79,$85.41
10/20/2023,$86.69,1486147,$87.45,$87.83,$86.43
10/19/2023,$87.71,938423,$87.53,$88.73,$86.64
10/18/2023,$87.51,1043207,$88.19,$88.34,$87.36
10/17/2023,$87.85,1215101,$87.91,$88.78,$87.42
10/16/2023,$87.93,1188142,$87.88,$88.20,$86.58
10/13/2023,$87.22,1268307,$86.91,$87.78,$86.19
10/12/2023,$85.52,1507824,$86.25,$86.28,$84.74
10/11/2023,$85.50,1834162,$82.77,$85.59,$82.77
10/10/2023,$83.20,1509951,$83.05,$83.69,$82.58
10/09/2023,$83.14,1675647,$83.22,$83.555,$82.13
10/06/2023,$81.29,1924647,$80.32,$82.09,$79.79
10/05/2023,$80.15,2418274,$77.97,$80.295,$77.97
10/04/2023,$79.23,2904893,$81.04,$81.07,$78.50
10/03/2023,$82.07,2622147,$83.11,$83.38,$80.98
10/02/2023,$83.43,1591207,$85.52,$85.71,$82.9062
09/29/2023,$85.72,1778490,$87.22,$87.43,$85.42
09/28/2023,$87.44,1467235,$86.52,$88.01,$86.405
09/27/2023,$86.59,1650399,$85.31,$87.12,$85.00
09/26/2023,$84.35,1661736,$84.50,$85.31,$84.11
09/25/2023,$85.32,1498711,$84.22,$86.005,$84.22
09/22/2023,$84.44,1283050,$83.70,$85.16,$83.70
09/21/2023,$83.07,1244783,$85.58,$85.59,$83.06
09/20/2023,$85.43,1229816,$85.36,$86.36,$85.30
09/19/2023,$85.15,1168414,$86.40,$86.67,$84.62
09/18/2023,$85.66,1200948,$85.37,$85.84,$84.29
09/15/2023,$84.66,3711582,$85.33,$86.02,$84.30
09/14/2023,$85.74,1469734,$85.85,$86.17,$85.35
09/13/2023,$84.77,1363393,$84.96,$85.39,$83.86
09/12/2023,$85.19,1245998,$84.19,$85.295,$83.87
09/11/2023,$83.83,1675273,$85.95,$86.38,$83.22
09/08/2023,$85.33,1156305,$85.83,$86.35,$85.20
09/07/2023,$85.51,1386011,$85.14,$85.75,$84.40
09/06/2023,$85.03,1664462,$86.13,$86.56,$84.45
09/05/2023,$86.85,1348679,$87.75,$87.83,$86.795
09/01/2023,$87.53,1218460,$87.48,$87.86,$87.1275
08/31/2023,$86.25,1886602,$86.34,$87.26,$85.88
08/30/2023,$86.20,853804,$85.90,$86.73,$85.90
08/29/2023,$85.70,1011600,$85.48,$85.765,$84.96
08/28/2023,$85.29,1187518,$84.48,$85.60,$84.48
08/25/2023,$84.48,1432731,$84.47,$85.06,$83.77
08/24/2023,$84.09,1659443,$82.89,$84.79,$82.73
08/23/2023,$83.63,1231838,$83.25,$83.76,$82.135
08/22/2023,$83.70,1419946,$84.72,$84.84,$83.565
08/21/2023,$84.53,2553269,$85.08,$85.39,$83.50
08/18/2023,$84.75,2068635,$83.56,$84.76,$83.01
08/17/2023,$83.79,1705693,$84.15,$85.0836,$83.58
08/16/2023,$83.20,1912608,$84.12,$84.72,$83.09
08/15/2023,$84.07,1416489,$84.20,$84.59,$83.795
08/14/2023,$84.59,1170908,$84.67,$84.96,$83.65
08/11/2023,$84.94,1064517,$84.73,$85.28,$83.92
08/10/2023,$84.21,1699302,$84.36,$85.53,$83.97
08/09/2023,$84.28,1429576,$83.50,$84.45,$82.93
08/08/2023,$82.83,1303768,$81.04,$82.94,$80.12
08/07/2023,$82.09,1416979,$82.89,$83.01,$81.6552
08/04/2023,$82.47,2585483,$82.25,$85.30,$82.25
08/03/2023,$81.81,3012333,$80.50,$83.30,$80.18
08/02/2023,$81.17,1944513,$80.88,$81.58,$80.38
08/01/2023,$81.61,1161588,$81.75,$81.78,$80.40
07/31/2023,$81.99,1104900,$81.30,$81.99,$80.65
07/28/2023,$80.63,1084545,$80.69,$80.69,$79.76
07/27/2023,$80.56,1188580,$81.62,$81.82,$80.45
07/26/2023,$81.38,758265,$80.86,$81.94,$80.83
07/25/2023,$81.67,1262812,$81.28,$81.925,$80.90
07/24/2023,$81.38,847705,$81.07,$81.90,$80.99
07/21/2023,$80.66,1023130,$80.00,$80.905,$79.56
07/20/2023,$79.59,1673275,$79.69,$79.82,$79.12
07/19/2023,$78.74,984473,$78.21,$78.959,$78.205
07/18/2023,$78.47,1044412,$77.48,$78.73,$77.27
07/17/2023,$77.70,1184585,$77.93,$78.46,$77.06
07/14/2023,$78.03,1051890,$79.01,$79.11,$77.78
07/13/2023,$79.58,1360846,$79.03,$79.99,$78.92
07/12/2023,$79.02,1455811,$79.22,$79.71,$78.48
07/11/2023,$78.50,1958421,$77.22,$78.865,$76.94
07/10/2023,$77.02,1670081,$76.88,$77.76,$76.61
07/07/2023,$77.30,2236575,$75.84,$78.0715,$75.68
07/06/2023,$76.01,1538981,$75.92,$76.48,$74.95
07/05/2023,$76.45,1454739,$77.22,$77.30,$76.15
07/03/2023,$77.01,814020,$76.16,$77.28,$76.14
06/30/2023,$76.10,1352595,$75.89,$76.575,$75.31
06/29/2023,$75.21,1461758,$74.41,$75.25,$74.20
06/28/2023,$74.11,2593493,$72.93,$74.18,$72.35
06/27/2023,$72.69,1663060,$71.71,$72.76,$71.21
06/26/2023,$71.53,1466888,$70.15,$72.185,$70.02
06/23/2023,$69.92,1696862,$70.15,$70.995,$69.86
06/22/2023,$71.18,1293416,$71.55,$71.765,$70.71
06/21/2023,$71.95,1602031,$70.74,$72.38,$70.66
06/20/2023,$70.94,1530058,$71.68,$71.68,$69.95
06/16/2023,$71.79,2759273,$72.31,$72.55,$71.57
06/15/2023,$71.91,1533532,$70.99,$72.165,$70.99
06/14/2023,$70.97,1591678,$71.58,$71.91,$70.07
06/13/2023,$70.92,1459188,$70.75,$72.11,$70.43
06/12/2023,$70.14,2003612,$70.00,$70.93,$69.44
06/09/2023,$70.81,1904283,$72.41,$72.46,$70.465
