Date,Close/Last,Volume,Open,High,Low
01/05/2024,$50.77,1125072,$50.79,$51.49,$50.38
01/04/2024,$51.02,1146420,$50.42,$51.47,$50.23
01/03/2024,$50.58,777899,$52.05,$52.05,$50.51
01/02/2024,$52.45,1145062,$52.60,$52.74,$52.03
12/29/2023,$53.20,769649,$53.45,$53.86,$53.13
12/28/2023,$53.64,1269567,$53.35,$53.65,$53.0801
12/27/2023,$53.33,727412,$53.32,$53.74,$53.15
12/26/2023,$53.19,735336,$52.46,$53.27,$52.435
12/22/2023,$52.44,785232,$52.51,$53.025,$52.00
12/21/2023,$52.36,924802,$52.01,$52.40,$51.59
12/20/2023,$51.42,848466,$52.22,$52.86,$51.39
12/19/2023,$52.44,1876562,$51.96,$52.70,$51.825
12/18/2023,$51.65,1848689,$51.85,$51.95,$51.34
12/15/2023,$51.77,4135823,$51.33,$51.84,$51.00
12/14/2023,$51.78,2331487,$49.98,$51.85,$49.90
12/13/2023,$49.22,1390607,$47.96,$49.60,$47.20
12/12/2023,$48.09,2001200,$48.10,$48.545,$47.67
12/11/2023,$48.045,2275935,$46.85,$48.72,$46.71
12/08/2023,$46.90,924986,$46.57,$47.48,$46.28
12/07/2023,$46.75,940403,$46.33,$46.87,$46.06
12/06/2023,$46.21,802860,$46.40,$47.06,$46.09
12/05/2023,$45.94,1203913,$46.41,$46.41,$45.61
12/04/2023,$46.81,1417647,$47.09,$47.60,$46.51
12/01/2023,$47.355,1642962,$46.28,$47.50,$46.14
11/30/2023,$46.40,3463196,$46.01,$46.47,$45.75
11/29/2023,$45.92,2983886,$45.02,$46.17,$44.89
11/28/2023,$44.66,2274614,$44.28,$44.685,$44.05
11/27/2023,$44.40,1513458,$43.76,$44.415,$43.70
11/24/2023,$44.14,425290,$43.60,$44.2162,$43.515
11/22/2023,$43.68,868876,$43.52,$43.89,$43.28
11/21/2023,$43.25,1042469,$43.61,$43.69,$42.85
11/20/2023,$43.93,1401500,$43.38,$44.15,$43.33
11/17/2023,$43.33,1832227,$43.34,$43.7048,$42.83
