Date,Close/Last,Volume,Open,High,Low
01/05/2024,$39.92,2373377,$39.75,$40.145,$39.69
01/04/2024,$39.72,2399424,$39.71,$39.96,$39.54
01/03/2024,$39.51,1511358,$39.26,$39.64,$39.07
01/02/2024,$39.28,2686923,$39.00,$39.33,$38.87
12/29/2023,$39.09,3467887,$39.15,$39.20,$38.91
12/28/2023,$39.16,5346813,$39.65,$39.79,$39.05
12/27/2023,$40.43,5000145,$40.38,$40.625,$40.21
12/26/2023,$40.39,907736,$40.11,$40.49,$40.00
12/22/2023,$39.97,2110017,$39.94,$40.29,$39.88
12/21/2023,$39.75,2079324,$39.48,$39.81,$39.33
12/20/2023,$39.17,2532590,$39.75,$39.75,$39.16
12/19/2023,$39.42,1145575,$39.14,$39.65,$39.08
12/18/2023,$38.99,2493920,$39.20,$39.47,$38.93
12/15/2023,$38.85,1834137,$38.87,$39.155,$38.70
12/14/2023,$39.11,2925321,$39.21,$39.685,$39.01
12/13/2023,$38.79,3834356,$38.12,$38.83,$37.73
12/12/2023,$38.12,3349174,$38.47,$38.56,$37.87
12/11/2023,$38.48,3055576,$37.95,$38.505,$37.93
12/08/2023,$38.01,1202839,$38.18,$38.25,$37.795
12/07/2023,$38.06,2752141,$38.08,$38.25,$37.785
12/06/2023,$37.91,3806957,$38.06,$38.38,$37.86
12/05/2023,$37.92,3118644,$38.03,$38.27,$37.92
12/04/2023,$38.13,3248991,$37.57,$38.235,$37.56
12/01/2023,$37.84,3010485,$37.52,$38.04,$37.33
11/30/2023,$37.52,3374343,$37.28,$37.545,$37.18
11/29/2023,$37.08,2821084,$37.50,$37.63,$37.04
11/28/2023,$37.32,2571864,$36.83,$37.4955,$36.75
11/27/2023,$36.66,2081417,$37.00,$37.05,$36.43
11/24/2023,$37.11,813409,$37.17,$37.46,$36.92
11/22/2023,$37.13,1771798,$36.72,$37.19,$36.40
11/21/2023,$36.97,2701589,$36.85,$37.00,$36.57
11/20/2023,$36.76,1632287,$36.71,$36.93,$36.615
11/17/2023,$36.70,1909517,$36.49,$36.92,$36.38
11/16/2023,$36.12,1402084,$36.40,$36.57,$35.83
11/15/2023,$36.58,1358598,$36.40,$36.95,$36.40
11/14/2023,$36.37,2259607,$36.36,$36.50,$36.11
11/13/2023,$35.88,1594741,$35.70,$36.03,$35.46
11/10/2023,$35.85,1959031,$35.97,$36.19,$35.39
11/09/2023,$35.96,2942457,$36.31,$36.425,$35.735
11/08/2023,$36.13,2457537,$35.76,$36.475,$35.72
11/07/2023,$35.91,1556431,$36.08,$36.08,$35.68
11/06/2023,$36.30,1659999,$36.75,$36.81,$36.15
11/03/2023,$36.51,2317719,$36.38,$36.93,$36.20
11/02/2023,$36.23,2129976,$35.20,$36.295,$35.20
11/01/2023,$35.00,3352584,$34.68,$35.06,$34.34
10/31/2023,$34.45,2768667,$34.38,$34.535,$34.08
10/30/2023,$34.26,2269282,$34.11,$34.40,$33.665
10/27/2023,$33.83,4763599,$34.22,$34.31,$33.6101
10/26/2023,$34.23,1866706,$34.09,$34.3854,$33.90
10/25/2023,$34.35,3518977,$34.09,$34.645,$33.915
10/24/2023,$34.04,2361902,$34.28,$34.28,$33.75
10/23/2023,$34.02,4014734,$33.69,$34.1875,$33.47
10/20/2023,$33.93,1326770,$34.40,$34.41,$33.88
10/19/2023,$34.51,3243642,$34.48,$34.89,$34.20
10/18/2023,$34.60,3874958,$35.13,$35.13,$34.31
10/17/2023,$35.11,4134131,$35.24,$35.61,$34.965
10/16/2023,$35.34,2687576,$35.30,$35.42,$34.945
10/13/2023,$35.06,2128425,$35.11,$35.275,$34.86
10/12/2023,$34.77,1832255,$35.07,$35.16,$34.485
10/11/2023,$35.05,3009769,$34.58,$35.14,$34.49
10/10/2023,$34.54,4655556,$34.07,$34.72,$34.07
10/09/2023,$33.94,1696058,$33.81,$34.20,$33.75
10/06/2023,$33.45,5499554,$33.04,$33.565,$32.565
10/05/2023,$33.48,4001684,$32.79,$33.6258,$32.78
10/04/2023,$32.90,2941905,$33.18,$33.54,$32.515
10/03/2023,$33.46,7481346,$33.10,$33.56,$32.9138
10/02/2023,$33.40,7636362,$34.35,$34.35,$33.12
09/29/2023,$34.41,2810369,$34.72,$34.99,$34.36
09/28/2023,$34.60,7338991,$35.37,$35.42,$34.545
09/27/2023,$36.07,7924811,$35.87,$36.175,$35.485
09/26/2023,$35.67,3862670,$36.10,$36.35,$35.58
09/25/2023,$36.45,2531911,$36.57,$36.78,$36.245
09/22/2023,$36.39,3300843,$36.32,$36.59,$36.04
09/21/2023,$36.14,4968020,$37.13,$37.22,$36.13
09/20/2023,$37.21,3654860,$37.14,$37.50,$37.0406
09/19/2023,$37.22,1381108,$37.67,$37.745,$37.08
09/18/2023,$37.26,3536811,$37.65,$37.75,$37.14
09/15/2023,$37.46,4030159,$37.30,$37.59,$37.195
09/14/2023,$37.46,1603792,$36.88,$37.53,$36.78
09/13/2023,$36.43,1746235,$36.45,$36.72,$36.26
09/12/2023,$36.37,1889264,$36.28,$36.51,$36.17
09/11/2023,$36.07,3109904,$36.24,$36.42,$35.935
09/08/2023,$35.97,3339379,$35.83,$36.09,$35.66
09/07/2023,$35.48,2548186,$35.68,$35.82,$35.33
09/06/2023,$35.55,8184613,$35.77,$36.00,$34.69
09/05/2023,$36.34,3338574,$36.48,$36.84,$36.285
