Date,Close/Last,Volume,Open,High,Low
01/05/2024,$64.99,1971166,$63.14,$65.26,$63.06
01/04/2024,$63.51,2065844,$63.71,$64.61,$63.03
01/03/2024,$63.89,1877480,$65.38,$65.585,$63.41
01/02/2024,$66.56,1309011,$67.75,$68.465,$66.275
12/29/2023,$68.71,780685,$69.27,$69.9779,$68.45
12/28/2023,$69.23,671359,$68.72,$69.42,$68.44
12/27/2023,$69.29,941525,$69.00,$69.92,$68.53
12/26/2023,$68.99,745943,$68.30,$69.28,$67.88
12/22/2023,$68.05,962774,$68.37,$68.72,$67.495
12/21/2023,$67.99,1911290,$66.90,$68.16,$66.57
12/20/2023,$66.10,1851941,$68.00,$68.75,$66.01
12/19/2023,$68.67,1567789,$69.08,$69.69,$68.22
12/18/2023,$68.57,1826461,$69.09,$69.35,$67.895
12/15/2023,$68.59,5602278,$69.50,$70.98,$68.48
12/14/2023,$69.38,3545184,$69.11,$71.55,$68.97
12/13/2023,$67.78,2216626,$63.81,$67.99,$63.81
12/12/2023,$63.72,1472145,$62.94,$64.31,$62.425
12/11/2023,$62.87,1041439,$62.49,$63.76,$62.49
12/08/2023,$62.63,1958279,$62.85,$64.33,$62.49
12/07/2023,$62.64,2770184,$61.63,$62.78,$61.4597
12/06/2023,$61.53,2318810,$60.80,$62.40,$60.55
12/05/2023,$60.16,2524182,$59.81,$60.19,$58.59
12/04/2023,$60.40,1601013,$59.73,$60.57,$59.6236
12/01/2023,$60.40,1791981,$58.58,$60.82,$58.58
11/30/2023,$58.72,2717613,$58.84,$58.96,$57.7984
11/29/2023,$58.79,1179631,$59.43,$59.93,$58.79
11/28/2023,$58.69,2580739,$57.795,$58.96,$56.85
11/27/2023,$57.91,2607265,$58.31,$58.6075,$57.59
11/24/2023,$59.41,1011028,$59.00,$59.92,$58.39
11/22/2023,$59.19,1184866,$60.21,$60.21,$58.54
11/21/2023,$59.51,2619547,$59.41,$60.387,$59.34
11/20/2023,$59.96,2618754,$58.16,$60.035,$58.16
11/17/2023,$58.30,3160977,$57.28,$58.45,$56.84
11/16/2023,$56.70,1970818,$57.45,$57.89,$56.41
11/15/2023,$57.40,3609435,$55.86,$59.46,$55.61
11/14/2023,$56.04,3905934,$54.23,$56.13,$54.13
11/13/2023,$52.30,2372708,$52.29,$52.4633,$51.50
11/10/2023,$52.71,2789793,$52.93,$53.20,$51.57
11/09/2023,$53.10,4331014,$51.95,$53.17,$51.40
11/08/2023,$51.60,2810641,$51.68,$52.17,$50.885
11/07/2023,$51.54,2980839,$50.51,$51.84,$50.51
11/06/2023,$50.60,4318283,$50.05,$50.80,$49.36
11/03/2023,$50.31,3670999,$48.65,$50.69,$48.59
11/02/2023,$48.00,3699937,$44.80,$48.04,$44.72
11/01/2023,$44.00,2852415,$45.07,$45.16,$43.485
10/31/2023,$43.88,3155714,$43.565,$44.465,$43.39
10/30/2023,$43.30,2475482,$44.00,$44.30,$42.09
10/27/2023,$43.60,3481999,$44.65,$45.13,$43.23
10/26/2023,$44.16,4203106,$46.48,$46.99,$44.00
10/25/2023,$46.23,6188968,$48.02,$48.61,$45.945
10/24/2023,$49.74,17184290,$55.54,$55.95,$46.4701
10/23/2023,$64.85,2097850,$64.84,$65.77,$64.59
10/20/2023,$65.12,1304307,$66.27,$66.63,$64.64
10/19/2023,$66.35,2166984,$63.72,$67.33,$63.72
10/18/2023,$64.23,1336924,$66.11,$66.24,$64.13
10/17/2023,$67.02,1575204,$66.80,$68.0765,$66.41
10/16/2023,$67.40,1706560,$67.12,$68.19,$66.38
10/13/2023,$66.62,1593157,$68.74,$69.09,$66.21
10/12/2023,$68.80,1214975,$71.90,$71.90,$68.09
10/11/2023,$71.72,820952,$72.24,$72.6478,$70.95
10/10/2023,$72.01,1321346,$70.70,$72.595,$70.45
10/09/2023,$70.63,1376121,$70.00,$70.77,$69.70
10/06/2023,$70.24,1285533,$69.67,$70.85,$69.21
10/05/2023,$70.31,1465903,$70.01,$70.54,$69.285
10/04/2023,$70.00,1055265,$69.37,$70.29,$68.75
10/03/2023,$68.93,950881,$70.29,$70.81,$68.49
10/02/2023,$70.63,1384891,$71.43,$71.95,$70.34
09/29/2023,$71.79,1284169,$72.72,$73.34,$71.56
09/28/2023,$72.20,1251570,$70.90,$72.66,$70.65
09/27/2023,$70.86,1670849,$71.55,$72.02,$70.615
09/26/2023,$71.09,1499937,$72.35,$72.70,$70.98
09/25/2023,$73.02,1459926,$73.11,$73.93,$72.90
09/22/2023,$73.42,1029985,$73.71,$74.48,$73.42
09/21/2023,$73.64,1991816,$75.66,$75.69,$72.655
09/20/2023,$76.70,1411589,$78.22,$78.76,$76.68
09/19/2023,$77.70,1021936,$77.94,$78.59,$77.155
09/18/2023,$78.18,633623,$78.95,$79.31,$78.165
09/15/2023,$79.27,1946314,$81.18,$81.60,$78.92
09/14/2023,$81.66,654520,$80.75,$81.72,$80.15
09/13/2023,$80.22,678377,$80.43,$80.54,$79.62
09/12/2023,$80.66,990940,$79.70,$81.216,$79.70
09/11/2023,$79.90,637103,$80.07,$80.44,$79.62
09/08/2023,$79.83,953921,$80.49,$81.03,$79.43
09/07/2023,$80.66,629882,$80.92,$81.4899,$80.08
09/06/2023,$81.66,1292897,$80.21,$81.87,$80.105
09/05/2023,$80.18,1426831,$80.72,$81.05,$79.81
09/01/2023,$81.13,1217400,$82.06,$82.32,$80.97
08/31/2023,$81.22,1109646,$82.25,$82.75,$81.16
08/30/2023,$82.12,932108,$81.58,$82.67,$81.58
08/29/2023,$81.56,942736,$79.69,$81.71,$79.69
08/28/2023,$79.69,706399,$79.36,$80.455,$78.98
08/25/2023,$78.99,522010,$78.57,$79.15,$77.85
08/24/2023,$78.09,793696,$78.48,$79.2798,$78.09
08/23/2023,$78.15,1165440,$76.69,$78.485,$76.05
08/22/2023,$76.23,1546434,$77.03,$77.26,$76.025
08/21/2023,$77.02,1060258,$77.44,$77.58,$76.2935
08/18/2023,$77.25,653450,$76.79,$77.72,$76.30
08/17/2023,$77.22,1236756,$79.60,$79.61,$77.16
08/16/2023,$79.13,1219717,$78.43,$79.54,$78.25
08/15/2023,$78.89,1133644,$78.69,$79.29,$78.48
08/14/2023,$79.39,683285,$78.40,$79.55,$78.11
08/11/2023,$78.51,1311693,$78.47,$78.97,$77.62
08/10/2023,$78.61,1298929,$77.67,$79.60,$77.53
08/09/2023,$77.32,942099,$78.06,$78.195,$77.25
08/08/2023,$77.81,1016637,$78.10,$78.46,$76.94
08/07/2023,$78.58,1056832,$78.14,$78.76,$77.92
08/04/2023,$78.16,945753,$78.66,$79.26,$77.79
08/03/2023,$78.51,1176236,$78.61,$78.67,$77.51
08/02/2023,$79.50,1470281,$78.72,$79.58,$78.25
08/01/2023,$79.51,770066,$79.40,$79.73,$78.77
07/31/2023,$79.69,589068,$79.46,$79.925,$79.17
07/28/2023,$79.26,882427,$80.28,$80.56,$78.98
07/27/2023,$79.42,1258724,$81.99,$81.995,$78.73
07/26/2023,$81.47,1974960,$81.41,$82.267,$80.29
07/25/2023,$81.29,2976768,$79.61,$82.08,$78.99
07/24/2023,$78.97,2358203,$80.31,$80.89,$78.87
07/21/2023,$80.31,1372765,$80.26,$80.63,$79.40
07/20/2023,$79.94,2325947,$79.24,$80.11,$78.08
07/19/2023,$81.00,1452602,$81.10,$81.80,$80.73
07/18/2023,$80.70,1312336,$79.94,$80.90,$79.00
07/17/2023,$79.94,826184,$79.42,$80.18,$79.20
07/14/2023,$79.42,958474,$79.73,$79.835,$78.82
07/13/2023,$79.49,786200,$79.97,$80.37,$79.32
07/12/2023,$79.61,1258675,$80.57,$80.82,$79.165
07/11/2023,$78.95,955732,$78.08,$79.17,$77.50
07/10/2023,$77.59,913146,$76.40,$77.91,$76.12
07/07/2023,$76.48,929805,$75.54,$76.87,$75.15
07/06/2023,$75.97,960070,$76.22,$76.48,$75.16
07/05/2023,$77.13,942453,$76.85,$77.70,$75.93
07/03/2023,$77.58,601462,$78.00,$78.065,$76.87
06/30/2023,$78.33,1786785,$78.16,$78.97,$77.8601
06/29/2023,$77.51,2050054,$76.14,$81.59,$75.86
06/28/2023,$76.35,1200505,$76.17,$76.68,$75.64
06/27/2023,$76.41,1222289,$75.76,$76.67,$74.96
06/26/2023,$74.88,939963,$74.20,$75.447,$74.02
06/23/2023,$74.22,3504557,$73.46,$74.63,$73.00
06/22/2023,$74.22,3885806,$73.66,$74.48,$73.00
06/21/2023,$73.99,1319883,$73.975,$74.28,$72.87
06/20/2023,$74.81,1141307,$74.84,$75.59,$74.23
06/16/2023,$75.47,2190130,$76.52,$76.92,$75.22
06/15/2023,$76.08,1732874,$74.39,$76.57,$74.19
06/14/2023,$75.51,2052233,$75.57,$76.245,$75.20
06/13/2023,$75.44,2241931,$74.68,$75.525,$74.46
06/12/2023,$74.49,2743242,$73.92,$74.68,$73.34
06/09/2023,$73.30,1574268,$73.56,$74.07,$73.03
06/08/2023,$73.65,1546418,$74.08,$74.40,$73.0155
06/07/2023,$74.39,1364633,$75.15,$75.24,$74.08
06/06/2023,$74.82,2511800,$73.13,$75.04,$72.755
06/05/2023,$73.14,1834104,$73.89,$74.13,$72.85
06/02/2023,$74.46,1706424,$73.05,$74.63,$72.28
06/01/2023,$72.81,1896469,$72.68,$73.39,$72.27
05/31/2023,$71.98,2336414,$72.06,$72.75,$70.7852
05/30/2023,$72.76,1196496,$73.10,$73.70,$72.18
05/26/2023,$72.40,1063844,$71.30,$72.45,$70.80
05/25/2023,$70.94,1396990,$71.94,$72.10,$70.35
05/24/2023,$71.66,1393678,$71.48,$72.11,$70.58
05/23/2023,$72.10,2089838,$71.94,$72.98,$71.78
05/22/2023,$72.31,3791378,$70.51,$72.89,$69.845
05/19/2023,$70.65,1337025,$71.17,$71.37,$69.69
05/18/2023,$70.83,2071622,$69.59,$71.40,$69.48
05/17/2023,$69.51,1336059,$68.98,$69.885,$68.11
05/16/2023,$68.46,2030661,$67.52,$68.63,$67.52
05/15/2023,$68.77,1368696,$66.77,$68.77,$66.695
05/12/2023,$66.90,1438538,$66.92,$67.75,$66.23
05/11/2023,$66.62,1691508,$65.74,$66.695,$64.755
05/10/2023,$65.99,1378711,$66.16,$66.40,$65.03
05/09/2023,$64.93,1102014,$64.69,$65.22,$64.32
05/08/2023,$65.22,886471,$64.75,$65.51,$64.51
05/05/2023,$64.69,962004,$64.07,$64.95,$64.04
05/04/2023,$63.55,1124298,$64.39,$65.12,$63.53
05/03/2023,$65.47,1443378,$67.10,$67.78,$65.42
05/02/2023,$66.52,1326891,$67.97,$67.97,$65.37
05/01/2023,$68.31,1541840,$68.80,$69.05,$67.64
