Date,Close/Last,Volume,Open,High,Low
01/05/2024,$54.92,3627907,$53.96,$55.29,$53.86
01/04/2024,$54.16,2426301,$54.67,$54.88,$53.92
01/03/2024,$54.61,2804581,$55.53,$55.70,$54.595
01/02/2024,$55.53,3122901,$53.61,$56.165,$53.503
12/29/2023,$53.75,2000812,$53.50,$54.10,$53.37
12/28/2023,$53.67,2129432,$52.73,$53.75,$52.65
12/27/2023,$52.82,1909389,$52.35,$52.93,$52.2115
12/26/2023,$52.43,2417661,$51.71,$52.53,$51.71
12/22/2023,$51.94,1946796,$51.66,$52.41,$51.58
12/21/2023,$51.66,1597548,$51.31,$51.82,$50.97
12/20/2023,$51.16,2484180,$51.65,$52.03,$51.13
12/19/2023,$51.77,1781535,$51.66,$51.87,$51.495
12/18/2023,$51.71,3129987,$51.80,$52.49,$51.29
12/15/2023,$51.81,5916307,$52.27,$52.45,$51.0775
12/14/2023,$52.33,3536871,$52.64,$53.49,$52.21
12/13/2023,$52.29,2972179,$50.20,$52.47,$49.97
12/12/2023,$50.17,2807359,$51.07,$51.16,$50.095
12/11/2023,$51.24,2743340,$51.27,$51.46,$51.095
12/08/2023,$51.38,2986122,$51.64,$51.69,$51.18
12/07/2023,$51.54,4361382,$50.35,$52.185,$49.92
12/06/2023,$50.19,3342002,$49.85,$50.35,$49.43
12/05/2023,$49.94,2557330,$49.66,$50.11,$49.428
12/04/2023,$49.82,3081037,$48.00,$49.98,$47.92
12/01/2023,$48.20,2506970,$46.78,$48.305,$46.78
11/30/2023,$46.84,2765635,$47.03,$47.34,$46.51
11/29/2023,$47.09,3071063,$47.90,$47.97,$46.971
11/28/2023,$47.99,2501985,$47.50,$48.155,$47.10
11/27/2023,$47.59,1822004,$48.37,$48.50,$47.57
11/24/2023,$48.30,1687621,$47.53,$48.64,$47.53
11/22/2023,$48.01,1744239,$48.32,$48.42,$47.77
11/21/2023,$47.98,2561235,$48.20,$48.32,$47.40
11/20/2023,$48.41,2062609,$48.45,$48.61,$48.021
11/17/2023,$48.74,2364570,$48.66,$48.81,$47.865
11/16/2023,$48.33,2737282,$48.18,$48.64,$47.67
11/15/2023,$48.31,3009837,$47.82,$48.408,$47.43
11/14/2023,$47.74,3877244,$45.75,$47.90,$45.3811
11/13/2023,$45.62,8059924,$46.00,$48.99,$45.13
11/10/2023,$46.95,3048309,$46.70,$47.05,$46.22
11/09/2023,$46.40,3154183,$46.61,$46.96,$46.155
11/08/2023,$46.34,4331451,$46.87,$47.03,$46.00
11/07/2023,$46.72,2332976,$46.58,$47.2016,$46.43
11/06/2023,$46.58,3038072,$46.55,$46.965,$46.25
11/03/2023,$47.06,2701132,$47.99,$48.27,$46.93
11/02/2023,$47.56,2362368,$46.83,$47.63,$46.6343
11/01/2023,$46.47,2980994,$46.50,$46.66,$45.99
10/31/2023,$46.35,2370335,$46.44,$46.54,$46.05
10/30/2023,$46.27,1945956,$45.99,$46.44,$45.66
10/27/2023,$45.62,1507998,$45.75,$46.19,$45.36
10/26/2023,$45.92,1952407,$45.51,$46.39,$45.46
10/25/2023,$45.37,2242665,$45.32,$45.62,$45.08
10/24/2023,$45.47,2057765,$45.21,$45.74,$45.15
10/23/2023,$45.17,3177868,$46.12,$46.26,$44.94
10/20/2023,$46.29,1707098,$46.71,$46.98,$46.25
10/19/2023,$46.59,2618021,$46.87,$47.30,$46.57
10/18/2023,$46.93,2705386,$47.05,$47.61,$46.735
10/17/2023,$47.20,1646125,$47.00,$47.67,$46.83
10/16/2023,$47.37,1957291,$46.77,$47.58,$46.27
10/13/2023,$46.52,2743768,$47.29,$47.36,$46.16
10/12/2023,$47.11,2071538,$48.21,$48.24,$46.79
10/11/2023,$48.21,1743790,$48.46,$48.76,$47.82
10/10/2023,$48.35,2393419,$47.67,$48.605,$47.655
10/09/2023,$47.22,2275928,$47.27,$47.48,$46.40
10/06/2023,$47.43,2912223,$47.90,$48.00,$46.51
10/05/2023,$48.17,2300522,$48.37,$48.86,$48.15
10/04/2023,$48.35,3053650,$48.76,$49.04,$47.76
10/03/2023,$49.08,2214702,$49.00,$49.40,$48.84
10/02/2023,$49.24,2820181,$50.25,$50.25,$48.64
09/29/2023,$50.49,2321273,$50.11,$50.86,$49.975
09/28/2023,$49.93,2244051,$50.26,$50.46,$49.40
09/27/2023,$50.11,2342067,$51.36,$51.39,$50.08
09/26/2023,$51.27,2255399,$50.12,$51.38,$50.12
09/25/2023,$50.62,2442018,$50.80,$51.07,$50.2199
09/22/2023,$51.12,3405878,$52.28,$52.43,$50.98
09/21/2023,$53.05,2487304,$53.31,$53.404,$52.82
09/20/2023,$53.32,2595413,$54.17,$54.2124,$53.08
09/19/2023,$53.82,1878224,$53.94,$54.09,$53.71
09/18/2023,$53.90,1548096,$54.76,$54.76,$53.69
09/15/2023,$54.54,3967813,$53.86,$55.31,$53.75
09/14/2023,$53.96,2870808,$53.08,$54.015,$53.07
09/13/2023,$52.84,2019380,$53.08,$53.08,$52.16
09/12/2023,$52.89,1751003,$52.83,$53.185,$52.54
09/11/2023,$52.56,2908802,$52.06,$52.885,$52.06
09/08/2023,$52.05,2061668,$51.37,$52.09,$51.27
09/07/2023,$51.33,4957764,$51.51,$51.89,$50.92
09/06/2023,$51.52,3876165,$51.97,$52.26,$51.23
09/05/2023,$52.15,2545040,$52.50,$52.60,$51.96
09/01/2023,$52.59,4751011,$53.33,$53.74,$52.38
08/31/2023,$53.27,2616701,$53.69,$53.915,$53.16
08/30/2023,$54.37,2367604,$54.71,$54.73,$54.21
08/29/2023,$54.67,1471446,$54.55,$54.7512,$54.16
08/28/2023,$54.29,1474369,$54.33,$54.80,$54.10
08/25/2023,$54.01,1851084,$54.35,$54.56,$53.90
08/24/2023,$54.18,2113652,$53.63,$54.42,$53.55
08/23/2023,$53.47,1878087,$54.08,$54.17,$53.1277
08/22/2023,$54.04,1915681,$54.69,$55.10,$54.04
08/21/2023,$54.81,2358449,$54.64,$55.00,$54.20
08/18/2023,$54.63,7036595,$54.02,$55.11,$53.8627
08/17/2023,$54.10,2541463,$53.51,$54.68,$53.283
08/16/2023,$53.40,1842300,$53.60,$53.76,$53.27
08/15/2023,$53.73,2210345,$53.99,$53.99,$53.40
08/14/2023,$54.41,2620953,$55.15,$55.2645,$54.29
08/11/2023,$55.24,2315822,$53.69,$55.24,$53.65
08/10/2023,$53.75,2424574,$53.90,$54.81,$53.73
08/09/2023,$53.82,2751057,$55.13,$55.13,$53.77
08/08/2023,$55.05,4331770,$53.88,$55.12,$53.1801
08/07/2023,$54.30,10321070,$50.88,$54.37,$50.10
08/04/2023,$56.46,3901809,$56.54,$57.145,$56.36
08/03/2023,$56.27,3208383,$55.31,$56.655,$55.13
08/02/2023,$55.41,2419771,$55.00,$55.91,$54.80
08/01/2023,$55.32,2510664,$55.72,$55.895,$55.21
07/31/2023,$55.72,6103152,$56.395,$56.60,$55.44
07/28/2023,$56.35,3836592,$55.54,$56.44,$55.47
07/27/2023,$55.41,4581678,$55.40,$55.71,$54.92
07/26/2023,$55.04,2983778,$54.29,$55.37,$54.21
07/25/2023,$54.23,2591673,$53.66,$54.265,$53.44
07/24/2023,$53.47,2670729,$52.83,$53.71,$52.77
07/21/2023,$52.66,1957859,$52.70,$52.9298,$52.355
07/20/2023,$52.50,2332736,$52.63,$52.63,$52.115
07/19/2023,$52.27,3404048,$51.99,$52.7285,$51.92
07/18/2023,$51.49,2361754,$51.96,$52.48,$51.19
07/17/2023,$51.88,2230876,$52.00,$52.19,$51.40
07/14/2023,$52.33,1993641,$52.91,$52.91,$52.21
07/13/2023,$52.97,2403155,$52.20,$53.155,$52.20
07/12/2023,$52.18,2507187,$52.07,$52.30,$51.5001
07/11/2023,$51.67,2670286,$51.19,$51.68,$51.08
07/10/2023,$50.90,3325297,$51.73,$51.86,$50.71
07/07/2023,$51.76,3355796,$51.97,$52.44,$51.505
07/06/2023,$52.10,3379140,$51.39,$52.445,$51.09
07/05/2023,$51.88,2756248,$51.51,$52.11,$51.28
07/03/2023,$51.81,1491832,$51.39,$52.17,$51.20
06/30/2023,$51.04,2366004,$50.82,$51.21,$50.28
06/29/2023,$50.69,3183055,$49.86,$50.88,$49.75
06/28/2023,$49.83,3897889,$49.71,$49.915,$49.18
06/27/2023,$49.96,2520789,$50.31,$50.69,$49.94
06/26/2023,$50.23,2209162,$49.40,$50.29,$49.365
06/23/2023,$49.50,3336092,$50.35,$50.3746,$49.32
06/22/2023,$50.41,2690079,$50.75,$50.83,$49.95
06/21/2023,$50.47,3409518,$49.69,$50.585,$49.33
06/20/2023,$49.83,2918358,$50.31,$50.326,$49.75
06/16/2023,$50.39,4116891,$50.36,$50.49,$49.955
06/15/2023,$50.21,3062537,$49.76,$50.4436,$49.65
06/14/2023,$49.76,3423729,$50.61,$50.75,$49.75
06/13/2023,$50.26,3386308,$50.58,$51.08,$50.175
06/12/2023,$50.65,2576448,$50.54,$50.985,$50.30
06/09/2023,$50.37,2534917,$50.65,$50.695,$50.16
06/08/2023,$50.86,2542254,$51.07,$51.21,$50.20
06/07/2023,$51.33,3303792,$50.26,$51.545,$50.04
06/06/2023,$50.44,2432391,$50.43,$50.795,$49.96
06/05/2023,$50.51,2634250,$51.34,$51.5542,$50.265
06/02/2023,$51.34,4291609,$50.90,$51.75,$50.54
06/01/2023,$50.61,3327905,$51.12,$51.12,$50.39
05/31/2023,$50.64,6173767,$51.87,$51.98,$50.50
05/30/2023,$52.38,3570607,$51.91,$52.50,$51.30
05/26/2023,$52.01,3318641,$51.75,$52.1399,$51.49
05/25/2023,$51.76,3690257,$51.58,$51.99,$51.26
05/24/2023,$51.77,3686047,$51.76,$52.03,$50.74
05/23/2023,$51.67,3718854,$50.30,$51.96,$50.23
05/22/2023,$50.11,3001274,$50.00,$50.39,$49.79
05/19/2023,$49.96,5735107,$50.00,$50.5234,$49.70
05/18/2023,$49.97,3395538,$49.84,$50.305,$49.505
05/17/2023,$50.12,3603941,$49.12,$50.145,$48.93
05/16/2023,$49.20,4047735,$49.27,$49.45,$48.66
05/15/2023,$49.47,4676318,$49.46,$50.11,$49.22
05/12/2023,$48.87,5088903,$49.20,$49.50,$48.34
05/11/2023,$49.34,7014121,$47.76,$49.3886,$47.48
05/10/2023,$47.28,8769971,$49.00,$49.3495,$47.11
