Date,Close/Last,Volume,Open,High,Low
01/05/2024,$68.22,817001,$68.45,$68.77,$68.08
01/04/2024,$68.05,1311325,$68.78,$68.92,$67.96
01/03/2024,$67.61,1238081,$67.25,$67.99,$66.88
01/02/2024,$67.57,1173073,$67.71,$68.135,$67.48
12/29/2023,$67.38,574863,$67.56,$67.62,$67.2128
12/28/2023,$66.92,1017949,$67.63,$67.82,$66.92
12/27/2023,$69.16,934394,$69.30,$69.63,$68.96
12/26/2023,$68.95,504691,$68.39,$69.26,$68.39
12/22/2023,$68.46,879311,$68.88,$68.9867,$68.39
12/21/2023,$68.40,801118,$67.79,$68.40,$67.69
12/20/2023,$67.20,838455,$67.98,$68.26,$67.20
12/19/2023,$67.90,947836,$67.81,$68.04,$67.72
12/18/2023,$67.73,1061894,$68.27,$68.52,$67.65
12/15/2023,$66.93,2597563,$67.91,$67.97,$66.73
12/14/2023,$67.74,1099649,$67.20,$67.88,$67.16
12/13/2023,$67.06,896006,$66.41,$67.09,$66.00
12/12/2023,$66.32,1785280,$66.17,$66.58,$65.98
12/11/2023,$66.53,775643,$66.57,$66.8395,$66.31
12/08/2023,$66.57,893672,$65.94,$66.68,$65.89
12/07/2023,$65.51,1268371,$65.37,$65.58,$65.12
12/06/2023,$64.84,1835267,$65.90,$66.01,$64.78
12/05/2023,$65.33,1750458,$66.49,$66.60,$65.33
12/04/2023,$66.22,1774717,$66.20,$66.63,$66.04
12/01/2023,$67.37,1342924,$67.49,$68.04,$67.19
11/30/2023,$68.05,941068,$68.49,$68.95,$67.69
11/29/2023,$67.86,1136880,$68.08,$68.31,$67.55
11/28/2023,$68.97,961175,$69.24,$69.51,$68.96
11/27/2023,$68.70,978980,$69.25,$69.30,$68.53
11/24/2023,$68.78,560240,$68.98,$69.35,$68.73
11/22/2023,$68.09,1379055,$66.64,$68.17,$66.462
11/21/2023,$68.95,1293962,$68.92,$69.06,$68.62
11/20/2023,$68.61,1340204,$68.35,$68.99,$68.20
11/17/2023,$67.41,1175893,$67.15,$67.68,$67.105
11/16/2023,$66.43,1302137,$66.50,$66.60,$65.85
11/15/2023,$67.35,1207089,$67.73,$68.07,$67.29
11/14/2023,$67.76,1241909,$67.44,$68.03,$67.42
11/13/2023,$67.13,875415,$66.74,$67.26,$66.6562
11/10/2023,$66.58,2098778,$66.54,$66.64,$65.73
11/09/2023,$65.04,1397139,$65.11,$65.63,$65.04
11/08/2023,$64.65,1387904,$65.65,$65.71,$64.501
11/07/2023,$65.49,1202604,$65.92,$65.94,$65.27
11/06/2023,$66.95,1329780,$67.59,$67.59,$66.87
11/03/2023,$66.45,2026650,$67.28,$67.31,$66.05
11/02/2023,$68.64,1211128,$67.93,$68.83,$67.80
11/01/2023,$67.05,1582246,$67.19,$67.74,$66.85
10/31/2023,$66.60,2096610,$66.71,$67.28,$66.37
10/30/2023,$66.95,1738489,$67.18,$67.46,$66.67
