Date,Close/Last,Volume,Open,High,Low
10/23/2023,$83.21,1108432,$81.54,$84.455,$81.405
10/20/2023,$81.39,793462,$82.37,$82.85,$81.345
10/19/2023,$82.47,1010391,$82.74,$83.17,$81.86
10/18/2023,$83.01,837011,$83.94,$84.70,$82.98
10/17/2023,$84.18,948515,$83.20,$84.71,$83.01
10/16/2023,$83.46,462136,$83.50,$84.765,$83.24
10/13/2023,$83.17,970446,$83.32,$84.35,$83.00
10/12/2023,$83.25,740244,$83.70,$83.92,$82.8601
10/11/2023,$83.14,573595,$83.38,$84.01,$82.93
10/10/2023,$83.20,609469,$83.41,$84.225,$82.855
10/09/2023,$83.17,609174,$83.42,$84.455,$83.09
10/06/2023,$83.69,893840,$81.78,$84.1075,$81.675
10/05/2023,$82.13,1208779,$81.74,$82.26,$80.61
10/04/2023,$81.08,1052631,$79.85,$81.39,$79.23
10/03/2023,$79.82,906518,$80.61,$83.12,$79.67
10/02/2023,$80.00,1054702,$80.11,$80.23,$78.75
09/29/2023,$80.20,1024179,$81.04,$81.42,$79.80
09/28/2023,$80.58,732056,$80.21,$81.215,$79.78
09/27/2023,$79.98,1020449,$80.63,$80.93,$79.934
09/26/2023,$80.63,612753,$80.74,$81.46,$80.20
09/25/2023,$81.23,698924,$81.58,$81.87,$80.895
09/22/2023,$81.79,953474,$82.43,$82.73,$81.28
09/21/2023,$82.16,815017,$83.70,$84.01,$82.00
09/20/2023,$84.22,918282,$83.60,$84.86,$82.845
09/19/2023,$83.56,619207,$84.14,$84.345,$83.39
09/18/2023,$84.03,684189,$83.03,$84.36,$82.96
09/15/2023,$83.27,1998911,$84.55,$84.61,$82.54
09/14/2023,$84.65,976276,$84.60,$84.75,$83.88
09/13/2023,$84.51,537886,$85.67,$85.97,$84.38
09/12/2023,$85.86,418788,$86.39,$86.905,$85.61
09/11/2023,$86.39,508364,$86.23,$87.03,$86.00
09/08/2023,$86.22,566782,$85.52,$86.29,$84.69
09/07/2023,$85.53,1012793,$84.89,$85.53,$84.48
09/06/2023,$84.52,1119237,$85.50,$85.75,$83.97
09/05/2023,$85.29,878910,$85.28,$86.29,$85.16
09/01/2023,$86.00,1296393,$86.63,$86.98,$85.37
08/31/2023,$86.43,929101,$86.77,$86.84,$86.03
08/30/2023,$86.60,616061,$86.14,$87.08,$86.00
08/29/2023,$86.01,741936,$85.54,$86.6699,$85.23
08/28/2023,$85.53,1054936,$85.41,$85.95,$84.89
08/25/2023,$85.30,621736,$85.58,$86.33,$84.529
08/24/2023,$85.58,1033295,$85.32,$87.53,$85.17
08/23/2023,$85.41,969375,$84.80,$85.5975,$84.69
08/22/2023,$84.87,589652,$84.23,$85.13,$84.10
08/21/2023,$84.28,683567,$83.07,$84.88,$82.935
08/18/2023,$83.29,508721,$82.01,$83.53,$82.01
08/17/2023,$82.75,925245,$83.11,$83.35,$81.40
08/16/2023,$83.05,1343516,$80.50,$83.17,$80.50
08/15/2023,$81.01,689713,$81.88,$82.31,$80.94
08/14/2023,$82.02,651603,$81.60,$82.76,$81.53
08/11/2023,$81.67,446980,$80.80,$81.79,$80.63
