Date,Close/Last,Volume,Open,High,Low
01/05/2024,$33.98,720058,$32.85,$34.16,$32.21
01/04/2024,$33.56,880862,$32.49,$33.89,$32.27
01/03/2024,$32.53,1284380,$33.52,$33.52,$32.09
01/02/2024,$34.64,1687867,$35.82,$37.15,$33.74
12/29/2023,$36.86,979016,$38.24,$38.31,$36.32
12/28/2023,$38.18,836345,$38.32,$38.75,$37.5101
12/27/2023,$38.24,728811,$39.24,$39.74,$37.81
12/26/2023,$38.61,2179068,$37.52,$39.16,$37.035
12/22/2023,$36.76,896015,$36.96,$37.41,$35.9001
12/21/2023,$36.17,866912,$36.48,$36.80,$35.34
12/20/2023,$35.07,2029725,$38.42,$39.57,$34.97
12/19/2023,$38.33,2064142,$35.13,$38.68,$35.04
12/18/2023,$34.56,1644773,$34.82,$35.7499,$34.25
12/15/2023,$34.61,3862485,$35.12,$35.38,$33.54
12/14/2023,$35.12,4055814,$32.11,$35.63,$32.11
12/13/2023,$31.21,1804315,$28.23,$31.31,$27.43
12/12/2023,$28.25,1372163,$27.95,$28.96,$27.1897
12/11/2023,$27.90,1628166,$27.00,$28.147,$26.5101
12/08/2023,$26.98,1560568,$25.96,$27.17,$24.8101
12/07/2023,$26.41,1294047,$26.10,$27.14,$25.80
12/06/2023,$26.00,1231997,$25.21,$26.40,$24.60
12/05/2023,$24.67,846943,$25.13,$25.26,$24.25
12/04/2023,$25.59,1099295,$24.44,$25.735,$24.15
12/01/2023,$24.78,1448380,$23.82,$25.06,$23.25
11/30/2023,$24.05,921971,$25.00,$25.12,$23.86
11/29/2023,$24.51,1740861,$24.29,$25.6099,$24.01
11/28/2023,$24.02,724216,$23.70,$24.51,$23.07
11/27/2023,$24.07,794004,$24.35,$24.76,$23.3801
11/24/2023,$24.485,378247,$23.86,$24.59,$23.40
11/22/2023,$23.81,919968,$24.15,$24.775,$23.66
11/21/2023,$23.71,951726,$24.66,$24.885,$23.48
11/20/2023,$24.74,1489388,$24.88,$25.78,$23.00
11/17/2023,$24.01,4295804,$20.60,$24.88,$20.59
11/16/2023,$19.07,1391220,$19.77,$19.81,$18.80
11/15/2023,$19.90,1007769,$19.67,$21.305,$19.62
11/14/2023,$19.67,1534106,$19.05,$19.92,$18.59
11/13/2023,$17.26,738202,$16.52,$17.27,$15.99
11/10/2023,$16.87,1063019,$16.62,$17.01,$15.85
11/09/2023,$16.59,895145,$17.68,$17.95,$16.47
11/08/2023,$17.40,747102,$18.24,$18.24,$17.30
11/07/2023,$18.24,837482,$17.69,$18.27,$17.20
11/06/2023,$17.72,913309,$18.58,$18.699,$17.45
11/03/2023,$18.66,1236816,$17.88,$19.55,$17.88
11/02/2023,$17.31,960940,$16.24,$17.53,$15.79
11/01/2023,$15.62,847448,$15.71,$15.77,$15.1132
10/31/2023,$15.76,903813,$15.28,$15.925,$15.155
10/30/2023,$15.08,1792626,$15.35,$15.51,$14.42
10/27/2023,$15.11,708867,$15.84,$15.84,$14.96
10/26/2023,$15.59,872809,$15.59,$15.77,$15.03
10/25/2023,$15.32,1051626,$16.05,$16.05,$14.92
10/24/2023,$16.58,606331,$16.09,$16.86,$15.96
