Date,Close/Last,Volume,Open,High,Low
01/05/2024,$40.69,157223,$41.19,$41.79,$40.68
01/04/2024,$41.50,89751,$41.17,$41.60,$41.07
01/03/2024,$41.25,87806,$41.00,$41.76,$40.8596
01/02/2024,$41.63,87163,$42.19,$42.225,$41.40
12/29/2023,$42.47,82474,$42.33,$42.66,$42.215
12/28/2023,$42.66,82491,$43.20,$43.2062,$42.50
12/27/2023,$43.23,147281,$43.00,$43.45,$42.89
12/26/2023,$43.02,106830,$42.80,$43.3499,$42.76
12/22/2023,$42.71,167043,$43.00,$43.49,$42.66
12/21/2023,$42.81,66469,$43.26,$43.29,$42.55
12/20/2023,$42.66,132137,$43.36,$43.49,$42.65
12/19/2023,$43.37,242307,$42.80,$43.49,$42.80
12/18/2023,$42.80,256278,$42.49,$43.33,$42.49
12/15/2023,$41.10,175191,$41.30,$41.53,$40.79
12/14/2023,$41.34,405199,$40.75,$42.46,$40.69
12/13/2023,$40.14,214154,$38.45,$40.25,$38.26
12/12/2023,$38.71,84664,$38.98,$38.98,$38.40
12/11/2023,$38.98,69841,$38.88,$39.18,$38.6601
12/08/2023,$39.12,116432,$38.80,$39.52,$38.70
12/07/2023,$38.88,178920,$38.59,$39.00,$38.36
12/06/2023,$38.53,103888,$38.79,$39.24,$38.3983
12/05/2023,$38.50,187397,$39.47,$39.59,$38.26
12/04/2023,$39.74,115531,$39.92,$40.20,$39.73
12/01/2023,$40.34,305258,$39.69,$40.40,$39.64
11/30/2023,$39.53,305554,$40.33,$40.33,$39.41
11/29/2023,$40.36,244735,$41.18,$41.21,$39.95
11/28/2023,$40.95,275430,$40.15,$41.24,$39.98
11/27/2023,$40.10,328442,$39.22,$40.16,$38.79
11/24/2023,$39.18,103623,$38.91,$39.28,$38.84
11/22/2023,$38.71,167396,$38.28,$38.9199,$38.17
11/21/2023,$38.09,226371,$38.21,$38.79,$38.09
11/20/2023,$38.45,306247,$38.09,$39.50,$38.05
11/17/2023,$36.81,106103,$36.85,$36.94,$36.46
11/16/2023,$36.57,134139,$35.99,$36.63,$35.83
11/15/2023,$36.27,94345,$36.25,$36.80,$36.04
11/14/2023,$36.10,202014,$36.17,$36.66,$35.62
11/13/2023,$35.28,92974,$35.68,$35.69,$35.28
11/10/2023,$35.84,166715,$35.26,$35.895,$35.25
11/09/2023,$36.16,335282,$36.85,$37.06,$36.15
11/08/2023,$36.49,138389,$36.69,$36.95,$36.26
11/07/2023,$36.69,155113,$36.72,$36.925,$36.50
11/06/2023,$37.18,297281,$36.92,$37.32,$36.65
11/03/2023,$36.61,241641,$37.24,$37.255,$36.5587
11/02/2023,$36.60,347666,$36.91,$37.3264,$36.49
11/01/2023,$36.38,360517,$38.00,$38.00,$35.22
10/31/2023,$37.49,206627,$37.63,$37.95,$37.24
10/30/2023,$37.71,141138,$37.89,$38.085,$37.46
10/27/2023,$37.68,300657,$38.06,$38.12,$37.41
10/26/2023,$37.90,142041,$37.64,$38.10,$37.60
10/25/2023,$37.72,133822,$37.45,$37.91,$37.36
10/24/2023,$37.57,103679,$37.62,$37.97,$37.40
10/23/2023,$37.31,114825,$37.13,$37.78,$36.99
10/20/2023,$37.38,148861,$37.93,$38.20,$37.21
10/19/2023,$37.92,232460,$37.77,$38.27,$37.59
10/18/2023,$37.80,158847,$38.51,$38.51,$37.51
10/17/2023,$38.91,154628,$37.58,$38.97,$37.58
10/16/2023,$38.01,92830,$37.64,$38.18,$37.505
