Date,Close/Last,Volume,Open,High,Low
10/20/2023,$35.09,11967020,$35.77,$35.9776,$35.07
10/19/2023,$36.03,14628590,$36.09,$37.1625,$35.9101
10/18/2023,$36.24,34214050,$38.08,$38.63,$36.14
10/17/2023,$40.12,11983170,$39.45,$40.44,$39.38
10/16/2023,$39.53,6678648,$39.12,$39.835,$38.75
10/13/2023,$38.72,8262214,$39.47,$39.833,$38.55
10/12/2023,$39.82,9377086,$41.67,$41.67,$39.52
10/11/2023,$41.00,6218556,$40.40,$41.14,$40.27
10/10/2023,$40.39,6497610,$40.40,$41.3536,$40.29
10/09/2023,$39.78,11089390,$40.73,$40.78,$39.04
10/06/2023,$41.82,6348743,$41.27,$42.48,$40.96
10/05/2023,$41.32,6480467,$41.88,$42.13,$41.125
10/04/2023,$41.41,7731085,$40.90,$41.71,$40.40
10/03/2023,$40.53,7045864,$41.48,$41.55,$40.35
10/02/2023,$41.62,6398867,$42.32,$42.60,$41.44
09/29/2023,$42.30,6662702,$42.57,$42.985,$41.845
09/28/2023,$42.31,6091895,$42.00,$43.075,$41.74
09/27/2023,$42.03,5258048,$42.80,$42.87,$41.62
09/26/2023,$42.65,5139203,$42.70,$43.38,$42.51
09/25/2023,$42.93,5129362,$42.75,$43.075,$42.1413
09/22/2023,$43.07,5096794,$43.39,$43.7143,$42.90
09/21/2023,$43.69,6045128,$44.01,$44.50,$43.57
09/20/2023,$44.36,4419035,$45.50,$45.75,$44.315
09/19/2023,$45.24,4192925,$44.45,$45.30,$44.39
09/18/2023,$44.63,5493166,$45.35,$45.42,$44.49
09/15/2023,$45.70,5875064,$45.31,$46.45,$45.19
09/14/2023,$45.42,7128889,$46.29,$46.3659,$45.31
09/13/2023,$45.79,9290927,$46.12,$46.77,$45.39
09/12/2023,$47.60,3416361,$47.91,$48.195,$47.33
09/11/2023,$47.69,4113497,$47.60,$47.96,$46.99
09/08/2023,$47.44,4866936,$47.60,$47.98,$47.05
09/07/2023,$47.68,5505317,$48.15,$48.25,$47.49
09/06/2023,$48.34,6623788,$47.90,$49.705,$47.90
09/05/2023,$48.47,12327600,$48.98,$49.33,$47.38
09/01/2023,$49.72,3266655,$50.13,$50.16,$49.12
08/31/2023,$49.81,4160018,$50.52,$50.54,$49.4801
08/30/2023,$50.10,3075006,$50.18,$50.577,$49.93
08/29/2023,$50.28,4165250,$49.305,$50.66,$49.08
08/28/2023,$49.19,4459400,$49.06,$49.84,$48.909
08/25/2023,$48.94,4235921,$49.47,$49.54,$48.515
08/24/2023,$49.40,4674219,$50.04,$50.40,$48.94
08/23/2023,$50.39,4779529,$49.29,$50.63,$48.66
08/22/2023,$49.43,2870708,$49.84,$50.1356,$49.00
08/21/2023,$49.63,3512155,$49.405,$49.73,$48.93
08/18/2023,$49.10,4903325,$48.79,$49.41,$48.55
08/17/2023,$49.53,5527124,$50.63,$50.7097,$49.50
08/16/2023,$50.72,4356847,$51.36,$52.065,$50.61
08/15/2023,$51.34,4262144,$51.80,$51.93,$51.22
08/14/2023,$52.31,3273083,$52.085,$52.54,$51.72
08/11/2023,$52.26,4063298,$52.59,$52.685,$51.82
08/10/2023,$52.95,4642479,$53.47,$53.78,$52.49
08/09/2023,$53.13,5550592,$54.77,$54.91,$52.94
08/08/2023,$54.86,6648852,$53.02,$54.91,$52.95
08/07/2023,$53.68,5672469,$52.98,$53.80,$52.43
08/04/2023,$52.37,4409746,$52.45,$52.59,$51.82
08/03/2023,$52.16,5986729,$52.05,$52.4807,$51.56
08/02/2023,$52.67,4779965,$52.50,$52.935,$52.21
08/01/2023,$53.26,6176941,$53.55,$53.62,$52.26
07/31/2023,$54.31,3808247,$54.24,$54.44,$53.98
07/28/2023,$54.17,6038282,$53.87,$54.69,$53.71
07/27/2023,$53.26,7709997,$53.94,$54.28,$52.82
07/26/2023,$54.57,5921429,$54.30,$54.89,$53.59
07/25/2023,$54.22,12126960,$55.13,$55.16,$53.32
07/24/2023,$56.06,8125173,$57.07,$57.27,$55.69
07/21/2023,$57.61,11419690,$57.24,$58.23,$56.40
07/20/2023,$56.57,22003320,$55.83,$57.56,$54.6501
07/19/2023,$54.80,8730621,$54.58,$55.12,$54.03
07/18/2023,$54.79,5582285,$53.17,$55.01,$53.12
07/17/2023,$53.33,4617079,$53.30,$54.18,$53.16
07/14/2023,$53.34,7548806,$55.39,$55.40,$52.96
07/13/2023,$55.23,8583704,$56.90,$57.45,$55.11
07/12/2023,$55.40,5881333,$56.20,$56.64,$55.00
07/11/2023,$56.18,4397763,$56.20,$56.36,$55.265
07/10/2023,$56.33,4779332,$55.34,$56.49,$55.16
07/07/2023,$55.39,5327284,$54.55,$55.74,$54.48
07/06/2023,$54.42,4938598,$54.87,$55.3099,$54.15
07/05/2023,$55.63,5553163,$54.57,$56.23,$54.25
07/03/2023,$55.06,3219316,$54.49,$55.30,$54.39
06/30/2023,$54.87,10051580,$54.39,$54.96,$53.90
06/29/2023,$53.72,11804310,$56.42,$56.76,$53.61
06/28/2023,$56.30,7064399,$56.22,$56.97,$55.805
06/27/2023,$56.03,10655050,$53.97,$56.44,$53.87
06/26/2023,$53.32,4962711,$52.70,$53.75,$52.50
06/23/2023,$52.65,4091868,$51.96,$52.74,$51.82
06/22/2023,$53.05,3266284,$52.62,$53.27,$52.48
06/21/2023,$52.85,4255062,$52.43,$53.135,$52.11
06/20/2023,$52.70,5198814,$52.80,$53.0591,$52.155
06/16/2023,$53.50,6810498,$53.50,$54.055,$52.985
06/15/2023,$53.58,5878608,$52.84,$53.68,$52.78
06/14/2023,$53.35,6522198,$53.26,$53.83,$52.72
06/13/2023,$53.19,8633861,$51.87,$53.37,$51.67
06/12/2023,$51.31,6492384,$50.91,$52.01,$50.70
06/09/2023,$50.42,5752326,$49.99,$50.90,$49.85
06/08/2023,$49.87,5544842,$49.27,$50.44,$49.26
06/07/2023,$49.39,5180507,$49.07,$49.74,$48.88
06/06/2023,$48.79,3971758,$47.99,$49.121,$47.81
06/05/2023,$48.26,3701066,$48.45,$48.555,$47.635
06/02/2023,$48.50,7858978,$48.03,$48.94,$47.73
06/01/2023,$47.41,4985455,$47.35,$48.29,$47.05
05/31/2023,$47.465,7529977,$48.75,$48.9027,$46.97
05/30/2023,$48.01,5267000,$47.75,$48.64,$47.50
05/26/2023,$47.26,4408370,$47.51,$48.18,$46.93
05/25/2023,$47.48,6113285,$47.21,$47.85,$46.67
05/24/2023,$46.66,7675760,$47.40,$47.43,$45.97
05/23/2023,$47.87,6531977,$47.40,$49.05,$47.20
05/22/2023,$47.41,6024714,$47.74,$48.105,$46.62
05/19/2023,$47.54,5243374,$48.07,$48.21,$46.9001
05/18/2023,$48.13,5947932,$47.73,$48.25,$47.46
05/17/2023,$47.75,13632670,$45.93,$48.375,$45.93
05/16/2023,$45.35,5620030,$44.97,$46.17,$44.57
05/15/2023,$45.20,4431381,$45.21,$45.49,$44.76
05/12/2023,$45.08,4202696,$45.415,$45.63,$44.425
05/11/2023,$45.08,4350942,$45.14,$45.34,$44.60
05/10/2023,$45.52,7466936,$46.95,$47.0445,$44.24
05/09/2023,$46.36,4906887,$45.72,$46.54,$45.2201
05/08/2023,$45.86,6963093,$45.31,$46.24,$45.23
05/05/2023,$44.81,7768186,$43.50,$45.04,$43.21
05/04/2023,$42.92,8970921,$44.35,$44.65,$42.595
05/03/2023,$44.48,6485274,$44.68,$45.27,$43.99
05/02/2023,$44.53,6887911,$44.01,$44.60,$43.07
05/01/2023,$44.41,6253793,$43.66,$44.8399,$43.28
04/28/2023,$43.80,5894015,$42.66,$43.90,$42.40
04/27/2023,$42.83,7015402,$42.61,$43.00,$41.24
04/26/2023,$42.095,5614046,$42.75,$42.9515,$41.7462
04/25/2023,$42.49,6114008,$43.60,$43.6627,$42.41
04/24/2023,$43.93,5935436,$44.62,$44.88,$43.265
04/21/2023,$44.45,5317384,$45.065,$45.065,$44.05
04/20/2023,$44.89,10794700,$45.85,$46.27,$44.515
04/19/2023,$46.27,24080500,$43.605,$46.30,$43.38
04/18/2023,$43.04,10692570,$42.75,$43.27,$42.155
04/17/2023,$42.38,5691526,$41.83,$42.45,$41.58
04/14/2023,$41.67,5998667,$42.18,$42.39,$41.335
04/13/2023,$41.97,12302730,$42.25,$42.25,$41.05
04/12/2023,$41.44,15750790,$43.98,$43.99,$41.0499
04/11/2023,$44.32,7853686,$43.36,$44.44,$42.965
04/10/2023,$43.13,6000330,$42.60,$43.21,$42.285
04/06/2023,$42.66,6306662,$42.29,$42.83,$41.85
04/05/2023,$42.03,8509455,$42.32,$42.60,$41.225
04/04/2023,$42.54,5850281,$43.84,$43.9014,$42.18
04/03/2023,$43.35,7304230,$43.68,$43.76,$42.71
03/31/2023,$44.25,5140438,$44.12,$44.32,$43.725
03/30/2023,$43.71,7338034,$44.01,$45.0584,$43.59
03/29/2023,$43.47,6985509,$42.97,$43.65,$42.67
03/28/2023,$42.41,5068531,$41.76,$42.565,$41.58
03/27/2023,$41.94,6793498,$41.95,$42.29,$41.15
03/24/2023,$41.36,7722645,$41.06,$41.50,$40.43
03/23/2023,$41.66,9530530,$43.07,$43.50,$41.19
03/22/2023,$42.82,6897739,$44.14,$44.32,$42.78
03/21/2023,$44.26,6373630,$44.02,$44.96,$44.02
03/20/2023,$43.09,6787134,$43.25,$43.68,$42.80
03/17/2023,$43.04,9367270,$43.37,$43.87,$42.4026
03/16/2023,$43.59,10612870,$42.65,$43.795,$42.17
03/15/2023,$43.14,16641090,$44.66,$45.0545,$42.34
03/14/2023,$46.21,21019450,$47.46,$47.76,$45.36
03/13/2023,$48.83,11968240,$49.51,$49.80,$48.15
03/10/2023,$50.97,10974960,$53.30,$53.5183,$50.20
03/09/2023,$52.12,6478206,$53.76,$54.60,$51.85
03/08/2023,$54.26,4875698,$54.23,$54.47,$53.565
03/07/2023,$54.01,9884502,$53.18,$55.0401,$52.87
03/06/2023,$52.44,4501585,$53.23,$53.5614,$52.29
03/03/2023,$53.06,6189345,$53.20,$53.86,$52.67
03/02/2023,$52.56,3261566,$51.90,$52.6084,$51.4799
03/01/2023,$52.39,4876098,$51.67,$52.54,$51.52
02/28/2023,$51.96,6279671,$50.60,$52.33,$50.58
02/27/2023,$50.70,4914323,$50.67,$51.52,$50.54
02/24/2023,$50.21,5339952,$49.50,$50.25,$49.07
02/23/2023,$50.58,8536058,$49.48,$51.4499,$49.35
02/22/2023,$48.78,4622138,$48.07,$48.93,$47.7708
02/21/2023,$48.20,5385583,$49.09,$49.39,$47.81
02/17/2023,$49.63,4860517,$48.98,$49.795,$48.3531
02/16/2023,$48.99,5472324,$49.51,$49.72,$48.78
02/15/2023,$49.91,3677739,$49.33,$50.1657,$49.15
02/14/2023,$50.06,6199563,$49.045,$50.2969,$48.85
02/13/2023,$49.19,4356355,$48.87,$49.40,$48.625
02/10/2023,$48.86,6144055,$49.12,$49.35,$48.4001
02/09/2023,$49.82,5215675,$50.98,$51.29,$49.61
02/08/2023,$50.77,7367423,$50.98,$51.30,$49.38
