Date,Close/Last,Volume,Open,High,Low
10/20/2023,$80.87,28271,$81.01,$82.7975,$80.12
10/19/2023,$81.22,44515,$83.32,$83.62,$80.6601
10/18/2023,$82.99,17416,$83.18,$84.35,$82.84
10/17/2023,$83.57,20801,$83.47,$84.21,$83.40
10/16/2023,$83.27,22857,$83.01,$83.7399,$83.01
10/13/2023,$82.87,38056,$83.41,$84.62,$82.64
10/12/2023,$83.28,19371,$82.94,$83.9899,$82.20
10/11/2023,$82.81,24369,$83.01,$84.019,$82.7501
10/10/2023,$83.01,27749,$81.66,$84.3381,$81.66
10/09/2023,$81.90,19376,$80.01,$82.50,$80.01
10/06/2023,$80.56,45037,$81.32,$82.19,$80.32
10/05/2023,$80.96,30775,$80.09,$82.21,$80.07
10/04/2023,$80.09,35169,$80.91,$81.50,$79.65
10/03/2023,$81.22,35542,$82.91,$83.96,$81.14
10/02/2023,$83.26,20011,$81.82,$83.92,$81.82
09/29/2023,$82.61,21425,$83.83,$83.83,$82.26
09/28/2023,$83.20,27882,$83.15,$83.79,$82.43
09/27/2023,$81.67,21898,$82.98,$82.98,$81.30
09/26/2023,$82.53,42287,$81.26,$83.8149,$81.26
09/25/2023,$81.36,19747,$80.00,$81.65,$79.56
09/22/2023,$80.35,30440,$79.24,$80.90,$79.08
09/21/2023,$78.66,35809,$80.55,$81.59,$78.2901
09/20/2023,$80.83,16055,$80.23,$81.92,$80.23
09/19/2023,$80.71,28990,$80.88,$82.00,$80.38
09/18/2023,$80.78,27823,$81.74,$82.66,$80.35
09/15/2023,$81.19,33909,$82.62,$83.29,$81.19
09/14/2023,$82.38,36887,$81.20,$82.39,$81.20
09/13/2023,$80.52,17669,$81.50,$81.50,$80.1901
09/12/2023,$80.54,23875,$80.86,$81.63,$80.20
09/11/2023,$80.58,27717,$80.17,$81.225,$80.00
09/08/2023,$78.68,52285,$78.78,$81.45,$78.18
09/07/2023,$78.49,36564,$76.00,$78.74,$75.885
09/06/2023,$76.27,18248,$77.47,$77.47,$76.19
09/05/2023,$77.11,48370,$76.36,$78.00,$76.36
09/01/2023,$76.65,43680,$74.93,$77.00,$74.93
08/31/2023,$74.81,43216,$74.40,$75.9556,$74.40
08/30/2023,$74.48,55533,$73.17,$76.18,$73.17
08/29/2023,$73.45,66696,$73.80,$74.275,$72.21
08/28/2023,$73.62,137674,$76.80,$77.755,$73.31
08/25/2023,$76.80,53804,$77.97,$78.60,$76.64
08/24/2023,$77.92,40231,$77.10,$78.82,$77.10
08/23/2023,$77.19,60879,$79.00,$79.44,$77.0926
08/22/2023,$79.30,64949,$79.55,$80.64,$79.115
08/21/2023,$79.52,68580,$80.09,$80.47,$78.80
08/18/2023,$79.95,37750,$79.80,$81.81,$79.35
08/17/2023,$80.25,48691,$78.44,$80.97,$78.44
08/16/2023,$77.50,58493,$76.65,$77.88,$76.5394
08/15/2023,$76.74,124607,$78.85,$79.40,$76.28
08/14/2023,$79.03,145547,$82.40,$82.48,$78.75
08/11/2023,$82.41,120692,$84.51,$84.51,$82.38
08/10/2023,$87.93,183403,$90.69,$91.46,$87.59
08/09/2023,$90.52,118879,$91.09,$91.65,$90.26
08/08/2023,$90.85,111508,$91.46,$91.82,$90.1061
08/07/2023,$90.40,150794,$90.00,$91.44,$89.00
08/04/2023,$88.92,100258,$86.74,$89.70,$86.74
08/03/2023,$86.16,71396,$85.00,$86.54,$84.49
08/02/2023,$83.99,145421,$86.12,$87.03,$83.21
08/01/2023,$86.09,268789,$87.53,$88.50,$84.00
07/31/2023,$93.16,151956,$92.33,$94.30,$90.57
07/28/2023,$90.44,94126,$92.25,$92.625,$90.26
07/27/2023,$91.80,110161,$93.90,$94.38,$91.80
07/26/2023,$92.78,110883,$91.84,$93.31,$91.84
07/25/2023,$91.39,100010,$90.98,$92.55,$90.85
07/24/2023,$90.54,109780,$91.89,$91.89,$90.1101
07/21/2023,$90.20,104543,$88.96,$90.90,$88.25
07/20/2023,$88.17,77881,$88.96,$89.2331,$87.755
07/19/2023,$87.84,70273,$87.58,$89.00,$87.26
07/18/2023,$86.66,67101,$85.91,$87.93,$85.711
07/17/2023,$85.61,66469,$85.00,$86.69,$84.80
07/14/2023,$84.76,40685,$85.00,$85.50,$84.28
07/13/2023,$85.08,54523,$86.64,$87.675,$84.85
07/12/2023,$85.95,70682,$86.42,$87.43,$85.73
07/11/2023,$86.11,56612,$86.89,$86.89,$85.54
07/10/2023,$85.30,46564,$84.00,$85.70,$83.85
07/07/2023,$83.75,59401,$81.85,$85.65,$81.85
07/06/2023,$82.43,27160,$82.05,$82.73,$80.51
07/05/2023,$82.40,31005,$82.94,$83.771,$82.00
07/03/2023,$82.94,43219,$82.00,$82.95,$81.0001
06/30/2023,$80.68,33870,$81.20,$81.8826,$80.20
06/29/2023,$81.21,31781,$79.85,$82.00,$79.825
06/28/2023,$79.17,61977,$78.00,$80.99,$78.00
06/27/2023,$77.94,128762,$80.87,$81.25,$77.76
06/26/2023,$81.34,47613,$81.50,$81.7951,$80.30
06/23/2023,$81.56,48106,$80.63,$81.59,$80.41
06/22/2023,$80.90,40287,$81.85,$82.01,$80.63
06/21/2023,$82.30,48542,$82.31,$82.80,$81.77
06/20/2023,$82.46,76376,$83.75,$83.87,$81.26
06/16/2023,$83.75,34098,$83.87,$83.87,$82.75
06/15/2023,$83.38,56899,$82.24,$83.89,$82.03
06/14/2023,$81.86,68711,$81.75,$81.955,$80.11
06/13/2023,$81.00,193523,$86.70,$87.25,$79.43
06/12/2023,$85.95,29118,$84.93,$86.00,$84.865
06/09/2023,$84.76,39660,$84.67,$86.00,$84.50
06/08/2023,$85.69,85377,$85.44,$86.1499,$84.54
06/07/2023,$85.00,61194,$85.10,$86.41,$84.20
06/06/2023,$85.00,110330,$82.00,$85.14,$82.00
06/05/2023,$82.28,41960,$83.00,$84.065,$82.08
06/02/2023,$82.33,107574,$84.50,$86.00,$82.29
06/01/2023,$84.51,44004,$82.11,$84.51,$81.15
05/31/2023,$81.68,35372,$81.70,$82.79,$80.67
05/30/2023,$81.38,87816,$82.00,$82.7239,$80.76
05/26/2023,$81.81,49428,$83.96,$84.44,$81.66
05/25/2023,$83.19,49234,$83.20,$83.38,$81.64
05/24/2023,$83.38,59392,$84.35,$85.10,$82.91
05/23/2023,$85.19,79222,$88.00,$88.41,$84.00
05/22/2023,$87.75,102536,$84.97,$87.80,$84.5223
05/19/2023,$84.27,64439,$85.02,$85.55,$83.49
05/18/2023,$84.86,96448,$82.52,$85.67,$81.3501
05/17/2023,$82.49,62601,$81.31,$82.66,$80.48
05/16/2023,$81.25,89163,$82.22,$82.99,$81.0259
05/15/2023,$83.22,89956,$85.00,$85.00,$82.00
05/12/2023,$84.03,147736,$85.00,$87.50,$83.58
05/11/2023,$95.69,471443,$98.99,$98.99,$94.11
05/10/2023,$98.87,189452,$102.34,$102.70,$98.56
05/09/2023,$100.92,135062,$104.85,$104.85,$100.465
05/08/2023,$103.96,167078,$103.75,$104.86,$102.7259
05/05/2023,$101.95,83935,$100.06,$102.20,$98.5097
05/04/2023,$98.15,103753,$103.00,$103.00,$97.75
05/03/2023,$101.93,109096,$103.40,$104.00,$101.81
05/02/2023,$101.69,233750,$100.27,$103.11,$97.52
05/01/2023,$91.65,67847,$89.50,$91.9119,$89.42
04/28/2023,$89.71,20380,$88.68,$90.00,$88.2844
04/27/2023,$88.90,35933,$88.97,$89.28,$88.19
04/26/2023,$88.19,39741,$89.94,$90.03,$87.75
04/25/2023,$89.89,32005,$91.75,$91.9999,$89.51
04/24/2023,$91.73,31436,$92.08,$92.3599,$91.24
04/21/2023,$91.50,49360,$93.01,$93.15,$91.29
04/20/2023,$93.40,30037,$93.52,$93.94,$92.58
04/19/2023,$93.87,24977,$94.00,$94.32,$93.28
04/18/2023,$94.41,33059,$94.00,$94.641,$93.25
04/17/2023,$93.99,28335,$94.50,$95.28,$93.2541
04/14/2023,$93.89,49845,$92.73,$94.64,$92.55
04/13/2023,$92.00,53845,$92.74,$92.99,$91.585
04/12/2023,$91.00,24519,$91.24,$91.29,$90.00
04/11/2023,$90.00,32989,$88.50,$90.15,$87.1285
04/10/2023,$87.66,39166,$86.00,$88.45,$86.00
04/06/2023,$85.64,52976,$87.25,$87.25,$85.16
04/05/2023,$87.50,45354,$89.00,$89.00,$87.0001
04/04/2023,$89.03,38918,$90.50,$90.50,$87.52
04/03/2023,$90.04,68747,$90.20,$90.6896,$89.20
03/31/2023,$89.17,39418,$89.14,$90.192,$88.85
03/30/2023,$89.05,28871,$90.54,$91.2999,$89.00
03/29/2023,$89.33,71157,$88.00,$90.99,$87.902
03/28/2023,$87.10,39493,$86.83,$87.88,$86.66
03/27/2023,$86.83,76053,$88.10,$89.4687,$86.27
03/24/2023,$86.93,52520,$86.74,$88.14,$85.36
03/23/2023,$86.96,44171,$88.58,$90.07,$85.66
03/22/2023,$87.57,103389,$88.24,$91.043,$87.55
03/21/2023,$88.00,73986,$84.49,$88.99,$84.49
03/20/2023,$83.64,67706,$82.59,$84.22,$81.75
03/17/2023,$81.73,75816,$83.75,$84.9741,$81.18
03/16/2023,$83.85,99743,$82.14,$84.60,$81.26
03/15/2023,$82.95,188356,$87.50,$87.50,$81.11
03/14/2023,$89.10,146482,$92.61,$93.7699,$88.42
03/13/2023,$90.75,162991,$92.90,$93.80,$89.14
03/10/2023,$93.52,160304,$98.40,$98.40,$92.60
03/09/2023,$98.51,112818,$97.86,$99.50,$96.31
03/08/2023,$97.10,118875,$93.82,$97.85,$92.58
03/07/2023,$93.82,179967,$98.04,$98.04,$93.45
03/06/2023,$98.46,103669,$102.01,$102.01,$97.79
03/03/2023,$102.45,206122,$103.65,$106.6099,$102.45
03/02/2023,$113.70,283779,$117.70,$117.79,$113.6901
03/01/2023,$117.03,274635,$113.78,$118.3799,$113.00
02/28/2023,$113.59,176083,$111.34,$113.60,$110.64
02/27/2023,$110.24,236674,$112.54,$113.00,$110.01
02/24/2023,$108.87,289992,$104.61,$110.00,$103.50
02/23/2023,$104.50,155966,$103.39,$104.80,$100.83
02/22/2023,$100.64,299064,$100.43,$105.363,$99.2101
02/21/2023,$97.05,69920,$96.40,$97.6877,$96.1901
02/17/2023,$97.33,46773,$97.27,$98.00,$96.01
02/16/2023,$97.68,38578,$95.96,$98.00,$95.96
02/15/2023,$95.40,42711,$96.28,$96.5127,$92.76
02/14/2023,$96.79,76439,$97.00,$97.40,$95.10
02/13/2023,$96.55,49365,$97.35,$97.43,$95.37
02/10/2023,$97.39,78824,$94.00,$97.39,$94.00
02/09/2023,$93.98,59261,$93.48,$94.00,$92.30
02/08/2023,$92.86,79399,$94.00,$94.806,$92.40
02/07/2023,$94.08,31689,$95.06,$95.06,$93.25
02/06/2023,$94.51,92448,$91.79,$95.00,$89.51
02/03/2023,$91.82,90991,$91.72,$93.98,$89.50
02/02/2023,$93.21,91474,$94.01,$95.0794,$92.50
02/01/2023,$93.92,149758,$99.00,$99.50,$93.31
01/31/2023,$99.13,35243,$99.69,$100.2727,$98.29
01/30/2023,$98.70,98661,$101.19,$103.20,$98.50
01/27/2023,$102.64,41521,$101.10,$103.9678,$101.10
01/26/2023,$102.00,40099,$102.07,$102.79,$101.05
01/25/2023,$102.13,36174,$101.85,$102.7902,$100.73
01/24/2023,$101.86,28976,$102.10,$103.195,$101.85
01/23/2023,$103.37,35534,$102.02,$104.8899,$102.01
01/20/2023,$101.59,39958,$103.53,$103.855,$101.19
01/19/2023,$101.95,29675,$102.475,$103.27,$100.7649
01/18/2023,$102.76,29347,$104.99,$105.72,$102.3801
01/17/2023,$104.51,46108,$105.11,$106.60,$104.08
01/13/2023,$104.45,50863,$102.98,$105.11,$101.74
01/12/2023,$102.50,50417,$104.73,$105.00,$100.9602
01/11/2023,$102.86,95787,$101.79,$103.95,$100.01
01/10/2023,$100.08,95307,$100.61,$101.6996,$97.8941
01/09/2023,$101.31,66667,$104.00,$105.00,$100.99
01/06/2023,$103.36,40130,$104.92,$105.55,$103.00
01/05/2023,$102.51,73866,$101.79,$103.775,$100.07
01/04/2023,$102.66,42320,$103.72,$104.4299,$102.00
01/03/2023,$102.61,43190,$102.20,$103.75,$100.03
12/30/2022,$100.58,118713,$99.00,$100.58,$97.51
12/29/2022,$100.23,76983,$96.50,$100.735,$96.50
12/28/2022,$96.82,134749,$98.77,$99.90,$95.70
12/27/2022,$99.93,93012,$100.80,$101.53,$99.28
12/23/2022,$101.69,35698,$101.00,$102.8793,$100.7501
12/22/2022,$101.15,62414,$102.01,$102.51,$99.60
12/21/2022,$103.69,75427,$101.91,$104.705,$100.80
12/20/2022,$102.39,105849,$102.79,$103.495,$100.00
12/19/2022,$104.03,134720,$107.71,$107.71,$100.60
12/16/2022,$107.71,59458,$106.25,$108.30,$106.13
12/15/2022,$108.12,72305,$109.00,$110.625,$107.00
12/14/2022,$109.36,59028,$112.00,$112.60,$109.0001
12/13/2022,$112.30,76471,$110.51,$113.00,$109.19
12/12/2022,$109.66,31601,$108.38,$111.8199,$108.38
12/09/2022,$108.01,75998,$111.45,$112.60,$107.80
12/08/2022,$112.06,69234,$112.72,$114.80,$111.5466
12/07/2022,$112.53,44455,$112.51,$114.35,$111.1927
12/06/2022,$112.51,137001,$116.01,$117.00,$110.35
12/05/2022,$115.77,89321,$118.01,$119.5292,$114.72
12/02/2022,$118.70,65005,$119.00,$122.16,$118.09
12/01/2022,$120.00,113527,$129.00,$129.00,$119.34
11/30/2022,$128.40,63339,$125.90,$128.58,$123.15
11/29/2022,$125.65,76676,$122.50,$126.08,$121.3501
11/28/2022,$121.29,48516,$121.11,$123.2843,$120.5001
11/25/2022,$121.78,34228,$121.64,$124.04,$120.35
11/23/2022,$121.05,62917,$121.79,$122.60,$119.15
11/22/2022,$122.83,87846,$117.25,$123.3582,$117.25
11/21/2022,$117.00,149363,$120.00,$120.00,$116.17
11/18/2022,$119.50,66086,$115.23,$119.75,$115.23
11/17/2022,$117.49,98329,$118.49,$118.80,$115.01
11/16/2022,$120.62,41500,$119.23,$121.5792,$118.31
11/15/2022,$121.47,81147,$117.63,$122.05,$116.1001
11/14/2022,$117.39,70720,$118.09,$120.29,$117.00
11/11/2022,$117.80,49796,$117.95,$120.8466,$117.00
11/10/2022,$117.55,58046,$117.49,$121.449,$117.00
11/09/2022,$116.31,90955,$119.50,$121.65,$115.80
11/08/2022,$121.69,63632,$121.88,$122.68,$120.00
11/07/2022,$120.00,74999,$120.00,$122.63,$120.00
11/04/2022,$119.00,67478,$118.77,$122.515,$117.00
11/03/2022,$116.24,113910,$112.00,$119.44,$110.50
11/02/2022,$113.88,128262,$119.73,$119.73,$112.89
