Date,Close/Last,Volume,Open,High,Low
01/05/2024,$13.10,1086037,$12.79,$13.175,$12.74
01/04/2024,$12.94,1133685,$13.41,$13.44,$12.92
01/03/2024,$13.41,1223390,$13.77,$13.77,$13.365
01/02/2024,$13.94,814361,$14.53,$14.57,$13.90
12/29/2023,$14.73,690844,$15.03,$15.1011,$14.67
12/28/2023,$15.01,635160,$15.08,$15.08,$14.77
12/27/2023,$15.06,522158,$15.10,$15.34,$14.94
12/26/2023,$15.10,820534,$14.93,$15.21,$14.85
12/22/2023,$14.93,752229,$14.93,$15.005,$14.84
12/21/2023,$14.84,660846,$15.00,$15.05,$14.72
12/20/2023,$14.94,1341887,$15.04,$15.39,$14.81
12/19/2023,$15.18,1021527,$15.03,$15.24,$14.98
12/18/2023,$15.04,1171443,$14.96,$15.31,$14.54
12/15/2023,$14.99,2140215,$15.93,$15.935,$14.97
12/14/2023,$15.96,1104562,$15.96,$16.01,$15.675
12/13/2023,$15.80,810895,$15.63,$15.93,$15.37
12/12/2023,$15.64,781191,$15.64,$15.77,$15.485
12/11/2023,$15.74,1049953,$15.07,$15.95,$15.015
12/08/2023,$14.98,1074749,$14.62,$15.13,$14.62
12/07/2023,$14.80,651721,$14.70,$14.80,$14.48
12/06/2023,$14.60,868386,$14.65,$14.7623,$14.49
12/05/2023,$14.55,615518,$14.61,$14.72,$14.47
12/04/2023,$14.68,639587,$14.76,$14.96,$14.61
12/01/2023,$14.80,756001,$14.68,$14.975,$14.37
11/30/2023,$14.88,894188,$14.48,$14.90,$14.44
11/29/2023,$14.51,908661,$14.53,$14.67,$14.46
11/28/2023,$14.38,650109,$14.41,$14.53,$14.09
11/27/2023,$14.44,1677047,$14.43,$14.54,$14.32
11/24/2023,$14.52,842739,$14.06,$14.53,$14.06
11/22/2023,$13.91,780161,$13.91,$14.19,$13.88
11/21/2023,$13.87,651909,$13.70,$13.925,$13.65
11/20/2023,$13.92,803525,$13.51,$14.05,$13.51
11/17/2023,$13.81,846097,$13.82,$14.14,$13.77
11/16/2023,$13.80,674262,$13.52,$13.84,$13.40
11/15/2023,$13.74,948103,$13.50,$13.93,$13.30
11/14/2023,$13.50,734111,$13.34,$13.50,$13.21
11/13/2023,$13.20,989730,$12.81,$13.31,$12.81
11/10/2023,$12.975,1124045,$12.60,$12.98,$12.26
11/09/2023,$12.67,864238,$12.84,$13.01,$12.54
11/08/2023,$12.80,925689,$12.08,$12.85,$12.01
11/07/2023,$12.47,1044300,$11.78,$12.48,$11.78
11/06/2023,$12.03,1251682,$12.69,$12.83,$11.42
11/03/2023,$12.45,4681907,$10.29,$12.88,$10.07
11/02/2023,$9.02,1119127,$9.06,$9.37,$8.915
11/01/2023,$8.85,507423,$8.92,$8.98,$8.70
10/31/2023,$8.93,360104,$9.01,$9.065,$8.88
10/30/2023,$8.98,384488,$8.90,$9.045,$8.73
10/27/2023,$8.77,623253,$9.16,$9.24,$8.605
