Date,Close/Last,Volume,Open,High,Low
01/05/2024,$8.10,5717447,$8.11,$8.185,$8.07
01/04/2024,$8.13,7148841,$8.12,$8.22,$8.095
01/03/2024,$8.04,5965725,$8.09,$8.18,$8.03
01/02/2024,$8.28,10691240,$8.32,$8.34,$8.205
12/29/2023,$8.46,3613840,$8.50,$8.56,$8.43
12/28/2023,$8.51,5375058,$8.60,$8.635,$8.505
12/27/2023,$8.66,10439430,$8.32,$8.68,$8.30
12/26/2023,$8.21,6819522,$8.09,$8.23,$8.085
12/22/2023,$7.97,3943999,$7.93,$8.05,$7.93
12/21/2023,$7.92,4279437,$7.99,$7.99,$7.835
12/20/2023,$7.82,7405060,$7.90,$7.99,$7.81
12/19/2023,$7.98,5536158,$8.00,$8.05,$7.97
12/18/2023,$8.08,5243487,$8.07,$8.11,$8.01
12/15/2023,$8.10,9823813,$8.14,$8.18,$8.07
12/14/2023,$8.14,9537143,$8.08,$8.20,$8.06
12/13/2023,$8.06,5636135,$7.95,$8.09,$7.89
12/12/2023,$7.94,3558187,$7.92,$7.94,$7.8525
12/11/2023,$7.90,5990217,$7.80,$7.92,$7.795
12/08/2023,$7.80,4567560,$7.70,$7.83,$7.70
12/07/2023,$7.80,6992388,$7.68,$7.81,$7.67
12/06/2023,$7.72,6976658,$7.78,$7.80,$7.705
12/05/2023,$7.73,3516292,$7.77,$7.79,$7.71
12/04/2023,$7.85,6504549,$7.90,$7.92,$7.77
12/01/2023,$7.94,4406813,$7.82,$7.95,$7.77
11/30/2023,$7.79,9180393,$7.87,$7.87,$7.75
11/29/2023,$7.88,5927891,$7.90,$7.98,$7.88
11/28/2023,$7.82,4424347,$7.78,$7.84,$7.75
11/27/2023,$7.84,4050917,$7.82,$7.88,$7.77
11/24/2023,$7.88,2827050,$7.88,$7.91,$7.85
11/22/2023,$7.87,3592879,$7.88,$7.90,$7.79
11/21/2023,$7.86,5750050,$7.93,$7.94,$7.83
11/20/2023,$7.96,4745616,$7.88,$7.99,$7.88
11/17/2023,$7.85,7096776,$7.70,$7.90,$7.70
11/16/2023,$7.60,5308546,$7.58,$7.63,$7.56
11/15/2023,$7.63,6881506,$7.65,$7.705,$7.60
11/14/2023,$7.67,9112897,$7.58,$7.72,$7.58
11/13/2023,$7.51,5001456,$7.59,$7.60,$7.46
11/10/2023,$7.66,8164312,$7.48,$7.70,$7.48
11/09/2023,$7.40,8143098,$7.51,$7.55,$7.39
11/08/2023,$7.47,3843583,$7.52,$7.565,$7.44
11/07/2023,$7.62,4262196,$7.55,$7.62,$7.535
11/06/2023,$7.60,4579730,$7.62,$7.655,$7.54
11/03/2023,$7.72,7043657,$7.60,$7.77,$7.595
11/02/2023,$7.52,8630154,$7.38,$7.56,$7.38
11/01/2023,$7.28,8797071,$7.16,$7.29,$7.145
10/31/2023,$7.12,6770839,$7.08,$7.13,$7.02
10/30/2023,$7.07,8670506,$7.09,$7.175,$7.04
10/27/2023,$7.07,6500616,$7.13,$7.1499,$7.02
10/26/2023,$7.12,10482870,$7.15,$7.29,$7.07
10/25/2023,$7.14,12124800,$7.29,$7.30,$6.96
10/24/2023,$7.44,5928520,$7.43,$7.47,$7.40
10/23/2023,$7.42,4697590,$7.39,$7.54,$7.35
10/20/2023,$7.43,5369575,$7.47,$7.55,$7.40
10/19/2023,$7.55,13306820,$7.62,$7.69,$7.54
10/18/2023,$7.40,6652332,$7.41,$7.46,$7.38
10/17/2023,$7.34,6071702,$7.33,$7.37,$7.235
10/16/2023,$7.28,7526219,$7.24,$7.34,$7.23
10/13/2023,$7.10,6391574,$7.21,$7.23,$7.075
10/12/2023,$7.21,5655946,$7.25,$7.31,$7.16
10/11/2023,$7.25,3983622,$7.26,$7.2772,$7.18
10/10/2023,$7.17,4775405,$7.11,$7.19,$7.08
10/09/2023,$7.09,2895791,$7.07,$7.11,$6.995
10/06/2023,$7.13,6983860,$6.92,$7.21,$6.92
10/05/2023,$6.96,4823892,$6.98,$6.995,$6.8901
10/04/2023,$6.89,5527056,$6.87,$6.90,$6.81
10/03/2023,$6.88,5801284,$6.94,$7.01,$6.825
10/02/2023,$7.03,4825497,$7.06,$7.095,$6.97
09/29/2023,$7.06,4630512,$7.15,$7.15,$7.04
09/28/2023,$7.07,6713268,$6.96,$7.11,$6.94
09/27/2023,$6.91,5740361,$6.91,$6.95,$6.84
09/26/2023,$6.91,5887906,$6.96,$6.98,$6.86
09/25/2023,$7.07,4230415,$6.97,$7.09,$6.94
09/22/2023,$7.02,4687133,$6.97,$7.04,$6.95
09/21/2023,$6.95,7068670,$6.97,$7.035,$6.94
09/20/2023,$6.97,10763200,$7.12,$7.14,$6.97
09/19/2023,$7.11,5718188,$7.17,$7.17,$7.085
09/18/2023,$7.22,4490689,$7.20,$7.245,$7.15
09/15/2023,$7.29,6843402,$7.41,$7.41,$7.27
09/14/2023,$7.38,4701176,$7.41,$7.44,$7.3525
09/13/2023,$7.34,4785077,$7.32,$7.42,$7.30
09/12/2023,$7.27,5407636,$7.19,$7.35,$7.17
09/11/2023,$7.14,3723642,$7.16,$7.17,$7.09
09/08/2023,$7.06,4454010,$7.07,$7.115,$7.04
09/07/2023,$7.05,7306944,$7.10,$7.13,$6.96
09/06/2023,$7.25,5189226,$7.33,$7.37,$7.19
09/05/2023,$7.36,6163674,$7.27,$7.42,$7.25
09/01/2023,$7.24,4682246,$7.25,$7.25,$7.14
08/31/2023,$7.17,8119157,$7.18,$7.19,$7.13
08/30/2023,$7.27,4970889,$7.22,$7.31,$7.19
08/29/2023,$7.18,6463787,$7.04,$7.23,$7.03
08/28/2023,$7.02,3601901,$6.96,$7.05,$6.96
08/25/2023,$6.89,7212303,$6.80,$6.92,$6.75
08/24/2023,$6.78,8767012,$6.98,$6.99,$6.76
08/23/2023,$6.86,4430327,$6.75,$6.87,$6.75
08/22/2023,$6.75,4238309,$6.88,$6.88,$6.74
08/21/2023,$6.85,5217112,$6.74,$6.86,$6.73
08/18/2023,$6.77,4872172,$6.74,$6.785,$6.72
08/17/2023,$6.74,5362211,$6.81,$6.82,$6.72
08/16/2023,$6.73,6286972,$6.81,$6.82,$6.71
08/15/2023,$6.94,5371585,$7.08,$7.08,$6.91
08/14/2023,$7.07,5757814,$6.95,$7.07,$6.94
08/11/2023,$6.98,6727749,$7.07,$7.07,$6.95
08/10/2023,$7.09,5468690,$7.11,$7.18,$7.06
08/09/2023,$7.08,5597217,$7.15,$7.165,$7.07
08/08/2023,$7.11,5834872,$7.12,$7.15,$7.03
08/07/2023,$7.32,3408122,$7.34,$7.34,$7.245
08/04/2023,$7.26,5660518,$7.29,$7.33,$7.195
08/03/2023,$7.17,5200330,$7.21,$7.22,$7.12
08/02/2023,$7.21,7670914,$7.34,$7.36,$7.21
08/01/2023,$7.43,3022318,$7.49,$7.51,$7.41
07/31/2023,$7.51,4381404,$7.49,$7.515,$7.4401
07/28/2023,$7.51,6751133,$7.50,$7.55,$7.45
07/27/2023,$7.37,8526112,$7.40,$7.57,$7.36
07/26/2023,$7.21,7187291,$7.23,$7.37,$7.18
07/25/2023,$7.33,8070892,$7.30,$7.37,$7.29
07/24/2023,$7.25,5838387,$7.25,$7.28,$7.18
07/21/2023,$7.18,5852818,$7.20,$7.20,$7.13
07/20/2023,$7.17,11702640,$7.43,$7.43,$7.12
07/19/2023,$7.65,5129959,$7.75,$7.7569,$7.64
07/18/2023,$7.85,4816770,$7.86,$7.88,$7.80
07/17/2023,$7.95,6301882,$7.84,$7.97,$7.80
07/14/2023,$7.81,7055932,$7.86,$7.93,$7.80
07/13/2023,$7.79,8419893,$7.81,$7.81,$7.72
07/12/2023,$7.76,7600262,$7.79,$7.82,$7.73
07/11/2023,$7.85,4753435,$7.93,$7.94,$7.75
07/10/2023,$7.85,5603620,$7.73,$7.85,$7.71
07/07/2023,$7.75,4962367,$7.74,$7.86,$7.715
07/06/2023,$7.68,6953857,$7.63,$7.71,$7.575
07/05/2023,$7.70,5415841,$7.79,$7.8185,$7.70
07/03/2023,$7.88,3583316,$7.86,$7.91,$7.80
06/30/2023,$7.89,5010061,$7.93,$7.935,$7.85
06/29/2023,$7.85,4522560,$7.81,$7.87,$7.75
06/28/2023,$7.85,5843193,$7.88,$7.91,$7.81
06/27/2023,$8.02,9304342,$7.97,$8.02,$7.835
06/26/2023,$8.07,4401158,$8.07,$8.17,$8.06
06/23/2023,$8.46,5157165,$8.50,$8.525,$8.42
06/22/2023,$8.62,4086060,$8.50,$8.63,$8.45
06/21/2023,$8.53,5782993,$8.69,$8.69,$8.515
06/20/2023,$8.65,5040344,$8.70,$8.75,$8.61
06/16/2023,$8.75,9946496,$8.87,$8.895,$8.72
06/15/2023,$8.92,7225710,$8.89,$8.97,$8.88
06/14/2023,$8.87,5762541,$8.77,$8.89,$8.75
06/13/2023,$8.80,7711059,$8.80,$8.85,$8.6912
06/12/2023,$8.69,6523863,$8.53,$8.70,$8.51
06/09/2023,$8.46,3844894,$8.50,$8.56,$8.43
06/08/2023,$8.45,4661657,$8.35,$8.455,$8.33
06/07/2023,$8.29,5271470,$8.31,$8.445,$8.28
06/06/2023,$8.26,5339612,$8.10,$8.31,$8.10
06/05/2023,$8.17,5430451,$8.21,$8.24,$8.12
06/02/2023,$8.32,7186308,$8.43,$8.45,$8.3044
06/01/2023,$8.32,9239645,$8.25,$8.34,$8.23
05/31/2023,$8.26,8259465,$8.33,$8.40,$8.25
05/30/2023,$8.39,10872750,$8.62,$8.66,$8.34
05/26/2023,$8.66,17267700,$8.16,$8.70,$8.16
05/25/2023,$8.02,13825490,$7.84,$8.05,$7.84
05/24/2023,$7.87,6968234,$7.92,$7.92,$7.825
05/23/2023,$7.85,4924077,$7.89,$7.915,$7.83
05/22/2023,$7.89,5445362,$7.92,$7.96,$7.84
05/19/2023,$8.08,6348308,$8.17,$8.24,$8.07
05/18/2023,$8.26,6897528,$8.11,$8.28,$8.10
05/17/2023,$8.06,7445430,$7.98,$8.10,$7.97
05/16/2023,$7.89,4752527,$7.90,$7.94,$7.87
05/15/2023,$7.89,6230428,$7.79,$7.89,$7.7514
05/12/2023,$7.82,2770404,$7.80,$7.86,$7.78
05/11/2023,$7.85,7522295,$7.98,$7.98,$7.76
05/10/2023,$8.09,6442549,$8.11,$8.145,$8.03
05/09/2023,$8.07,4488284,$8.10,$8.14,$8.0501
05/08/2023,$8.19,3421776,$8.16,$8.20,$8.08
05/05/2023,$8.20,5329231,$8.05,$8.22,$8.01
05/04/2023,$7.98,5478025,$7.99,$8.03,$7.93
05/03/2023,$8.01,5240893,$8.05,$8.14,$8.01
05/02/2023,$8.00,4761287,$7.98,$8.04,$7.92
05/01/2023,$7.99,5378762,$8.00,$8.04,$7.94
04/28/2023,$8.03,7748354,$7.87,$8.05,$7.87
04/27/2023,$7.91,11123670,$7.90,$7.96,$7.80
04/26/2023,$7.69,8435494,$7.79,$7.87,$7.58
04/25/2023,$7.67,9739888,$7.79,$7.835,$7.67
04/24/2023,$7.99,4977470,$8.06,$8.07,$7.93
04/21/2023,$8.09,6315704,$8.18,$8.1832,$8.04
04/20/2023,$8.29,6477311,$8.30,$8.38,$8.23
04/19/2023,$8.30,8517700,$8.36,$8.38,$8.26
04/18/2023,$8.50,5275656,$8.47,$8.515,$8.44
04/17/2023,$8.45,4992301,$8.44,$8.4601,$8.37
04/14/2023,$8.37,4381626,$8.34,$8.47,$8.30
04/13/2023,$8.42,4559870,$8.25,$8.465,$8.25
04/12/2023,$8.33,6072048,$8.52,$8.575,$8.325
04/11/2023,$8.41,3658669,$8.37,$8.425,$8.34
04/10/2023,$8.41,6714874,$8.30,$8.42,$8.27
04/06/2023,$8.53,4376164,$8.53,$8.635,$8.50
04/05/2023,$8.43,6989972,$8.53,$8.58,$8.36
04/04/2023,$8.62,4458276,$8.76,$8.76,$8.57
04/03/2023,$8.75,4011390,$8.75,$8.78,$8.64
03/31/2023,$8.76,4168648,$8.70,$8.78,$8.6313
