Date,Close/Last,Volume,Open,High,Low
10/20/2023,$12.41,37491000,$12.42,$12.505,$12.275
10/19/2023,$12.76,27015690,$12.86,$12.95,$12.735
10/18/2023,$12.90,26635650,$13.27,$13.28,$12.89
10/17/2023,$13.46,19042210,$13.15,$13.535,$13.14
10/16/2023,$13.35,12852780,$13.29,$13.40,$13.23
10/13/2023,$13.09,14987740,$13.20,$13.325,$13.04
10/12/2023,$13.10,17744500,$13.40,$13.435,$13.01
10/11/2023,$13.37,15535970,$13.27,$13.39,$13.18
10/10/2023,$13.20,13860120,$13.13,$13.2375,$13.09
10/09/2023,$12.86,13502950,$12.79,$12.9075,$12.65
10/06/2023,$12.98,19676210,$12.71,$13.07,$12.69
10/05/2023,$12.78,15367270,$12.72,$12.89,$12.665
10/04/2023,$12.76,14998640,$12.86,$12.95,$12.70
10/03/2023,$12.88,15291030,$13.03,$13.18,$12.84
10/02/2023,$13.22,13755330,$13.33,$13.36,$13.11
09/29/2023,$13.40,13516130,$13.43,$13.505,$13.3321
09/28/2023,$13.23,26473810,$13.06,$13.28,$13.005
09/27/2023,$12.99,24758560,$13.17,$13.20,$12.88
09/26/2023,$13.10,15038170,$13.22,$13.33,$13.081
09/25/2023,$13.40,34577200,$13.46,$13.485,$13.205
09/22/2023,$13.75,16408580,$13.88,$13.9881,$13.74
09/21/2023,$13.65,20546360,$13.79,$13.86,$13.63
09/20/2023,$14.20,16017150,$14.22,$14.35,$14.18
09/19/2023,$14.12,67306300,$14.19,$14.24,$13.985
09/18/2023,$14.11,31129710,$14.37,$14.40,$14.11
09/15/2023,$14.32,18508070,$14.59,$14.5933,$14.27
09/14/2023,$14.40,31659220,$14.16,$14.475,$14.14
09/13/2023,$13.70,13481240,$13.64,$13.78,$13.63
09/12/2023,$13.60,10806510,$13.65,$13.78,$13.59
09/11/2023,$13.69,18737370,$13.74,$13.82,$13.67
09/08/2023,$13.31,12086960,$13.31,$13.37,$13.255
09/07/2023,$13.18,13502950,$13.42,$13.49,$13.14
09/06/2023,$13.62,15946730,$13.84,$14.03,$13.60
09/05/2023,$13.88,13210530,$13.92,$13.98,$13.82
09/01/2023,$13.99,34557670,$13.73,$14.00,$13.66
08/31/2023,$13.17,15771790,$13.36,$13.42,$13.15
08/30/2023,$13.33,10979030,$13.43,$13.46,$13.25
08/29/2023,$13.33,21719440,$12.99,$13.38,$12.925
08/28/2023,$12.92,9681399,$12.81,$12.95,$12.755
08/25/2023,$12.74,13184820,$12.77,$12.83,$12.645
08/24/2023,$12.73,13100860,$12.71,$12.83,$12.63
08/23/2023,$12.97,17646880,$12.81,$13.05,$12.785
08/22/2023,$12.69,19370210,$12.58,$12.72,$12.50
08/21/2023,$12.30,17279120,$12.26,$12.375,$12.2201
08/18/2023,$12.31,22482940,$12.34,$12.43,$12.26
08/17/2023,$12.39,28711130,$12.55,$12.605,$12.35
08/16/2023,$12.28,19019970,$12.24,$12.43,$12.22
08/15/2023,$12.27,24388490,$12.37,$12.39,$12.24
08/14/2023,$12.47,26182640,$12.65,$12.65,$12.45
08/11/2023,$13.32,29019760,$13.46,$13.5099,$13.285
08/10/2023,$13.50,15100720,$13.72,$13.785,$13.49
08/09/2023,$13.60,15380530,$13.79,$13.85,$13.57
08/08/2023,$13.75,27126530,$13.50,$13.90,$13.42
08/07/2023,$13.87,14910150,$13.73,$13.8983,$13.60
08/04/2023,$13.83,25710580,$13.91,$14.065,$13.81
08/03/2023,$13.80,26295590,$13.73,$13.89,$13.62
08/02/2023,$13.90,19283510,$14.04,$14.06,$13.87
08/01/2023,$14.15,19542370,$14.32,$14.38,$14.14
07/31/2023,$14.63,22072170,$14.39,$14.66,$14.38
07/28/2023,$14.24,31629540,$14.52,$14.62,$14.235
07/27/2023,$14.79,25218400,$14.94,$15.00,$14.765
07/26/2023,$15.10,20944280,$15.04,$15.26,$14.92
07/25/2023,$15.17,38292160,$15.20,$15.31,$15.09
07/24/2023,$14.71,20954270,$14.22,$14.83,$14.21
07/21/2023,$14.19,12214770,$14.13,$14.26,$14.05
07/20/2023,$14.05,14268940,$14.22,$14.29,$14.04
07/19/2023,$14.05,12094690,$14.00,$14.13,$13.94
07/18/2023,$14.03,9008445,$14.02,$14.19,$13.95
07/17/2023,$14.07,15269490,$14.04,$14.13,$13.83
07/14/2023,$14.29,17442410,$14.35,$14.41,$14.20
07/13/2023,$14.34,22772270,$14.15,$14.355,$14.115
07/12/2023,$13.93,17232820,$14.05,$14.10,$13.92
07/11/2023,$13.72,38744610,$13.245,$13.78,$13.245
