Date,Close/Last,Volume,Open,High,Low
01/05/2024,$76.90,1899250,$76.61,$77.6399,$76.25
01/04/2024,$76.61,1388580,$77.45,$78.28,$76.57
01/03/2024,$78.05,1198293,$80.60,$80.90,$77.75
01/02/2024,$81.02,1129572,$81.10,$82.00,$79.95
12/29/2023,$82.26,675034,$82.84,$83.36,$81.86
12/28/2023,$83.04,799382,$83.00,$83.44,$82.27
12/27/2023,$83.22,1018083,$82.14,$83.50,$81.98
12/26/2023,$82.13,700231,$81.70,$82.335,$81.39
12/22/2023,$81.64,712712,$80.64,$81.79,$80.03
12/21/2023,$81.12,919333,$81.32,$81.98,$79.8103
12/20/2023,$80.64,1704062,$83.55,$83.885,$80.62
12/19/2023,$83.44,2902975,$81.60,$83.62,$80.99
12/18/2023,$80.84,1954959,$79.19,$80.92,$78.43
12/15/2023,$78.85,6727619,$78.87,$79.93,$78.03
12/14/2023,$79.33,3230981,$78.51,$79.72,$77.63
12/13/2023,$77.74,3854108,$77.17,$78.7041,$76.30
12/12/2023,$77.45,2329324,$76.37,$77.88,$75.78
12/11/2023,$76.82,1649031,$75.00,$77.36,$74.65
12/08/2023,$75.43,1131349,$74.60,$75.645,$74.27
12/07/2023,$74.63,1295954,$75.80,$76.29,$74.62
12/06/2023,$75.83,2001213,$75.55,$76.49,$75.02
12/05/2023,$75.55,1411618,$75.40,$76.14,$75.2191
12/04/2023,$75.78,1625807,$75.97,$76.92,$75.49
12/01/2023,$76.51,2039378,$77.17,$77.17,$75.97
11/30/2023,$77.25,8454137,$74.70,$77.62,$74.70
11/29/2023,$74.22,2519236,$73.40,$75.25,$73.24
11/28/2023,$73.32,2062140,$72.925,$74.539,$72.85
11/27/2023,$73.50,1649887,$73.82,$73.99,$73.00
11/24/2023,$74.01,823414,$72.66,$74.13,$72.23
11/22/2023,$72.94,1906288,$72.80,$73.83,$72.34
11/21/2023,$72.31,1767834,$70.80,$72.80,$70.47
11/20/2023,$70.76,1814335,$71.00,$71.35,$70.58
11/17/2023,$70.99,1500407,$70.90,$71.37,$70.06
11/16/2023,$70.88,2446603,$72.74,$73.06,$70.58
11/15/2023,$73.91,3437210,$73.47,$74.64,$73.01
11/14/2023,$73.63,2814594,$73.85,$74.10,$73.01
11/13/2023,$72.98,2964323,$70.28,$73.20,$70.18
11/10/2023,$70.55,1645264,$69.31,$70.78,$69.14
11/09/2023,$69.63,2020509,$69.09,$70.32,$69.09
11/08/2023,$69.80,2053773,$69.80,$70.32,$69.55
11/07/2023,$70.07,2133633,$67.75,$70.25,$67.36
11/06/2023,$68.26,2854957,$70.05,$70.07,$68.08
11/03/2023,$70.80,2225964,$70.47,$71.09,$69.06
11/02/2023,$70.28,2848740,$68.00,$70.54,$66.69
11/01/2023,$67.51,2503527,$68.16,$69.19,$67.47
10/31/2023,$69.00,3370678,$68.92,$69.73,$67.65
10/30/2023,$68.36,3393797,$68.48,$69.33,$67.42
10/27/2023,$67.99,3411996,$68.64,$69.44,$67.75
10/26/2023,$70.00,3537099,$66.33,$72.23,$65.51
10/25/2023,$70.79,3298234,$71.30,$72.335,$69.78
10/24/2023,$72.01,3432182,$72.29,$73.71,$71.79
10/23/2023,$71.90,4089800,$69.30,$72.47,$67.65
10/20/2023,$69.93,3151456,$70.40,$70.78,$68.90
10/19/2023,$70.29,2867355,$71.82,$72.74,$69.95
10/18/2023,$72.45,2959766,$73.50,$73.9305,$72.2709
10/17/2023,$74.48,2584906,$73.13,$75.125,$73.01
10/16/2023,$74.21,4555029,$71.62,$74.84,$71.62
10/13/2023,$71.85,5286581,$73.63,$73.99,$70.47
10/12/2023,$74.23,4668757,$73.75,$75.30,$72.75
10/11/2023,$74.47,4602585,$74.44,$76.56,$73.61
10/10/2023,$75.00,5385623,$73.96,$75.51,$72.50
10/09/2023,$74.61,7000973,$76.75,$78.00,$73.734
10/06/2023,$77.98,7781111,$73.04,$78.47,$73.04
10/05/2023,$74.45,15351920,$76.30,$76.99,$72.65
10/04/2023,$77.80,8358286,$76.67,$80.62,$76.35
10/03/2023,$77.05,12671220,$82.65,$83.25,$76.0115
10/02/2023,$85.12,23045070,$83.11,$89.00,$81.53
09/29/2023,$84.56,991246,$85.94,$86.99,$84.50
09/28/2023,$84.65,926153,$81.50,$87.50,$81.01
09/27/2023,$80.60,850237,$77.25,$83.90,$77.25
