Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.68,2681538,$48.97,$49.66,$48.37
01/04/2024,$49.26,2490122,$49.65,$50.03,$49.125
01/03/2024,$49.65,1585493,$50.13,$50.23,$49.56
01/02/2024,$50.57,1931346,$49.94,$50.605,$49.40
12/29/2023,$49.84,1748277,$50.10,$50.43,$49.83
12/28/2023,$50.95,1295234,$50.59,$50.985,$50.32
12/27/2023,$50.75,2103184,$50.58,$50.82,$50.3657
12/26/2023,$50.48,1321386,$49.96,$50.60,$49.90
12/22/2023,$49.90,1728082,$49.50,$50.21,$49.50
12/21/2023,$49.40,2450400,$48.90,$49.545,$48.50
12/20/2023,$48.41,2608762,$49.69,$50.10,$48.37
12/19/2023,$49.77,2842487,$49.43,$50.08,$49.35
12/18/2023,$49.21,2294262,$49.69,$49.82,$48.91
12/15/2023,$49.35,4394406,$50.52,$50.66,$49.04
12/14/2023,$50.53,3960780,$49.48,$50.735,$49.4501
12/13/2023,$48.40,3187100,$46.76,$48.45,$46.3492
12/12/2023,$46.73,1328550,$46.80,$46.87,$46.40
12/11/2023,$46.92,1989208,$46.53,$46.96,$46.18
12/08/2023,$46.72,1954697,$46.02,$46.855,$46.02
12/07/2023,$46.22,1341187,$46.17,$46.405,$45.90
12/06/2023,$46.06,1801217,$47.33,$47.41,$45.88
12/05/2023,$46.94,2265374,$47.10,$47.10,$46.63
12/04/2023,$47.18,2711109,$46.49,$47.235,$46.39
12/01/2023,$46.76,2108309,$45.91,$47.14,$45.87
11/30/2023,$45.84,3293624,$45.43,$45.93,$45.015
11/29/2023,$45.41,1573044,$45.94,$46.13,$45.355
11/28/2023,$45.55,1368295,$45.05,$45.76,$44.83
11/27/2023,$45.29,1166391,$45.04,$45.55,$44.67
11/24/2023,$45.11,722846,$44.54,$45.37,$44.28
11/22/2023,$44.70,1199990,$44.99,$45.00,$44.47
11/21/2023,$44.52,1206346,$44.79,$44.89,$44.485
11/20/2023,$44.96,1616500,$44.60,$45.01,$44.23
11/17/2023,$44.54,2145537,$45.10,$45.16,$44.1375
11/16/2023,$44.65,1947231,$44.57,$45.065,$44.33
11/15/2023,$44.46,1709354,$44.50,$44.85,$44.33
