Date,Close/Last,Volume,Open,High,Low
01/05/2024,$35.00,1121105,$34.86,$35.28,$34.74
01/04/2024,$35.04,1288652,$34.65,$35.18,$34.37
01/03/2024,$34.68,1527173,$36.35,$36.35,$34.68
01/02/2024,$36.74,1097225,$37.29,$37.49,$36.61
12/29/2023,$37.58,887766,$37.82,$37.99,$37.49
12/28/2023,$37.94,767378,$38.06,$38.27,$37.885
12/27/2023,$38.23,1209157,$38.43,$38.49,$38.00
12/26/2023,$38.46,962809,$37.84,$38.495,$37.80
12/22/2023,$37.86,843205,$37.95,$38.23,$37.74
12/21/2023,$37.94,1019533,$37.61,$38.02,$37.325
12/20/2023,$37.32,1936959,$37.78,$38.02,$37.27
12/19/2023,$37.67,1841375,$37.20,$37.70,$37.15
12/18/2023,$37.00,1545625,$37.08,$37.115,$36.595
12/15/2023,$36.94,4212556,$37.09,$37.39,$36.665
12/14/2023,$37.26,2618102,$36.44,$37.375,$36.44
12/13/2023,$36.03,1840750,$35.19,$36.20,$35.06
12/12/2023,$35.18,1653879,$35.70,$35.89,$35.02
12/11/2023,$35.52,2030672,$35.08,$35.53,$34.92
12/08/2023,$35.05,933713,$35.24,$35.4825,$34.77
12/07/2023,$35.11,777057,$35.20,$35.44,$35.005
12/06/2023,$35.08,1055779,$34.95,$35.165,$34.66
12/05/2023,$34.76,1105262,$35.54,$35.78,$34.66
12/04/2023,$35.63,1611686,$34.94,$35.65,$34.94
12/01/2023,$34.94,1492576,$34.30,$35.02,$34.07
11/30/2023,$34.24,1440154,$34.42,$34.63,$34.045
11/29/2023,$34.39,1077867,$34.61,$34.85,$34.37
11/28/2023,$34.43,931755,$34.84,$35.025,$34.40
11/27/2023,$34.80,1420869,$34.71,$35.085,$34.71
11/24/2023,$34.90,547118,$34.82,$35.03,$34.68
11/22/2023,$34.90,1393168,$34.89,$35.13,$34.59
11/21/2023,$34.65,1775733,$34.49,$34.825,$34.415
11/20/2023,$34.53,3042164,$35.20,$35.26,$34.31
11/17/2023,$35.12,1811635,$35.06,$35.53,$34.97
11/16/2023,$34.94,1579834,$34.83,$35.38,$34.71
11/15/2023,$34.83,2616262,$34.31,$35.10,$34.1975
11/14/2023,$34.37,2411640,$33.23,$34.635,$33.185
11/13/2023,$32.69,2060310,$32.40,$33.02,$32.40
11/10/2023,$32.50,3334789,$31.73,$32.675,$31.35
11/09/2023,$31.61,4165157,$29.19,$32.45,$29.15
11/08/2023,$30.00,2719324,$29.81,$30.04,$29.47
11/07/2023,$29.68,2322497,$30.39,$30.46,$29.67
11/06/2023,$30.50,1181728,$30.80,$30.9899,$30.41
11/03/2023,$30.93,1170589,$30.74,$31.17,$30.65
