Date,Close/Last,Volume,Open,High,Low
01/05/2024,$51.48,2013126,$49.86,$51.81,$49.71
01/04/2024,$50.23,1238957,$49.13,$50.65,$48.97
01/03/2024,$49.79,861172,$50.51,$50.94,$49.595
01/02/2024,$51.27,1196880,$50.22,$51.85,$50.00
12/29/2023,$50.76,718558,$51.41,$51.57,$50.74
12/28/2023,$51.58,608286,$51.06,$51.67,$51.06
12/27/2023,$51.32,515018,$51.51,$51.79,$51.005
12/26/2023,$51.56,648527,$50.98,$51.73,$50.6501
12/22/2023,$50.66,872812,$51.17,$51.63,$50.49
12/21/2023,$50.78,751037,$50.85,$51.13,$50.32
12/20/2023,$50.32,1009445,$50.87,$51.48,$50.29
12/19/2023,$51.16,1091409,$50.69,$51.56,$50.37
12/18/2023,$50.51,1413603,$51.37,$51.85,$50.415
12/15/2023,$51.07,3346067,$52.84,$52.98,$50.80
12/14/2023,$53.17,1918789,$51.42,$53.39,$51.00
12/13/2023,$50.15,1646350,$47.69,$50.23,$47.41
12/12/2023,$47.67,1039001,$47.91,$48.06,$47.52
12/11/2023,$48.02,743155,$47.72,$48.25,$47.53
12/08/2023,$47.90,852542,$47.04,$47.99,$46.59
12/07/2023,$46.99,912159,$47.03,$47.2492,$46.6259
12/06/2023,$46.70,989148,$47.34,$48.31,$46.66
12/05/2023,$46.70,908781,$47.14,$47.38,$46.68
12/04/2023,$47.48,1479907,$46.31,$47.58,$46.31
12/01/2023,$46.80,1829321,$44.79,$47.29,$44.47
11/30/2023,$44.85,11314910,$44.63,$45.465,$43.97
11/29/2023,$44.54,2508716,$43.70,$45.19,$43.46
11/28/2023,$43.27,1201743,$43.19,$43.405,$42.70
11/27/2023,$43.24,1266002,$42.75,$43.33,$42.485
11/24/2023,$43.12,431157,$43.59,$43.59,$42.76
11/22/2023,$43.11,989366,$43.74,$43.75,$43.03
11/21/2023,$43.31,1334906,$43.44,$43.97,$43.03
11/20/2023,$43.72,1365915,$43.03,$43.95,$42.60
11/17/2023,$43.18,1179468,$43.18,$43.68,$42.86
11/16/2023,$42.59,1182044,$42.61,$42.71,$41.83
11/15/2023,$42.63,2084845,$42.54,$43.55,$42.39
11/14/2023,$42.71,1564000,$41.26,$43.149,$40.86
11/13/2023,$39.89,1026679,$39.05,$39.925,$38.705
11/10/2023,$39.35,652693,$39.00,$39.38,$38.545
11/09/2023,$38.66,873378,$39.84,$39.89,$38.56
11/08/2023,$39.83,707506,$40.23,$40.23,$39.69
11/07/2023,$40.20,639879,$40.51,$40.65,$40.07
11/06/2023,$40.84,816595,$41.26,$41.45,$40.60
11/03/2023,$41.30,1328641,$40.58,$41.56,$40.365
11/02/2023,$39.62,990577,$38.04,$39.64,$37.83
11/01/2023,$37.95,959882,$37.86,$38.165,$37.18
10/31/2023,$37.97,1107354,$37.67,$38.01,$37.32
10/30/2023,$37.59,1173749,$37.33,$37.67,$36.69
10/27/2023,$36.81,892020,$37.88,$37.88,$36.51
10/26/2023,$38.07,1166179,$37.00,$38.41,$36.86
10/25/2023,$36.96,1636974,$36.91,$37.11,$36.3562
10/24/2023,$37.12,1702353,$37.92,$38.19,$36.90
10/23/2023,$37.81,1581587,$37.96,$38.85,$37.69
10/20/2023,$38.19,2202458,$40.01,$40.14,$38.11
10/19/2023,$40.13,1773492,$39.40,$41.35,$39.28
10/18/2023,$39.32,1265496,$40.18,$40.275,$39.25
10/17/2023,$40.74,2956301,$40.72,$41.20,$40.22
10/16/2023,$39.75,1226332,$39.18,$39.99,$39.12
10/13/2023,$38.61,1022914,$39.89,$40.13,$38.39
10/12/2023,$39.50,825823,$40.06,$40.115,$39.11
10/11/2023,$39.99,472464,$40.10,$40.78,$39.61
10/10/2023,$40.06,778700,$39.74,$40.48,$39.57
10/09/2023,$39.33,793296,$39.11,$39.56,$38.895
10/06/2023,$39.60,898493,$38.91,$40.09,$38.70
10/05/2023,$39.38,1403038,$38.24,$39.605,$38.24
10/04/2023,$38.50,1092709,$38.37,$38.62,$37.49
10/03/2023,$38.37,904135,$39.22,$39.22,$38.03
10/02/2023,$39.48,892681,$40.26,$40.52,$39.19
09/29/2023,$40.31,1633920,$40.19,$41.01,$39.98
09/28/2023,$39.61,3911544,$38.99,$40.045,$38.88
09/27/2023,$39.01,1459192,$40.21,$40.24,$38.70
09/26/2023,$39.86,837399,$39.87,$40.60,$39.66
09/25/2023,$40.46,685641,$39.93,$40.6799,$39.93
09/22/2023,$40.21,665043,$40.19,$40.51,$39.66
09/21/2023,$40.14,913239,$40.28,$40.81,$39.885
09/20/2023,$40.58,1379062,$40.92,$41.25,$40.55
09/19/2023,$40.50,1334247,$40.95,$41.21,$40.02
09/18/2023,$40.88,766474,$41.50,$41.50,$40.805
09/15/2023,$41.64,2876483,$41.41,$42.01,$41.25
09/14/2023,$41.95,916483,$42.57,$42.91,$41.73
09/13/2023,$41.99,703323,$42.66,$42.78,$41.47
09/12/2023,$42.46,721931,$42.32,$42.82,$41.75
09/11/2023,$41.69,1144548,$41.73,$42.21,$41.26
09/08/2023,$41.50,604909,$41.16,$41.69,$40.58
09/07/2023,$40.96,2102195,$41.33,$41.87,$40.86
09/06/2023,$41.65,835230,$42.66,$43.14,$41.37
09/05/2023,$42.89,974911,$43.28,$43.72,$42.87
09/01/2023,$43.56,1060121,$42.96,$43.84,$42.68
08/31/2023,$42.41,893012,$42.54,$43.125,$42.18
08/30/2023,$42.44,583276,$42.57,$42.96,$42.255
08/29/2023,$42.78,652348,$42.35,$43.25,$41.72
08/28/2023,$42.30,538096,$42.02,$42.56,$41.795
08/25/2023,$41.61,916164,$42.04,$42.18,$41.14
08/24/2023,$41.63,706469,$41.80,$42.61,$41.52
08/23/2023,$41.93,1012489,$41.08,$42.07,$40.81
08/22/2023,$41.19,974347,$41.83,$42.14,$41.07
08/21/2023,$42.02,564436,$42.14,$42.2099,$41.35
08/18/2023,$41.86,534707,$41.23,$42.09,$41.13
08/17/2023,$41.65,681262,$42.52,$42.59,$41.41
08/16/2023,$42.25,803148,$42.63,$42.99,$42.20
08/15/2023,$42.82,819480,$43.37,$43.48,$42.56
08/14/2023,$44.12,630874,$44.64,$44.64,$43.96
08/11/2023,$45.11,452780,$44.85,$45.43,$44.705
08/10/2023,$45.30,666566,$45.18,$46.00,$45.035
08/09/2023,$44.91,502067,$45.69,$45.69,$44.82
08/08/2023,$45.96,961435,$45.83,$46.04,$44.36
08/07/2023,$46.38,598493,$46.22,$46.54,$45.85
08/04/2023,$45.99,948067,$45.70,$46.59,$45.69
08/03/2023,$45.99,983595,$45.52,$46.24,$44.835
08/02/2023,$45.67,1116239,$45.26,$45.745,$44.47
08/01/2023,$45.89,1376706,$46.80,$46.80,$45.47
07/31/2023,$47.32,1041782,$47.45,$47.66,$47.02
07/28/2023,$47.35,742664,$47.35,$47.51,$46.62
07/27/2023,$46.35,1397076,$47.20,$47.685,$46.13
07/26/2023,$47.07,1393622,$46.64,$47.57,$46.13
07/25/2023,$45.82,1535641,$46.25,$46.67,$45.39
07/24/2023,$46.37,1273251,$44.99,$46.52,$44.97
07/21/2023,$44.92,1675669,$46.17,$46.19,$44.79
07/20/2023,$45.58,2135137,$45.00,$45.71,$43.43
07/19/2023,$44.33,1975510,$43.26,$44.41,$42.81
07/18/2023,$43.13,1096650,$41.46,$43.20,$41.32
07/17/2023,$41.38,749324,$40.92,$41.69,$40.43
07/14/2023,$40.99,1080496,$42.29,$42.29,$40.285
07/13/2023,$41.71,951787,$41.01,$41.84,$40.72
07/12/2023,$40.76,849996,$40.76,$41.1699,$40.25
07/11/2023,$39.86,959391,$39.37,$40.025,$39.00
07/10/2023,$39.40,1192588,$38.52,$39.56,$38.515
07/07/2023,$38.86,1580868,$37.68,$39.31,$37.68
07/06/2023,$37.70,1017870,$37.19,$37.79,$36.75
07/05/2023,$37.96,822489,$37.96,$38.66,$37.48
07/03/2023,$38.31,611553,$38.04,$38.74,$37.87
06/30/2023,$37.75,728086,$38.42,$38.50,$37.75
06/29/2023,$38.02,850987,$38.24,$38.82,$37.92
06/28/2023,$37.42,753247,$37.60,$37.76,$37.02
06/27/2023,$37.78,878876,$36.82,$38.17,$36.57
06/26/2023,$36.67,924696,$36.67,$37.68,$36.65
06/23/2023,$36.51,1209078,$36.66,$37.21,$36.22
06/22/2023,$37.24,1057981,$37.97,$37.97,$36.92
06/21/2023,$38.15,784663,$38.20,$38.54,$37.73
06/20/2023,$38.27,1059018,$38.60,$38.65,$37.78
06/16/2023,$38.78,2104225,$39.21,$39.415,$38.39
06/15/2023,$39.37,774933,$38.43,$39.54,$38.24
06/14/2023,$38.86,1098879,$40.21,$40.55,$38.49
06/13/2023,$40.19,1084548,$38.79,$40.21,$38.26
06/12/2023,$38.73,1624709,$38.83,$39.95,$38.33
06/09/2023,$38.75,2147281,$39.63,$39.71,$38.25
06/08/2023,$39.93,1399233,$40.25,$40.86,$39.51
06/07/2023,$40.69,1617714,$40.33,$40.95,$39.315
06/06/2023,$39.43,1345957,$37.28,$40.46,$37.12
06/05/2023,$37.55,993775,$38.55,$38.55,$37.08
06/02/2023,$38.47,1072668,$37.11,$38.76,$36.69
06/01/2023,$36.33,1271924,$36.05,$36.58,$35.495
05/31/2023,$35.55,2340986,$36.05,$36.09,$34.855
05/30/2023,$36.54,782928,$37.13,$37.30,$36.03
05/26/2023,$36.89,624086,$36.51,$36.93,$35.69
05/25/2023,$36.42,716282,$36.16,$36.54,$35.45
05/24/2023,$36.09,932718,$36.41,$36.61,$35.85
05/23/2023,$36.85,1035595,$37.36,$38.33,$36.81
05/22/2023,$37.40,1088150,$36.63,$37.53,$36.19
05/19/2023,$35.94,1067321,$36.70,$36.70,$35.2525
05/18/2023,$36.36,1104438,$36.64,$37.175,$36.18
05/17/2023,$36.63,2070018,$34.39,$36.88,$34.35
05/16/2023,$33.64,2110015,$33.46,$34.08,$33.175
05/15/2023,$33.35,2116528,$32.66,$33.66,$32.66
05/12/2023,$32.56,1348457,$33.04,$33.05,$31.84
05/11/2023,$32.66,1725089,$31.89,$32.78,$31.6201
05/10/2023,$32.61,842306,$34.07,$34.19,$32.04
05/09/2023,$33.32,1342928,$32.69,$33.65,$32.16
05/08/2023,$33.15,1099019,$34.74,$34.74,$32.91
05/05/2023,$33.94,1851220,$33.40,$34.59,$33.22
05/04/2023,$32.24,2273571,$32.64,$33.38,$31.03
05/03/2023,$33.73,2007961,$34.71,$35.74,$33.52
05/02/2023,$34.48,1944847,$36.58,$36.58,$34.08
05/01/2023,$36.86,1444270,$37.29,$37.85,$36.74
04/28/2023,$37.30,1321656,$36.61,$37.83,$36.61
04/27/2023,$36.95,1422617,$37.00,$37.22,$36.27
04/26/2023,$36.77,1437055,$36.30,$37.55,$36.23
04/25/2023,$36.12,1246452,$37.31,$37.645,$35.96
04/24/2023,$38.11,1001946,$38.50,$38.91,$37.92
04/21/2023,$38.68,1421085,$38.45,$39.11,$37.85
04/20/2023,$38.62,2225276,$38.07,$41.00,$38.07
04/19/2023,$39.71,1627864,$38.30,$40.06,$38.0166
04/18/2023,$38.11,1219287,$38.90,$39.1099,$37.67
04/17/2023,$38.97,1511103,$37.00,$39.08,$36.5796
04/14/2023,$37.26,1623727,$39.10,$39.24,$36.80
04/13/2023,$38.27,1582247,$37.14,$38.48,$36.78
04/12/2023,$37.03,1214991,$37.81,$38.04,$36.73
04/11/2023,$37.46,1322944,$37.41,$37.86,$36.99
04/10/2023,$37.34,1010805,$36.78,$37.79,$36.49
04/06/2023,$37.12,1033980,$36.95,$37.63,$36.76
04/05/2023,$36.86,1355891,$36.50,$37.07,$36.03
04/04/2023,$37.56,1255583,$38.99,$38.99,$37.02
04/03/2023,$38.58,1343989,$39.50,$39.79,$38.32
03/31/2023,$39.42,1045889,$39.57,$39.7837,$38.95
03/30/2023,$39.01,1855924,$40.41,$40.42,$38.95
03/29/2023,$39.75,1005134,$39.94,$40.08,$39.19
03/28/2023,$39.27,851518,$38.64,$39.447,$38.39
03/27/2023,$38.91,1020554,$40.33,$40.78,$38.62
03/24/2023,$38.62,1835767,$36.81,$38.715,$36.49
03/23/2023,$37.64,1353065,$39.55,$39.935,$37.51
03/22/2023,$39.05,1394383,$41.93,$41.93,$38.99
03/21/2023,$41.92,2043439,$41.295,$42.18,$40.65
03/20/2023,$39.15,2522943,$39.19,$40.49,$38.81
03/17/2023,$38.24,6721838,$39.70,$40.05,$37.76
03/16/2023,$40.75,3553020,$37.45,$41.57,$36.60
03/15/2023,$38.14,3016494,$37.87,$38.45,$36.87
03/14/2023,$39.64,4119148,$39.57,$41.695,$38.93
03/13/2023,$37.55,6406243,$38.51,$40.45,$36.94
03/10/2023,$43.03,3941112,$43.98,$44.23,$40.34
03/09/2023,$45.25,1984603,$48.69,$48.69,$45.22
03/08/2023,$49.30,778627,$50.03,$50.20,$49.19
03/07/2023,$50.04,986756,$51.34,$51.34,$50.02
03/06/2023,$51.60,853143,$51.84,$52.76,$51.38
03/03/2023,$52.06,954236,$52.47,$52.47,$51.39
03/02/2023,$51.98,1560639,$51.63,$52.22,$50.70
03/01/2023,$52.14,1912943,$52.48,$52.77,$51.50
02/28/2023,$53.12,1388173,$53.65,$53.65,$52.97
02/27/2023,$53.28,772178,$53.89,$54.01,$52.91
02/24/2023,$53.33,641689,$52.49,$53.35,$52.49
02/23/2023,$53.41,582180,$53.90,$54.29,$52.86
02/22/2023,$53.54,705484,$54.19,$54.19,$53.12
02/21/2023,$53.84,760013,$54.52,$54.73,$53.55
02/17/2023,$54.97,633774,$55.20,$55.30,$54.67
02/16/2023,$55.25,847774,$54.31,$55.83,$54.12
02/15/2023,$55.01,846582,$54.60,$55.4394,$54.37
02/14/2023,$55.13,939962,$55.40,$56.00,$54.57
02/13/2023,$55.58,968792,$54.68,$55.80,$54.04
02/10/2023,$54.68,733365,$54.21,$54.81,$54.02
02/09/2023,$54.43,742057,$55.53,$55.80,$54.33
02/08/2023,$55.28,649182,$55.21,$55.50,$54.96
02/07/2023,$55.65,721800,$54.89,$55.78,$54.59
02/06/2023,$55.13,819496,$54.71,$55.36,$54.65
02/03/2023,$55.09,1041673,$53.96,$55.55,$53.96
02/02/2023,$54.59,1288244,$54.04,$54.60,$53.56
02/01/2023,$53.79,1336272,$52.32,$54.16,$52.22
01/31/2023,$52.65,1252662,$50.25,$52.69,$50.05
01/30/2023,$50.25,1019698,$50.51,$51.075,$50.14
01/27/2023,$50.84,1273909,$51.13,$51.28,$50.14
01/26/2023,$51.19,2308888,$48.03,$52.26,$47.915
01/25/2023,$47.30,1918429,$46.62,$47.32,$46.165
01/24/2023,$46.92,873221,$47.35,$47.35,$46.39
01/23/2023,$47.46,984496,$46.78,$47.66,$46.52
01/20/2023,$46.53,917612,$45.48,$46.57,$45.24
01/19/2023,$45.15,983483,$45.10,$45.50,$44.62
01/18/2023,$45.39,808726,$47.27,$47.53,$45.38
01/17/2023,$47.68,496823,$48.12,$48.13,$47.21
01/13/2023,$48.01,580524,$48.05,$48.20,$47.12
01/12/2023,$48.54,587883,$48.17,$48.82,$47.67
01/11/2023,$47.56,560776,$47.58,$48.03,$47.35
01/10/2023,$47.47,478362,$47.31,$47.58,$46.90
01/09/2023,$47.35,618126,$47.98,$47.99,$47.29
01/06/2023,$47.86,674481,$46.85,$48.05,$46.43
01/05/2023,$46.53,941998,$46.72,$46.86,$45.89
01/04/2023,$46.83,1050557,$47.37,$47.72,$46.58
01/03/2023,$46.84,1068609,$47.67,$48.00,$46.305
12/30/2022,$47.34,776408,$46.84,$47.355,$46.62
12/29/2022,$47.13,499619,$46.37,$47.20,$46.20
12/28/2022,$46.30,696914,$46.88,$46.88,$46.28
12/27/2022,$46.73,430387,$46.78,$47.07,$46.43
12/23/2022,$46.73,524926,$46.28,$47.03,$46.20
12/22/2022,$46.26,926149,$45.83,$46.295,$45.48
12/21/2022,$46.18,1307712,$46.38,$47.065,$45.95
12/20/2022,$45.84,1096142,$45.72,$46.22,$45.48
12/19/2022,$45.36,1585644,$44.62,$45.55,$44.62
12/16/2022,$44.50,3683075,$44.16,$44.535,$43.41
12/15/2022,$44.40,1764961,$44.60,$44.80,$43.78
12/14/2022,$45.17,1446001,$45.76,$46.08,$44.86
12/13/2022,$45.84,2094099,$48.25,$48.44,$45.43
12/12/2022,$47.46,949660,$47.21,$47.70,$46.61
12/09/2022,$47.21,898886,$47.505,$47.73,$46.91
12/08/2022,$47.42,1103076,$48.41,$48.41,$46.94
12/07/2022,$48.03,1587110,$47.94,$48.19,$46.79
12/06/2022,$47.95,1732423,$49.88,$50.08,$47.58
12/05/2022,$49.82,1403953,$53.66,$53.66,$49.55
12/02/2022,$53.84,497895,$53.26,$54.13,$53.26
12/01/2022,$53.72,689988,$54.45,$54.86,$53.46
11/30/2022,$54.34,1188825,$53.40,$54.39,$52.335
11/29/2022,$53.40,495660,$52.80,$53.62,$52.49
11/28/2022,$52.73,635464,$53.10,$53.36,$52.635
11/25/2022,$53.59,227665,$53.44,$54.05,$52.98
11/23/2022,$53.16,624210,$53.59,$53.93,$53.04
11/22/2022,$53.83,407453,$53.61,$53.84,$53.21
11/21/2022,$53.07,403667,$52.56,$53.23,$52.56
11/18/2022,$52.61,481110,$52.90,$52.90,$51.94
11/17/2022,$52.01,741191,$51.73,$52.24,$50.99
11/16/2022,$52.36,525290,$53.14,$53.18,$52.11
11/15/2022,$53.12,917073,$54.01,$54.44,$52.53
11/14/2022,$53.05,803725,$52.99,$53.80,$52.79
11/11/2022,$53.35,1448830,$55.79,$56.105,$53.24
11/10/2022,$55.40,1127892,$55.49,$56.46,$54.76
11/09/2022,$53.96,801295,$54.34,$54.89,$53.60
11/08/2022,$55.06,841020,$54.71,$55.70,$54.14
11/07/2022,$54.55,480342,$54.78,$54.79,$53.96
11/04/2022,$54.12,572952,$53.52,$54.19,$53.09
11/03/2022,$52.34,677676,$51.81,$52.64,$51.14
11/02/2022,$52.67,853297,$54.42,$54.43,$52.56
11/01/2022,$54.58,733072,$54.90,$55.0288,$54.345
10/31/2022,$54.26,963741,$53.81,$54.77,$53.81
10/28/2022,$53.94,854406,$53.43,$54.065,$52.99
10/27/2022,$53.07,1020229,$53.36,$53.99,$52.97
10/26/2022,$52.79,901948,$52.86,$53.56,$52.565
10/25/2022,$52.87,898994,$51.62,$52.945,$51.17
10/24/2022,$52.23,1344971,$51.06,$52.31,$50.78
10/21/2022,$50.87,1408661,$50.10,$51.00,$49.23
10/20/2022,$49.53,2614217,$48.37,$51.95,$48.01
10/19/2022,$48.55,1112439,$49.23,$49.96,$48.12
10/18/2022,$49.55,818623,$49.92,$50.048,$48.83
10/17/2022,$48.80,960963,$48.81,$49.12,$48.10
10/14/2022,$47.73,1025369,$48.49,$49.34,$47.56
10/13/2022,$47.94,1346495,$45.00,$48.165,$44.32
10/12/2022,$45.67,1232737,$46.02,$46.41,$45.14
10/11/2022,$46.02,1051529,$46.14,$46.82,$45.40
10/10/2022,$46.48,720620,$46.94,$47.06,$45.96
10/07/2022,$46.67,893656,$47.51,$47.51,$46.15
10/06/2022,$47.88,740317,$48.04,$48.6692,$47.67
10/05/2022,$48.31,832084,$47.99,$48.505,$47.7962
10/04/2022,$48.75,774708,$47.22,$48.80,$47.16
10/03/2022,$46.42,776455,$45.89,$46.66,$44.95
09/30/2022,$45.20,869177,$45.35,$46.135,$45.06
09/29/2022,$45.18,875668,$45.28,$45.51,$44.59
09/28/2022,$46.00,878413,$44.82,$46.36,$44.72
09/27/2022,$44.67,843760,$45.60,$45.99,$44.08
09/26/2022,$45.22,1290620,$44.72,$45.70,$44.72
09/23/2022,$45.10,1494304,$45.38,$45.5975,$44.43
09/22/2022,$45.99,1566567,$46.94,$46.99,$45.74
09/21/2022,$46.85,867578,$47.50,$48.00,$46.85
09/20/2022,$47.24,709727,$47.15,$47.55,$46.80
09/19/2022,$47.54,860056,$46.04,$47.79,$46.04
09/16/2022,$46.71,3599396,$46.81,$47.02,$45.85
09/15/2022,$47.72,1095755,$47.87,$48.76,$47.68
09/14/2022,$47.84,1115195,$47.80,$47.95,$46.935
09/13/2022,$47.62,1078893,$47.96,$48.35,$47.31
09/12/2022,$49.13,936120,$48.64,$49.65,$48.46
09/09/2022,$48.55,679215,$48.09,$48.66,$47.97
09/08/2022,$47.75,742878,$45.82,$47.78,$45.62
09/07/2022,$46.25,586457,$44.97,$46.37,$44.70
09/06/2022,$45.00,950299,$46.05,$46.05,$44.37
09/02/2022,$45.81,1015806,$47.28,$47.52,$45.55
09/01/2022,$46.64,1015206,$46.83,$46.83,$45.89
08/31/2022,$47.05,1132731,$47.20,$47.44,$46.72
08/30/2022,$47.18,562769,$47.66,$47.71,$46.56
08/29/2022,$47.41,850693,$47.66,$47.93,$47.11
08/26/2022,$48.04,775778,$48.90,$49.03,$47.99
08/25/2022,$48.81,561095,$47.98,$48.93,$47.94
08/24/2022,$47.86,463446,$47.97,$48.0525,$47.54
08/23/2022,$48.04,494158,$47.86,$48.45,$47.86
08/22/2022,$47.80,499224,$48.28,$48.28,$47.56
08/19/2022,$49.10,584166,$49.43,$49.65,$48.6747
08/18/2022,$49.88,421284,$49.62,$49.93,$49.31
08/17/2022,$49.64,452038,$49.48,$49.98,$49.01
08/16/2022,$50.18,630674,$49.35,$50.32,$49.35
08/15/2022,$49.64,437306,$49.22,$49.80,$48.97
08/12/2022,$49.78,529562,$49.30,$49.78,$48.82
08/11/2022,$48.88,491042,$48.60,$49.26,$48.60
08/10/2022,$48.04,576489,$47.09,$48.15,$47.025
08/09/2022,$46.31,538434,$46.11,$46.37,$45.725
