Date,Close/Last,Volume,Open,High,Low
01/05/2024,$50.05,4766043,$49.69,$50.35,$49.67
01/04/2024,$50.02,4641022,$50.30,$50.79,$49.94
01/03/2024,$50.34,5918025,$50.09,$50.91,$50.00
01/02/2024,$50.86,7190574,$51.76,$51.95,$50.68
12/29/2023,$52.37,3478073,$52.82,$53.01,$52.14
12/28/2023,$52.93,4200007,$52.50,$52.95,$52.35
12/27/2023,$52.42,2167187,$52.87,$53.18,$52.28
12/26/2023,$52.76,2010869,$52.74,$53.21,$52.68
12/22/2023,$52.66,2936503,$52.50,$52.88,$52.23
12/21/2023,$52.38,7347048,$51.25,$52.42,$50.8501
12/20/2023,$49.41,5201827,$50.84,$50.87,$49.36
12/19/2023,$50.94,3798863,$50.52,$51.095,$50.29
12/18/2023,$50.52,3150408,$50.57,$50.90,$50.28
12/15/2023,$50.68,7288076,$51.00,$51.32,$50.26
12/14/2023,$51.15,8115047,$50.99,$52.2303,$50.90
12/13/2023,$50.43,6881893,$49.56,$50.68,$49.56
12/12/2023,$49.62,4887133,$49.27,$50.14,$49.14
12/11/2023,$49.24,6057839,$48.425,$49.68,$48.39
12/08/2023,$47.86,8455556,$47.13,$48.11,$47.03
12/07/2023,$47.31,3807279,$47.38,$47.73,$46.7506
12/06/2023,$46.82,3429101,$47.79,$48.65,$46.77
12/05/2023,$46.77,3087666,$47.20,$47.50,$46.47
12/04/2023,$47.47,3843959,$47.68,$48.03,$46.90
12/01/2023,$48.39,11465090,$47.85,$48.86,$47.62
11/30/2023,$48.31,16745640,$47.57,$48.43,$46.96
11/29/2023,$47.32,4765897,$47.62,$48.23,$47.125
11/28/2023,$46.89,4208817,$46.93,$47.13,$46.42
11/27/2023,$47.21,4263734,$46.41,$47.53,$46.285
11/24/2023,$46.60,2262093,$46.56,$46.79,$46.05
11/22/2023,$46.91,3444142,$46.41,$47.24,$46.41
11/21/2023,$46.24,4360645,$46.61,$47.04,$46.11
11/20/2023,$47.35,3757132,$46.70,$47.42,$46.60
11/17/2023,$46.62,3469866,$46.30,$46.81,$46.11
11/16/2023,$46.01,3537304,$45.69,$46.34,$45.23
11/15/2023,$46.03,3625556,$45.53,$46.255,$45.23
11/14/2023,$45.87,4253912,$46.17,$46.48,$45.70
11/13/2023,$45.18,3457999,$44.68,$45.19,$44.13
11/10/2023,$45.00,4024340,$44.36,$45.185,$44.04
11/09/2023,$44.18,6196858,$43.70,$45.29,$43.58
11/08/2023,$43.255,3119767,$43.10,$43.46,$42.6501
11/07/2023,$43.09,5720400,$42.82,$43.25,$42.44
11/06/2023,$43.17,4426017,$42.72,$43.70,$41.78
11/03/2023,$43.01,4479838,$42.37,$43.71,$42.2859
11/02/2023,$42.16,7657624,$41.875,$42.93,$41.83
11/01/2023,$41.74,20959940,$39.82,$41.86,$39.76
10/31/2023,$40.15,19497620,$39.00,$41.55,$38.43
10/30/2023,$41.80,16960120,$43.15,$44.17,$40.8101
10/27/2023,$38.97,6533346,$38.67,$39.41,$38.08
10/26/2023,$38.26,17872240,$42.10,$42.34,$35.62
10/25/2023,$42.18,2764352,$42.94,$43.485,$42.03
10/24/2023,$42.96,4314415,$42.30,$43.00,$42.195
10/23/2023,$41.81,4064363,$42.45,$42.68,$41.65
10/20/2023,$42.86,3768555,$43.01,$43.42,$42.65
10/19/2023,$43.06,3407117,$44.39,$44.57,$42.83
10/18/2023,$44.45,3809634,$43.84,$44.97,$43.83
10/17/2023,$44.14,7855161,$45.11,$46.01,$43.5805
10/16/2023,$45.75,2241587,$45.79,$45.99,$45.36
10/13/2023,$45.70,3111423,$46.07,$46.65,$45.59
10/12/2023,$45.62,2998393,$46.50,$46.6282,$45.382
10/11/2023,$46.39,2501831,$45.35,$46.40,$45.35
10/10/2023,$45.35,2192743,$45.40,$46.03,$45.20
10/09/2023,$45.40,2171409,$45.88,$46.01,$44.82
10/06/2023,$46.40,3196192,$45.85,$46.575,$45.52
10/05/2023,$46.11,4017781,$46.51,$47.14,$45.62
10/04/2023,$45.29,2445402,$44.97,$45.34,$44.55
10/03/2023,$44.82,2146236,$45.24,$46.10,$44.65
10/02/2023,$45.47,2580482,$45.86,$46.515,$45.24
09/29/2023,$45.63,2512105,$46.05,$46.17,$45.54
09/28/2023,$45.80,3282054,$44.62,$46.0006,$44.59
09/27/2023,$44.56,2547739,$44.66,$45.22,$44.275
09/26/2023,$44.27,3571053,$44.24,$44.935,$43.735
09/25/2023,$44.62,2685874,$44.79,$45.17,$44.385
09/22/2023,$45.14,5078769,$44.84,$46.51,$44.83
09/21/2023,$44.44,3855838,$45.16,$45.48,$44.39
09/20/2023,$45.65,8479541,$45.75,$46.89,$45.49
09/19/2023,$43.92,3159083,$43.60,$44.28,$43.43
09/18/2023,$43.65,2207975,$43.62,$44.09,$43.08
09/15/2023,$43.60,4482657,$43.632,$43.8366,$43.28
09/14/2023,$43.69,2493376,$43.65,$43.86,$43.14
09/13/2023,$43.22,3215746,$42.73,$43.76,$42.68
09/12/2023,$42.30,3479912,$42.70,$43.54,$42.22
09/11/2023,$42.90,2371142,$43.98,$44.05,$42.78
09/08/2023,$43.47,2708985,$43.40,$43.87,$43.16
09/07/2023,$43.43,4383768,$44.34,$44.34,$43.12
09/06/2023,$45.44,3397453,$45.42,$45.89,$45.01
09/05/2023,$45.79,4401991,$45.40,$46.33,$45.07
09/01/2023,$45.96,3226294,$45.31,$46.31,$45.18
08/31/2023,$45.00,6968597,$43.81,$45.63,$43.77
08/30/2023,$42.52,3508758,$41.68,$43.04,$41.66
08/29/2023,$41.55,2310745,$41.35,$41.72,$40.96
08/28/2023,$41.41,4268623,$40.15,$41.515,$40.02
08/25/2023,$39.49,2659561,$39.93,$40.02,$38.84
08/24/2023,$39.87,1922846,$41.26,$41.29,$39.82
08/23/2023,$41.05,1498115,$40.33,$41.225,$40.18
08/22/2023,$40.42,1836248,$40.76,$40.86,$40.165
08/21/2023,$40.40,1462238,$39.69,$40.445,$39.55
08/18/2023,$39.74,2405785,$39.51,$39.95,$39.23
08/17/2023,$40.29,2253784,$40.64,$41.28,$40.13
08/16/2023,$40.42,2366735,$40.76,$40.865,$40.10
08/15/2023,$41.05,2987708,$42.24,$42.27,$41.025
08/14/2023,$42.60,2016477,$42.11,$42.73,$42.09
08/11/2023,$41.88,1862576,$41.89,$42.32,$41.80
08/10/2023,$42.15,2914876,$43.10,$43.17,$41.71
08/09/2023,$42.58,2743022,$42.95,$43.12,$42.45
08/08/2023,$43.16,3489108,$43.07,$43.44,$42.245
08/07/2023,$43.50,2130856,$43.80,$43.99,$43.20
08/04/2023,$43.45,3906487,$43.12,$44.265,$42.85
08/03/2023,$43.26,3813479,$42.03,$43.665,$41.75
08/02/2023,$42.42,3805345,$42.30,$43.04,$42.18
08/01/2023,$42.87,5514519,$42.00,$43.015,$41.19
07/31/2023,$42.56,5952417,$42.30,$42.78,$42.135
07/28/2023,$42.03,3953824,$42.31,$42.72,$41.87
07/27/2023,$41.68,5722531,$40.30,$42.04,$40.30
07/26/2023,$38.88,2512738,$38.43,$39.15,$38.43
07/25/2023,$38.64,2659797,$39.04,$39.14,$38.39
07/24/2023,$38.92,3532686,$38.37,$39.005,$38.14
07/21/2023,$38.30,2727379,$38.56,$38.74,$37.91
07/20/2023,$38.28,4058726,$38.54,$38.87,$38.09
07/19/2023,$38.93,3225460,$38.93,$39.67,$38.84
07/18/2023,$38.46,3941497,$38.76,$38.90,$37.825
