Date,Close/Last,Volume,Open,High,Low
01/05/2024,$86.24,1578739,$85.76,$86.65,$85.36
01/04/2024,$85.92,2326624,$85.70,$86.89,$85.57
01/03/2024,$86.61,1979704,$86.61,$86.77,$85.745
01/02/2024,$86.32,2582766,$84.00,$86.34,$83.75
12/29/2023,$84.17,1362598,$83.71,$84.32,$83.56
12/28/2023,$84.05,1459772,$83.15,$84.24,$83.15
12/27/2023,$83.45,1564397,$83.54,$83.70,$83.05
12/26/2023,$83.64,1266804,$82.75,$83.83,$82.6975
12/22/2023,$82.94,1419785,$82.98,$83.77,$82.73
12/21/2023,$82.35,1994095,$82.08,$82.84,$81.53
12/20/2023,$81.79,2853280,$83.49,$83.63,$81.76
12/19/2023,$83.26,1603618,$82.64,$83.35,$82.135
12/18/2023,$82.38,2841976,$82.83,$83.14,$81.90
12/15/2023,$82.46,4694304,$83.76,$83.92,$81.62
12/14/2023,$84.62,3011552,$87.53,$87.66,$84.455
12/13/2023,$87.00,2418860,$83.00,$87.04,$82.545
12/12/2023,$83.03,2907186,$84.42,$84.42,$82.84
12/11/2023,$84.21,2264978,$83.85,$84.275,$83.19
12/08/2023,$84.07,1712901,$84.96,$85.0477,$83.41
12/07/2023,$85.00,1725894,$85.00,$85.56,$84.32
12/06/2023,$84.91,1575612,$84.18,$84.94,$83.76
12/05/2023,$83.73,1882136,$85.00,$85.2157,$83.64
12/04/2023,$85.00,1614922,$84.32,$85.59,$84.305
12/01/2023,$84.97,2006804,$83.64,$84.98,$83.24
11/30/2023,$83.62,2563396,$83.17,$83.75,$82.52
11/29/2023,$82.97,2203592,$83.13,$84.18,$82.84
11/28/2023,$83.16,2389312,$82.25,$83.96,$82.07
11/27/2023,$82.22,2132287,$81.67,$82.335,$80.965
11/24/2023,$81.60,692021,$81.63,$81.72,$80.96
11/22/2023,$81.48,1321346,$81.14,$81.52,$80.57
11/21/2023,$80.92,1509939,$81.53,$81.82,$80.34
11/20/2023,$81.32,2030394,$81.34,$81.68,$79.98
11/17/2023,$81.74,2180690,$82.81,$82.81,$81.545
11/16/2023,$82.37,2945455,$82.18,$83.325,$81.83
11/15/2023,$81.43,1985998,$81.21,$82.47,$81.035
11/14/2023,$81.51,2017369,$81.04,$82.10,$80.72
11/13/2023,$79.38,1970954,$79.59,$79.90,$78.79
11/10/2023,$80.31,2006274,$79.97,$80.40,$79.45
11/09/2023,$79.63,1992565,$81.25,$81.595,$79.60
11/08/2023,$81.00,1764994,$81.55,$81.72,$80.17
11/07/2023,$82.05,1696271,$82.54,$82.62,$81.83
11/06/2023,$82.76,1642407,$83.86,$84.09,$82.69
11/03/2023,$83.95,1505924,$84.86,$85.29,$83.94
11/02/2023,$83.89,2129507,$82.39,$84.55,$82.38
11/01/2023,$82.56,2575574,$81.66,$83.255,$80.97
10/31/2023,$81.39,3728902,$83.79,$83.79,$80.10
10/30/2023,$81.60,2421323,$82.00,$82.705,$81.00
10/27/2023,$81.73,1328211,$82.71,$83.38,$81.40
10/26/2023,$83.13,1355089,$82.51,$83.86,$82.32
10/25/2023,$82.32,1243051,$81.36,$82.47,$81.27
10/24/2023,$81.58,1570853,$81.39,$81.92,$81.2778
10/23/2023,$80.53,1586904,$80.28,$81.65,$79.78
10/20/2023,$81.20,1655345,$82.45,$83.17,$81.19
10/19/2023,$82.45,1387611,$82.69,$83.36,$82.14
10/18/2023,$83.01,1603420,$83.31,$83.755,$82.59
10/17/2023,$83.43,2184100,$82.68,$83.5475,$82.48
10/16/2023,$83.62,1522516,$82.74,$83.79,$81.93
10/13/2023,$82.52,1890580,$82.17,$82.60,$81.35
10/12/2023,$81.30,1679604,$82.60,$82.93,$80.97
10/11/2023,$82.95,1513026,$82.53,$83.12,$81.82
10/10/2023,$82.24,2113347,$81.68,$82.38,$81.21
10/09/2023,$81.72,1892710,$80.72,$81.75,$80.45
10/06/2023,$80.63,2639686,$78.39,$81.05,$77.76
10/05/2023,$79.30,2544205,$78.87,$79.92,$78.43
10/04/2023,$79.22,2608697,$78.54,$79.40,$77.235
10/03/2023,$78.24,2673958,$76.44,$78.45,$75.47
10/02/2023,$77.03,2669133,$80.02,$80.065,$76.2478
09/29/2023,$80.55,1760920,$80.60,$81.06,$79.98
09/28/2023,$79.88,2097287,$80.88,$80.965,$79.22
09/27/2023,$80.57,2098241,$81.18,$81.84,$80.43
09/26/2023,$81.64,1755956,$84.56,$84.56,$81.52
09/25/2023,$84.73,1527409,$85.00,$85.3587,$84.03
09/22/2023,$85.44,1858514,$85.88,$86.38,$85.33
09/21/2023,$86.31,1351845,$87.11,$87.41,$86.133
09/20/2023,$87.16,1283082,$87.06,$87.89,$86.67
09/19/2023,$86.70,1391818,$86.57,$87.23,$86.51
09/18/2023,$86.68,1565372,$86.48,$87.20,$85.99
09/15/2023,$86.26,2351676,$86.53,$87.53,$86.19
09/14/2023,$86.81,1155408,$86.12,$86.85,$85.86
09/13/2023,$85.71,1635465,$84.58,$86.166,$84.4622
09/12/2023,$84.45,1227165,$84.57,$84.75,$84.00
09/11/2023,$84.53,996994,$84.25,$85.08,$84.25
09/08/2023,$84.67,1505049,$83.81,$84.91,$83.531
09/07/2023,$83.63,1404811,$82.81,$83.95,$82.602
09/06/2023,$82.07,1518553,$82.20,$82.67,$81.77
09/05/2023,$82.02,1758235,$83.02,$83.13,$81.43
09/01/2023,$83.11,1493516,$84.40,$84.57,$82.175
08/31/2023,$84.12,1199498,$85.31,$85.485,$84.12
08/30/2023,$85.23,849783,$85.36,$85.91,$84.80
08/29/2023,$85.42,1034377,$85.33,$86.01,$85.05
08/28/2023,$85.25,948277,$85.21,$85.81,$85.00
08/25/2023,$85.10,1167483,$84.96,$85.53,$84.58
08/24/2023,$84.59,830734,$84.63,$86.06,$84.52
08/23/2023,$84.76,1232364,$85.33,$85.48,$84.22
08/22/2023,$85.06,842897,$84.98,$85.43,$84.77
08/21/2023,$85.09,1146071,$85.88,$85.97,$84.655
08/18/2023,$85.99,1412255,$84.98,$86.20,$84.955
08/17/2023,$84.98,1168065,$85.26,$85.85,$84.905
08/16/2023,$84.96,1102447,$84.49,$85.22,$84.49
08/15/2023,$84.23,1239561,$85.67,$85.83,$84.22
08/14/2023,$86.18,1017618,$86.77,$86.9099,$85.645
08/11/2023,$86.77,1047223,$86.54,$87.07,$86.08
08/10/2023,$87.08,1745859,$87.47,$88.12,$86.74
08/09/2023,$87.28,1184572,$87.51,$88.38,$87.13
08/08/2023,$87.69,1610591,$87.50,$87.80,$86.48
08/07/2023,$87.49,1600319,$87.54,$88.095,$87.27
08/04/2023,$87.27,1482089,$88.55,$89.44,$86.51
08/03/2023,$88.26,1755718,$89.04,$89.3143,$87.47
08/02/2023,$89.52,1007085,$89.11,$90.22,$89.035
08/01/2023,$89.61,1888209,$90.38,$91.44,$89.445
07/31/2023,$89.86,1227296,$90.51,$90.82,$89.35
07/28/2023,$90.06,1148372,$91.17,$91.43,$89.635
07/27/2023,$90.58,1540416,$92.20,$92.83,$90.32
07/26/2023,$92.54,1148242,$91.96,$93.37,$91.74
07/25/2023,$92.04,1330345,$92.31,$92.54,$91.72
07/24/2023,$92.21,830357,$92.62,$92.65,$91.52
07/21/2023,$92.37,997266,$91.52,$92.77,$91.37
07/20/2023,$91.26,983764,$89.93,$91.29,$89.05
07/19/2023,$89.63,1074111,$89.08,$90.34,$89.08
07/18/2023,$88.68,1260598,$89.57,$90.26,$87.835
07/17/2023,$89.52,1297610,$91.09,$91.48,$89.42
07/14/2023,$91.40,1489099,$91.34,$91.76,$90.745
07/13/2023,$91.52,1080340,$90.70,$91.53,$90.59
07/12/2023,$90.81,1328690,$89.82,$90.9431,$89.61
07/11/2023,$89.49,997335,$88.55,$89.51,$88.35
07/10/2023,$88.51,1235636,$88.59,$89.16,$87.70
07/07/2023,$88.98,955207,$89.25,$89.74,$88.78
07/06/2023,$89.98,1127401,$89.88,$90.19,$88.90
07/05/2023,$90.35,1626617,$89.20,$90.885,$88.635
07/03/2023,$89.32,682852,$87.93,$89.36,$87.82
06/30/2023,$88.24,1281595,$87.39,$88.49,$87.21
06/29/2023,$87.25,1045571,$86.87,$87.89,$86.51
06/28/2023,$87.44,1498557,$88.43,$88.43,$87.06
06/27/2023,$88.70,1274441,$88.97,$89.65,$88.70
06/26/2023,$88.92,1354024,$88.26,$89.10,$87.63
06/23/2023,$87.90,1754773,$89.73,$90.03,$87.66
06/22/2023,$89.28,1238640,$91.00,$91.01,$88.945
06/21/2023,$90.69,1291747,$89.56,$90.74,$88.56
06/20/2023,$90.02,1501103,$90.98,$91.28,$89.94
06/16/2023,$91.43,1966929,$91.86,$92.5572,$91.31
06/15/2023,$91.58,1229719,$90.88,$91.79,$90.61
06/14/2023,$90.53,1456490,$90.51,$91.95,$90.41
06/13/2023,$90.28,1851403,$89.11,$90.83,$88.91
06/12/2023,$89.81,1273945,$90.26,$90.35,$89.32
06/09/2023,$89.93,1690295,$90.52,$90.62,$89.81
06/08/2023,$90.37,1375251,$89.35,$90.535,$88.85
06/07/2023,$89.48,1633778,$87.40,$89.575,$86.6149
06/06/2023,$87.53,1277244,$88.38,$88.92,$87.14
06/05/2023,$87.75,1058705,$87.05,$88.94,$87.0201
06/02/2023,$87.08,2320909,$85.47,$87.89,$85.32
06/01/2023,$86.19,2598589,$87.55,$87.8232,$85.4135
