Date,Close/Last,Volume,Open,High,Low
10/23/2023,$27.49,516342,$27.57,$27.89,$27.43
10/20/2023,$27.69,589595,$27.68,$27.99,$27.47
10/19/2023,$27.73,1231876,$27.55,$28.10,$27.515
10/18/2023,$27.66,520740,$27.57,$27.93,$27.515
10/17/2023,$27.51,1650158,$27.30,$27.64,$27.22
10/16/2023,$27.37,698226,$27.46,$27.66,$27.23
10/13/2023,$27.42,1134950,$27.37,$27.505,$27.09
10/12/2023,$27.19,951403,$27.43,$27.43,$27.03
10/11/2023,$27.43,1294830,$27.65,$27.75,$27.36
10/10/2023,$27.66,514117,$27.59,$27.93,$27.51
10/09/2023,$27.57,569418,$27.08,$27.61,$27.08
10/06/2023,$26.82,574307,$26.78,$27.17,$26.63
10/05/2023,$26.81,766557,$26.40,$26.905,$26.40
10/04/2023,$26.50,1225351,$26.66,$26.66,$26.14
10/03/2023,$26.77,1988696,$26.90,$27.13,$26.51
10/02/2023,$27.08,1267422,$27.27,$27.27,$26.77
09/29/2023,$27.23,1460910,$27.56,$27.56,$27.01
09/28/2023,$27.27,1238863,$26.79,$27.37,$26.75
09/27/2023,$26.95,1500818,$26.58,$27.03,$26.56
09/26/2023,$26.33,1099123,$26.96,$26.96,$26.32
09/25/2023,$26.96,2602679,$26.50,$27.47,$26.50
09/22/2023,$26.72,10239000,$26.94,$27.58,$26.35
09/21/2023,$26.63,2175806,$27.00,$27.125,$26.61
09/20/2023,$26.86,1555937,$26.50,$27.39,$26.50
09/19/2023,$26.60,1709071,$26.24,$26.71,$26.11
09/18/2023,$26.14,1761772,$26.07,$26.24,$25.71
09/15/2023,$25.99,2509821,$26.19,$26.30,$25.85
09/14/2023,$26.28,1280945,$26.28,$26.36,$26.07
09/13/2023,$26.02,1175311,$26.15,$26.31,$25.97
09/12/2023,$26.22,4088023,$26.47,$26.64,$26.21
09/11/2023,$26.12,1532710,$25.97,$26.27,$25.97
09/08/2023,$25.99,1469974,$26.13,$26.19,$25.9179
09/07/2023,$25.86,1676080,$25.89,$26.11,$25.69
09/06/2023,$25.88,1501170,$27.06,$27.075,$25.86
09/05/2023,$26.85,1023820,$27.29,$27.49,$26.85
09/01/2023,$27.10,340850,$26.84,$27.17,$26.84
08/31/2023,$26.69,744984,$26.93,$27.00,$26.56
08/30/2023,$26.85,762884,$26.78,$27.01,$26.64
08/29/2023,$26.50,1067658,$26.60,$26.805,$26.40
08/28/2023,$26.70,343722,$26.78,$27.10,$26.62
08/25/2023,$26.78,483175,$26.62,$26.91,$26.46
08/24/2023,$26.65,551234,$27.00,$27.17,$26.605
08/23/2023,$27.18,516204,$27.38,$27.3999,$26.86
08/22/2023,$27.29,403476,$27.71,$27.71,$27.215
08/21/2023,$27.61,574979,$27.43,$27.62,$27.12
08/18/2023,$27.36,677114,$26.73,$27.42,$26.7072
08/17/2023,$26.95,731377,$26.75,$27.10,$26.72
08/16/2023,$26.68,1360150,$27.00,$27.20,$26.57
08/15/2023,$27.08,1165371,$27.78,$27.78,$27.03
08/14/2023,$27.54,1240608,$28.19,$28.2599,$27.135
08/11/2023,$28.09,1036417,$27.42,$28.12,$27.40
08/10/2023,$27.73,806264,$27.71,$27.85,$27.28
08/09/2023,$27.38,2440703,$26.61,$27.61,$26.17
08/08/2023,$27.98,1435574,$27.98,$28.25,$27.40
08/07/2023,$27.96,1159831,$27.87,$28.25,$27.81
08/04/2023,$27.83,1126220,$28.30,$28.39,$27.76
08/03/2023,$28.25,856879,$27.92,$28.65,$27.72
08/02/2023,$27.92,888042,$28.09,$28.24,$27.35
08/01/2023,$28.18,814041,$28.11,$28.20,$27.65
07/31/2023,$28.27,634691,$28.13,$28.39,$28.11
07/28/2023,$28.10,942280,$27.50,$28.20,$27.39
07/27/2023,$28.10,1141321,$28.55,$28.61,$28.03
07/26/2023,$28.47,888521,$28.30,$28.74,$28.28
07/25/2023,$28.35,1114519,$28.41,$28.59,$28.08
07/24/2023,$28.33,1047505,$27.80,$28.62,$27.80
07/21/2023,$27.63,447737,$27.72,$27.86,$27.59
07/20/2023,$27.69,587040,$27.61,$27.88,$27.37
07/19/2023,$27.47,618912,$27.42,$27.61,$27.23
07/18/2023,$27.40,528624,$27.25,$27.76,$27.25
07/17/2023,$27.19,884236,$27.34,$27.3625,$27.06
07/14/2023,$27.35,947715,$27.37,$27.43,$27.03
07/13/2023,$27.64,1135909,$27.15,$27.75,$26.95
07/12/2023,$27.04,1398834,$27.06,$27.22,$26.81
07/11/2023,$27.10,568333,$27.09,$27.33,$27.09
07/10/2023,$27.03,609171,$26.96,$27.22,$26.95
07/07/2023,$26.95,269229,$26.76,$27.12,$26.695
07/06/2023,$26.75,279381,$26.79,$26.85,$26.40
07/05/2023,$26.91,350523,$26.87,$26.94,$26.54
07/03/2023,$26.85,121807,$26.53,$26.95,$26.53
06/30/2023,$26.52,569115,$26.49,$26.86,$26.305
06/29/2023,$26.40,592338,$26.36,$26.47,$26.19
06/28/2023,$26.36,1382550,$25.85,$26.36,$25.47
06/27/2023,$25.79,873240,$26.19,$26.305,$25.73
06/26/2023,$25.99,1541383,$26.40,$26.41,$25.98
06/23/2023,$26.41,2437530,$26.02,$26.66,$26.02
06/22/2023,$26.19,883724,$26.37,$26.4649,$26.01
06/21/2023,$26.57,786237,$26.69,$26.89,$26.53
06/20/2023,$26.85,841518,$27.03,$27.05,$26.66
06/16/2023,$27.15,2823363,$27.10,$27.18,$26.60
06/15/2023,$27.12,935360,$26.49,$27.14,$26.3112
06/14/2023,$26.53,1399294,$26.35,$26.71,$26.15
06/13/2023,$26.21,822438,$26.44,$26.71,$26.07
06/12/2023,$26.44,1086649,$26.28,$26.745,$26.08
06/09/2023,$26.35,940386,$26.66,$26.91,$26.32
06/08/2023,$26.75,614419,$26.84,$26.935,$26.3926
06/07/2023,$26.86,1003809,$26.37,$27.31,$26.21
06/06/2023,$26.17,452330,$25.80,$26.52,$25.80
06/05/2023,$25.96,627666,$26.47,$26.70,$25.92
06/02/2023,$26.11,674511,$25.77,$26.38,$25.60
06/01/2023,$25.44,555283,$25.28,$25.68,$25.23
05/31/2023,$25.24,1252291,$25.55,$25.87,$25.04
05/30/2023,$25.68,672300,$25.69,$25.72,$25.19
05/26/2023,$25.81,1162182,$25.79,$26.37,$25.70
05/25/2023,$25.84,794321,$25.95,$26.18,$25.64
05/24/2023,$25.98,885739,$26.23,$26.33,$25.69
05/23/2023,$25.95,719717,$26.44,$26.65,$25.91
05/22/2023,$26.31,1105756,$26.78,$27.06,$26.22
05/19/2023,$26.81,780800,$26.60,$27.10,$26.60
