Date,Close/Last,Volume,Open,High,Low
10/23/2023,$34.84,4343781,$34.67,$34.98,$34.47
10/20/2023,$34.92,9725819,$35.50,$35.52,$34.775
10/19/2023,$35.57,5424129,$35.68,$36.09,$35.47
10/18/2023,$35.65,7404860,$35.93,$36.00,$35.20
10/17/2023,$35.90,8399330,$35.73,$36.215,$35.66
10/16/2023,$35.73,6400102,$35.41,$35.89,$35.245
10/13/2023,$35.19,5212220,$35.09,$35.395,$34.94
10/12/2023,$34.80,4564203,$34.89,$34.945,$34.565
10/11/2023,$34.69,4290639,$34.24,$34.71,$34.185
10/10/2023,$34.42,4625184,$34.33,$34.56,$34.165
10/09/2023,$34.36,4680431,$34.24,$34.455,$34.035
10/06/2023,$33.68,5788483,$33.22,$33.89,$32.92
10/05/2023,$33.36,6924191,$32.64,$33.50,$32.63
10/04/2023,$32.93,8409900,$32.95,$33.19,$32.585
10/03/2023,$32.97,7948348,$32.80,$32.98,$32.495
10/02/2023,$32.93,6753161,$33.54,$33.67,$32.825
09/29/2023,$33.69,7513517,$34.42,$34.46,$33.50
09/28/2023,$34.41,5824398,$34.15,$34.66,$34.13
09/27/2023,$34.10,5592287,$33.81,$34.2799,$33.70
09/26/2023,$33.58,7772826,$33.68,$33.87,$33.4925
09/25/2023,$33.96,4870995,$33.52,$34.025,$33.4941
09/22/2023,$33.62,5599801,$33.60,$33.885,$33.485
09/21/2023,$33.45,5504398,$34.39,$34.415,$33.3606
09/20/2023,$34.29,4624518,$34.19,$34.53,$34.19
09/19/2023,$34.29,5110473,$34.69,$34.69,$34.09
09/18/2023,$34.43,4554950,$34.48,$34.54,$34.09
09/15/2023,$34.34,10848770,$34.36,$34.83,$34.29
09/14/2023,$34.72,4744169,$34.53,$34.835,$34.445
09/13/2023,$34.26,4134922,$34.21,$34.30,$33.945
09/12/2023,$34.16,4599155,$33.79,$34.19,$33.73
09/11/2023,$33.69,5282472,$34.02,$34.15,$33.545
09/08/2023,$33.82,6115107,$33.86,$34.155,$33.79
09/07/2023,$34.19,6450211,$33.87,$34.36,$33.82
09/06/2023,$33.84,8081677,$34.29,$34.33,$33.55
09/05/2023,$34.44,6534685,$34.70,$34.865,$34.42
09/01/2023,$34.69,5250200,$34.88,$35.065,$34.56
08/31/2023,$34.53,10242320,$35.03,$35.065,$34.525
08/30/2023,$35.00,4164178,$34.95,$35.01,$34.80
08/29/2023,$34.88,3932049,$34.89,$34.95,$34.64
08/28/2023,$34.87,4003773,$34.80,$35.11,$34.635
08/25/2023,$34.67,4247516,$34.73,$34.96,$34.55
08/24/2023,$34.52,4446687,$34.55,$34.9875,$34.51
08/23/2023,$34.70,6137041,$34.48,$34.76,$34.155
08/22/2023,$34.63,5780839,$34.97,$35.135,$34.62
08/21/2023,$34.83,5960593,$34.82,$34.98,$34.4943
08/18/2023,$34.77,4328438,$34.32,$34.90,$34.27
08/17/2023,$34.61,4924550,$34.70,$35.05,$34.61
08/16/2023,$34.47,6196859,$34.65,$34.76,$34.445
08/15/2023,$34.76,4711842,$34.85,$34.915,$34.62
08/14/2023,$35.03,5002266,$35.39,$35.425,$34.98
08/11/2023,$35.38,4572195,$35.09,$35.41,$35.05
08/10/2023,$35.06,5949589,$35.30,$35.45,$34.8701
08/09/2023,$35.26,8472602,$34.97,$35.46,$34.97
08/08/2023,$34.83,5682212,$34.11,$34.84,$34.00
08/07/2023,$34.47,4119755,$34.54,$34.80,$34.32
08/04/2023,$34.36,7617893,$34.53,$35.07,$34.35
08/03/2023,$34.44,8534670,$34.03,$34.84,$33.97
08/02/2023,$33.68,6001481,$33.91,$33.93,$33.27
08/01/2023,$34.10,5523458,$34.49,$34.49,$33.80
07/31/2023,$34.45,6831232,$34.25,$34.64,$34.13
07/28/2023,$34.06,5400316,$34.22,$34.22,$33.773
07/27/2023,$34.05,7468088,$34.05,$34.41,$33.91
07/26/2023,$34.07,4586973,$33.80,$34.34,$33.69
07/25/2023,$33.98,4576013,$33.94,$34.11,$33.73
07/24/2023,$33.96,5640626,$33.99,$34.265,$33.95
07/21/2023,$33.85,4344748,$33.75,$33.965,$33.5311
07/20/2023,$33.60,4864342,$33.65,$33.66,$33.265
07/19/2023,$33.32,5400537,$33.355,$33.58,$33.1925
07/18/2023,$33.34,5126578,$33.05,$33.595,$32.97
07/17/2023,$33.01,5001231,$33.18,$33.395,$33.00
07/14/2023,$33.38,6643422,$34.05,$34.05,$33.14
07/13/2023,$34.26,11050630,$34.10,$34.29,$34.05
07/12/2023,$34.11,13714740,$33.81,$34.20,$33.64
07/11/2023,$33.55,10205960,$32.98,$33.59,$32.83
07/10/2023,$32.91,7988686,$32.65,$33.04,$32.54
07/07/2023,$32.73,6676054,$32.32,$33.045,$32.28
07/06/2023,$32.37,6686203,$32.32,$32.47,$32.20
07/05/2023,$32.46,10043660,$32.74,$32.74,$32.33
07/03/2023,$32.72,2930338,$32.65,$32.915,$32.57
06/30/2023,$32.63,7552551,$32.73,$32.76,$32.425
06/29/2023,$32.53,8949998,$32.02,$32.55,$31.98
06/28/2023,$32.02,15800900,$31.54,$32.21,$31.45
06/27/2023,$31.37,8499688,$31.01,$31.57,$30.90
06/26/2023,$31.07,7466915,$30.62,$31.24,$30.59
06/23/2023,$30.59,11263880,$30.36,$30.635,$30.26
06/22/2023,$30.57,6707319,$30.87,$30.905,$30.445
06/21/2023,$30.82,5718484,$30.54,$31.04,$30.43
06/20/2023,$30.64,7009891,$30.47,$30.67,$30.24
06/16/2023,$30.53,14134910,$30.69,$30.78,$30.51
06/15/2023,$30.57,7153217,$30.28,$30.85,$30.22
06/14/2023,$30.20,6328361,$30.64,$30.735,$30.19
06/13/2023,$30.48,9090141,$30.60,$30.99,$30.44
06/12/2023,$30.56,8073928,$30.15,$30.66,$30.10
06/09/2023,$30.39,8944096,$31.17,$31.20,$30.38
06/08/2023,$31.70,9968071,$31.40,$31.72,$31.03
06/07/2023,$31.40,11279170,$30.58,$31.41,$30.52
06/06/2023,$30.35,5664035,$29.88,$30.40,$29.86
06/05/2023,$30.14,5154336,$30.60,$30.57,$30.13
06/02/2023,$30.23,11369080,$29.50,$30.53,$29.37
06/01/2023,$29.11,8113886,$28.71,$29.25,$28.57
05/31/2023,$28.66,12283240,$28.28,$28.725,$28.27
05/30/2023,$28.56,6014964,$28.50,$28.705,$28.38
05/26/2023,$28.75,5960191,$29.15,$29.23,$28.625
05/25/2023,$29.08,8775661,$28.98,$29.13,$28.625
05/24/2023,$29.27,5658857,$29.43,$29.45,$28.99
05/23/2023,$29.38,5559483,$29.21,$29.5985,$29.155
05/22/2023,$29.23,5575766,$29.19,$29.46,$28.97
05/19/2023,$29.24,5158206,$29.34,$29.485,$29.10
05/18/2023,$29.21,6379452,$28.75,$29.245,$28.67
05/17/2023,$28.95,6372882,$28.97,$29.095,$28.69
05/16/2023,$28.65,9360010,$29.10,$29.27,$28.525
05/15/2023,$29.10,9341012,$29.37,$29.38,$28.68
05/12/2023,$29.28,4245034,$29.24,$29.39,$29.055
05/11/2023,$29.00,4746290,$28.89,$29.16,$28.76
05/10/2023,$29.16,6260883,$29.76,$29.76,$28.87
05/09/2023,$29.45,5122668,$29.30,$29.67,$29.22
05/08/2023,$29.56,5642185,$30.44,$30.48,$29.45
05/05/2023,$30.18,9884129,$29.62,$30.40,$29.43
05/04/2023,$29.10,10485790,$29.26,$29.74,$28.83
05/03/2023,$28.96,6094020,$29.03,$29.50,$28.95
05/02/2023,$29.30,7298531,$30.10,$30.13,$28.92
05/01/2023,$30.36,4671966,$30.00,$30.51,$30.00
04/28/2023,$30.26,5428366,$29.76,$30.435,$29.705
04/27/2023,$29.81,6626312,$29.41,$29.875,$29.32
04/26/2023,$29.44,5513609,$29.73,$29.96,$29.23
04/25/2023,$29.93,4029334,$30.19,$30.22,$29.873
04/24/2023,$30.33,4571362,$29.93,$30.43,$29.76
04/21/2023,$29.93,3903360,$29.85,$29.98,$29.585
04/20/2023,$29.83,5165277,$29.82,$29.83,$29.53
04/19/2023,$30.08,3800429,$29.93,$30.085,$29.87
04/18/2023,$30.16,4022404,$30.20,$30.39,$30.0519
04/17/2023,$30.32,4778972,$30.50,$30.57,$30.245
04/14/2023,$30.39,6877862,$30.59,$30.78,$30.20
04/13/2023,$30.50,6207447,$30.32,$30.515,$30.22
04/12/2023,$30.33,7357239,$30.38,$30.645,$30.28
04/11/2023,$30.17,5019050,$30.05,$30.325,$29.87
04/10/2023,$29.84,5824901,$29.68,$29.95,$29.51
04/06/2023,$29.65,6628823,$30.07,$30.09,$29.47
04/05/2023,$29.94,5629249,$29.82,$29.97,$29.5212
04/04/2023,$29.67,6509006,$29.85,$29.93,$29.285
04/03/2023,$29.85,9085212,$30.31,$30.41,$29.63
03/31/2023,$29.86,5821915,$29.42,$29.875,$29.42
03/30/2023,$29.41,4213547,$29.60,$29.60,$29.29
03/29/2023,$29.27,7478772,$29.20,$29.27,$28.995
03/28/2023,$28.87,6613489,$28.44,$29.04,$28.26
03/27/2023,$28.93,6324096,$29.08,$29.21,$28.83
03/24/2023,$28.74,7072138,$27.91,$28.7879,$27.80
03/23/2023,$28.30,5478399,$28.64,$28.96,$28.09
03/22/2023,$28.64,6225760,$29.20,$29.35,$28.62
03/21/2023,$29.18,7843383,$29.22,$29.30,$28.82
03/20/2023,$28.89,6859570,$28.43,$29.155,$28.36
03/17/2023,$28.30,13152050,$28.71,$28.75,$28.145
03/16/2023,$28.82,10962270,$28.35,$28.895,$28.055
03/15/2023,$28.78,11603700,$28.44,$29.15,$28.265
03/14/2023,$29.25,9675979,$29.18,$29.68,$28.78
03/13/2023,$29.01,11855270,$28.51,$29.36,$28.17
03/10/2023,$28.90,9144791,$29.46,$29.57,$28.70
03/09/2023,$29.89,8255752,$30.60,$30.76,$29.86
03/08/2023,$30.37,6794399,$30.37,$30.5875,$30.11
03/07/2023,$30.37,5586393,$30.62,$30.68,$30.215
03/06/2023,$30.70,5721981,$30.81,$31.02,$30.63
03/03/2023,$30.97,5713942,$30.28,$31.065,$30.22
03/02/2023,$30.42,5558557,$29.90,$30.50,$29.815
03/01/2023,$29.94,7374774,$30.06,$30.19,$29.7801
02/28/2023,$30.10,8399919,$30.78,$30.80,$30.09
02/27/2023,$30.70,7790536,$31.05,$31.2279,$30.63
02/24/2023,$31.18,5462049,$30.76,$31.20,$30.66
02/23/2023,$31.05,5820315,$31.18,$31.31,$30.81
02/22/2023,$30.91,8341861,$30.88,$31.26,$30.52
02/21/2023,$30.79,9590976,$31.13,$31.26,$30.468
02/17/2023,$31.26,11956450,$31.73,$31.85,$31.18
02/16/2023,$32.09,6285698,$31.97,$32.41,$31.93
02/15/2023,$32.10,6898037,$31.72,$32.115,$31.57
02/14/2023,$31.92,5128872,$31.68,$32.09,$31.54
02/13/2023,$31.81,4800296,$31.68,$31.95,$31.63
02/10/2023,$31.82,6551008,$31.63,$31.88,$31.42
02/09/2023,$31.32,6871316,$31.88,$31.94,$31.22
02/08/2023,$31.81,5770968,$32.00,$32.1499,$31.70
02/07/2023,$32.11,8534497,$31.74,$32.23,$31.43
02/06/2023,$31.70,5668791,$32.02,$32.14,$31.425
02/03/2023,$32.08,7436841,$32.26,$32.44,$32.00
02/02/2023,$32.21,8034538,$31.91,$32.26,$31.475
02/01/2023,$31.86,10077290,$31.89,$32.17,$31.50
01/31/2023,$32.24,11984770,$31.22,$32.24,$31.07
01/30/2023,$31.03,6201974,$31.30,$31.72,$31.01
01/27/2023,$31.51,6375859,$31.36,$31.70,$31.31
01/26/2023,$31.43,7382837,$31.64,$31.68,$31.10
01/25/2023,$31.40,7189475,$31.22,$31.41,$30.51
01/24/2023,$31.44,6451268,$31.53,$34.80,$31.00
01/23/2023,$31.68,8740448,$31.66,$31.94,$31.51
01/20/2023,$31.46,7368538,$31.95,$32.06,$31.37
01/19/2023,$31.93,7480822,$31.55,$32.25,$31.50
01/18/2023,$31.68,7924236,$32.80,$32.91,$31.594
01/17/2023,$32.78,5565845,$32.96,$33.075,$32.66
01/13/2023,$32.81,4659656,$32.88,$32.97,$32.39
01/12/2023,$32.96,6560754,$32.67,$33.06,$32.50
01/11/2023,$32.43,6675121,$32.47,$32.57,$32.215
01/10/2023,$32.14,6282169,$32.82,$32.95,$31.935
01/09/2023,$32.63,6715218,$32.93,$33.065,$32.545
01/06/2023,$32.56,6347349,$32.38,$32.92,$32.26
01/05/2023,$32.02,6009327,$32.20,$32.30,$31.94
01/04/2023,$32.35,5761616,$31.84,$32.531,$31.72
01/03/2023,$32.15,5544618,$32.71,$32.72,$31.71
12/30/2022,$32.90,3479210,$32.85,$33.03,$32.645
12/29/2022,$32.97,3551538,$32.65,$33.08,$32.59
12/28/2022,$32.72,3688181,$33.34,$33.51,$32.58
12/27/2022,$33.41,4938238,$33.39,$33.54,$33.175
12/23/2022,$33.32,5307650,$32.67,$33.41,$32.60
12/22/2022,$32.57,4829990,$32.93,$32.94,$32.00
12/21/2022,$32.97,5515922,$32.83,$33.145,$32.58
12/20/2022,$32.35,5047116,$32.11,$32.495,$31.97
12/19/2022,$32.07,4805774,$32.50,$32.59,$31.8703
12/16/2022,$32.35,15936830,$32.79,$32.89,$31.81
12/15/2022,$33.50,6735592,$33.47,$33.635,$33.12
12/14/2022,$33.72,4883836,$33.86,$34.19,$33.33
12/13/2022,$33.79,8547988,$33.78,$34.03,$33.42
12/12/2022,$33.19,5708642,$32.72,$33.20,$32.40
12/09/2022,$32.59,5991388,$32.83,$33.2268,$32.58
12/08/2022,$32.91,7624577,$33.75,$33.87,$32.51
12/07/2022,$33.79,9084631,$33.53,$34.22,$33.51
12/06/2022,$33.47,6560132,$34.01,$34.28,$33.115
12/05/2022,$34.17,6331787,$35.16,$35.22,$33.932
12/02/2022,$34.96,6715194,$34.56,$34.98,$34.45
12/01/2022,$34.92,6139720,$35.06,$35.455,$34.77
11/30/2022,$34.70,12459410,$34.61,$34.85,$34.25
11/29/2022,$34.32,6392040,$33.76,$34.48,$33.72
11/28/2022,$33.48,5807460,$33.33,$33.63,$33.19
11/25/2022,$33.90,2108078,$33.94,$34.15,$33.81
11/23/2022,$33.83,4032416,$33.90,$34.10,$33.55
11/22/2022,$34.21,6366288,$33.55,$34.31,$33.365
11/21/2022,$33.15,6415100,$32.96,$33.19,$32.335
11/18/2022,$33.40,8510490,$32.88,$33.46,$32.74
11/17/2022,$33.10,7848077,$33.37,$33.51,$32.59
11/16/2022,$33.77,4642734,$33.70,$33.88,$33.465
11/15/2022,$33.90,4467842,$34.06,$34.21,$33.72
11/14/2022,$33.77,5113138,$34.08,$34.53,$33.76
11/11/2022,$34.08,5767671,$34.06,$34.24,$33.555
11/10/2022,$33.62,9389247,$33.32,$33.65,$33.02
11/09/2022,$32.67,5655765,$33.80,$33.82,$32.59
11/08/2022,$33.96,4777122,$33.87,$34.12,$33.5302
11/07/2022,$33.84,5816370,$33.67,$34.065,$33.49
11/04/2022,$33.54,5524154,$33.72,$33.825,$33.09
11/03/2022,$33.15,6386380,$32.88,$33.355,$32.58
11/02/2022,$33.04,7057250,$33.44,$33.75,$32.975
11/01/2022,$33.44,7498512,$33.28,$33.84,$33.07
10/31/2022,$32.73,10473310,$32.53,$33.145,$32.45
10/28/2022,$32.67,6079624,$32.84,$32.89,$32.22
10/27/2022,$32.50,5166105,$32.61,$32.865,$32.415
10/26/2022,$32.15,5633883,$32.08,$32.34,$31.865
10/25/2022,$31.85,5810052,$31.00,$31.875,$30.93
10/24/2022,$31.10,5646876,$31.66,$31.66,$30.975
10/21/2022,$31.52,8867495,$30.97,$31.76,$30.69
10/20/2022,$30.90,9037838,$31.24,$31.24,$30.56
10/19/2022,$30.88,5948552,$30.41,$31.085,$30.32
10/18/2022,$30.44,6239904,$30.19,$30.7383,$30.08
10/17/2022,$29.96,6089041,$29.82,$30.295,$29.68
10/14/2022,$29.41,6948323,$30.43,$30.68,$29.375
10/13/2022,$30.41,8315060,$28.97,$30.55,$28.96
10/12/2022,$29.36,6608690,$29.58,$29.68,$29.215
10/11/2022,$29.75,7521974,$29.21,$30.185,$29.04
10/10/2022,$29.35,5571620,$29.90,$30.23,$29.225
10/07/2022,$29.79,7169333,$30.10,$30.22,$29.51
10/06/2022,$30.11,5950481,$30.17,$30.59,$29.975
10/05/2022,$30.46,7109086,$30.55,$30.82,$29.97
10/04/2022,$30.71,6496932,$29.92,$30.73,$29.78
10/03/2022,$29.43,7637252,$29.51,$29.685,$29.28
09/30/2022,$28.63,10985730,$28.79,$28.92,$28.54
09/29/2022,$28.96,9026611,$29.09,$29.31,$28.45
09/28/2022,$29.41,7915184,$28.67,$29.505,$28.48
09/27/2022,$28.54,7283689,$28.96,$29.12,$28.295
09/26/2022,$28.42,9044944,$28.95,$29.14,$28.36
09/23/2022,$29.15,11182950,$30.35,$30.355,$28.82
09/22/2022,$31.16,4907806,$31.84,$31.84,$31.15
