Date,Close/Last,Volume,Open,High,Low
01/05/2024,$33.68,4199917,$33.32,$33.76,$33.09
01/04/2024,$33.59,3317491,$33.91,$34.035,$33.53
01/03/2024,$34.06,2939810,$34.26,$34.3814,$33.94
01/02/2024,$34.79,2317083,$34.57,$35.005,$34.49
12/29/2023,$34.77,3079274,$34.91,$35.13,$34.74
12/28/2023,$35.10,2586111,$34.81,$35.14,$34.72
12/27/2023,$34.76,2109217,$34.77,$34.935,$34.61
12/26/2023,$34.63,2542335,$34.43,$34.73,$34.31
12/22/2023,$34.36,2253558,$34.30,$34.61,$34.20
12/21/2023,$34.11,2957233,$34.47,$34.49,$33.88
12/20/2023,$34.10,3490641,$34.41,$34.815,$34.09
12/19/2023,$34.45,4855726,$33.82,$34.50,$33.82
12/18/2023,$33.55,3390101,$33.55,$33.665,$33.365
12/15/2023,$33.34,11627300,$33.83,$34.065,$33.02
12/14/2023,$33.94,7241170,$32.61,$34.08,$32.61
12/13/2023,$32.00,5687463,$30.78,$32.185,$30.67
12/12/2023,$30.66,4740067,$31.03,$31.03,$30.54
12/11/2023,$31.08,2783119,$30.74,$31.21,$30.635
12/08/2023,$30.87,2799572,$30.73,$30.895,$30.57
12/07/2023,$30.89,2976820,$31.26,$31.26,$30.83
12/06/2023,$31.24,3170948,$31.54,$31.685,$31.22
12/05/2023,$31.29,2662545,$31.45,$31.49,$31.15
12/04/2023,$31.58,3908684,$31.52,$31.75,$31.215
12/01/2023,$31.74,4211423,$31.51,$31.95,$31.24
11/30/2023,$31.35,11869870,$31.66,$31.66,$31.095
11/29/2023,$31.70,3589923,$31.83,$31.923,$31.565
11/28/2023,$31.54,2655081,$31.50,$31.65,$31.065
11/27/2023,$31.62,3503374,$31.45,$31.80,$31.33
11/24/2023,$31.94,967932,$31.97,$31.99,$31.76
11/22/2023,$31.99,2212546,$32.07,$32.14,$31.815
11/21/2023,$31.78,3203956,$32.14,$32.19,$31.68
11/20/2023,$32.23,3883680,$31.95,$32.385,$31.56
11/17/2023,$31.92,2877758,$32.04,$32.10,$31.765
11/16/2023,$31.74,4053664,$31.69,$31.84,$31.47
11/15/2023,$31.72,3106436,$31.53,$32.015,$31.52
