Date,Close/Last,Volume,Open,High,Low
01/03/2024,$94.03,2369068,$93.69,$95.52,$92.3392
01/02/2024,$94.60,3013628,$90.83,$95.68,$90.68
12/29/2023,$91.11,1144842,$91.62,$92.08,$90.90
12/28/2023,$91.76,1232976,$90.89,$92.6094,$90.78
12/27/2023,$90.63,1142160,$91.00,$91.21,$90.07
12/26/2023,$91.00,1150246,$90.57,$91.3546,$90.2301
12/22/2023,$90.42,1170461,$90.00,$91.13,$89.905
12/21/2023,$90.72,1891809,$89.76,$90.765,$89.02
12/20/2023,$88.55,2039556,$91.88,$91.88,$88.50
12/19/2023,$91.72,2264085,$89.58,$91.78,$89.46
12/18/2023,$89.28,1487639,$89.17,$89.62,$88.20
12/15/2023,$88.76,3479738,$90.39,$90.79,$87.45
12/14/2023,$89.80,2970109,$89.00,$90.83,$88.80
12/13/2023,$88.02,1935796,$86.00,$88.10,$85.06
12/12/2023,$86.23,1313702,$86.21,$86.4999,$85.5322
12/11/2023,$86.00,1973932,$84.33,$86.2626,$84.33
12/08/2023,$84.19,2346782,$82.35,$84.215,$82.3201
12/07/2023,$82.53,1804840,$82.40,$83.48,$82.3401
12/06/2023,$82.40,2340040,$82.87,$83.96,$82.03
12/05/2023,$82.21,2366646,$83.37,$83.8699,$81.96
12/04/2023,$83.89,1997799,$84.31,$85.39,$83.61
12/01/2023,$85.15,2048223,$84.15,$85.35,$84.15
11/30/2023,$84.42,2327673,$84.21,$84.5895,$83.50
11/29/2023,$83.67,3810155,$85.05,$86.3797,$83.475
11/28/2023,$84.94,3616042,$86.98,$87.39,$84.66
11/27/2023,$87.06,1889406,$87.72,$87.85,$86.62
11/24/2023,$88.31,1008059,$87.28,$88.325,$86.885
11/22/2023,$87.53,1401661,$87.06,$88.24,$86.345
11/21/2023,$86.86,1554728,$86.64,$87.135,$86.03
11/20/2023,$87.17,2122991,$86.89,$87.64,$86.01
11/17/2023,$86.87,1679079,$86.65,$87.415,$85.76
11/16/2023,$86.06,3022834,$86.81,$87.14,$85.12
11/15/2023,$87.46,2544550,$88.30,$89.52,$87.23
11/14/2023,$87.12,4061263,$85.80,$88.39,$85.80
11/13/2023,$84.54,3779819,$85.24,$86.3699,$83.96
11/10/2023,$85.49,15060890,$85.00,$86.305,$81.65
11/09/2023,$90.65,5825505,$93.68,$94.01,$90.64
11/08/2023,$92.90,2621359,$93.10,$94.015,$92.2901
11/07/2023,$93.18,1994029,$94.47,$94.47,$92.64
11/06/2023,$95.14,2470626,$93.04,$95.91,$93.04
11/03/2023,$92.76,1866299,$91.47,$93.3672,$90.43
11/02/2023,$89.75,1839825,$88.17,$91.09,$88.10
11/01/2023,$86.94,1773379,$87.27,$88.05,$85.835
10/31/2023,$87.78,1471664,$87.82,$88.1491,$86.82
10/30/2023,$88.08,1343199,$88.42,$88.69,$86.755
10/27/2023,$87.28,1587502,$88.40,$89.24,$87.06
10/26/2023,$87.54,2183417,$89.00,$89.78,$87.03
10/25/2023,$88.94,1518643,$90.26,$91.50,$88.791
10/24/2023,$91.42,1335170,$90.41,$92.46,$90.32
10/23/2023,$89.84,2371439,$87.58,$91.25,$87.25
10/20/2023,$87.60,1106456,$88.19,$88.57,$87.12
10/19/2023,$88.22,2179419,$88.85,$90.255,$87.56
10/18/2023,$86.72,2029561,$89.60,$89.8699,$86.53
10/17/2023,$90.30,1355035,$89.92,$91.0599,$89.57
10/16/2023,$90.32,1479993,$90.95,$91.45,$89.85
10/13/2023,$90.28,1500941,$93.15,$93.22,$90.09
10/12/2023,$93.55,1105429,$94.49,$95.04,$92.9575
10/11/2023,$94.73,2029441,$94.18,$95.76,$94.13
10/10/2023,$93.99,1674779,$93.50,$94.97,$93.135
10/09/2023,$93.07,1622814,$93.50,$93.63,$89.6001
10/06/2023,$92.41,2470785,$89.34,$93.90,$88.75
10/05/2023,$89.49,1513570,$87.412,$89.97,$87.412
10/04/2023,$88.21,2289338,$90.57,$90.78,$86.60
10/03/2023,$90.23,1315297,$91.65,$92.51,$89.8301
10/02/2023,$92.63,1712462,$92.92,$93.95,$92.35
09/29/2023,$92.41,1326838,$92.545,$94.26,$91.78
09/28/2023,$91.37,1290376,$91.99,$92.62,$91.02
09/27/2023,$92.21,2050158,$91.39,$92.30,$90.19
09/26/2023,$90.68,1453978,$90.02,$91.66,$90.02
09/25/2023,$90.65,1387783,$90.00,$91.49,$89.95
09/22/2023,$91.56,2615148,$90.94,$93.48,$90.78
09/21/2023,$90.36,2359062,$92.50,$92.565,$90.20
09/20/2023,$93.69,1061617,$94.85,$95.41,$93.47
09/19/2023,$94.72,2036902,$96.76,$97.28,$94.06
09/18/2023,$97.21,1268338,$97.04,$98.435,$96.84
09/15/2023,$97.04,3658671,$98.27,$99.46,$96.59
09/14/2023,$97.71,2066841,$96.42,$97.87,$95.42
09/13/2023,$95.28,1260785,$94.74,$95.66,$94.59
09/12/2023,$95.31,1292734,$95.48,$97.16,$94.98
09/11/2023,$95.32,1068753,$95.26,$95.94,$93.87
09/08/2023,$94.71,1466700,$95.00,$95.73,$94.40
09/07/2023,$94.46,3111369,$94.55,$94.85,$91.87
09/06/2023,$95.83,1896191,$96.65,$97.24,$95.49
09/05/2023,$97.41,3084748,$100.46,$100.46,$96.37
09/01/2023,$101.64,1946876,$101.92,$102.79,$100.67
08/31/2023,$101.38,2924307,$100.06,$102.11,$99.33
08/30/2023,$99.39,1263463,$97.61,$99.96,$97.52
08/29/2023,$98.07,1083064,$96.32,$98.48,$96.30
08/28/2023,$96.79,1209796,$96.11,$96.85,$95.90
08/25/2023,$95.48,1706445,$95.62,$96.32,$94.45
08/24/2023,$95.49,1494045,$96.13,$97.45,$95.41
08/23/2023,$96.08,1298649,$94.50,$96.50,$93.88
08/22/2023,$95.04,2297454,$95.20,$95.98,$93.89
08/21/2023,$94.20,2025986,$94.00,$94.59,$92.72
08/18/2023,$93.88,1806148,$93.62,$94.802,$93.00
08/17/2023,$94.79,1810528,$95.05,$95.99,$94.26
08/16/2023,$94.81,2645462,$95.49,$96.25,$94.265
08/15/2023,$95.49,3222121,$98.78,$98.79,$95.12
08/14/2023,$99.91,1971446,$100.01,$100.525,$99.25
08/11/2023,$100.55,3148065,$103.99,$103.99,$99.61
08/10/2023,$104.22,4170969,$103.07,$106.66,$102.75
08/09/2023,$101.55,3398383,$104.92,$104.92,$101.20
08/08/2023,$103.07,1618193,$103.17,$103.91,$102.48
08/07/2023,$105.03,1650487,$105.36,$105.65,$104.22
08/04/2023,$104.18,1939512,$106.58,$106.81,$104.05
08/03/2023,$105.61,1614293,$104.25,$106.85,$102.13
08/02/2023,$105.16,1907989,$107.82,$107.82,$104.45
08/01/2023,$109.14,2699745,$108.80,$110.19,$108.14
07/31/2023,$108.98,1360313,$109.00,$109.54,$108.3764
07/28/2023,$108.98,1661538,$109.34,$109.615,$108.08
07/27/2023,$108.15,1997788,$110.02,$111.09,$107.72
07/26/2023,$109.53,1003880,$109.21,$110.19,$108.12
07/25/2023,$108.84,1269982,$108.50,$109.25,$107.20
07/24/2023,$107.51,1595942,$107.00,$108.87,$106.06
07/21/2023,$107.18,1598998,$107.755,$109.30,$106.12
07/20/2023,$106.19,1778201,$106.34,$108.585,$105.85
07/19/2023,$107.30,1258508,$108.80,$109.03,$106.66
07/18/2023,$108.26,1357055,$107.40,$108.48,$106.94
07/17/2023,$107.02,1667787,$108.55,$108.67,$106.43
07/14/2023,$109.51,1455516,$109.85,$110.0799,$108.59
07/13/2023,$109.64,2271585,$109.75,$112.25,$109.495
07/12/2023,$108.87,1772925,$108.80,$109.89,$108.46
07/11/2023,$108.26,1761801,$108.10,$109.07,$107.11
07/10/2023,$107.09,2577767,$101.33,$107.13,$101.33
07/07/2023,$101.32,1862445,$99.78,$101.81,$99.65
07/06/2023,$99.53,2726978,$100.03,$100.51,$97.36
07/05/2023,$101.75,3302906,$105.40,$105.85,$101.41
07/03/2023,$106.62,1118797,$105.835,$108.37,$105.83
06/30/2023,$105.61,1349421,$105.12,$106.36,$104.10
06/29/2023,$104.50,1354936,$104.70,$105.70,$103.72
06/28/2023,$104.25,1470924,$105.61,$105.61,$104.01
06/27/2023,$105.76,1111057,$105.53,$106.50,$104.78
06/26/2023,$105.25,1482753,$103.25,$106.48,$103.21
06/23/2023,$104.20,1786205,$104.00,$105.40,$101.89
06/22/2023,$105.32,1241129,$105.60,$106.97,$104.81
06/21/2023,$106.35,1716938,$105.08,$106.88,$104.80
06/20/2023,$106.17,2766671,$104.96,$107.14,$104.62
06/16/2023,$103.73,2268236,$105.30,$105.30,$103.41
06/15/2023,$104.57,2265839,$103.43,$105.61,$102.34
06/14/2023,$103.50,1629126,$103.94,$104.75,$102.78
06/13/2023,$104.00,2007764,$104.09,$105.37,$103.37
06/12/2023,$103.58,1802838,$103.10,$103.74,$102.32
06/09/2023,$102.21,1704629,$103.05,$103.365,$101.11
